method,model,weeks,total_test_matches,avg_valid_accuracy,avg_valid_log_loss,avg_valid_brier,avg_valid_rps,avg_test_accuracy,std_test_accuracy,avg_test_log_loss,std_test_log_loss,avg_test_brier,avg_test_rps
train_4seasons_test_1season_weekly,lr,983,163633,0.5539134988499239,0.9356273449072448,0.553530521524444,0.188942272311212,0.502237349687952,0.06197077432155122,1.004832587476203,0.058614154042663784,0.6013235348131989,0.20454897962301521
train_4seasons_test_1season_weekly,gbm_calibrated,983,163633,0.5564779693939947,0.943902221246773,0.5585269847395715,0.19041490516285298,0.49890065676738227,0.06232878629861513,1.0082046154420627,0.056494238651416964,0.6029699365005636,0.20514589276129536
train_4seasons_test_1season_weekly,mlp,983,163633,0.5522712343482966,0.9431779631575476,0.5589928890827834,0.19106134544554715,0.4975807569302344,0.06223328769901198,1.0116217575477555,0.059921624811104565,0.6056305507473287,0.20622513853764768
train_4seasons_test_1season_weekly,gbm,983,163633,0.5527970721027229,0.9489558617547549,0.5622176486283945,0.19218767528372213,0.49348133257074134,0.06207214436131671,1.0166155519769613,0.061921260031544786,0.608299356301681,0.2069573196960864
weekly_walk_forward,gbm_calibrated,1163,191270,0.5004349157070296,1.0058894128814055,0.6017129556921339,0.2044520542626935,0.4998087876168356,0.059519451810537145,1.0074630337017372,0.05902082336736646,0.6026827737728684,0.20487233225870646
weekly_walk_forward,mlp,1163,191270,0.4981412523910291,1.0101607013078362,0.6042966633111814,0.20541319025306193,0.4991709753510217,0.060285676031295365,1.0113372599198625,0.06504222717904731,0.6051187691103407,0.20578911163055646
weekly_walk_forward,lr,1163,191270,0.5014970802147479,1.0092442167901958,0.6019845993876277,0.20452183698846213,0.5008536172509077,0.061340528872456175,1.0140223458930104,0.15889659126726005,0.6036803863104667,0.20520150349607302
weekly_walk_forward,gbm,1163,191270,0.49626142055744604,1.0152279240882784,0.6065530264145689,0.20604764578112145,0.4951517805691847,0.059836966963374094,1.016899251713514,0.07212209746406642,0.6077856612926994,0.20649470740073833
