method,model,season,week,week_start,train_matches,valid_matches,test_matches,valid_accuracy,valid_log_loss,valid_brier,valid_rps,test_accuracy,test_log_loss,test_brier,test_rps,train_seasons
weekly_walk_forward,lr,2000-01,6,2000-08-28,15,410,103,0.36097560975609755,2.849222583761398,1.0848780816081316,0.4115883677389269,0.24271844660194175,3.7834715587379737,1.390850512002095,0.5427968422995987,
weekly_walk_forward,gbm,2000-01,6,2000-08-28,15,410,103,0.25121951219512195,1.2476488962393968,0.7512195121951222,0.2704878048780488,0.32038834951456313,1.232581192906363,0.7425242718446601,0.25922330097087376,
weekly_walk_forward,gbm_calibrated,2000-01,6,2000-08-28,15,410,103,0.25121951219512195,1.2476488962393972,0.7512195121951222,0.2704878048780488,0.32038834951456313,1.2325811929063635,0.7425242718446601,0.2592233009708738,
weekly_walk_forward,mlp,2000-01,6,2000-08-28,15,410,103,0.28780487804878047,1.5669198601291174,0.9219140347023368,0.2769569498004001,0.34951456310679613,1.3885517012778659,0.8150844083754446,0.24591233422547343,
weekly_walk_forward,lr,2000-01,7,2000-09-04,45,483,230,0.391304347826087,2.4633909213392085,0.9477222138290047,0.3342799910624669,0.3739130434782609,3.2313950881750126,1.05302985838217,0.3809758478349793,
weekly_walk_forward,gbm,2000-01,7,2000-09-04,45,483,230,0.42857142857142855,1.1926058635421695,0.6900872868079412,0.22983554181955934,0.40869565217391307,1.2645052803112116,0.7249424809772663,0.2422248458915365,
weekly_walk_forward,gbm_calibrated,2000-01,7,2000-09-04,45,483,230,0.4699792960662526,1.0655719384768527,0.6434353193773483,0.22336017176596887,0.4217391304347826,1.0830483117295586,0.6557380568974773,0.22535695115405258,
weekly_walk_forward,mlp,2000-01,7,2000-09-04,45,483,230,0.3146997929606625,1.3240387927895274,0.7910808463737236,0.25448466690001764,0.2826086956521739,1.4202521957158187,0.8469471078938244,0.2697954057771276,
weekly_walk_forward,lr,2000-01,8,2000-09-11,156,602,199,0.33222591362126247,2.9518328913760303,1.0815323828279872,0.3292775458647667,0.271356783919598,4.058328891177784,1.2668210001673876,0.3521623161182033,
weekly_walk_forward,gbm,2000-01,8,2000-09-11,156,602,199,0.39700996677740863,1.6918670753782274,0.8526348797623036,0.28416290531296773,0.41708542713567837,1.7562332236254747,0.8601666621179602,0.2988329736797258,
weekly_walk_forward,gbm_calibrated,2000-01,8,2000-09-11,156,602,199,0.4368770764119601,1.089055449624655,0.6543082804811239,0.2227334623527568,0.41708542713567837,1.1227805297783748,0.6760577427271325,0.2386915681938038,
weekly_walk_forward,mlp,2000-01,8,2000-09-11,156,602,199,0.43023255813953487,1.0866231683873422,0.65528914318258,0.22494167850027366,0.48743718592964824,1.0745913673053045,0.6436870053086741,0.22489879504708649,
weekly_walk_forward,lr,2000-01,9,2000-09-18,296,661,170,0.4508320726172466,1.88097297665781,0.8235716286744778,0.2909626499514969,0.40588235294117647,2.7461065279990673,0.9891069133281131,0.35645373693105736,
weekly_walk_forward,gbm,2000-01,9,2000-09-18,296,661,170,0.42208774583963693,1.8133165839925098,0.8621585158037574,0.30293888916333184,0.4235294117647059,1.6938223246107806,0.8482545923947024,0.2763986260869497,
weekly_walk_forward,gbm_calibrated,2000-01,9,2000-09-18,296,661,170,0.44780635400907715,1.1017593762884497,0.6485998097771982,0.2248224279175895,0.48823529411764705,1.0993622852519336,0.6594829588608367,0.2218679985559144,
weekly_walk_forward,mlp,2000-01,9,2000-09-18,296,661,170,0.45385779122541603,1.2957746417546834,0.7139152411413668,0.25340314777662076,0.43529411764705883,1.4224676691248943,0.7989299241527871,0.2803653276093589,
