Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GBAHH,GBAHA,GBAH,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,EloHome,EloAway
SC2,28/08/04,Dumbarton,Forfar,0,1,A,0,0,D,2.0,3.4,3.0,2.1,3.45,2.8,2.1,3.5,2.75,2.2,3.3,2.5,2.2,3.5,2.62,2.1,3.5,2.75,2.15,3.6,2.62,2.1,1.54,-0.5,,,,,,,,,,,,,,,,1288.98,1233.92
SC2,28/08/04,Stirling,Berwick,3,1,H,2,0,H,1.8,3.5,3.5,1.75,3.6,3.65,1.9,3.65,3.1,1.9,3.3,3.0,1.8,3.5,3.5,1.83,3.5,3.4,2.0,3.75,2.8,1.9,1.68,-0.5,,,,,,,,,,,,,,,,1262.29,1180.88
SC2,04/09/04,Alloa,Ayr,1,3,A,1,2,A,2.75,3.5,2.1,2.6,3.5,2.2,2.65,3.4,2.2,2.6,3.3,2.1,2.5,3.5,2.25,2.8,3.5,2.1,2.7,3.6,2.1,1.49,2.2,0.5,,,,,,,,,,,,,,,,1173.77,1257.8
SC2,04/09/04,Berwick,Dumbarton,0,4,A,0,2,A,2.25,3.5,2.5,2.4,3.5,2.4,2.4,3.4,2.4,2.4,3.1,2.4,2.25,3.5,2.5,2.5,3.4,2.3,2.37,3.5,2.37,2.4,1.41,-0.5,,,,,,,,,,,,,,,,1174.37,1271.24
SC2,04/09/04,Forfar,Stirling,0,2,A,0,0,D,2.25,3.5,2.5,2.25,3.5,2.55,2.25,3.4,2.6,2.2,3.3,2.5,2.0,3.6,2.88,2.2,3.5,2.62,2.25,3.4,2.6,2.25,1.47,-0.5,,,,,,,,,,,,,,,,1251.66,1268.8
SC2,04/09/04,Morton,Arbroath,2,1,H,1,0,H,1.36,4.0,7.0,1.4,4.3,5.75,1.4,4.0,6.0,1.4,4.0,5.0,1.44,4.0,5.5,1.36,4.2,6.5,1.4,4.33,5.5,1.4,2.4,-0.5,,,,,,,,,,,,,,,,1258.06,1145.36
SC2,04/09/04,Stranraer,Brechin,4,2,H,2,0,H,2.3,3.4,2.5,2.3,3.5,2.5,2.3,3.4,2.55,2.2,3.3,2.5,2.1,3.5,2.75,2.3,3.5,2.5,2.3,3.6,2.4,2.3,1.46,-0.5,,,,,,,,,,,,,,,,1289.25,1216.19
SC2,11/09/04,Ayr,Forfar,3,3,D,2,2,D,2.0,3.4,3.0,2.3,3.5,2.5,2.1,3.55,2.75,2.1,3.3,2.6,2.1,3.5,2.75,2.05,3.5,2.87,2.1,3.6,2.7,2.1,1.55,-0.5,,,,,,,,,,,,,,,,1270.87,1236.23
SC2,11/09/04,Berwick,Alloa,2,3,A,1,2,A,1.727,3.6,3.75,2.0,3.5,3.0,1.85,3.4,3.45,1.85,3.3,3.1,1.8,3.5,3.5,1.85,3.5,3.4,1.83,3.6,3.3,1.85,1.71,-0.5,,,,,,,,,,,,,,,,1161.76,1160.7
SC2,11/09/04,Brechin,Arbroath,4,1,H,1,1,D,1.533,3.75,4.75,1.6,3.75,4.3,1.55,3.75,4.75,1.55,3.6,4.1,1.615,4.0,4.0,1.53,3.75,4.75,1.53,4.0,4.5,1.55,2.1,-0.5,,,,,,,,,,,,,,,,1209.45,1139.68
SC2,11/09/04,Dumbarton,Stranraer,1,3,A,0,1,A,2.1,3.5,2.75,2.3,3.5,2.5,2.15,3.5,2.7,2.1,3.3,2.6,2.1,3.5,2.75,2.1,3.5,2.75,2.1,3.6,2.7,2.15,1.52,-0.5,,,,,,,,,,,,,,,,1283.85,1295.99
SC2,11/09/04,Stirling,Morton,1,1,D,1,1,D,2.25,3.5,2.5,2.2,3.5,2.6,2.25,3.4,2.6,2.3,3.2,2.4,2.25,3.5,2.5,2.3,3.5,2.5,2.37,3.5,2.37,2.25,1.47,-0.5,,,,,,,,,,,,,,,,1284.23,1263.74
SC2,18/09/04,Alloa,Dumbarton,3,2,H,0,1,A,2.5,3.5,2.25,2.5,3.5,2.3,2.75,3.5,2.1,2.7,3.3,2.1,2.62,3.5,2.2,2.75,3.5,2.1,2.8,3.6,2.05,1.54,2.1,0.5,,,,,,,,,,,,,,,,1176.74,1268.25
SC2,18/09/04,Arbroath,Ayr,0,0,D,0,0,D,3.75,3.6,1.72,3.6,3.45,1.8,3.6,3.65,1.75,3.3,3.5,1.75,3.0,3.4,2.0,3.75,3.6,1.73,3.6,3.75,1.72,1.81,1.75,0.5,,,,,,,,,,,,,,,,1132.84,1266.25
SC2,18/09/04,Forfar,Berwick,1,1,D,1,0,H,1.72,3.6,3.75,1.7,3.55,3.95,1.67,3.65,4.0,1.75,3.5,3.3,1.62,3.5,4.5,1.67,3.6,4.0,1.8,3.75,3.3,1.67,1.91,-0.5,,,,,,,,,,,,,,,,1240.85,1145.72
SC2,18/09/04,Morton,Brechin,0,3,A,0,1,A,2.0,3.4,3.0,1.9,3.5,3.2,1.75,3.5,3.75,1.8,3.4,3.2,1.73,3.5,3.75,1.8,3.4,3.6,1.72,3.75,3.6,1.75,1.81,-0.5,,,,,,,,,,,,,,,,1267.91,1216.29
SC2,18/09/04,Stranraer,Stirling,0,0,D,0,0,D,2.25,3.5,2.5,2.3,3.45,2.5,2.3,3.55,2.45,2.3,3.4,2.3,2.2,3.5,2.62,2.25,3.5,2.5,2.37,3.5,2.37,2.3,1.45,-0.5,,,,,,,,,,,,,,,,1311.59,1280.06
SC2,25/09/04,Alloa,Morton,1,6,A,0,1,A,2.6,3.5,2.2,2.7,3.5,2.15,2.7,3.5,2.15,2.6,3.3,2.1,2.75,3.5,2.1,2.6,3.5,2.2,2.8,3.6,2.05,1.52,2.15,0.5,,,,,,,,,,,,,,,,1188.93,1250.28
SC2,25/09/04,Ayr,Brechin,0,1,A,0,0,D,2.2,3.5,2.6,2.25,3.5,2.55,2.25,3.5,2.55,2.2,3.3,2.5,2.1,3.5,2.75,2.2,3.5,2.6,2.25,3.6,2.5,2.25,1.48,-0.5,,,,,,,,,,,,,,,,1265.05,1233.92
SC2,25/09/04,Berwick,Arbroath,0,3,A,0,0,D,1.8,3.5,3.5,1.8,3.55,3.5,1.8,3.5,3.55,1.85,3.3,3.1,1.8,3.5,3.5,1.83,3.5,3.4,1.83,3.6,3.3,1.8,1.76,-0.5,,,,,,,,,,,,,,,,1152.08,1134.04
SC2,25/09/04,Dumbarton,Stirling,1,1,D,1,0,H,2.37,3.5,2.37,2.5,3.45,2.3,2.45,3.45,2.35,2.5,3.3,2.2,2.62,3.5,2.2,2.6,3.5,2.2,2.5,3.4,2.3,1.43,2.35,0.5,,,,,,,,,,,,,,,,1256.06,1284.58
SC2,25/09/04,Forfar,Stranraer,0,1,A,0,0,D,2.37,3.5,2.37,2.4,3.45,2.4,2.4,3.45,2.4,2.3,3.3,2.4,2.38,3.5,2.38,2.3,3.5,2.5,2.37,3.5,2.37,2.4,1.42,-0.5,,,,,,,,,,,,,,,,1234.49,1307.07
SC2,02/10/04,Arbroath,Alloa,0,3,A,0,1,A,2.2,3.4,2.62,2.3,3.45,2.5,2.25,3.5,2.55,2.2,3.3,2.5,2.2,3.5,2.62,2.3,3.4,2.5,2.25,3.4,2.6,2.25,1.48,-0.5,,,,,,,,,,,,,,,,1150.63,1175.05
SC2,02/10/04,Brechin,Dumbarton,4,0,H,0,0,D,1.72,3.6,3.75,1.95,3.4,3.2,1.8,3.5,3.55,1.8,3.4,3.2,1.67,3.6,4.0,1.73,3.6,3.75,1.8,3.6,3.4,1.8,1.76,-0.5,,,,,,,,,,,,,,,,1250.93,1253.52
SC2,02/10/04,Morton,Forfar,2,1,H,0,1,A,1.72,3.6,3.75,1.8,3.5,3.55,1.7,3.5,4.0,1.8,3.4,3.2,1.62,4.0,4.0,1.8,3.5,3.5,1.72,3.6,3.75,1.7,1.87,-0.5,,,,,,,,,,,,,,,,1264.16,1221.01
SC2,02/10/04,Stirling,Ayr,1,1,D,0,0,D,1.9,3.5,3.2,1.8,3.5,3.55,1.85,3.5,3.35,1.9,3.4,2.9,1.8,3.5,3.5,1.91,3.5,3.2,1.9,3.6,3.1,1.85,1.71,-0.5,,,,,,,,,,,,,,,,1287.12,1248.04
SC2,02/10/04,Stranraer,Berwick,2,2,D,1,2,A,1.53,3.75,4.75,1.4,4.1,6.0,1.45,3.6,5.5,1.5,3.8,4.2,1.44,4.0,5.5,1.5,3.8,5.0,1.44,4.33,5.0,1.45,2.18,-0.5,,,,,,,,,,,,,,,,1320.55,1135.49
SC2,16/10/04,Berwick,Ayr,0,1,A,0,0,D,2.5,3.5,2.25,3.0,3.2,2.1,2.9,3.5,2.0,2.8,3.3,2.0,2.75,3.5,2.1,2.62,3.5,2.2,2.87,3.6,2.0,1.59,2.0,0.5,,,,,,,,,,,,,,,,1143.93,1252.79
SC2,16/10/04,Dumbarton,Arbroath,1,3,A,0,2,A,1.66,3.6,4.0,1.75,3.35,3.95,1.6,3.75,4.25,1.65,3.4,3.8,1.73,3.5,3.75,1.67,3.5,4.2,1.61,3.75,4.2,1.6,1.99,-0.5,,,,,,,,,,,,,,,,1244.44,1135.45
SC2,16/10/04,Forfar,Alloa,3,1,H,2,0,H,1.72,3.6,3.75,1.8,3.3,3.8,1.83,3.4,3.5,1.85,3.3,3.1,1.91,3.5,3.2,1.8,3.5,3.5,1.83,3.6,3.3,1.83,1.72,-0.5,,,,,,,,,,,,,,,,1213.39,1190.23
SC2,16/10/04,Stirling,Brechin,1,5,A,0,1,A,2.2,3.5,2.6,2.2,3.2,2.8,2.3,3.4,2.5,2.2,3.3,2.5,2.2,3.5,2.62,2.25,3.4,2.6,2.3,3.4,2.5,2.3,1.44,-0.5,,,,,,,,,,,,,,,,1282.37,1260.01
SC2,16/10/04,Stranraer,Morton,1,0,H,0,0,D,2.2,3.5,2.6,2.15,3.25,2.85,2.35,3.5,2.4,2.35,3.2,2.35,2.25,3.5,2.5,2.25,3.4,2.6,2.37,3.5,2.37,2.35,1.42,-0.5,,,,,,,,,,,,,,,,1312.11,1271.78
SC2,23/10/04,Alloa,Stranraer,1,2,A,0,2,A,3.2,3.5,1.9,3.65,3.6,1.75,3.5,3.5,1.81,3.2,3.3,1.85,3.4,3.5,1.83,3.5,3.5,1.8,3.5,3.5,1.8,1.75,1.81,0.5,,,,,,,,,,,,,,,,1181.98,1319.82
SC2,23/10/04,Arbroath,Stirling,2,1,H,1,0,H,3.0,3.4,2.0,3.65,3.6,1.75,3.0,3.55,1.95,3.0,3.3,1.9,2.88,3.6,2.0,3.0,3.4,2.0,2.87,3.75,1.95,1.63,1.95,0.5,,,,,,,,,,,,,,,,1154.68,1265.64
SC2,23/10/04,Ayr,Dumbarton,0,1,A,0,0,D,1.72,3.6,3.75,1.95,3.5,3.1,1.83,3.5,3.5,1.9,3.3,3.0,1.73,3.5,3.75,1.8,3.5,3.5,1.95,3.6,3.0,1.83,1.75,-0.5,,,,,,,,,,,,,,,,1264.97,1225.21
