Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,EloHome,EloAway
F2,13/08/04,Troyes,Dijon,2,2,D,1,1,D,1.727,2.875,5.0,1.7,3.0,5.0,1.6,3.15,5.5,1.65,3.0,4.8,,,,1.62,3.1,5.5,1.6,3.15,5.5,2.05,1.6,1.6,2.0,-0.5,,,,,,,,,,,,,,,,1511.96,1470.3
F2,16/08/04,Sedan,Guingamp,3,0,H,2,0,H,2.1,2.75,3.5,2.2,2.8,3.2,2.1,2.8,3.45,2.1,2.7,3.4,,,,2.1,2.8,3.4,2.05,2.8,3.6,2.0,1.61,1.8,1.9,-0.25,,,,,,,,,,,,,,,,1571.76,1531.0
F2,17/08/04,Brest,Niort,1,0,H,1,0,H,2.25,2.75,3.2,2.2,2.8,3.2,2.2,2.65,3.4,2.2,2.7,3.1,,,,2.2,2.75,3.25,2.0,2.7,3.9,2.1,1.56,2.2,1.49,-0.5,,,,,,,,,,,,,,,,1507.29,1477.52
F2,17/08/04,Chateauroux,Nancy,0,0,D,0,0,D,2.25,2.75,3.2,2.1,2.8,3.45,2.15,2.65,3.55,2.2,2.7,3.1,,,,2.1,2.75,3.5,2.1,2.65,3.7,2.2,1.51,2.15,1.52,-0.5,,,,,,,,,,,,,,,,1473.26,1470.06
F2,17/08/04,Dijon,Angers,1,0,H,0,0,D,2.2,2.75,3.25,2.1,2.8,3.45,2.15,2.65,3.55,2.1,2.7,3.4,,,,2.2,2.75,3.25,2.15,2.65,3.55,2.1,1.56,,,,,,,,,,,,,,,,,,,1475.13,1467.31
F2,17/08/04,Grenoble,Amiens,1,1,D,0,0,D,2.1,2.75,3.5,1.9,2.85,4.0,2.1,2.65,3.7,1.85,2.9,3.8,,,,2.0,2.75,4.0,1.85,2.8,4.4,2.1,1.56,1.9,1.66,-0.5,,,,,,,,,,,,,,,,1489.76,1428.3
F2,17/08/04,Gueugnon,Creteil,1,0,H,1,0,H,2.0,2.8,3.75,2.0,2.85,3.65,2.1,2.65,3.7,2.1,2.7,3.4,,,,2.1,2.75,3.5,1.9,2.8,4.2,2.3,1.46,2.1,1.54,-0.5,,,,,,,,,,,,,,,,1483.93,1432.53
F2,17/08/04,Laval,Troyes,2,1,H,1,0,H,2.4,2.62,3.1,2.3,2.75,3.1,2.35,2.65,3.1,2.3,2.6,3.0,,,,2.3,2.8,3.0,2.4,2.65,3.05,2.0,1.61,2.35,1.43,-0.5,,,,,,,,,,,,,,,,1459.4,1507.13
F2,17/08/04,Le Havre,Clermont,0,0,D,0,0,D,1.8,3.0,4.33,1.7,3.0,5.0,1.75,2.85,4.95,1.8,2.9,4.0,,,,1.8,3.0,4.2,1.8,2.8,4.75,2.2,1.51,1.75,1.81,-0.5,,,,,,,,,,,,,,,,1502.92,1437.83
F2,17/08/04,Le Mans,Reims,0,0,D,0,0,D,1.8,3.1,4.0,1.7,3.0,5.0,1.8,2.85,4.6,1.75,3.0,4.2,,,,1.8,2.88,4.5,1.8,2.8,4.75,2.2,1.51,1.8,1.76,-0.5,,,,,,,,,,,,,,,,1547.38,1464.4
F2,17/08/04,Montpellier,Lorient,0,1,A,0,1,A,2.0,2.8,3.75,1.8,2.9,4.5,1.9,2.7,4.4,1.9,2.8,3.8,,,,1.91,2.88,4.0,1.85,2.8,4.4,1.95,1.66,1.9,1.67,-0.5,,,,,,,,,,,,,,,,1474.42,1545.15
F2,20/08/04,Amiens,Brest,1,0,H,1,0,H,2.2,2.75,3.25,2.1,2.8,3.45,2.1,2.7,3.6,2.1,2.7,3.3,,,,2.1,2.75,3.5,2.05,2.95,3.35,2.2,1.51,2.1,1.54,-0.5,,,,,,,,,,,,,,,,1433.72,1515.33
F2,20/08/04,Angers,Troyes,2,1,H,1,1,D,2.3,2.7,3.1,2.4,2.7,3.0,2.25,2.65,3.3,2.4,2.6,2.9,,,,2.3,2.7,3.1,2.35,2.85,2.85,2.2,1.51,2.25,1.47,-0.5,,,,,,,,,,,,,,,,1458.57,1496.5
F2,20/08/04,Clermont,Grenoble,5,0,H,1,0,H,2.1,2.7,3.6,2.25,2.75,3.2,2.15,2.7,3.45,2.3,2.6,3.0,,,,2.2,2.75,3.25,2.1,3.0,3.2,2.2,1.51,2.15,1.51,-0.5,,,,,,,,,,,,,,,,1443.36,1484.34
F2,20/08/04,Creteil,Le Havre,0,2,A,0,1,A,2.375,2.625,3.1,2.4,2.7,3.0,2.3,2.65,3.2,2.3,2.6,3.0,,,,2.3,2.7,3.1,2.3,2.9,2.9,2.2,1.51,2.3,1.45,-0.5,,,,,,,,,,,,,,,,1425.16,1497.39
F2,20/08/04,Guingamp,Chateauroux,2,0,H,1,0,H,2.0,2.7,4.0,1.9,2.9,4.0,1.9,2.7,4.4,1.85,2.8,4.0,,,,1.91,2.75,4.2,2.1,3.0,3.2,2.1,1.56,1.9,1.67,-0.5,,,,,,,,,,,,,,,,1523.3,1469.65
F2,20/08/04,Lorient,Dijon,0,2,A,0,1,A,1.667,3.1,5.0,1.65,3.15,5.0,1.7,2.9,5.2,1.7,2.9,4.6,,,,1.67,3.0,5.25,1.7,3.2,4.5,1.95,1.66,1.7,1.86,-0.5,,,,,,,,,,,,,,,,1558.7,1483.87
F2,20/08/04,Nancy,Montpellier,1,0,H,0,0,D,2.375,2.75,3.0,2.3,2.75,3.1,2.25,2.65,3.3,2.2,2.6,3.2,,,,2.25,2.75,3.2,2.2,2.9,3.05,2.1,1.56,2.25,1.47,-0.5,,,,,,,,,,,,,,,,1473.67,1460.87
F2,20/08/04,Niort,Sedan,3,0,H,2,0,H,2.4,2.75,2.9,2.4,2.7,3.0,2.45,2.65,2.95,2.4,2.6,2.9,,,,2.4,2.7,3.0,2.6,2.8,2.6,2.2,1.51,2.45,1.4,-0.5,,,,,,,,,,,,,,,,1469.48,1579.46
F2,20/08/04,Reims,Gueugnon,2,1,H,1,1,D,1.909,2.8,4.0,2.1,2.8,3.45,2.0,2.75,3.8,2.0,2.7,3.6,,,,2.0,2.75,3.8,1.95,3.0,3.6,2.1,1.56,2.0,1.6,-0.5,,,,,,,,,,,,,,,,1470.44,1491.3
F2,23/08/04,Le Mans,Laval,3,0,H,1,0,H,,,,,,,1.8,2.9,4.4,1.9,2.7,4.0,,,,1.8,3.0,4.2,1.8,3.1,4.0,1.95,1.66,1.8,1.75,-0.5,,,,,,,,,,,,,,,,1541.34,1470.03
F2,27/08/04,Brest,Clermont,1,2,A,1,2,A,2.0,2.8,3.75,2.1,2.8,3.5,2.0,2.7,3.95,2.1,2.7,3.3,,,,2.0,2.8,3.75,1.9,2.75,4.25,2.1,1.56,2.0,1.6,-0.5,,,,,,,,,,,,,,,,1503.49,1453.76
F2,27/08/04,Chateauroux,Niort,2,0,H,1,0,H,2.2,3.25,2.75,2.25,2.75,3.2,2.15,2.7,3.45,2.1,2.7,3.3,,,,2.2,2.75,3.25,2.15,2.7,3.5,2.1,1.56,2.15,1.51,-0.5,,,,,,,,,,,,,,,,1462.34,1482.34
F2,27/08/04,Dijon,Nancy,0,1,A,0,0,D,2.3,2.7,3.1,2.4,2.7,3.0,2.3,2.65,3.2,2.5,2.6,2.8,,,,2.25,2.75,3.2,2.2,2.7,3.35,2.0,1.61,2.3,1.45,-0.5,,,,,,,,,,,,,,,,1502.18,1482.25
F2,27/08/04,Grenoble,Creteil,1,1,D,0,0,D,1.909,2.875,4.0,2.0,2.8,3.75,1.9,2.75,4.25,1.9,2.7,4.0,,,,1.91,2.88,4.0,1.9,2.75,4.25,1.95,1.66,1.9,1.67,-0.5,,,,,,,,,,,,,,,,1473.94,1411.66
F2,27/08/04,Gueugnon,Le Mans,0,0,D,0,0,D,2.5,2.625,2.9,2.6,2.6,2.85,2.5,2.65,2.9,2.5,2.6,2.8,,,,2.4,2.75,2.88,2.35,2.7,3.0,2.1,1.56,2.5,1.38,-0.5,,,,,,,,,,,,,,,,1481.6,1548.13
F2,27/08/04,Laval,Angers,1,1,D,0,0,D,2.0,2.875,3.6,2.0,2.8,3.75,2.0,2.7,3.95,2.0,2.6,3.8,,,,2.0,2.8,3.75,2.0,2.75,3.8,1.95,1.66,2.0,1.6,-0.5,,,,,,,,,,,,,,,,1463.24,1468.86
F2,27/08/04,Le Havre,Reims,3,1,H,1,0,H,1.909,2.75,4.2,1.85,2.9,4.2,1.9,2.75,4.25,1.9,2.7,4.0,,,,1.91,2.75,4.2,1.95,2.75,4.0,2.1,1.56,1.9,1.67,-0.5,,,,,,,,,,,,,,,,1510.89,1480.14
F2,27/08/04,Montpellier,Guingamp,1,1,D,0,1,A,,,,2.1,2.8,3.5,2.1,2.7,3.6,2.1,2.7,3.3,,,,2.0,2.8,3.75,2.05,2.75,3.7,1.95,1.66,2.1,1.54,-0.5,,,,,,,,,,,,,,,,1452.29,1530.61
F2,27/08/04,Sedan,Amiens,0,1,A,0,1,A,1.8,2.875,4.5,1.7,3.0,5.0,1.75,2.9,4.8,1.75,2.9,4.3,,,,1.8,2.88,4.5,1.8,2.85,4.5,1.95,1.66,1.75,1.81,-0.5,,,,,,,,,,,,,,,,1566.6,1445.56
F2,30/08/04,Troyes,Lorient,1,2,A,1,2,A,2.1,2.75,3.5,2.1,2.8,3.5,2.1,2.7,3.6,2.2,2.6,3.2,,,,2.2,2.8,3.2,2.15,2.7,3.5,1.95,1.66,2.1,1.54,-0.5,,,,,,,,,,,,,,,,1486.21,1540.39
F2,03/09/04,Clermont,Sedan,0,1,A,0,1,A,2.375,2.7,3.0,,,,2.3,2.65,3.2,,,,,,,2.2,2.8,3.2,,,,1.95,1.66,2.05,1.7,-0.25,,,,,,,,,,,,,,,,1471.34,1547.07
F2,03/09/04,Creteil,Brest,2,3,A,1,2,A,2.25,2.75,3.2,2.3,2.7,3.15,2.25,2.7,3.2,2.2,2.7,3.2,,,,2.3,2.75,3.0,2.15,2.8,3.3,2.2,1.51,1.92,1.79,-0.5,,,,,,,,,,,,,,,,1417.11,1485.91
F2,03/09/04,Gueugnon,Laval,1,1,D,1,1,D,2.0,2.7,4.0,1.95,2.85,3.85,1.9,2.8,4.1,2.0,2.7,3.8,,,,2.0,2.88,3.6,1.8,2.9,4.5,2.1,1.56,1.9,1.66,-0.5,,,,,,,,,,,,,,,,1480.4,1459.93
F2,03/09/04,Guingamp,Dijon,0,1,A,0,1,A,1.9,2.87,4.0,1.75,3.0,4.6,1.8,2.9,4.4,1.7,3.0,4.6,,,,1.91,3.0,3.75,1.8,2.9,4.5,2.1,1.56,1.8,1.75,-0.5,,,,,,,,,,,,,,,,1531.39,1485.53
F2,03/09/04,Le Mans,Le Havre,1,0,H,0,0,D,2.25,2.75,3.2,2.1,2.8,3.45,2.15,2.75,3.35,2.2,2.7,3.2,,,,2.2,2.75,3.25,2.1,2.8,3.4,2.1,1.56,1.85,1.86,-0.25,,,,,,,,,,,,,,,,1549.33,1518.9
F2,03/09/04,Lorient,Angers,1,2,A,1,1,D,1.72,2.87,5.0,1.7,3.1,4.75,1.7,3.0,4.9,1.7,3.0,4.6,,,,1.73,3.1,4.5,1.65,3.2,4.75,1.95,1.66,1.95,1.77,-0.75,,,,,,,,,,,,,,,,1554.53,1472.17
F2,03/09/04,Niort,Montpellier,0,1,A,0,0,D,2.2,2.75,3.25,2.25,2.8,3.1,2.2,2.75,3.25,2.3,2.7,3.0,,,,2.3,2.75,3.0,2.15,2.8,3.3,2.1,1.56,2.0,1.73,-0.25,,,,,,,,,,,,,,,,1472.67,1451.51
F2,03/09/04,Reims,Grenoble,1,1,D,0,0,D,1.83,3.0,4.0,1.85,3.0,4.0,1.85,2.9,4.15,2.0,2.7,3.8,,,,2.0,2.88,3.6,1.85,2.9,4.2,2.0,1.61,1.85,1.71,-0.5,,,,,,,,,,,,,,,,1472.13,1468.49
F2,05/09/04,Amiens,Chateauroux,2,2,D,2,1,H,1.9,2.75,4.2,1.9,2.95,3.9,1.85,2.9,4.15,2.0,2.7,3.8,,,,1.91,3.0,3.75,1.8,2.9,4.5,2.2,1.51,1.85,1.71,-0.5,,,,,,,,,,,,,,,,1465.09,1472.01
F2,06/09/04,Nancy,Troyes,1,0,H,0,0,D,1.83,2.8,4.5,1.8,3.0,4.3,1.8,2.9,4.4,1.9,2.8,4.0,,,,2.0,2.88,3.6,1.85,2.9,4.2,1.85,1.74,1.8,1.75,-0.5,,,,,,,,,,,,,,,,1498.9,1472.07
F2,10/09/04,Angers,Nancy,1,1,D,0,0,D,2.25,2.75,3.2,2.2,2.8,3.2,2.2,2.8,3.2,2.3,2.7,3.0,2.2,2.8,3.2,2.25,2.8,3.1,2.3,2.75,3.1,2.1,1.56,1.95,1.77,-0.25,,,,,,,,,,,,,,,,1490.69,1507.03
F2,10/09/04,Chateauroux,Clermont,1,1,D,1,0,H,2.2,2.75,3.25,2.15,2.75,3.4,2.1,2.65,3.7,2.2,2.6,3.3,2.0,2.875,3.6,2.2,2.75,3.25,2.2,2.75,3.3,2.0,1.61,1.82,1.9,-0.25,,,,,,,,,,,,,,,,1475.28,1457.97
F2,10/09/04,Grenoble,Le Mans,2,1,H,1,1,D,2.5,2.75,2.75,2.35,2.75,3.0,2.4,2.6,3.1,2.4,2.6,3.0,2.2,2.8,3.2,2.5,2.75,2.8,2.45,2.7,2.9,2.1,1.56,1.7,2.05,0.0,,,,,,,,,,,,,,,,1472.11,1557.35
F2,10/09/04,Laval,Lorient,0,0,D,0,0,D,2.375,2.625,3.1,2.25,2.75,3.2,2.3,2.75,3.05,2.3,2.7,3.0,2.1,3.0,3.2,2.4,2.75,2.87,2.4,2.7,2.95,1.9,1.7,1.77,1.95,0.0,,,,,,,,,,,,,,,,1464.1,1536.01
F2,10/09/04,Le Havre,Gueugnon,0,1,A,0,1,A,1.8,2.875,4.5,1.7,3.0,5.0,1.75,2.8,5.1,1.7,3.0,4.6,1.8,3.0,4.333,1.72,2.87,5.0,1.8,3.0,4.25,1.9,1.7,1.86,1.86,-0.75,,,,,,,,,,,,,,,,1510.88,1476.23
F2,10/09/04,Sedan,Creteil,1,0,H,0,0,D,1.667,3.1,5.0,1.5,3.3,6.5,1.6,3.15,5.5,1.6,3.1,5.2,1.571,3.0,6.0,1.57,3.1,6.0,1.65,3.1,5.0,1.95,1.66,1.86,1.86,-1.0,,,,,,,,,,,,,,,,1560.44,1403.49
F2,10/09/04,Troyes,Guingamp,1,1,D,1,0,H,2.25,2.75,3.2,2.2,2.8,3.2,2.2,2.8,3.2,2.3,2.8,2.9,2.1,3.0,3.2,2.2,2.75,3.25,2.2,2.75,3.3,1.95,1.66,1.86,1.86,0.0,,,,,,,,,,,,,,,,1463.94,1513.93
F2,11/09/04,Dijon,Niort,2,1,H,1,0,H,2.0,2.75,3.8,1.9,2.9,4.0,1.9,2.75,4.25,2.0,2.7,3.7,,,,1.9,2.75,4.2,1.95,2.9,3.75,2.1,1.56,1.9,1.67,-0.5,,,,,,,,,,,,,,,,1502.99,1455.98
F2,12/09/04,Brest,Reims,4,2,H,1,1,D,2.1,2.75,3.5,2.0,2.85,3.65,2.0,2.75,3.85,2.0,2.7,3.7,,,,2.0,2.8,3.75,2.15,2.8,3.3,2.0,1.61,1.82,1.9,-0.25,,,,,,,,,,,,,,,,1499.53,1468.51
F2,13/09/04,Montpellier,Amiens,0,2,A,0,1,A,1.909,2.875,4.0,2.0,2.85,3.65,1.9,2.75,4.25,1.9,2.8,3.9,1.909,3.0,3.75,1.9,2.75,4.2,2.0,2.85,3.6,2.1,1.56,1.9,1.67,-0.5,,,,,,,,,,,,,,,,1468.2,1461.82
F2,17/09/04,Amiens,Dijon,2,1,H,0,1,A,2.0,2.75,4.0,2.2,2.75,3.3,1.95,2.8,3.95,2.0,2.8,3.6,1.91,2.88,4.0,2.0,2.8,3.75,1.9,2.8,4.2,2.1,1.56,1.95,1.64,-0.5,,,,,,,,,,,,,,,,1478.03,1510.5
F2,17/09/04,Clermont,Montpellier,0,0,D,0,0,D,2.2,2.75,3.25,2.25,2.8,3.1,2.25,2.75,3.15,2.4,2.7,2.9,2.0,2.88,3.6,2.25,2.75,3.2,2.2,2.7,3.3,2.3,1.46,1.75,1.97,0.0,,,,,,,,,,,,,,,,1462.04,1451.99
F2,17/09/04,Gueugnon,Grenoble,1,0,H,0,0,D,2.1,2.75,3.5,2.05,2.7,3.75,2.05,2.75,3.65,2.3,2.7,3.0,1.91,2.88,4.0,2.1,2.75,3.5,2.05,2.75,3.6,2.2,1.51,1.82,1.88,-0.25,,,,,,,,,,,,,,,,1493.35,1484.08
F2,17/09/04,Guingamp,Angers,1,0,H,0,0,D,2.0,2.75,4.0,2.2,2.8,3.2,1.9,2.8,4.2,1.85,2.9,4.0,1.91,2.75,4.33,1.91,2.8,4.2,1.9,2.8,4.2,2.3,1.46,1.9,1.68,-0.5,,,,,,,,,,,,,,,,1515.72,1487.74
F2,17/09/04,Le Havre,Laval,1,1,D,1,0,H,1.8,3.0,4.33,1.8,3.0,4.3,1.8,2.9,4.5,1.75,3.0,4.4,1.73,2.88,5.0,1.8,2.88,4.5,1.8,2.9,4.5,2.2,1.51,1.8,1.76,-0.5,,,,,,,,,,,,,,,,1493.76,1463.09
F2,17/09/04,Le Mans,Brest,1,1,D,0,0,D,2.1,2.75,3.5,1.95,2.8,4.0,2.0,2.75,3.85,1.9,2.9,3.8,1.91,3.0,3.75,2.0,2.8,3.75,2.0,2.75,3.8,1.95,1.66,2.0,1.6,-0.5,,,,,,,,,,,,,,,,1545.38,1507.53
F2,17/09/04,Nancy,Lorient,1,0,H,1,0,H,2.0,2.75,4.0,2.05,2.85,3.5,2.0,2.75,3.85,2.0,2.8,3.6,2.0,3.0,3.4,2.1,2.75,3.5,2.0,2.75,3.8,2.2,1.51,1.8,1.9,-0.25,,,,,,,,,,,,,,,,1509.98,1537.02
F2,17/09/04,Reims,Sedan,0,0,D,0,0,D,2.37,2.87,2.87,2.3,2.8,3.05,2.3,2.65,3.2,2.3,2.7,3.0,2.1,2.88,3.25,2.38,2.7,3.0,2.3,2.65,3.2,2.0,1.61,1.75,1.97,0.0,,,,,,,,,,,,,,,,1460.51,1565.08
F2,19/09/04,Creteil,Chateauroux,3,1,H,1,1,D,2.25,2.87,3.0,2.2,2.8,3.2,2.25,2.75,3.15,2.1,2.7,3.5,2.1,2.88,3.25,2.25,2.7,3.2,2.3,2.65,3.2,2.0,1.61,1.9,1.8,-0.25,,,,,,,,,,,,,,,,1398.85,1471.21
F2,19/09/04,Niort,Troyes,0,1,A,0,0,D,2.1,2.75,3.5,2.05,2.85,3.5,2.0,2.75,3.85,2.1,2.7,3.5,2.0,3.0,3.4,2.0,2.75,3.8,2.0,2.75,3.8,2.1,1.56,1.8,1.9,-0.25,,,,,,,,,,,,,,,,1448.47,1462.15
F2,20/09/04,Lorient,Guingamp,1,1,D,0,1,A,2.0,2.8,3.75,1.85,2.9,4.2,1.95,2.75,4.0,2.1,2.7,3.5,2.0,3.0,3.4,2.0,2.8,3.75,,,,1.95,1.66,,,,,,,,,,,,,,,,,,,1527.11,1523.81
