Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,EloHome,EloAway
T1,15/08/04,Trabzonspor,A. Sebatspor,3,1,H,1,0,H,1.22,5.0,9.0,1.3,4.5,8.25,1.25,4.85,8.5,1.3,4.2,8.0,1.3,4.33,8.0,1.29,4.5,8.5,1.3,4.3,8.0,1.55,2.2,1.25,3.09,-0.5,,,,,,,,,,,,,,,,1616.47,1448.03
T1,21/08/04,Denizlispor,Besiktas,3,1,H,1,0,H,3.0,3.25,2.1,3.1,3.2,2.1,3.25,3.25,2.0,2.9,3.0,2.2,3.0,3.2,2.1,3.25,3.25,2.0,3.0,3.2,2.1,1.65,2.0,1.63,2.0,0.5,,,,,,,,,,,,,,,,1518.78,1609.54
T1,21/08/04,Genclerbirligi,Ankaraspor,1,1,D,0,1,A,1.615,3.5,4.5,1.55,3.5,5.5,1.6,3.55,4.6,1.6,3.4,4.6,1.62,3.4,5.0,1.57,3.4,5.5,1.7,3.4,4.15,1.65,2.0,1.6,2.0,-0.5,,,,,,,,,,,,,,,,1509.06,1404.47
T1,21/08/04,Istanbulspor,Fenerbahce,0,3,A,0,0,D,6.0,3.75,1.444,6.75,3.65,1.45,6.0,3.55,1.48,4.8,3.5,1.55,5.0,3.6,1.57,6.0,3.5,1.5,6.5,3.6,1.44,1.55,2.2,2.23,1.48,0.5,,,,,,,,,,,,,,,,1452.47,1657.17
T1,21/08/04,Malatyaspor,Trabzonspor,3,4,A,1,2,A,3.25,3.25,2.0,3.55,3.3,1.9,3.0,3.3,2.05,2.9,3.0,2.2,3.0,3.2,2.1,3.25,3.25,2.0,3.0,3.2,2.1,1.6,2.1,1.57,2.05,0.5,,,,,,,,,,,,,,,,1501.32,1620.86
T1,21/08/04,Samsunspor,Konyaspor,1,1,D,1,0,H,1.833,3.25,3.75,1.9,3.4,3.4,1.8,3.3,3.8,1.8,3.1,3.8,1.83,3.4,3.6,1.85,3.25,3.75,1.8,3.3,3.75,1.65,2.0,1.8,1.77,-0.5,,,,,,,,,,,,,,,,1450.69,1459.2
T1,22/08/04,A. Sebatspor,Diyarbakirspor,2,2,D,2,2,D,2.25,3.25,2.75,2.4,3.3,2.55,2.35,3.2,2.6,2.5,3.0,2.5,2.25,3.2,2.75,2.38,3.2,2.62,2.5,3.25,2.4,1.71,1.95,2.35,1.43,-0.5,,,,,,,,,,,,,,,,1443.64,1439.54
T1,22/08/04,Galatasaray,Rizespor,2,1,H,2,1,H,1.25,5.0,8.5,1.3,4.5,8.25,1.3,4.75,7.0,1.3,4.2,8.0,1.29,4.33,9.0,1.3,4.33,8.5,1.33,4.0,8.0,1.55,2.2,1.87,1.62,-1.5,,,,,,,,,,,,,,,,1592.52,1452.76
T1,22/08/04,Gaziantepspor,Sakaryaspor,1,0,H,0,0,D,1.4,3.75,7.0,1.55,3.5,5.5,1.45,3.6,6.5,1.5,3.7,5.0,1.4,3.75,7.0,1.44,3.6,7.0,1.4,3.75,7.0,1.6,2.1,2.25,1.42,-1.5,,,,,,,,,,,,,,,,1547.99,1382.03
T1,22/08/04,Kayserispor,Ankaragucu,1,1,D,1,0,H,2.4,3.4,2.4,2.6,3.3,2.35,2.35,3.25,2.55,2.3,3.0,2.7,2.4,3.2,2.6,2.5,3.2,2.5,2.55,3.25,2.35,1.71,1.95,2.35,1.43,-0.5,,,,,,,,,,,,,,,,1383.56,1480.44
T1,28/08/04,Ankaraspor,Denizlispor,3,2,H,1,1,D,2.75,3.2,2.2,3.0,3.3,2.1,2.9,3.2,2.15,2.7,3.0,2.3,2.75,3.2,2.2,2.75,3.25,2.25,2.9,3.15,2.15,1.65,2.0,1.52,2.15,0.5,,,,,,,,,,,,,,,,1411.08,1530.95
T1,28/08/04,Kayserispor,Fenerbahce,0,2,A,0,1,A,7.0,3.75,1.4,8.25,4.5,1.3,6.2,3.7,1.45,6.0,3.9,1.4,5.0,3.75,1.53,6.0,3.6,1.5,7.0,3.75,1.4,1.55,2.2,2.32,1.45,0.5,,,,,,,,,,,,,,,,1383.45,1666.01
T1,28/08/04,Konyaspor,Istanbulspor,2,1,H,0,0,D,1.83,3.2,3.75,1.85,3.4,3.6,1.83,3.25,3.7,1.9,3.1,3.5,2.0,3.4,3.0,1.91,3.25,3.5,1.85,3.3,3.6,1.65,2.0,1.83,1.73,-0.5,,,,,,,,,,,,,,,,1462.42,1443.63
T1,28/08/04,Rizespor,Samsunspor,2,0,H,2,0,H,2.0,3.2,3.2,2.1,3.3,3.0,2.1,3.3,2.9,2.1,3.0,3.1,2.1,3.4,2.8,2.1,3.25,3.0,2.1,3.2,3.0,1.65,2.0,2.1,1.54,-0.5,,,,,,,,,,,,,,,,1447.74,1447.47
T1,28/08/04,Sakaryaspor,Galatasaray,1,2,A,1,1,D,5.0,3.5,1.57,6.0,3.6,1.5,5.5,3.5,1.52,4.8,3.5,1.55,6.0,3.75,1.44,5.5,3.6,1.53,5.0,3.5,1.57,1.65,2.0,2.14,1.52,0.5,,,,,,,,,,,,,,,,1377.58,1597.54
T1,29/08/04,Ankaragucu,A. Sebatspor,2,1,H,1,1,D,1.66,3.4,4.33,1.7,3.4,4.3,1.65,3.4,4.5,1.65,3.3,4.4,1.73,3.6,3.75,1.67,3.4,4.5,1.65,3.4,4.5,1.65,2.0,1.65,1.94,-0.5,,,,,,,,,,,,,,,,1480.55,1440.0
T1,29/08/04,Besiktas,Gaziantepspor,3,4,A,0,2,A,1.66,3.4,4.33,1.6,3.5,5.0,1.6,3.45,4.75,1.6,3.4,4.6,1.57,3.75,4.5,1.67,3.4,4.5,1.6,3.4,4.8,1.6,2.1,1.6,2.0,-0.5,,,,,,,,,,,,,,,,1597.37,1552.44
T1,29/08/04,Diyarbakirspor,Malatyaspor,1,2,A,0,1,A,2.37,3.1,2.62,2.3,3.4,2.6,2.4,3.25,2.5,2.3,3.0,2.7,2.4,3.2,2.5,2.5,3.2,2.5,2.4,3.25,2.5,1.6,2.1,2.4,1.41,-0.5,,,,,,,,,,,,,,,,1443.18,1489.52
T1,29/08/04,Trabzonspor,Genclerbirligi,3,1,H,2,0,H,1.66,3.4,4.33,1.65,3.4,4.75,1.52,3.5,5.5,1.65,3.3,4.4,1.53,3.75,5.0,1.57,3.6,5.0,1.65,3.25,4.7,1.6,2.1,1.52,2.14,-0.5,,,,,,,,,,,,,,,,1632.66,1502.45
T1,11/09/04,A. Sebatspor,Fenerbahce,1,4,A,0,1,A,7.0,3.75,1.4,6.7,4.0,1.4,5.8,3.85,1.45,6.0,3.9,1.4,7.0,3.75,1.4,6.5,3.75,1.44,7.0,3.75,1.4,1.6,2.1,1.85,1.9,1.25,,,,,,,,,,,,,,,,1432.3,1672.49
T1,11/09/04,Denizlispor,Trabzonspor,0,2,A,0,0,D,2.625,3.2,2.375,3.0,3.3,2.1,2.65,3.1,2.38,2.5,3.0,2.5,2.75,3.25,2.2,2.62,3.2,2.37,2.5,3.25,2.4,1.71,1.95,1.8,1.95,0.25,,,,,,,,,,,,,,,,1517.74,1637.91
T1,11/09/04,Gaziantepspor,Ankaraspor,2,1,H,0,0,D,1.571,3.5,5.0,1.65,3.5,4.5,1.6,3.55,4.6,1.7,3.2,4.2,1.571,3.75,4.5,1.57,3.6,5.0,1.6,3.4,4.8,1.6,2.1,1.8,1.95,-0.75,,,,,,,,,,,,,,,,1569.87,1424.29
T1,11/09/04,Genclerbirligi,Diyarbakirspor,2,0,H,0,0,D,1.727,3.2,4.333,1.85,3.4,3.6,1.75,3.3,4.0,1.8,3.1,3.8,1.727,3.6,3.75,1.72,3.5,4.0,1.75,3.3,4.0,1.65,2.0,1.75,1.81,-0.5,,,,,,,,,,,,,,,,1497.2,1428.76
T1,12/09/04,Galatasaray,Samsunspor,3,1,H,0,1,A,1.25,5.0,8.0,1.25,5.0,9.0,1.3,4.2,8.5,1.35,4.0,7.0,1.25,5.0,9.0,1.33,4.2,8.0,1.3,4.33,8.0,1.5,2.3,1.8,1.95,-1.5,,,,,,,,,,,,,,,,1605.89,1438.48
T1,12/09/04,Istanbulspor,Rizespor,0,3,A,0,0,D,2.1,3.0,3.2,2.35,3.3,2.6,2.1,3.2,3.0,2.0,3.2,3.1,2.1,3.4,2.8,2.2,3.2,2.87,2.0,3.3,3.1,1.65,2.0,1.8,1.95,-0.25,,,,,,,,,,,,,,,,1435.24,1456.73
T1,12/09/04,Kayserispor,Konyaspor,2,2,D,1,0,H,2.2,3.2,2.8,2.1,3.3,3.0,2.15,3.2,2.9,2.2,3.0,2.9,2.2,3.25,2.75,2.25,3.2,2.8,2.15,3.3,2.8,1.6,2.1,1.95,1.8,-0.25,,,,,,,,,,,,,,,,1376.97,1470.81
T1,12/09/04,Malatyaspor,Ankaragucu,1,0,H,0,0,D,1.833,3.4,3.5,1.75,3.5,4.0,1.75,3.4,3.85,1.8,3.1,3.8,1.8,3.4,3.6,1.75,3.4,4.0,1.8,3.4,3.6,1.65,2.0,1.75,1.81,-0.5,,,,,,,,,,,,,,,,1503.94,1488.25
T1,12/09/04,Sakaryaspor,Besiktas,1,4,A,0,1,A,5.0,3.5,1.571,6.0,3.9,1.45,4.6,3.55,1.6,4.4,3.3,1.65,5.5,3.75,1.5,5.5,3.6,1.53,5.5,3.5,1.53,1.55,2.2,1.95,1.8,0.75,,,,,,,,,,,,,,,,1369.23,1579.94
T1,17/09/04,Diyarbakirspor,Denizlispor,0,1,A,0,0,D,2.5,3.2,2.5,2.65,3.15,2.4,2.6,3.1,2.4,2.5,3.0,2.5,2.5,3.25,2.4,2.5,3.2,2.5,2.65,3.2,2.3,1.65,2.0,1.9,1.8,0.0,,,,,,,,,,,,,,,,1421.89,1505.96
T1,18/09/04,Ankaraspor,Sakaryaspor,1,1,D,1,0,H,1.57,3.5,5.0,1.55,3.5,5.5,1.6,3.5,4.7,1.6,3.4,4.6,1.57,3.75,4.5,1.62,3.5,4.75,1.6,3.4,4.8,1.6,2.1,1.9,1.8,-1.0,,,,,,,,,,,,,,,,1419.4,1360.58
T1,18/09/04,Fenerbahce,Malatyaspor,3,1,H,1,1,D,1.36,4.0,7.5,1.3,4.5,8.25,1.3,4.5,7.5,1.33,4.0,7.5,1.3,4.5,7.5,1.36,4.0,7.5,1.33,4.2,7.5,1.6,2.1,1.3,2.81,-0.5,,,,,,,,,,,,,,,,1680.2,1512.43
