Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GBAHH,GBAHA,GBAH,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,EloHome,EloAway
SC1,07/08/04,Airdrie Utd,St Johnstone,1,0,H,0,0,D,2.75,3.5,2.1,2.8,3.5,2.1,2.8,3.4,2.1,2.7,3.2,2.1,2.5,3.5,2.25,2.8,3.4,2.1,3.0,3.4,2.0,1.54,2.1,0.5,,,,,,,,,,,,,,,,1437.46,1456.64
SC1,07/08/04,Clyde,Partick,2,1,H,2,0,H,2.5,3.5,2.25,2.6,3.5,2.2,2.55,3.5,2.25,2.7,3.2,2.1,2.5,3.5,2.25,2.62,3.4,2.2,2.8,3.4,2.1,1.48,2.25,0.5,,,,,,,,,,,,,,,,1537.92,1395.03
SC1,07/08/04,Hamilton,Raith Rvs,2,0,H,0,0,D,1.9,3.5,3.2,1.8,3.5,3.55,2.0,3.4,3.0,1.9,3.3,3.0,1.91,3.5,3.2,2.0,3.4,3.0,2.0,3.4,3.0,2.0,1.59,-0.5,,,,,,,,,,,,,,,,1375.03,1309.03
SC1,07/08/04,Queen of Sth,Ross County,0,1,A,0,1,A,2.37,3.5,2.37,2.5,3.5,2.3,2.45,3.3,2.4,2.4,3.1,2.4,2.2,3.5,2.62,2.5,3.25,2.38,2.5,3.4,2.3,1.41,2.4,0.5,,,,,,,,,,,,,,,,1420.51,1373.77
SC1,07/08/04,St Mirren,Falkirk,2,0,H,0,0,D,2.5,3.4,2.3,2.5,3.5,2.3,2.45,3.3,2.4,2.4,3.1,2.4,2.5,3.5,2.25,2.5,3.4,2.3,2.4,3.4,2.4,1.41,2.4,0.5,,,,,,,,,,,,,,,,1359.88,1461.96
SC1,14/08/04,Falkirk,Hamilton,1,1,D,0,1,A,1.8,3.5,3.5,1.9,3.5,3.2,1.8,3.4,3.6,1.8,3.3,3.2,1.8,3.5,3.5,1.8,3.4,3.6,1.8,3.5,3.5,1.8,1.75,-0.5,,,,,,,,,,,,,,,,1449.39,1381.97
SC1,14/08/04,Partick,Airdrie Utd,3,2,H,1,1,D,1.66,3.6,4.0,1.75,3.6,3.65,1.75,3.4,3.85,1.8,3.3,3.2,1.67,3.6,4.0,1.73,3.4,4.0,1.72,3.4,4.0,1.75,1.81,-0.5,,,,,,,,,,,,,,,,1390.08,1447.1
SC1,14/08/04,Raith Rvs,Clyde,2,3,A,0,2,A,2.5,3.5,2.25,2.5,3.45,2.3,2.6,3.4,2.25,2.6,3.3,2.1,2.62,3.5,2.2,2.62,3.4,2.2,2.75,3.5,2.1,1.47,2.25,0.5,,,,,,,,,,,,,,,,1302.09,1542.87
SC1,14/08/04,Ross County,St Mirren,1,1,D,1,0,H,2.0,3.4,3.0,2.1,3.5,2.75,2.0,3.4,3.0,1.9,3.2,3.1,1.8,3.5,3.5,1.91,3.5,3.2,1.8,3.6,3.4,2.0,1.59,-0.5,,,,,,,,,,,,,,,,1391.26,1372.45
SC1,14/08/04,St Johnstone,Queen of Sth,1,3,A,0,2,A,1.61,3.6,4.33,1.55,3.75,4.75,1.67,3.5,4.2,1.65,3.4,3.8,1.67,3.6,4.0,1.67,3.6,4.0,1.66,3.6,4.0,1.67,1.91,-0.5,,,,,,,,,,,,,,,,1447.0,1403.02
SC1,21/08/04,Airdrie Utd,Raith Rvs,1,1,D,0,1,A,1.61,3.6,4.33,,,,1.63,3.6,4.25,,,,1.62,4.0,4.0,1.73,3.6,3.75,1.61,3.75,4.2,1.63,1.95,-0.5,,,,,,,,,,,,,,,,1436.14,1294.39
