Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,B365AHH,B365AHA,B365AH,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,EloHome,EloAway
P1,19/09/04,Academica,Benfica,0,1,A,0,0,D,4.0,3.4,1.72,4.3,3.45,1.7,4.3,3.25,1.75,4.4,3.3,1.65,,,,4.33,3.4,1.67,4.33,3.4,1.66,1.83,1.83,1.85,1.95,0.75,,,,,,,,,,,,,1410.05,1703.66
P1,19/09/04,Beira Mar,Gil Vicente,1,0,H,1,0,H,1.9,3.2,3.5,1.9,3.3,3.55,1.9,3.2,3.65,2.0,3.1,3.2,,,,2.0,3.2,3.2,1.9,3.1,3.6,1.95,1.71,1.9,1.71,-0.5,,,,,,,,,,,,,1404.55,1417.42
P1,19/09/04,Belenenses,Leiria,2,1,H,1,0,H,2.1,3.2,3.0,1.9,3.3,3.55,2.1,3.2,3.1,1.9,3.1,3.5,,,,2.2,3.25,2.75,2.0,3.0,3.4,1.9,1.75,2.1,1.57,-0.5,,,,,,,,,,,,,1433.62,1523.81
P1,19/09/04,Moreirense,Nacional,3,2,H,2,0,H,2.2,3.0,3.0,2.0,3.25,3.3,2.2,3.0,3.1,2.0,3.1,3.2,,,,2.2,3.1,2.88,2.25,3.0,2.85,1.9,1.75,1.85,1.95,-0.25,,,,,,,,,,,,,1469.22,1510.6
P1,19/09/04,Penafiel,Rio Ave,1,1,D,0,0,D,2.5,3.1,2.5,2.5,3.15,2.55,2.5,3.2,2.5,2.4,2.9,2.7,,,,2.5,3.1,2.5,2.62,2.9,2.5,1.95,1.71,1.8,2.0,0.0,,,,,,,,,,,,,1377.29,1479.98
P1,20/09/04,Sp Lisbon,Maritimo,0,1,A,0,1,A,1.33,4.33,7.0,1.3,4.5,8.25,1.35,4.35,7.0,1.33,4.0,7.5,,,,1.36,3.75,8.0,1.33,4.0,8.0,1.75,1.9,1.96,1.84,-1.5,,,,,,,,,,,,,1623.84,1476.03
P1,21/09/04,Sp Braga,Guimaraes,1,0,H,1,0,H,1.83,3.2,3.75,1.85,3.35,3.65,1.85,3.1,4.0,1.9,3.1,3.5,,,,1.83,3.2,3.75,1.8,3.25,3.75,1.95,1.66,1.85,1.75,-0.5,,,,,,,,,,,,,1505.7,1455.76
P1,22/09/04,Porto,Leiria,1,1,D,1,0,H,1.25,5.0,8.0,1.25,5.0,9.0,1.25,5.0,9.0,1.3,4.2,8.0,,,,1.29,4.5,8.0,1.28,4.5,8.0,1.66,1.95,1.85,1.95,-1.5,,,,,,,,,,,,,1733.83,1511.66
P1,24/09/04,Setubal,Beira Mar,1,2,A,1,1,D,1.83,3.2,3.75,1.8,3.4,3.8,1.85,3.3,3.75,1.8,3.1,3.8,,,,1.85,3.25,3.6,1.8,3.3,3.75,1.95,1.71,1.75,1.84,-0.5,,,,,,,,,,,,,1429.93,1413.98
P1,25/09/04,Guimaraes,Porto,0,1,A,0,0,D,3.5,3.2,1.9,3.65,3.35,1.85,3.6,3.25,1.9,3.6,3.1,1.85,,,,3.6,3.25,1.85,3.6,3.3,1.83,1.95,1.71,1.71,1.9,0.5,,,,,,,,,,,,,1448.34,1724.71
P1,25/09/04,Maritimo,Boavista,2,1,H,1,0,H,2.25,3.2,2.75,2.2,3.2,2.9,2.2,3.1,3.0,2.1,2.8,3.3,,,,2.25,3.1,2.8,2.1,3.2,3.0,2.1,1.6,1.95,1.85,-0.25,,,,,,,,,,,,,1496.19,1514.07
P1,26/09/04,Benfica,Sp Braga,0,0,D,0,0,D,1.33,4.33,7.0,1.4,4.0,6.75,1.4,4.0,6.8,1.35,4.0,7.0,,,,1.4,3.75,7.0,1.4,3.75,7.0,,,1.9,1.9,-1.25,,,,,,,,,,,,,1709.84,1513.12
