Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,EloHome,EloAway
SP1,22/09/04,Levante,Ath Madrid,1,0,H,1,0,H,2.62,3.2,2.37,2.8,3.15,2.35,2.75,3.25,2.4,2.8,2.9,2.3,2.6,3.2,2.38,2.75,3.2,2.38,2.6,3.1,2.4,1.9,1.8,2.0,1.8,1.77,2.1,0.25,1.78,2.06,0.25,1.775,2.125,0.25,,,,,,1685.82,1714.78
SP1,22/09/04,Malaga,Numancia,4,1,H,3,0,H,1.8,3.2,4.0,1.85,3.2,4.0,1.8,3.3,4.5,1.85,3.0,3.8,1.73,3.2,4.33,1.83,3.1,4.33,1.8,3.1,4.0,1.8,1.9,2.05,1.75,1.55,2.3,-0.25,1.8,2.04,-0.5,1.875,2.025,-0.5,,,,,,1681.57,1651.24
SP1,22/09/04,Sociedad,Santander,0,1,A,0,1,A,1.8,3.2,4.0,1.7,3.4,4.5,1.8,3.3,4.5,1.75,3.1,4.2,1.73,3.2,4.33,1.8,3.2,4.33,1.8,3.3,3.75,1.85,1.85,1.95,1.85,2.05,1.7,-0.75,1.86,1.98,-0.5,1.925,1.975,-0.5,,,,,,1700.35,1605.97
SP1,22/09/04,Villarreal,Sevilla,0,0,D,0,0,D,2.2,3.2,2.87,1.95,3.3,3.5,2.1,3.25,3.4,2.0,3.0,3.3,2.1,3.2,3.0,2.1,3.2,3.25,2.1,3.2,3.0,1.95,1.75,2.0,1.8,1.6,2.2,0.0,1.88,1.96,-0.25,1.925,1.975,-0.25,,,,,,1680.91,1726.9
SP1,23/09/04,Barcelona,Zaragoza,4,1,H,1,1,D,1.33,4.0,8.5,1.3,4.5,9.0,1.33,4.5,9.0,1.3,4.2,8.0,1.33,4.0,8.0,1.33,4.33,8.5,1.36,3.75,8.0,1.65,2.05,1.75,2.05,1.73,2.0,-1.25,1.94,1.9,-1.5,2.0,1.9,-1.5,,,,,,1831.64,1697.55
SP1,25/09/04,Ath Bilbao,Real Madrid,2,1,H,2,0,H,3.0,3.25,2.3,3.2,3.2,2.1,3.1,3.2,2.25,2.7,3.0,2.3,2.75,3.2,2.25,3.0,3.2,2.2,2.75,3.2,2.25,1.75,1.95,1.9,1.9,1.9,1.95,0.25,1.92,1.92,0.25,1.95,1.95,0.25,,,,,,1698.96,1791.53
SP1,25/09/04,Ath Madrid,Villarreal,1,0,H,1,0,H,1.8,3.25,4.0,1.75,3.35,4.3,1.87,3.25,4.15,1.85,3.1,3.6,1.67,3.25,4.5,1.8,3.2,4.33,1.8,3.1,4.0,1.85,1.85,2.0,1.8,1.6,2.2,-0.25,2.06,1.78,-0.75,1.9,2.0,-0.5,,,,,,1704.8,1678.98
SP1,25/09/04,La Coruna,Betis,1,1,D,0,0,D,1.66,3.4,4.5,1.55,3.55,5.7,1.67,3.4,5.25,1.65,3.3,4.4,1.62,3.25,5.0,1.62,3.4,5.5,1.66,3.3,4.5,1.85,1.85,1.8,2.0,2.15,1.65,-1.0,1.98,1.86,-0.75,2.05,1.85,-0.75,,,,,,1783.29,1697.54
SP1,26/09/04,Espanol,Malaga,1,0,H,0,0,D,1.9,3.25,3.5,1.8,3.3,4.1,1.85,3.25,4.2,1.9,3.1,3.5,1.73,3.2,4.33,1.91,3.2,3.8,1.8,3.1,4.0,1.85,1.85,2.0,1.8,1.55,2.3,-0.25,2.04,1.8,-0.5,2.075,1.825,-0.5,,,,,,1682.18,1689.59
SP1,26/09/04,Mallorca,Barcelona,1,3,A,0,3,A,4.33,3.25,1.72,4.1,3.3,1.8,4.75,3.4,1.73,4.0,3.2,1.75,5.0,3.5,1.57,4.33,3.4,1.73,4.33,3.2,1.72,1.75,1.95,1.8,2.0,1.85,2.0,0.75,2.08,1.76,0.75,2.1,1.8,0.75,,,,,,1687.7,1836.8
SP1,26/09/04,Numancia,Albacete,0,0,D,0,0,D,2.0,3.25,3.25,1.9,3.25,3.75,2.1,3.1,3.55,2.1,3.0,3.1,1.91,3.2,3.5,2.1,3.2,3.25,1.9,3.2,3.5,1.95,1.75,2.1,1.7,1.55,2.3,0.0,1.88,1.96,-0.25,1.95,1.95,-0.25,,,,,,1643.22,1638.3
SP1,26/09/04,Osasuna,Getafe,2,1,H,2,1,H,1.66,3.4,4.5,1.6,3.5,5.2,1.65,3.3,5.8,1.65,3.3,4.4,1.53,3.5,5.5,1.62,3.4,5.5,1.61,3.3,5.0,1.85,1.85,2.05,1.75,2.15,1.65,-1.0,1.82,2.02,-0.75,1.85,2.05,-0.75,,,,,,1672.34,1650.84
SP1,26/09/04,Sevilla,Sociedad,2,1,H,1,1,D,1.8,3.25,4.0,1.85,3.25,3.95,1.83,3.3,4.3,1.85,3.1,3.6,1.73,3.2,4.33,1.8,3.25,4.2,1.8,3.1,4.0,1.95,1.75,2.05,1.75,1.5,2.45,-0.25,1.96,1.88,-0.75,2.05,1.85,-0.75,,,,,,1728.83,1681.51
SP1,26/09/04,Valencia,Santander,2,0,H,2,0,H,1.28,4.5,8.5,1.3,4.7,8.25,1.35,4.5,8.5,1.3,4.2,8.0,1.3,4.0,9.0,1.3,4.5,9.0,1.36,3.75,8.0,1.71,2.0,1.75,2.05,1.9,1.75,-1.5,1.84,2.0,-1.25,1.9,2.0,-1.25,,,,,,1840.69,1624.81
SP1,26/09/04,Zaragoza,Levante,4,3,H,1,2,A,1.72,3.25,4.33,1.75,3.35,4.3,1.75,3.4,4.65,1.85,3.1,3.6,1.62,3.25,5.0,1.73,3.4,4.33,1.7,3.2,4.5,1.85,1.85,1.95,1.85,2.45,1.5,-1.0,1.98,1.86,-0.75,2.05,1.85,-0.75,,,,,,1692.39,1695.8
SP1,02/10/04,Betis,Valencia,1,1,D,1,1,D,3.4,3.25,2.1,3.4,3.25,2.0,3.5,3.25,2.05,3.2,3.1,2.0,3.2,3.2,2.0,3.4,3.25,2.0,3.1,3.1,2.1,1.79,1.9,1.95,1.85,2.6,1.45,0.0,1.84,2.0,0.5,1.85,2.05,0.5,,,,,,1703.65,1844.18
SP1,02/10/04,Sociedad,Ath Madrid,1,0,H,1,0,H,2.5,3.2,2.75,2.4,3.2,2.7,2.5,3.2,2.7,2.3,2.9,2.8,2.2,3.25,2.75,2.6,3.0,2.6,2.4,3.1,2.6,1.95,1.75,2.05,1.75,2.2,1.6,-0.25,2.02,1.82,-0.25,2.1,1.8,-0.25,,,,,,1674.01,1712.96
SP1,03/10/04,Albacete,Espanol,1,0,H,0,0,D,2.4,3.2,2.6,2.5,3.15,2.6,2.6,3.15,2.65,2.4,3.0,2.6,2.6,3.2,2.38,2.6,3.0,2.6,2.5,3.1,2.5,1.95,1.75,2.15,1.66,2.2,1.6,-0.25,1.82,2.02,0.0,1.8,2.1,0.0,,,,,,1641.96,1691.43
SP1,03/10/04,Barcelona,Numancia,1,0,H,0,0,D,1.2,5.0,12.0,1.15,6.25,14.0,1.2,5.75,14.0,1.2,5.0,10.0,1.2,5.0,11.0,1.17,6.0,13.0,1.2,5.0,11.0,1.6,2.15,1.66,2.15,2.15,1.65,-2.25,2.06,1.78,-2.0,2.125,1.775,0.0,,,,,,1847.55,1639.56
SP1,03/10/04,Getafe,Ath Bilbao,3,1,H,1,0,H,2.4,3.2,2.6,2.75,3.2,2.35,2.7,3.15,2.55,2.5,3.0,2.5,2.6,3.2,2.38,2.75,3.2,2.38,2.5,3.1,2.5,1.79,1.9,2.0,1.8,2.2,1.6,-0.25,2.08,1.76,0.0,2.1,1.8,0.0,,,,,,1642.54,1711.19
SP1,03/10/04,Levante,Mallorca,2,0,H,2,0,H,2.0,3.25,3.25,2.0,3.25,3.4,2.05,3.25,3.5,1.9,3.1,3.5,1.91,3.2,3.5,2.1,3.2,3.2,2.05,3.1,3.2,1.95,1.75,2.0,1.8,1.45,2.6,0.0,1.8,2.04,-0.25,1.775,2.125,-0.25,,,,,,1686.69,1676.95
SP1,03/10/04,Malaga,Osasuna,2,0,H,1,0,H,1.9,3.25,3.5,2.05,3.25,3.25,2.2,3.2,3.2,2.1,3.0,3.1,2.1,3.2,3.0,2.1,3.2,3.2,2.1,3.2,3.0,1.85,1.85,2.1,1.7,1.6,2.2,0.0,1.82,2.02,-0.25,1.9,2.0,-0.25,,,,,,1680.34,1680.64
SP1,03/10/04,Real Madrid,La Coruna,0,1,A,0,1,A,1.61,3.4,6.0,1.5,3.6,6.25,1.57,3.55,6.25,1.55,3.5,4.8,1.57,3.5,5.0,1.57,3.6,5.5,1.53,3.5,5.5,1.71,2.0,1.75,2.05,2.2,1.6,-1.25,1.88,1.96,-1.0,1.925,1.975,-1.0,,,,,,1779.3,1777.18
SP1,03/10/04,Santander,Sevilla,0,0,D,0,0,D,2.4,3.2,2.6,2.4,3.2,2.7,2.55,3.15,2.7,2.4,2.9,2.7,2.38,3.2,2.6,2.5,3.2,2.6,2.4,3.1,2.6,2.0,1.71,2.0,1.8,2.2,1.6,-0.25,1.84,2.0,0.0,1.9,2.0,0.0,,,,,,1621.32,1736.33
SP1,03/10/04,Villarreal,Zaragoza,2,0,H,1,0,H,2.1,3.25,3.0,1.9,3.25,3.75,2.05,3.25,3.5,2.0,3.0,3.3,2.1,3.2,3.0,2.05,3.2,3.3,2.0,3.1,3.3,1.9,1.79,2.05,1.75,1.45,2.6,0.0,2.0,1.84,-0.5,2.05,1.85,-0.5,,,,,,1670.82,1701.5
SP1,16/10/04,Betis,Real Madrid,1,1,D,1,0,H,3.5,3.2,2.1,3.15,3.25,2.1,3.2,3.2,2.2,3.1,3.0,2.1,2.8,3.2,2.2,3.2,3.25,2.1,3.0,3.1,2.15,1.85,1.85,2.0,1.8,2.05,1.75,0.25,2.1,1.74,0.25,2.1,1.8,0.25,,,,,,1705.1,1763.23
SP1,16/10/04,Espanol,Barcelona,0,1,A,0,1,A,4.5,3.25,1.83,3.95,3.4,1.8,4.35,3.35,1.82,4.2,3.1,1.75,4.0,3.2,1.8,4.33,3.4,1.75,4.33,3.2,1.72,1.79,1.9,1.95,1.85,2.45,1.5,0.25,2.1,1.74,0.5,2.1,1.8,0.5,,,,,,1680.74,1851.18
SP1,16/10/04,La Coruna,Getafe,2,1,H,1,0,H,1.4,3.75,7.5,1.3,4.5,9.0,1.4,4.0,8.6,1.35,4.0,7.0,1.44,3.6,6.5,1.4,4.0,7.5,1.4,3.75,7.0,1.75,1.95,1.9,1.9,1.65,2.15,-1.0,1.9,1.94,-1.25,1.9,2.0,-1.25,,,,,,1793.25,1653.92
SP1,17/10/04,Ath Bilbao,Malaga,1,0,H,1,0,H,1.8,3.25,4.0,1.85,3.2,4.0,1.85,3.3,4.25,1.8,3.1,3.8,1.83,3.2,3.75,1.85,3.25,4.0,1.8,3.1,4.0,1.85,1.85,2.05,1.75,1.55,2.3,-0.25,1.88,1.96,-0.5,1.925,1.975,-0.5,,,,,,1699.81,1689.35
SP1,17/10/04,Ath Madrid,Santander,1,0,H,1,0,H,1.57,3.4,5.5,1.45,3.75,7.0,1.6,3.5,6.0,1.45,3.8,5.4,1.62,3.25,5.0,1.53,3.6,6.0,1.57,3.3,5.5,1.9,1.79,2.0,1.8,2.3,1.55,-1.25,2.08,1.76,-1.0,2.1,1.8,-1.0,,,,,,1702.63,1621.86
SP1,17/10/04,Mallorca,Villarreal,1,1,D,1,1,D,2.37,3.2,2.62,2.45,3.1,2.7,2.55,3.1,2.75,2.5,3.0,2.5,2.38,3.0,2.75,2.38,3.2,2.75,2.3,3.1,2.75,1.9,1.79,2.1,1.7,2.2,1.6,-0.25,1.9,1.94,0.0,1.925,1.975,0.0,,,,,,1668.27,1680.86
SP1,17/10/04,Numancia,Levante,1,3,A,0,1,A,2.2,3.0,3.1,2.25,3.1,3.0,2.3,3.1,3.1,2.3,2.8,2.9,2.2,3.2,2.8,2.25,3.1,3.0,2.15,3.1,3.0,2.0,1.71,2.1,1.7,1.67,2.1,0.0,2.08,1.76,-0.25,2.1,1.8,-0.25,,,,,,1635.93,1695.37
SP1,17/10/04,Osasuna,Albacete,3,2,H,2,1,H,1.72,3.25,4.33,1.7,3.3,4.75,1.75,3.35,4.75,1.7,3.2,4.2,1.67,3.25,4.5,1.73,3.4,4.5,1.7,3.2,4.5,1.9,1.79,2.1,1.7,2.05,1.7,-0.75,2.1,1.74,-0.75,2.1,1.8,-0.75,,,,,,1671.63,1652.65
SP1,17/10/04,Valencia,Sevilla,1,2,A,0,0,D,1.53,3.5,7.0,1.5,3.55,6.5,1.53,3.7,6.5,1.45,3.8,5.4,1.57,3.25,5.5,1.53,3.6,6.0,1.5,3.4,6.0,1.85,1.85,1.95,1.85,2.2,1.6,-1.25,1.96,1.88,-1.0,2.0,1.9,-1.0,,,,,,1842.73,1735.79
