Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GBAHH,GBAHA,GBAH,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,EloHome,EloAway
SC3,07/08/04,East Fife,Montrose,1,0,H,0,0,D,1.72,3.6,3.75,1.7,3.75,3.75,1.73,3.5,3.75,1.75,3.4,3.4,1.73,3.5,3.75,1.73,3.5,3.8,1.72,3.6,3.75,1.73,1.81,-0.5,,,,,,,,,,,,,,,,1095.94,1027.95
SC3,07/08/04,Gretna,Albion Rvs,6,0,H,2,0,H,1.44,3.75,6.0,1.5,3.9,5.0,1.5,3.75,5.25,1.45,3.7,5.0,1.5,3.6,5.5,1.44,3.75,6.0,1.44,3.75,6.0,1.5,2.19,-0.5,,,,,,,,,,,,,,,,1136.76,1007.59
SC3,07/08/04,Peterhead,East Stirling,5,0,H,2,0,H,1.2,5.5,9.0,1.2,6.0,8.0,1.16,6.0,10.0,1.25,4.8,6.5,1.17,6.0,10.0,1.17,6.0,10.0,1.14,6.5,10.0,,,,,,,,,,,,,,,,,,,1112.34,728.03
SC3,07/08/04,Queens Park,Cowdenbeath,3,2,H,1,1,D,2.5,3.5,2.25,2.5,3.5,2.3,2.5,3.5,2.25,2.5,3.1,2.3,2.38,3.5,2.38,2.5,3.4,2.3,2.6,3.4,2.25,1.46,2.25,0.5,,,,,,,,,,,,,,,,979.17,1080.13
SC3,07/08/04,Stenhousemuir,Elgin,0,2,A,0,1,A,1.57,3.75,4.5,1.55,3.75,4.75,1.57,3.6,4.75,1.6,3.5,4.0,1.5,3.6,5.5,1.57,3.75,4.5,1.57,3.75,4.5,1.57,2.05,-0.5,,,,,,,,,,,,,,,,999.59,870.43
SC3,14/08/04,Albion Rvs,East Fife,2,0,H,0,0,D,2.75,3.5,2.1,2.75,3.55,2.1,2.7,3.25,2.1,2.6,3.3,2.1,2.62,3.5,2.2,2.8,3.4,2.1,2.87,3.6,2.0,1.47,2.1,0.5,,,,,,,,,,,,,,,,1002.32,1102.83
SC3,14/08/04,Cowdenbeath,Stenhousemuir,0,6,A,0,4,A,2.1,3.5,2.75,2.1,3.55,2.75,2.05,3.3,2.75,2.1,3.3,2.6,2.0,3.6,2.88,2.1,3.4,2.8,2.2,3.5,2.62,2.05,1.5,-0.5,,,,,,,,,,,,,,,,1067.6,979.86
SC3,14/08/04,East Stirling,Gretna,1,2,A,1,2,A,12.0,6.5,1.12,11.0,8.0,1.1,10.0,6.0,1.13,,,,12.0,6.0,1.14,10.0,6.5,1.14,10.0,6.5,1.14,3.75,1.13,0.5,,,,,,,,,,,,,,,,726.58,1142.03
SC3,14/08/04,Elgin,Queens Park,1,0,H,1,0,H,2.25,3.5,2.5,2.1,3.55,2.75,2.3,3.25,2.45,2.2,3.2,2.5,2.38,3.5,2.38,2.38,3.5,2.38,2.37,3.5,2.37,2.3,1.4,-0.5,,,,,,,,,,,,,,,,890.16,991.7
SC3,14/08/04,Montrose,Peterhead,0,1,A,0,1,A,3.2,3.5,1.9,2.95,3.5,2.0,3.05,3.3,1.91,2.9,3.3,1.9,2.75,3.5,2.1,3.2,3.5,1.91,3.25,3.4,1.9,1.59,1.91,0.5,,,,,,,,,,,,,,,,1021.06,1113.79
SC3,21/08/04,East Fife,Cowdenbeath,1,1,D,0,1,A,2.0,3.4,3.0,1.8,3.65,3.4,1.75,3.5,3.4,1.9,3.3,3.0,1.73,3.5,3.75,1.83,3.5,3.4,1.8,3.5,3.5,1.75,1.72,-0.5,,,,,,,,,,,,,,,,1090.31,1048.93
SC3,21/08/04,Gretna,Montrose,1,0,H,0,0,D,1.28,4.5,8.0,1.25,5.0,8.0,1.3,4.5,6.25,1.35,4.4,5.3,1.29,5.0,7.0,1.3,4.5,7.5,1.33,4.5,6.5,1.3,2.62,-0.5,,,,,,,,,,,,,,,,1145.53,1008.3
SC3,21/08/04,Peterhead,Elgin,2,1,H,2,0,H,1.5,3.8,5.0,1.5,3.9,5.0,1.5,3.8,4.5,1.6,3.5,4.0,1.4,4.0,6.0,1.5,3.8,5.0,1.61,3.75,4.2,1.5,2.06,-0.5,,,,,,,,,,,,,,,,1126.55,902.72
SC3,21/08/04,Queens Park,Albion Rvs,1,1,D,1,0,H,2.25,3.5,2.5,2.25,3.5,2.55,2.2,3.45,2.45,2.3,3.2,2.4,2.0,3.6,2.88,2.2,3.5,2.6,2.25,3.6,2.5,2.2,1.43,-0.5,,,,,,,,,,,,,,,,979.14,1014.84
SC3,21/08/04,Stenhousemuir,East Stirling,6,0,H,1,0,H,1.16,6.0,10.0,1.2,5.75,8.5,1.22,5.2,7.0,1.3,4.2,6.5,1.2,5.0,11.0,1.2,5.5,9.0,1.28,5.0,7.0,1.22,2.98,-0.5,,,,,,,,,,,,,,,,998.53,723.08
SC3,28/08/04,Albion Rvs,Peterhead,0,1,A,0,1,A,3.4,3.5,1.83,3.6,3.65,1.75,3.3,3.5,1.77,3.2,3.3,1.85,3.2,3.5,1.91,3.4,3.5,1.83,3.2,3.75,1.83,1.7,1.77,0.5,,,,,,,,,,,,,,,,1017.13,1129.91
