Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,EloHome,EloAway
E0,28/08/04,Blackburn,Man United,1,1,D,1,0,H,A Wiley,8,24,4,15,25,17,4,14,3,1,1,0,5.0,3.4,1.72,4.0,3.2,1.85,4.2,3.3,1.85,3.5,3.1,1.9,4.5,3.25,1.67,4.5,3.4,1.73,4.0,3.0,1.83,1.85,1.85,1.9,1.9,1.85,1.85,0.5,2.0,1.84,0.5,2.1,1.8,0.5,1717.24,1900.0
E0,28/08/04,Chelsea,Southampton,2,1,H,2,1,H,S Bennett,16,6,7,2,11,12,9,0,0,4,0,0,1.28,5.0,10.0,1.3,4.5,9.0,1.3,4.7,10.0,1.25,4.5,9.0,1.29,4.0,10.0,1.29,4.5,10.0,1.3,4.2,8.5,1.71,2.0,1.75,2.05,1.85,1.85,-1.75,2.02,1.82,-1.75,1.85,2.05,-1.5,1914.31,1705.35
E0,28/08/04,Everton,West Brom,2,1,H,1,1,D,P Walton,16,12,10,8,11,16,7,6,0,1,0,0,2.0,3.2,3.75,1.85,3.2,4.0,2.0,3.25,3.65,2.0,3.1,3.2,1.91,3.2,3.5,1.91,3.25,3.75,2.05,2.87,3.5,1.95,1.75,2.05,1.75,1.7,2.05,-0.25,2.0,1.84,-0.5,2.075,1.825,-0.5,1693.11,1683.79
E0,28/08/04,Man City,Charlton,4,0,H,2,0,H,M Halsey,16,6,10,3,11,8,6,4,0,1,0,0,2.25,3.2,3.1,1.9,3.25,3.75,2.15,3.25,3.25,2.1,3.0,3.1,2.0,3.2,3.2,2.2,3.2,3.0,2.1,3.1,3.1,1.85,1.85,1.95,1.85,1.85,2.0,-0.25,1.86,1.98,-0.25,1.85,2.05,-0.25,1685.6,1747.7
E0,28/08/04,Middlesbrough,Crystal Palace,2,1,H,0,0,D,M Dean,24,6,15,2,16,16,4,2,1,2,0,0,1.44,4.0,7.5,1.55,3.45,6.0,1.55,3.5,6.5,1.5,3.7,5.0,1.5,3.4,6.0,1.5,3.6,6.5,1.53,3.5,5.5,1.79,1.9,1.85,1.95,1.85,2.0,-1.0,1.96,1.88,-1.25,1.8,2.1,-1.0,1738.7,1630.68
E0,28/08/04,Norwich,Arsenal,1,4,A,0,3,A,G Poll,5,18,5,15,15,5,4,10,1,1,0,0,9.0,4.33,1.36,7.0,3.75,1.45,7.5,4.1,1.42,6.0,3.9,1.4,7.0,3.75,1.4,7.5,4.0,1.4,8.0,4.0,1.33,1.65,2.05,1.65,2.2,1.9,1.95,1.25,2.0,1.84,1.25,1.9,2.0,1.25,1728.28,2011.46
E0,28/08/04,Tottenham,Birmingham,1,0,H,1,0,H,M Clattenburg,6,10,3,2,15,5,2,8,4,1,0,0,2.0,3.2,3.75,1.9,3.25,3.75,2.1,3.25,3.4,2.1,3.0,3.1,1.83,3.2,3.75,2.0,3.2,3.5,2.15,3.1,3.0,1.9,1.79,2.0,1.8,1.8,2.05,-0.25,2.12,1.72,-0.5,2.1,1.8,-0.5,1726.7,1728.52
E0,29/08/04,Bolton,Liverpool,1,0,H,1,0,H,U Rennie,10,7,8,2,15,14,5,2,2,0,0,0,3.2,3.25,2.2,3.0,3.2,2.2,3.2,3.2,2.2,2.9,3.0,2.2,3.2,3.2,2.0,3.0,3.2,2.2,3.0,3.1,2.15,1.85,1.85,1.9,1.9,1.95,1.9,0.25,2.0,1.84,0.25,1.975,1.925,0.25,1777.6,1833.71
E0,30/08/04,Man United,Everton,0,0,D,0,0,D,D Gallagher,14,7,6,2,8,13,8,2,0,2,0,0,1.28,5.0,10.0,1.3,4.5,9.0,1.33,4.5,9.5,1.3,4.2,8.0,1.286,4.333,9.0,1.3,4.5,9.0,1.28,4.33,8.5,1.6,2.15,1.7,2.1,1.8,2.05,-1.25,1.82,2.02,-1.25,1.9,2.0,-1.25,1897.08,1701.8
E0,30/08/04,Portsmouth,Fulham,4,3,H,3,2,H,B Knight,21,18,13,10,12,12,6,8,0,2,0,0,2.3,3.25,3.0,2.3,3.2,2.85,2.3,3.2,3.0,2.2,3.0,2.9,2.38,3.2,2.6,2.25,3.25,2.88,2.15,3.1,3.0,1.9,1.79,2.0,1.8,2.05,1.8,-0.25,,,,,,,1711.57,1743.61
