Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LB,LB.1,LB.2,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,EloHome,EloAway
D2,27/08/04,Munich 1860,Ein Trier,2,0,H,1,0,H,,,,1.7,3.4,4.3,1.7,3.4,4.6,1.7,3.2,4.2,1.62,3.5,4.5,1.67,3.6,4.5,1.7,3.2,4.5,1.65,2.05,1.88,1.85,-0.75,,,,,,,1530.98,1499.89
D2,29/08/04,Ahlen,Unterhaching,1,2,A,0,1,A,2.1,3.2,3.0,2.05,3.2,3.2,2.1,3.2,3.2,2.1,3.0,3.1,,,,2.15,3.2,3.2,2.05,3.15,3.15,1.65,2.05,1.83,1.9,-0.25,,,,,,,1492.85,1462.56
D2,29/08/04,Dresden,Burghausen,1,1,D,0,1,A,2.1,3.2,3.0,1.9,3.3,3.55,1.9,3.3,3.7,2.0,3.0,3.3,,,,1.9,3.3,3.75,2.05,3.1,3.2,1.71,2.0,1.9,1.74,-0.5,,,,,,,1482.51,1509.27
D2,29/08/04,Greuther Furth,Erzgebirge Aue,1,0,H,1,0,H,2.0,3.2,3.2,1.9,3.3,3.55,2.0,3.25,3.4,1.9,3.1,3.5,,,,2.0,3.3,3.4,1.85,3.2,3.7,1.65,2.05,2.0,1.66,-0.5,,,,,,,1558.96,1550.63
D2,29/08/04,Oberhausen,Duisburg,0,2,A,0,1,A,2.25,3.0,2.875,2.3,3.2,2.75,2.3,3.2,2.85,2.4,2.9,2.7,,,,2.4,3.1,2.8,2.25,3.0,2.9,1.71,2.0,1.95,1.8,-0.25,,,,,,,1501.07,1508.0
D2,29/08/04,Saarbrucken,Cottbus,0,0,D,0,0,D,2.75,3.0,2.375,2.9,3.2,2.2,2.9,3.2,2.25,2.9,3.0,2.2,,,,3.1,3.2,2.2,2.9,3.1,2.2,1.71,2.0,1.85,1.88,0.25,,,,,,,1456.16,1544.39
D2,30/08/04,FC Koln,Ein Frankfurt,2,0,H,1,0,H,1.9,3.25,3.4,1.9,3.25,3.6,1.9,3.25,3.8,1.9,3.1,3.5,1.909,3.25,3.4,2.0,3.1,3.75,2.0,3.1,3.3,1.71,2.0,1.9,1.75,-0.5,,,,,,,1491.82,1562.11
D2,10/09/04,Burghausen,Saarbrucken,1,2,A,1,0,H,1.727,3.2,4.333,1.7,3.4,4.3,1.7,3.5,4.4,1.7,3.2,4.2,1.727,3.2,4.333,1.7,3.6,4.33,1.75,3.25,4.1,1.65,2.05,1.95,1.8,-0.75,,,,,,,1511.87,1455.74
D2,10/09/04,Cottbus,Oberhausen,1,0,H,0,0,D,1.833,3.2,3.75,1.7,3.4,4.3,1.8,3.4,4.0,1.8,3.1,3.8,1.727,3.2,4.333,1.72,3.5,4.33,1.7,3.3,4.3,1.75,1.95,1.75,1.89,-0.5,,,,,,,1544.81,1485.3
D2,10/09/04,Ein Frankfurt,Dresden,2,1,H,1,0,H,1.571,3.5,5.0,1.55,3.7,5.1,1.55,3.7,5.4,1.55,3.5,4.8,1.571,3.25,5.5,1.53,3.8,5.5,1.6,3.35,5.0,1.65,2.05,1.95,1.77,-0.75,,,,,,,1550.68,1479.91
D2,12/09/04,Duisburg,Essen,1,0,H,0,0,D,1.667,3.4,4.333,1.6,3.6,4.8,1.7,3.5,4.4,1.7,3.2,4.2,,,,1.66,3.6,4.5,1.65,3.3,4.7,1.6,2.15,1.9,1.85,-0.75,,,,,,,1523.77,1467.62
D2,12/09/04,Ein Trier,Greuther Furth,0,0,D,0,0,D,2.375,3.1,2.625,2.3,3.2,2.75,2.4,3.2,2.7,2.4,2.9,2.7,,,,2.5,3.1,2.7,2.4,3.1,2.6,1.65,2.05,1.75,2.0,0.0,,,,,,,1491.89,1567.68
D2,12/09/04,Erzgebirge Aue,Ahlen,0,0,D,0,0,D,1.727,3.2,4.333,1.8,3.4,3.8,1.8,3.4,4.0,1.8,3.1,3.8,,,,1.72,3.5,4.0,1.75,3.25,4.1,1.65,2.05,1.8,1.84,-0.5,,,,,,,1541.91,1475.87
D2,12/09/04,Karlsruhe,FC Koln,0,1,A,0,0,D,2.625,3.1,2.375,3.0,3.2,2.15,2.8,3.25,2.3,2.8,2.9,2.3,,,,2.9,3.2,2.3,2.65,3.1,2.35,1.6,2.15,1.75,2.0,0.25,,,,,,,1454.33,1503.25
D2,12/09/04,Unterhaching,Aachen,0,2,A,0,0,D,2.25,3.2,2.75,2.3,3.2,2.75,2.3,3.25,2.8,2.4,2.9,2.7,,,,2.4,3.1,2.8,2.4,3.1,2.6,1.65,2.05,2.0,1.75,-0.25,,,,,,,1479.54,1530.98
D2,13/09/04,Erfurt,Munich 1860,0,0,D,0,0,D,2.5,3.25,2.4,2.7,3.15,2.35,2.7,3.2,2.4,2.8,2.9,2.3,2.6,3.2,2.375,2.8,3.0,2.5,2.85,3.05,2.25,1.65,2.05,2.0,1.75,0.0,,,,,,,1495.3,1538.98
D2,17/09/04,Ahlen,Ein Trier,2,2,D,1,0,H,2.2,3.0,3.0,2.1,3.2,3.1,2.1,3.2,3.2,2.0,3.0,3.3,2.0,3.2,3.2,2.1,3.2,3.25,2.15,3.1,3.0,1.83,1.83,1.77,1.95,-0.25,,,,,,,1481.43,1491.02
D2,17/09/04,Dresden,Karlsruhe,1,2,A,0,1,A,1.9,3.25,3.5,1.8,3.3,4.0,1.85,3.3,3.9,2.0,3.0,3.3,1.83,3.2,3.75,1.85,3.4,3.8,1.95,3.1,3.5,1.71,2.0,1.85,1.79,-0.5,,,,,,,1473.1,1440.01
