Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,EloHome,EloAway
F1,14/08/04,Lens,St Etienne,3,0,H,2,0,H,1.66,3.4,4.5,1.7,3.3,4.5,1.7,3.35,4.5,1.6,3.3,4.8,1.67,3.2,5.0,1.73,3.2,4.5,1.7,3.2,4.5,2.1,1.6,1.85,1.95,-0.75,,,,,,,,,,,,,,,,1700.45,1652.18
F1,14/08/04,Lyon,Sochaux,1,1,D,0,1,A,1.61,3.4,5.0,1.45,3.7,6.5,1.57,3.5,5.3,1.6,3.3,4.8,1.5,3.4,6.0,1.62,3.4,5.0,1.5,3.4,6.0,1.9,1.75,2.0,1.8,-1.0,,,,,,,,,,,,,,,,1870.35,1752.9
F1,14/08/04,Monaco,Istres,2,1,H,2,0,H,1.33,4.0,8.5,1.3,4.5,8.25,1.3,4.5,8.5,1.35,3.8,7.5,1.3,4.33,8.0,1.3,4.33,8.5,1.3,4.33,8.0,1.79,1.85,1.7,1.8,-1.5,,,,,,,,,,,,,,,,1813.72,1598.16
F1,14/08/04,Nantes,Bastia,1,1,D,0,0,D,1.72,3.25,4.33,1.6,3.5,5.0,1.65,3.3,5.0,1.65,3.2,4.6,1.62,3.25,5.0,1.67,3.25,4.75,1.66,3.3,4.5,2.1,1.6,1.95,1.85,-0.75,,,,,,,,,,,,,,,,1730.98,1617.11
F1,14/08/04,Paris SG,Caen,2,2,D,1,1,D,1.33,4.33,7.5,1.3,4.5,9.0,1.33,4.3,8.0,1.3,4.0,8.5,1.3,4.0,9.0,1.36,4.0,7.5,1.3,4.33,8.0,1.85,1.79,1.8,1.75,-1.5,,,,,,,,,,,,,,,,1813.15,1667.5
F1,14/08/04,Strasbourg,Toulouse,1,4,A,0,3,A,2.1,3.0,3.25,2.0,3.05,3.5,2.0,3.15,3.4,2.1,2.8,3.3,1.91,3.2,3.5,2.1,3.0,3.25,2.05,3.1,3.2,2.2,1.55,2.0,1.64,-0.5,,,,,,,,,,,,,,,,1634.34,1642.5
F1,15/08/04,Marseille,Lille,3,0,H,1,0,H,1.61,3.4,5.0,1.55,3.5,5.5,1.6,3.45,5.1,1.6,3.3,4.8,1.57,3.25,5.5,1.67,3.25,4.75,1.57,3.3,5.5,1.95,1.71,1.85,1.95,-0.75,,,,,,,,,,,,,,,,1709.65,1691.52
F1,21/08/04,Bastia,Ajaccio,1,0,H,0,0,D,1.9,3.1,3.75,1.95,3.0,3.75,1.95,3.1,3.6,1.9,3.0,3.6,1.8,3.2,4.0,2.0,3.0,3.5,1.9,3.0,3.75,2.2,1.55,1.95,1.67,-0.5,,,,,,,,,,,,,,,,1623.96,1603.4
F1,21/08/04,Caen,Monaco,1,0,H,1,0,H,3.25,3.25,2.0,3.6,3.0,2.0,3.6,3.0,2.0,3.2,2.9,2.1,3.4,3.0,2.0,3.5,3.0,2.0,3.5,3.1,1.95,2.1,1.6,1.64,2.0,0.5,,,,,,,,,,,,,,,,1675.11,1817.22
F1,21/08/04,Istres,Lens,0,2,A,0,1,A,2.75,3.0,2.37,2.85,2.9,2.4,2.75,3.0,2.4,3.1,2.8,2.2,2.6,3.2,2.38,2.88,2.88,2.38,2.9,3.0,2.25,2.2,1.55,1.85,1.95,0.25,,,,,,,,,,,,,,,,1594.66,1707.92
F1,21/08/04,Lille,Bordeaux,0,0,D,0,0,D,2.1,3.25,3.0,2.3,3.0,2.9,2.25,3.0,3.0,2.3,2.8,2.9,2.1,3.2,3.0,2.2,3.0,3.1,2.25,3.1,2.8,2.1,1.6,2.25,1.5,-0.5,,,,,,,,,,,,,,,,1683.11,1698.03
F1,21/08/04,Nice,Marseille,1,1,D,0,0,D,2.75,3.0,2.37,2.9,3.0,2.3,2.75,3.0,2.4,2.9,2.8,2.3,3.0,3.2,2.1,2.75,3.0,2.38,2.75,2.9,2.4,2.0,1.65,1.85,1.95,0.25,,,,,,,,,,,,,,,,1662.13,1718.06
F1,21/08/04,Rennes,Nantes,1,0,H,1,0,H,2.1,3.25,3.0,2.0,3.25,3.25,2.1,3.0,3.3,2.1,2.9,3.2,2.1,3.2,3.0,2.1,3.0,3.25,2.0,3.1,3.3,2.0,1.65,1.8,2.0,-0.25,,,,,,,,,,,,,,,,1696.4,1724.13
F1,21/08/04,Sochaux,Auxerre,1,2,A,1,1,D,2.0,3.25,3.25,2.15,3.0,3.2,2.1,3.0,3.3,2.1,2.9,3.2,2.1,3.2,3.0,2.1,3.0,3.25,2.05,3.1,3.2,2.0,1.65,2.1,1.57,-0.5,,,,,,,,,,,,,,,,1759.84,1765.91
F1,21/08/04,St Etienne,Strasbourg,1,1,D,1,0,H,2.0,3.25,3.25,2.1,3.0,3.3,2.0,3.0,3.6,2.1,2.9,3.2,2.0,3.0,3.4,2.1,3.0,3.25,1.9,3.1,3.6,2.0,1.65,1.85,1.95,-0.25,,,,,,,,,,,,,,,,1644.71,1618.61
