Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,EloHome,EloAway
SP2,28/09/02,Leganes,Xerez,1,2,A,1,2,A,2.5,2.75,2.75,2.47,2.92,2.73,2.4,2.7,2.6,2.4,3.0,2.6,2.5,2.75,2.7,2.05,1.6,1489.62,1522.25
SP2,28/09/02,Levante,Eibar,3,1,H,1,1,D,2.5,2.75,2.75,2.2,2.85,3.35,2.2,2.7,2.9,2.1,2.88,3.2,2.4,2.75,2.85,1.85,1.75,1504.38,1511.29
SP2,29/09/02,Albacete,Elche,1,1,D,0,1,A,,,,1.9,2.95,4.0,1.85,2.8,3.5,1.83,2.88,4.2,1.9,3.0,3.6,1.9,1.7,1495.21,1520.97
SP2,29/09/02,Ferrol,Getafe,2,1,H,1,0,H,1.9,3.0,3.6,1.87,3.0,4.15,2.0,2.7,3.3,1.85,2.88,4.0,2.0,2.85,3.5,1.7,1.9,1471.51,1428.87
SP2,29/09/02,Murcia,Almeria,3,0,H,2,0,H,1.7,3.1,4.5,1.7,3.15,4.75,1.7,2.8,4.2,1.62,3.2,5.0,,,,2.05,1.6,1490.81,1452.68
SP2,29/09/02,Poli Ejido,Numancia,3,2,H,1,2,A,2.25,2.8,3.0,2.0,3.0,3.55,2.2,2.7,2.9,2.1,2.88,3.2,2.25,2.8,3.0,1.9,1.7,1501.6,1456.9
SP2,29/09/02,Salamanca,Badajoz,0,1,A,0,0,D,1.9,3.0,3.6,1.85,3.0,4.15,1.9,2.8,3.7,1.8,2.88,4.33,1.9,3.0,3.6,2.05,1.6,1468.49,1423.79
SP2,29/09/02,Sp Gijon,Las Palmas,0,0,D,0,0,D,2.375,2.9,2.75,2.5,2.95,2.65,2.3,2.8,2.6,2.4,3.0,2.6,2.35,2.9,2.75,1.95,1.65,1522.51,1534.26
SP2,29/09/02,Tenerife,Zaragoza,2,0,H,0,0,D,2.0,2.9,3.4,1.95,3.0,3.7,2.0,2.9,3.0,2.0,3.0,3.3,2.0,2.85,3.5,1.9,1.7,1501.61,1509.43
SP2,05/10/02,Getafe,Compostela,2,0,H,0,0,D,2.1,3.0,3.2,2.16,2.95,3.1,2.1,2.9,2.9,2.1,2.9,3.2,2.2,3.0,2.85,,,1421.23,1438.63
SP2,05/10/02,Las Palmas,Oviedo,2,0,H,1,0,H,1.909,3.0,3.75,1.86,3.15,3.8,1.9,2.9,3.2,1.8,3.0,4.0,2.05,3.0,3.2,,,1537.37,1480.66
SP2,05/10/02,Xerez,Albacete,1,0,H,0,0,D,2.0,3.0,3.4,2.0,2.95,3.35,2.0,2.9,3.0,2.0,2.875,3.5,2.1,3.0,3.1,,,1537.14,1492.58
SP2,06/10/02,Almeria,Tenerife,1,1,D,1,0,H,3.0,3.0,2.2,2.9,2.95,2.2,2.6,2.8,2.3,3.0,2.9,2.2,2.5,2.85,2.6,,,1444.9,1510.87
SP2,06/10/02,Badajoz,Cordoba,2,0,H,2,0,H,2.1,3.0,3.2,2.1,2.95,3.1,2.1,2.8,3.0,2.1,2.9,3.2,2.2,2.85,3.0,,,1441.21,1452.19
SP2,06/10/02,Eibar,Murcia,1,1,D,0,0,D,2.1,3.0,3.2,2.16,2.95,3.1,2.1,2.8,3.0,2.2,2.8,3.1,2.1,3.1,3.0,,,1502.06,1498.59
SP2,06/10/02,Elche,Poli Ejido,3,0,H,0,0,D,1.909,3.0,3.75,1.9,2.95,3.7,1.9,2.9,3.2,2.0,2.875,3.5,2.0,3.1,3.25,,,1523.6,1509.18
SP2,06/10/02,Numancia,Salamanca,1,0,H,1,0,H,2.1,3.0,3.2,2.1,2.95,3.1,2.1,2.8,3.0,2.1,2.9,3.2,2.2,2.85,3.0,,,1449.32,1451.07
SP2,06/10/02,Sp Gijon,Leganes,1,1,D,1,1,D,2.1,2.75,3.5,2.0,2.95,3.35,2.1,2.8,3.0,2.0,2.875,3.5,2.3,2.8,2.9,,,1519.4,1474.73
SP2,06/10/02,Terrassa,Levante,1,1,D,1,0,H,2.1,3.0,3.2,2.1,2.95,3.1,2.0,2.9,3.0,2.1,2.9,3.2,2.1,3.0,3.1,,,1516.29,1513.61
SP2,06/10/02,Zaragoza,Ferrol,2,2,D,2,1,H,1.8,3.0,4.2,1.78,3.05,4.2,1.8,2.9,3.6,1.75,3.1,4.2,1.9,3.0,3.6,,,1500.17,1479.15
SP2,12/10/02,Leganes,Las Palmas,1,1,D,0,1,A,2.6,2.8,2.6,2.53,2.95,2.65,2.4,2.8,2.5,2.5,2.875,2.6,2.5,2.95,2.5,2.15,1.55,1479.65,1544.59
SP2,12/10/02,Poli Ejido,Xerez,2,0,H,1,0,H,2.9,2.9,2.3,2.7,2.95,2.51,2.5,2.8,2.4,2.6,3.0,2.4,2.95,2.85,2.25,1.95,1.65,1500.65,1544.72
SP2,13/10/02,Albacete,Sp Gijon,4,0,H,1,0,H,1.909,3.0,3.75,1.82,3.0,4.4,1.75,2.9,3.8,1.8,3.0,4.0,2.0,3.0,3.3,2.25,1.55,1485.0,1514.48
SP2,13/10/02,Compostela,Zaragoza,0,0,D,0,0,D,2.75,2.875,2.4,2.55,2.95,2.6,2.45,2.8,2.45,2.5,2.875,2.6,2.75,2.95,2.3,2.25,1.61,1429.05,1495.98
SP2,13/10/02,Cordoba,Numancia,1,1,D,0,1,A,2.0,2.875,3.6,2.12,2.96,3.4,2.0,2.8,3.1,2.1,2.875,3.2,2.35,2.95,2.7,2.15,1.6,1442.82,1458.38
SP2,13/10/02,Ferrol,Almeria,1,1,D,0,1,A,1.667,3.25,4.5,1.71,3.2,4.6,1.65,2.9,4.4,1.667,3.2,4.5,1.75,3.0,4.3,2.15,1.61,1483.34,1443.68
SP2,13/10/02,Levante,Badajoz,4,0,H,3,0,H,1.909,3.0,3.75,1.88,3.05,4.0,1.8,2.8,3.7,1.909,3.0,3.6,2.15,2.85,3.1,2.05,1.62,1517.2,1450.58
SP2,13/10/02,Murcia,Terrassa,0,0,D,0,0,D,2.1,2.9,3.25,2.1,2.9,3.4,2.0,2.8,3.1,2.0,2.9,3.4,2.2,2.85,3.0,2.1,1.65,1502.21,1512.7
