Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
SC2,14/09/02,Dumbarton,Forfar,1.0,2.0,A,1.0,0.0,H,2.0,3.4,3.0,2.0,3.5,2.8,1.8,3.5,3.5,2.0,3.4,2.9,2.0,3.4,3.0,1222.02,1215.64
SC2,14/09/02,Raith Rvs,Airdrie Utd,0.0,0.0,D,0.0,0.0,D,2.0,3.4,3.0,2.0,3.5,2.8,1.8,3.5,3.5,1.909,3.6,3.0,2.0,3.4,3.0,1250.62,1249.69
SC2,14/09/02,Stenhousemuir,Hamilton,1.0,2.0,A,1.0,1.0,D,2.25,3.5,2.5,2.25,3.5,2.45,2.2,3.5,2.625,2.2,3.6,2.5,2.25,3.5,2.5,1132.6,1242.45
SC2,21/09/02,Airdrie Utd,Brechin,2.0,4.0,A,1.0,2.0,A,2.0,3.4,3.0,2.0,3.4,3.0,1.8,3.5,3.5,1.909,3.5,3.1,2.0,3.4,3.0,1253.22,1217.12
SC2,21/09/02,Cowdenbeath,Stenhousemuir,1.0,0.0,H,1.0,0.0,H,2.2,3.4,2.625,2.1,3.4,2.8,2.1,3.5,2.75,2.2,3.4,2.6,2.1,3.4,2.8,1234.82,1120.45
SC2,21/09/02,Forfar,Berwick,0.0,2.0,A,0.0,2.0,A,2.1,3.5,2.75,2.1,3.4,2.8,2.2,3.25,2.75,2.1,3.4,2.75,2.1,3.4,2.8,1231.85,1224.02
SC2,21/09/02,Hamilton,Raith Rvs,0.0,4.0,A,0.0,2.0,A,2.375,3.5,2.375,2.35,3.4,2.45,2.1,3.5,2.75,2.375,3.4,2.375,2.37,3.3,2.5,1254.6,1247.09
SC2,21/09/02,Stranraer,Dumbarton,1.0,0.0,H,1.0,0.0,H,2.3,3.4,2.5,2.3,3.4,2.5,2.25,3.5,2.5,2.375,3.4,2.375,2.3,3.4,2.5,1205.29,1205.81
SC2,28/09/02,Berwick,Cowdenbeath,2.0,1.0,H,1.0,1.0,D,2.1,3.5,2.75,2.18,3.4,2.71,2.1,3.5,2.75,2.2,3.4,2.6,2.2,3.3,2.7,1240.28,1240.46
SC2,28/09/02,Dumbarton,Hamilton,1.0,1.0,D,1.0,1.0,D,2.1,3.25,2.75,2.2,3.48,2.67,2.2,3.5,2.62,2.2,3.4,2.6,2.1,3.4,2.8,1196.79,1238.35
SC2,28/09/02,Raith Rvs,Brechin,3.0,1.0,H,0.0,0.0,D,1.8,3.5,3.5,1.83,3.48,3.5,1.73,3.5,3.75,1.8,3.4,3.5,1.83,3.5,3.4,1263.34,1234.28
SC2,28/09/02,Stenhousemuir,Airdrie Utd,4.0,3.0,H,3.0,0.0,H,2.2,3.5,2.6,2.3,3.45,2.57,2.1,3.5,2.75,2.2,3.4,2.6,2.3,3.4,2.5,1114.81,1236.06
SC2,28/09/02,Stranraer,Forfar,2.0,0.0,H,1.0,0.0,H,2.2,3.5,2.6,2.12,3.45,2.76,2.0,3.4,3.0,2.1,3.4,2.75,2.1,3.4,2.8,1214.31,1215.59
SC2,05/10/02,Airdrie Utd,Berwick,2.0,1.0,H,1.0,1.0,D,2.5,3.5,2.25,2.55,3.4,2.25,2.5,3.5,2.25,2.5,3.4,2.25,2.5,3.4,2.3,1222.8,1249.28
SC2,05/10/02,Brechin,Stenhousemuir,1.0,0.0,H,1.0,0.0,H,2.1,3.5,2.75,2.21,3.35,2.8,2.1,3.5,2.75,2.0,3.3,3.0,2.2,3.3,2.7,1226.22,1128.07
SC2,05/10/02,Cowdenbeath,Dumbarton,3.0,1.0,H,1.0,1.0,D,2.2,3.5,2.6,2.21,3.35,2.8,2.1,3.5,2.75,2.0,3.5,2.875,2.2,3.3,2.7,1231.46,1194.71
SC2,05/10/02,Forfar,Raith Rvs,1.0,2.0,A,1.0,1.0,D,2.75,3.5,2.1,2.65,3.35,2.2,2.62,3.5,2.2,2.75,3.4,2.1,2.7,3.3,2.2,1206.55,1271.4
SC2,05/10/02,Hamilton,Stranraer,1.0,5.0,A,0.0,3.0,A,2.2,3.5,2.6,2.2,3.35,2.65,2.25,3.5,2.5,2.2,3.4,2.6,,,,1240.43,1223.35
SC2,19/10/02,Airdrie Utd,Hamilton,0.0,0.0,D,0.0,0.0,D,2.1,3.5,2.75,1.95,3.45,3.0,2.1,3.5,2.75,2.1,3.4,2.75,1.9,3.4,3.25,1232.69,1223.87
SC2,19/10/02,Cowdenbeath,Stranraer,0.0,1.0,A,0.0,0.0,D,2.3,3.4,2.5,2.25,3.4,2.55,2.25,3.5,2.5,2.2,3.4,2.6,2.3,3.4,2.5,1239.28,1239.91
SC2,19/10/02,Raith Rvs,Berwick,1.0,2.0,A,0.0,0.0,D,1.727,3.6,3.75,1.75,3.5,3.7,1.8,3.5,3.5,1.727,3.5,3.75,1.8,3.5,3.5,1285.16,1239.39
SC2,19/10/02,Stenhousemuir,Forfar,2.0,1.0,H,1.0,1.0,D,2.1,3.5,2.75,2.1,3.4,2.8,2.1,3.5,2.75,2.0,3.5,2.875,2.1,3.4,2.8,1122.01,1192.79
SC2,26/10/02,Berwick,Brechin,0.0,3.0,A,0.0,3.0,A,1.909,3.5,3.2,1.95,3.4,3.1,1.91,3.5,3.2,1.909,3.5,3.1,2.0,3.4,3.0,1256.85,1232.28
SC2,26/10/02,Dumbarton,Stenhousemuir,0.0,0.0,D,0.0,0.0,D,2.1,3.5,2.75,2.0,3.4,3.0,2.0,3.4,3.0,2.0,3.5,2.875,2.2,3.3,2.7,1186.89,1133.46
SC2,26/10/02,Forfar,Airdrie Utd,5.0,1.0,H,1.0,0.0,H,2.375,3.5,2.375,2.37,3.25,2.52,2.25,3.5,2.5,2.375,3.4,2.375,2.3,3.4,2.5,1181.34,1228.9
SC2,26/10/02,Hamilton,Cowdenbeath,1.0,0.0,H,0.0,0.0,D,2.375,3.5,2.375,2.37,3.25,2.52,2.38,3.5,2.38,2.25,3.5,2.5,2.37,3.3,2.5,1227.66,1223.3
SC2,26/10/02,Stranraer,Raith Rvs,2.0,2.0,D,2.0,2.0,D,2.25,3.5,2.5,2.27,3.25,2.62,2.2,3.5,2.62,2.25,3.5,2.5,2.3,3.4,2.5,1255.89,1267.7
SC2,29/10/02,Brechin,Dumbarton,1.0,1.0,D,0.0,1.0,A,1.909,3.5,3.2,1.9,3.5,3.3,1.909090909,3.5,3.2,1.909,3.4,3.2,1.8,3.5,3.5,1249.08,1181.7
SC2,02/11/02,Brechin,Stranraer,3.0,1.0,H,2.0,0.0,H,2.25,3.5,2.5,2.27,3.45,2.52,2.38,3.5,2.38,2.3,3.4,2.5,2.37,3.3,2.5,1243.48,1252.78
SC2,02/11/02,Cowdenbeath,Airdrie Utd,0.0,1.0,A,0.0,0.0,D,2.1,3.5,2.75,1.91,3.5,3.15,1.91,3.25,3.4,2.0,3.4,3.0,2.0,3.4,3.0,1214.45,1218.27
SC2,02/11/02,Dumbarton,Berwick,1.0,2.0,A,1.0,0.0,H,2.5,3.4,2.3,2.5,3.5,2.25,2.38,3.5,2.38,2.5,3.25,2.375,2.5,3.4,2.3,1187.3,1240.05
SC2,02/11/02,Hamilton,Forfar,1.0,2.0,A,0.0,0.0,D,2.0,3.4,3.0,1.91,3.5,3.15,2.0,3.4,3.0,2.0,3.4,3.0,2.1,3.4,2.8,1236.51,1191.97
SC2,02/11/02,Stenhousemuir,Raith Rvs,0.0,1.0,A,0.0,0.0,D,2.6,3.5,2.2,2.52,3.45,2.27,2.38,3.5,2.38,2.5,3.25,2.375,2.4,3.4,2.4,1138.65,1270.81
SC2,09/11/02,Airdrie Utd,Dumbarton,0.0,1.0,A,0.0,0.0,D,2.0,3.4,3.0,1.95,3.4,3.1,2.0,3.4,3.0,1.909,3.6,3.0,1.9,3.4,3.25,1234.14,1173.11
SC2,09/11/02,Berwick,Hamilton,2.0,1.0,H,1.0,0.0,H,1.909,3.5,3.2,1.9,3.5,3.15,1.91,3.5,3.2,1.833,3.5,3.25,2.0,3.4,3.0,1254.24,1219.09
SC2,09/11/02,Forfar,Brechin,2.0,1.0,H,1.0,0.0,H,2.5,3.4,2.3,2.5,3.4,2.3,2.38,3.5,2.38,2.5,3.4,2.25,2.4,3.4,2.4,1209.39,1252.79
SC2,09/11/02,Raith Rvs,Cowdenbeath,4.0,1.0,H,1.0,0.0,H,1.615,3.6,4.333,1.65,3.6,4.1,1.67,3.6,4.0,1.615,3.5,4.333,1.66,3.6,4.0,1282.16,1198.58
SC2,09/11/02,Stranraer,Stenhousemuir,2.0,1.0,H,2.0,1.0,H,1.727,3.6,3.75,1.75,3.5,3.7,1.67,3.6,4.0,1.667,3.5,4.0,1.9,3.4,3.25,1243.47,1127.3
SC2,16/11/02,Airdrie Utd,Raith Rvs,0.0,0.0,D,0.0,0.0,D,2.75,3.5,2.1,3.0,3.4,2.0,3.0,3.4,2.0,2.875,3.5,2.0,3.0,3.4,2.0,1216.23,1288.61
SC2,16/11/02,Cowdenbeath,Brechin,0.0,1.0,A,0.0,1.0,A,2.375,3.5,2.375,2.55,3.4,2.25,2.5,3.5,2.25,2.5,3.5,2.25,2.5,3.3,2.37,1192.13,1242.31
SC2,16/11/02,Forfar,Dumbarton,2.0,0.0,H,0.0,0.0,D,2.0,3.4,3.0,2.05,3.4,2.9,2.1,3.5,2.75,2.1,3.4,2.75,2.0,3.4,3.0,1219.87,1191.02
SC2,16/11/02,Hamilton,Stenhousemuir,2.0,3.0,A,2.0,1.0,H,2.1,3.5,2.75,2.1,3.4,2.8,2.2,3.5,2.62,2.1,3.4,2.75,2.1,3.4,2.8,1211.22,1121.71
SC2,16/11/02,Stranraer,Berwick,1.0,0.0,H,1.0,0.0,H,2.1,3.5,2.75,2.1,3.4,2.8,2.1,3.5,2.75,2.1,3.4,2.75,2.1,3.4,2.8,1249.06,1262.11
SC2,23/11/02,Berwick,Forfar,2.0,1.0,H,1.0,1.0,D,2.0,3.4,3.0,2.05,3.45,2.95,2.2,3.5,2.62,2.0,3.5,2.875,2.2,3.3,2.7,1252.67,1227.94
SC2,23/11/02,Brechin,Airdrie Utd,1.0,5.0,A,0.0,2.0,A,1.8,3.5,3.5,1.68,3.55,4.15,1.73,3.5,3.75,1.667,3.5,4.0,1.72,3.5,3.8,1256.59,1215.24
SC2,23/11/02,Dumbarton,Stranraer,3.0,0.0,H,1.0,0.0,H,2.5,3.5,2.25,2.6,3.5,2.2,2.62,3.5,2.2,2.6,3.4,2.2,3.0,3.4,2.0,1182.95,1258.5
SC2,23/11/02,Raith Rvs,Hamilton,1.0,1.0,D,0.0,1.0,A,1.5,3.6,5.5,1.58,3.5,5.0,1.5,3.6,5.5,1.533,3.6,5.0,1.53,3.6,5.0,1289.6,1192.51
SC2,23/11/02,Stenhousemuir,Cowdenbeath,4.0,1.0,H,1.0,1.0,D,2.1,3.5,2.75,2.02,3.5,2.9,1.83,3.5,3.4,2.0,3.5,2.875,1.9,3.5,3.2,1140.42,1177.85
SC2,30/11/02,Berwick,Airdrie Utd,2.0,2.0,D,0.0,2.0,A,1.8,3.5,3.5,1.76,3.6,3.75,1.91,3.5,3.2,1.8,3.4,3.5,1.83,3.5,3.4,1260.87,1232.56
SC2,30/11/02,Dumbarton,Cowdenbeath,1.0,1.0,D,1.0,1.0,D,1.909,3.5,3.2,1.8,3.6,3.55,1.8,3.5,3.5,1.833,3.4,3.4,1.8,3.6,3.4,1194.57,1167.58
SC2,30/11/02,Raith Rvs,Forfar,5.0,1.0,H,3.0,1.0,H,1.727,3.6,3.75,1.75,3.6,3.75,1.8,3.5,3.5,1.8,3.5,3.4,1.8,3.6,3.4,1283.18,1219.74
SC2,30/11/02,Stenhousemuir,Brechin,1.0,1.0,D,0.0,0.0,D,2.3,3.4,2.5,2.25,3.4,2.65,2.25,3.5,2.5,2.2,3.4,2.6,2.2,3.3,2.7,1150.69,1239.27
SC2,30/11/02,Stranraer,Hamilton,1.0,2.0,A,1.0,1.0,D,1.667,3.6,4.0,1.7,3.65,4.0,1.62,3.5,4.5,1.667,3.5,4.0,1.66,3.6,4.0,1246.88,1198.93
SC2,14/12/02,Airdrie Utd,Stenhousemuir,2.0,0.0,H,0.0,0.0,D,2.2,3.5,2.6,2.2,3.45,2.6,1.91,3.5,3.2,2.2,3.4,2.6,2.2,3.5,2.62,1236.98,1150.28
SC2,14/12/02,Brechin,Raith Rvs,1.0,2.0,A,0.0,2.0,A,2.5,3.5,2.25,2.7,3.55,2.11,2.62,3.5,2.2,2.5,3.5,2.25,2.75,3.5,2.1,1239.68,1290.2
SC2,14/12/02,Cowdenbeath,Berwick,1.0,2.0,A,1.0,1.0,D,2.5,3.5,2.25,2.75,3.5,2.1,2.62,3.5,2.2,2.6,3.4,2.2,2.75,3.5,2.1,1171.96,1256.45
SC2,14/12/02,Hamilton,Dumbarton,1.0,0.0,H,1.0,0.0,H,2.1,3.5,2.75,2.2,3.45,2.6,2.1,3.5,2.75,2.2,3.4,2.6,2.25,3.4,2.6,1216.45,1190.19
SC2,28/12/02,Berwick,Stenhousemuir,2.0,2.0,D,0.0,0.0,D,1.727,3.6,3.75,1.8,3.3,3.8,1.73,3.5,3.75,1.8,3.5,3.4,1.83,3.5,3.4,1269.51,1143.92
SC2,28/12/02,Dumbarton,Raith Rvs,0.0,3.0,A,0.0,1.0,A,3.0,3.4,2.0,3.15,3.4,1.95,3.0,3.4,2.0,3.0,3.4,2.0,3.4,3.5,1.83,1182.04,1304.47
SC2,28/12/02,Forfar,Cowdenbeath,2.0,1.0,H,0.0,1.0,A,1.909,3.5,3.2,1.91,3.5,3.2,1.8,3.5,3.5,1.909,3.4,3.2,1.9,3.5,3.2,1212.72,1158.9
SC2,28/12/02,Hamilton,Brechin,1.0,2.0,A,1.0,1.0,D,2.25,3.5,2.5,2.25,3.4,2.6,2.2,3.5,2.62,2.25,3.5,2.5,2.25,3.4,2.6,1224.6,1225.41
SC2,28/12/02,Stranraer,Airdrie Utd,2.0,0.0,H,2.0,0.0,H,2.0,3.4,3.0,1.95,3.5,3.1,2.1,3.5,2.75,2.0,3.5,2.875,2.0,3.6,2.87,1229.36,1243.34
SC2,01/01/03,Brechin,Forfar,3.0,4.0,A,1.0,1.0,D,1.909,3.5,3.2,1.95,3.5,3.31,1.91,3.5,3.2,2.0,3.3,3.0,2.0,3.4,3.0,1241.38,1220.02
SC2,01/01/03,Cowdenbeath,Raith Rvs,1.0,1.0,D,0.0,1.0,A,4.0,3.6,1.667,3.85,3.65,1.76,3.75,3.5,1.73,3.75,3.5,1.727,3.8,3.75,1.66,1151.6,1316.16
SC2,01/01/03,Dumbarton,Airdrie Utd,2.0,1.0,H,2.0,0.0,H,2.375,3.5,2.375,2.4,3.5,2.51,2.5,3.5,2.25,2.4,3.4,2.375,2.5,3.3,2.37,1170.35,1233.87
SC2,01/01/03,Stenhousemuir,Stranraer,1.0,0.0,H,0.0,0.0,D,2.5,3.4,2.3,2.5,3.5,2.4,2.2,3.5,2.62,2.5,3.4,2.25,2.4,3.4,2.4,1151.06,1238.83
SC2,11/01/03,Berwick,Dumbarton,0.0,1.0,A,0.0,0.0,D,1.727,3.6,3.75,1.75,3.45,3.75,1.73,3.5,3.75,1.7,3.6,3.75,1.83,3.5,3.4,1262.37,1181.54
SC2,18/01/03,Berwick,Stranraer,1.0,0.0,H,0.0,0.0,D,2.2,3.5,2.6,2.2,3.5,2.6,2.2,3.25,2.75,2.2,3.4,2.6,2.2,3.5,2.62,1243.89,1226.77
SC2,18/01/03,Brechin,Cowdenbeath,5.0,7.0,A,2.0,2.0,D,1.727,3.6,3.75,1.7,3.6,3.85,1.67,3.6,4.0,1.667,3.5,4.0,1.72,3.6,3.75,1224.68,1153.9
SC2,18/01/03,Dumbarton,Forfar,1.0,2.0,A,1.0,1.0,D,2.3,3.4,2.5,2.25,3.45,2.55,2.25,3.5,2.5,2.25,3.4,2.5,2.25,3.4,2.6,1200.02,1236.72
SC2,18/01/03,Raith Rvs,Airdrie Utd,1.0,0.0,H,0.0,0.0,D,1.571,3.75,4.5,1.5,3.9,4.9,1.57,3.75,4.5,1.533,3.75,4.6,1.53,4.0,4.5,1313.86,1222.68
SC2,18/01/03,Stenhousemuir,Hamilton,2.0,2.0,D,1.0,1.0,D,2.0,3.4,3.0,1.8,3.5,3.5,1.83,3.5,3.4,1.833,3.5,3.25,2.0,3.6,2.87,1163.12,1208.63
SC2,25/01/03,Brechin,Berwick,2.0,2.0,D,0.0,2.0,A,2.5,3.4,2.3,2.6,3.5,2.25,2.5,3.5,2.25,2.5,3.5,2.25,2.5,3.3,2.37,1206.49,1252.33
SC2,25/01/03,Stenhousemuir,Dumbarton,2.0,1.0,H,1.0,0.0,H,2.2,3.5,2.6,2.25,3.5,2.6,2.0,3.6,2.88,2.2,3.4,2.6,2.2,3.5,2.62,1161.18,1185.27
SC2,01/02/03,Airdrie Utd,Brechin,3.0,0.0,H,1.0,0.0,H,2.3,3.4,2.5,2.25,3.4,2.55,2.1,3.5,2.75,2.25,3.5,2.5,2.4,3.4,2.4,1216.44,1204.56
SC2,01/02/03,Hamilton,Raith Rvs,0.0,0.0,D,0.0,0.0,D,3.4,3.5,1.83,3.2,3.5,1.88,3.5,3.5,1.8,3.2,3.4,1.91,3.5,3.5,1.8,1210.57,1320.1
SC2,01/02/03,Stranraer,Dumbarton,1.0,2.0,A,1.0,1.0,D,1.83,3.5,3.4,1.95,3.5,3.0,1.73,3.5,3.75,1.91,3.5,3.1,2.1,3.5,2.75,1218.33,1175.46
SC2,08/02/03,Berwick,Cowdenbeath,1.0,2.0,A,0.0,0.0,D,1.667,3.6,4.0,1.65,3.75,4.35,1.67,3.6,4.0,1.6,3.6,4.333,1.72,3.6,3.75,1254.26,1172.09
SC2,08/02/03,Dumbarton,Hamilton,3.0,1.0,H,0.0,1.0,A,2.1,3.5,2.75,2.1,3.5,2.92,2.0,3.4,3.0,2.0,3.5,2.9,2.1,3.4,2.8,1192.83,1210.91
SC2,08/02/03,Raith Rvs,Brechin,1.0,2.0,A,1.0,0.0,H,1.571,3.75,4.5,1.57,3.85,4.85,1.57,3.5,5.0,1.533,3.6,5.0,1.57,3.75,4.5,1319.76,1195.95
SC2,08/02/03,Stenhousemuir,Airdrie Utd,3.0,3.0,D,2.0,2.0,D,1.909,3.5,3.2,2.0,3.5,3.15,1.91,3.5,3.2,1.833,3.5,3.3,1.83,3.5,3.4,1170.99,1225.05
SC2,08/02/03,Stranraer,Forfar,3.0,2.0,H,2.0,1.0,H,2.3,3.4,2.5,2.33,3.5,2.58,2.25,3.5,2.5,2.25,3.5,2.5,2.4,3.4,2.4,1200.96,1251.47
