Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,EloHome,EloAway
D1,24/08/02,Hamburg,Bayern Munich,0.0,3.0,A,0.0,1.0,A,3.5,3.2,1.909,3.6,3.3,1.93,3.5,3.1,1.9,3.5,3.2,1.909,3.5,3.25,1.91,3.6,3.3,1.909,3.6,3.1,1.9,1.77,1.9,,,1665.05,1849.63
D1,24/08/02,Leverkusen,Bochum,2.0,4.0,A,1.0,3.0,A,1.444,3.6,6.5,1.41,4.35,7.5,1.4,3.9,6.0,1.4,3.75,7.0,1.4,3.75,7.5,1.444,3.75,7.0,1.36,4.0,7.0,1.55,2.25,,,1803.56,1695.69
D1,24/08/02,M'gladbach,Kaiserslautern,3.0,0.0,H,2.0,0.0,H,2.375,3.1,2.625,2.29,3.2,2.85,2.2,3.0,2.9,2.25,3.2,2.75,2.25,3.2,2.8,2.25,3.2,2.9,2.3,3.0,2.8,1.7,1.9,,,1649.35,1694.05
D1,24/08/02,Munich 1860,Werder Bremen,3.0,0.0,H,1.0,0.0,H,2.2,3.2,2.8,2.12,3.21,3.25,2.1,3.0,3.1,2.2,3.25,2.75,2.2,3.25,2.8,2.1,3.2,3.2,2.0,3.1,3.3,1.65,1.97,,,1698.7,1739.64
D1,25/08/02,Nurnberg,Hannover,3.0,1.0,H,2.0,0.0,H,2.0,3.2,3.2,2.06,3.25,3.6,2.1,3.0,3.1,2.1,3.2,3.0,2.1,3.25,3.0,2.0,3.2,3.4,2.0,3.2,3.2,1.74,1.95,,,1592.58,1674.46
D1,25/08/02,Schalke 04,Hertha,0.0,0.0,D,0.0,0.0,D,2.0,3.2,3.2,2.0,3.2,3.6,1.9,3.1,3.5,1.909,3.2,3.5,1.91,3.25,3.5,2.0,3.2,3.4,1.83,3.2,3.75,1.65,2.05,,,1791.04,1780.5
D1,10/09/02,Bayern Munich,Munich 1860,3.0,1.0,H,1.0,1.0,D,1.444,3.6,6.5,1.45,3.75,6.75,1.5,3.7,5.0,1.444,3.6,6.5,1.44,3.6,7.0,1.444,3.6,7.5,1.44,3.5,7.0,1.54,2.22,,,1859.15,1709.1
D1,10/09/02,Bochum,Dortmund,0.0,0.0,D,0.0,0.0,D,2.875,3.0,2.25,3.31,3.04,2.38,2.9,3.0,2.2,2.625,3.4,2.25,2.88,3.1,2.2,3.0,3.1,2.25,2.75,3.1,2.3,1.69,1.98,,,1714.89,1821.67
D1,10/09/02,Hertha,M'gladbach,1.0,2.0,A,0.0,1.0,A,1.5,3.4,6.0,1.57,3.6,6.25,1.55,3.5,4.8,1.571,3.5,5.0,1.53,3.5,5.5,1.533,3.5,6.0,1.57,3.3,5.5,1.63,2.1,,,1784.35,1659.88
D1,10/09/02,Werder Bremen,Nurnberg,4.0,1.0,H,1.0,0.0,H,1.615,3.25,5.0,1.64,3.4,5.4,1.55,3.5,4.8,1.533,3.5,5.5,1.62,3.4,5.0,1.615,3.5,5.0,1.61,3.3,5.0,1.67,1.97,,,1729.24,1604.43
D1,11/09/02,Hannover,Cottbus,1.0,3.0,A,1.0,1.0,D,1.727,3.2,4.333,1.83,3.4,4.25,1.8,3.1,3.8,1.8,3.2,4.0,1.83,3.25,3.75,1.727,3.25,4.5,1.83,3.0,4.0,1.68,2.0,,,1662.61,1591.11
D1,11/09/02,Hansa Rostock,Leverkusen,1.0,3.0,A,0.0,2.0,A,2.625,3.1,2.375,2.7,3.1,2.45,2.7,3.0,2.3,2.5,3.25,2.4,2.7,3.1,2.38,2.7,3.1,2.4,2.6,3.1,2.4,1.7,1.96,,,1650.77,1784.36
