Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,EloHome,EloAway
SC0,27/10/02,Rangers,Kilmarnock,6,1,H,4,1,H,W Young,23.0,5.0,16.0,4.0,4.0,14.0,12.0,1.0,0,2,0,0,1.143,6.5,12.0,1.15,6.0,13.0,1.15,6.0,12.0,1.14,6.0,12.0,1.14,6.0,13.0,1.143,6.0,13.0,1.14,6.0,12.0,1.41,2.7,1882.02,1577.97
SC0,02/11/02,Dundee,Rangers,0,3,A,0,1,A,I Fyfe,8.0,12.0,4.0,8.0,8.0,15.0,1.0,13.0,0,1,1,0,8.0,4.5,1.3,7.5,4.35,1.35,7.0,4.0,1.35,8.0,4.5,1.29,8.5,4.5,1.29,8.0,4.5,1.3,8.0,4.5,1.28,,,1587.55,1884.25
SC0,02/11/02,Kilmarnock,Dundee United,1,2,A,1,1,D,D Somers,11.0,6.0,5.0,5.0,13.0,25.0,5.0,4.0,0,5,0,0,1.8,3.4,3.75,1.76,3.4,4.2,1.8,3.1,3.8,1.83,3.5,3.4,1.73,3.25,4.33,1.75,3.4,4.0,2.0,3.2,3.2,,,1575.74,1499.89
SC0,02/11/02,Livingston,Dunfermline,1,1,D,0,0,D,J Rowbotham,13.0,9.0,6.0,2.0,9.0,11.0,4.0,3.0,1,2,0,0,2.1,3.25,3.0,2.35,3.15,2.8,2.0,3.1,3.2,2.1,3.5,2.75,2.2,3.25,2.8,2.25,3.2,2.8,2.2,3.2,2.8,,,1595.91,1603.77
SC0,02/11/02,Partick,Motherwell,2,0,H,1,0,H,T Brown,20.0,18.0,9.0,13.0,16.0,15.0,5.0,9.0,1,4,0,1,2.2,3.25,2.8,2.25,3.2,2.9,2.2,3.0,2.9,2.2,3.25,2.75,2.2,3.25,2.8,2.25,3.2,2.8,2.2,3.2,2.8,,,1523.63,1496.94
SC0,03/11/02,Celtic,Aberdeen,7,0,H,3,0,H,H Dallas,25.0,3.0,16.0,2.0,9.0,12.0,9.0,3.0,0,3,0,0,1.125,6.0,15.0,1.15,6.0,15.0,1.15,6.0,12.0,1.14,6.0,12.0,1.14,6.0,13.0,1.143,6.0,13.0,1.12,6.0,15.0,,,1942.31,1593.95
SC0,03/11/02,Hibernian,Hearts,1,2,A,1,0,H,W Young,9.0,10.0,6.0,5.0,13.0,13.0,4.0,5.0,0,4,0,1,2.25,3.25,2.75,2.3,3.2,2.8,2.2,3.0,2.9,2.2,3.25,2.75,2.2,3.25,2.8,2.3,3.2,2.7,2.2,3.2,2.8,,,1586.1,1600.49
SC0,09/11/02,Hearts,Aberdeen,0,0,D,0,0,D,D McDonald,11.0,6.0,6.0,4.0,18.0,15.0,2.0,4.0,0,4,0,0,1.833,3.25,3.75,1.85,3.25,3.75,1.9,3.1,3.5,1.8,3.5,3.5,1.83,3.25,3.75,1.833,3.4,3.75,1.9,3.25,3.4,1.55,2.1,1616.01,1592.19
SC0,09/11/02,Livingston,Partick,3,0,H,0,0,D,C Richmond,15.0,7.0,9.0,3.0,19.0,6.0,5.0,5.0,1,1,0,0,1.833,3.25,3.75,1.85,3.3,3.7,1.85,3.1,3.6,1.8,3.4,3.6,1.83,3.25,3.75,1.85,3.4,3.75,1.8,3.3,3.75,1.7,1.9,1592.67,1531.76
SC0,09/11/02,Motherwell,Kilmarnock,0,1,A,0,0,D,K Clark,11.0,13.0,7.0,7.0,17.0,15.0,4.0,3.0,1,2,0,0,2.3,3.2,2.7,2.35,3.25,2.65,2.4,3.0,2.6,2.25,3.5,2.5,2.38,3.2,2.62,2.375,3.2,2.7,2.37,3.1,2.62,1.7,1.9,1488.81,1557.4
SC0,10/11/02,Dundee United,Celtic,0,2,A,0,1,A,J Underhill,8.0,12.0,4.0,6.0,19.0,14.0,4.0,9.0,2,3,0,0,10.0,5.0,1.222,10.0,5.1,1.24,9.0,4.5,1.25,11.0,5.0,1.2,10.0,5.5,1.2,11.0,5.5,1.2,11.0,5.0,1.2,1.44,2.55,1518.23,1944.07
SC0,10/11/02,Rangers,Hibernian,2,1,H,2,1,H,M McCurry,13.0,8.0,5.0,3.0,7.0,34.0,9.0,3.0,0,5,0,0,1.143,6.5,12.0,1.18,6.0,12.5,1.15,6.0,12.0,1.14,6.0,12.0,1.12,6.5,13.0,1.143,6.5,13.0,1.12,6.0,15.0,1.44,2.52,1890.34,1570.58
SC0,12/11/02,Dundee,Dunfermline,2,3,A,2,1,H,A Freeland,14.0,12.0,9.0,9.0,16.0,12.0,11.0,5.0,3,1,1,0,2.375,3.2,2.625,2.4,3.25,2.6,2.3,3.0,2.7,2.1,3.2,3.0,2.2,3.25,2.8,2.25,3.25,2.75,2.25,3.2,2.75,1.7,1.9,1581.46,1607.01
SC0,16/11/02,Aberdeen,Rangers,2,2,D,0,1,A,S Dougal,7.0,11.0,5.0,7.0,18.0,9.0,6.0,3.0,3,2,0,0,8.0,4.5,1.3,9.0,5.0,1.26,9.0,4.5,1.25,8.0,4.33,1.3,8.5,4.5,1.29,9.0,4.5,1.286,8.0,4.33,1.3,1.45,2.35,1596.47,1892.39
SC0,16/11/02,Hibernian,Dundee,2,1,H,1,0,H,H Dallas,14.0,13.0,7.0,6.0,22.0,14.0,7.0,5.0,1,1,0,0,1.8,3.4,3.75,1.92,3.4,3.45,2.0,3.1,3.2,1.91,3.5,3.2,2.0,3.25,3.25,1.909,3.4,3.5,2.0,3.2,3.2,1.7,1.9,1568.53,1566.32
SC0,16/11/02,Kilmarnock,Livingston,2,0,H,0,0,D,C Thomson,7.0,10.0,7.0,6.0,11.0,15.0,6.0,5.0,0,3,0,0,2.25,3.25,2.75,2.25,3.25,2.82,2.3,3.0,2.7,2.4,3.25,2.5,2.25,3.25,2.75,2.25,3.25,2.8,2.37,3.3,2.5,1.75,1.85,1571.03,1599.76
SC0,16/11/02,Motherwell,Dundee United,1,2,A,0,2,A,I Brines,13.0,10.0,10.0,6.0,18.0,19.0,5.0,1.0,0,0,0,0,2.3,3.2,2.7,2.28,3.3,2.75,2.4,3.0,2.6,2.4,3.25,2.5,2.38,3.2,2.63,2.375,3.2,2.7,2.37,3.3,2.5,1.75,1.85,1475.18,1514.91
SC0,17/11/02,Celtic,Partick,4,0,H,2,0,H,K Toner,15.0,1.0,5.0,0.0,12.0,12.0,5.0,4.0,0,0,0,0,1.1,7.0,15.0,1.11,7.5,16.0,1.1,7.0,15.0,1.12,6.0,15.0,1.1,7.0,15.0,1.125,6.5,15.0,1.12,6.5,12.0,1.4,2.5,1947.39,1524.67
SC0,17/11/02,Dunfermline,Hearts,3,1,H,0,0,D,M McCurry,15.0,13.0,8.0,4.0,15.0,13.0,7.0,6.0,1,1,0,0,2.25,3.25,2.75,2.25,3.25,2.85,2.1,3.0,3.1,2.2,3.25,2.75,2.2,3.25,2.8,2.2,3.25,2.9,2.1,3.3,2.87,1.65,1.95,1622.15,1611.73
SC0,23/11/02,Dundee,Dundee United,3,2,H,2,0,H,K Clark,9.0,10.0,7.0,4.0,9.0,16.0,6.0,4.0,2,3,0,0,2.3,3.0,2.875,2.25,3.2,2.8,2.3,3.0,2.7,2.38,3.2,2.6,2.25,3.25,2.75,2.25,3.25,2.75,2.3,3.1,2.75,1.9,1.7,1557.39,1529.56
SC0,23/11/02,Hibernian,Motherwell,3,1,H,0,0,D,D McDonald,10.0,6.0,4.0,6.0,16.0,23.0,6.0,5.0,0,3,1,3,1.533,3.75,5.0,1.6,3.4,5.2,1.65,3.3,4.4,1.5,3.6,5.5,1.57,3.4,5.5,1.571,3.4,5.5,1.53,3.4,5.5,1.7,1.9,1577.46,1460.53
SC0,23/11/02,Kilmarnock,Hearts,0,1,A,0,0,D,K Toner,7.0,8.0,3.0,2.0,16.0,17.0,7.0,5.0,1,1,0,0,2.375,3.2,2.625,2.37,3.25,2.62,2.2,3.0,2.9,2.5,3.25,2.4,2.38,3.2,2.63,2.4,3.2,2.6,2.25,3.2,2.75,1.75,1.85,1581.0,1603.07
SC0,23/11/02,Partick,Aberdeen,2,1,H,1,0,H,J Rowbotham,17.0,10.0,10.0,7.0,19.0,10.0,4.0,5.0,1,1,0,0,2.5,3.2,2.5,2.52,3.2,2.47,2.5,3.0,2.5,2.6,3.2,2.38,2.5,3.2,2.5,2.5,3.2,2.5,2.25,3.2,2.75,1.9,1.7,1523.49,1602.86
SC0,23/11/02,Rangers,Dunfermline,3,0,H,0,0,D,J Underhill,19.0,2.0,9.0,1.0,9.0,14.0,8.0,3.0,1,1,0,1,1.167,5.5,13.0,1.17,5.55,12.55,1.15,6.0,12.0,1.17,5.5,12.0,1.14,6.0,13.0,1.143,6.0,13.0,1.16,6.0,10.0,1.4,2.5,1886.0,1630.81
SC0,24/11/02,Livingston,Celtic,0,2,A,0,1,A,S Dougal,14.0,7.0,0.0,1.0,16.0,27.0,6.0,4.0,1,3,0,0,9.0,5.0,1.25,9.0,5.0,1.28,9.0,4.5,1.25,8.0,5.0,1.25,10.0,5.0,1.22,10.0,5.0,1.222,8.0,5.0,1.25,1.45,2.35,1589.79,1948.57
SC0,30/11/02,Dundee United,Aberdeen,1,1,D,1,1,D,W Young,12.0,6.0,8.0,4.0,14.0,23.0,7.0,1.0,1,2,0,0,2.3,3.2,2.7,2.25,3.2,2.8,2.3,3.0,2.7,2.4,3.25,2.5,2.38,3.2,2.63,2.375,3.2,2.625,2.2,3.2,2.8,1.75,1.85,1521.46,1591.1
SC0,30/11/02,Dunfermline,Hibernian,1,1,D,0,0,D,I Fyfe,5.0,5.0,2.0,1.0,18.0,22.0,1.0,3.0,0,2,0,0,2.1,3.25,3.0,2.1,3.25,3.05,2.0,3.1,3.2,2.0,3.4,3.0,2.1,3.25,3.0,2.1,3.25,3.0,2.0,3.2,3.2,1.75,1.85,1627.95,1583.03
SC0,30/11/02,Livingston,Dundee,1,1,D,1,0,H,T Brown,16.0,13.0,11.0,6.0,20.0,10.0,7.0,6.0,2,1,0,0,2.2,3.25,2.8,2.1,3.25,3.05,2.1,3.0,3.1,2.1,3.2,3.0,2.1,3.25,3.0,2.1,3.25,3.0,2.2,3.2,2.8,1.85,1.75,1585.19,1565.49
SC0,30/11/02,Partick,Kilmarnock,3,0,H,0,0,D,M McCurry,13.0,10.0,7.0,7.0,8.0,11.0,4.0,6.0,1,1,0,0,2.4,3.2,2.6,2.4,3.25,2.55,2.5,3.0,2.5,2.4,3.25,2.5,2.38,3.2,2.63,2.4,3.2,2.6,2.37,3.3,2.5,1.85,1.75,1535.25,1565.74
SC0,01/12/02,Celtic,Motherwell,3,1,H,0,0,D,J Rowbotham,22.0,7.0,9.0,6.0,9.0,12.0,13.0,4.0,1,2,0,1,1.083,7.5,17.0,1.08,7.0,17.0,1.1,7.0,15.0,1.1,6.5,17.0,1.1,7.0,17.0,1.1,7.0,17.0,1.08,7.0,17.0,1.37,2.6,1953.17,1454.96
SC0,01/12/02,Hearts,Rangers,0,4,A,0,0,D,H Dallas,5.0,20.0,2.0,13.0,22.0,9.0,0.0,7.0,3,1,1,0,7.5,4.0,1.364,8.0,4.0,1.35,6.0,3.9,1.4,7.0,4.33,1.33,7.5,4.0,1.36,7.5,4.0,1.364,8.0,3.75,1.36,1.55,2.15,1618.33,1888.86
SC0,03/12/02,Aberdeen,Kilmarnock,0,1,A,0,0,D,I Fyfe,6.0,3.0,0.0,1.0,12.0,18.0,5.0,3.0,0,3,0,0,2.1,3.25,3.0,2.03,3.32,3.32,2.0,3.1,3.2,1.91,3.25,3.4,2.0,3.25,3.25,2.0,3.25,3.25,2.1,3.2,3.0,1.75,1.95,1592.19,1555.71
SC0,04/12/02,Dundee,Partick,4,1,H,1,0,H,H Dallas,14.0,7.0,10.0,4.0,12.0,10.0,4.0,7.0,2,2,0,0,1.727,3.5,4.0,1.85,3.35,3.65,1.9,3.1,3.5,1.83,3.4,3.6,1.83,3.4,3.6,1.833,3.4,3.6,1.83,3.4,3.5,1.75,1.85,1569.63,1545.28
SC0,04/12/02,Dunfermline,Dundee United,4,1,H,3,0,H,K Toner,8.0,10.0,6.0,6.0,13.0,12.0,2.0,6.0,0,1,0,0,1.667,3.5,4.333,1.7,3.4,4.3,1.75,3.2,4.0,1.73,3.5,3.75,1.7,3.4,4.33,1.7,3.4,4.333,1.61,3.5,4.5,1.7,1.9,1623.02,1520.37
SC0,04/12/02,Hibernian,Celtic,0,1,A,0,0,D,M McCurry,7.0,10.0,3.0,6.0,22.0,13.0,2.0,4.0,2,2,0,0,8.5,5.0,1.25,9.0,5.0,1.25,8.0,4.2,1.3,8.0,5.0,1.25,8.5,5.0,1.25,9.0,5.0,1.25,8.0,4.5,1.28,1.55,2.15,1587.96,1953.94
SC0,04/12/02,Motherwell,Hearts,6,1,H,4,0,H,S Dougal,15.0,17.0,10.0,6.0,16.0,20.0,4.0,9.0,1,1,0,0,3.25,3.25,2.0,3.0,3.25,2.12,3.1,3.0,2.1,3.0,3.4,2.0,3.0,3.25,2.1,3.0,3.25,2.1,3.0,3.2,2.1,1.65,1.95,1454.19,1611.52
SC0,04/12/02,Rangers,Livingston,4,3,H,3,0,H,D McDonald,18.0,6.0,17.0,5.0,10.0,12.0,13.0,2.0,0,1,0,1,1.125,7.0,12.0,1.13,7.0,16.0,1.1,7.0,15.0,1.14,6.0,12.0,1.13,6.5,13.0,1.125,6.5,13.0,1.14,6.0,12.0,1.55,2.15,1895.67,1581.05
SC0,07/12/02,Aberdeen,Motherwell,1,1,D,1,0,H,C Thomson,7.0,5.0,4.0,1.0,22.0,24.0,2.0,8.0,4,3,1,0,1.727,3.5,4.0,1.66,3.45,4.75,1.75,3.2,4.0,1.62,3.5,4.5,1.73,3.4,4.2,1.727,3.4,4.2,1.66,3.3,4.5,1.7,1.9,1575.02,1468.73
SC0,07/12/02,Dundee United,Hibernian,1,1,D,1,1,D,D McDonald,3.0,13.0,2.0,7.0,15.0,15.0,10.0,13.0,3,2,0,0,2.5,3.2,2.5,2.6,3.25,2.4,2.6,3.1,2.3,2.6,3.2,2.38,2.63,3.2,2.38,2.625,3.2,2.375,2.6,3.1,2.4,1.7,1.9,1514.43,1583.51
SC0,07/12/02,Hearts,Livingston,2,1,H,1,0,H,J Underhill,10.0,13.0,5.0,3.0,10.0,20.0,3.0,4.0,0,3,0,0,1.727,3.5,4.0,1.8,3.35,3.95,1.9,3.1,3.5,1.83,3.2,3.75,1.83,3.25,3.75,1.85,3.25,3.75,1.9,3.2,3.5,1.7,1.9,1596.98,1578.95
SC0,07/12/02,Kilmarnock,Dundee,2,0,H,0,0,D,C Richmond,9.0,6.0,6.0,0.0,19.0,15.0,6.0,2.0,4,0,0,0,2.25,3.25,2.75,2.2,3.25,2.9,2.1,3.0,3.1,2.25,3.2,2.75,2.2,3.25,2.8,2.2,3.25,2.8,2.1,3.2,3.0,1.7,1.9,1572.88,1577.84
SC0,07/12/02,Partick,Dunfermline,4,0,H,2,0,H,W Young,18.0,17.0,12.0,9.0,10.0,5.0,1.0,9.0,0,1,0,0,2.7,3.2,2.3,2.5,3.25,2.5,,,,2.38,3.2,2.6,2.6,3.2,2.4,2.6,3.2,2.4,2.5,3.1,2.5,1.65,1.95,1537.07,1628.96
SC0,07/12/02,Rangers,Celtic,3,2,H,3,1,H,K Clark,10.0,12.0,8.0,7.0,18.0,17.0,6.0,6.0,2,3,0,0,2.5,3.0,2.625,2.36,3.3,2.65,2.2,3.0,2.9,2.38,3.0,2.75,2.38,3.2,2.63,2.4,3.1,2.75,2.3,3.2,2.62,1.7,1.9,1897.77,1958.39
SC0,14/12/02,Dundee,Motherwell,1,1,D,1,1,D,M McCurry,14.0,12.0,9.0,7.0,13.0,17.0,9.0,5.0,1,2,0,0,1.727,3.5,4.0,1.8,3.4,3.8,1.8,3.1,3.8,1.67,3.4,4.33,1.8,3.4,3.75,1.8,3.4,3.75,1.8,3.4,3.6,1.65,1.95,1568.68,1475.39
SC0,14/12/02,Hearts,Partick,1,0,H,0,0,D,G Mitchell,19.0,8.0,13.0,4.0,13.0,10.0,10.0,2.0,4,4,0,0,1.667,3.5,4.333,1.75,3.3,4.2,1.75,3.2,4.0,1.73,3.4,4.0,1.73,3.25,4.33,1.727,3.4,4.2,1.72,3.4,4.0,1.65,1.95,1605.39,1549.28
SC0,14/12/02,Livingston,Hibernian,1,2,A,0,0,D,I Brines,12.0,5.0,6.0,4.0,15.0,18.0,8.0,3.0,0,1,0,0,2.5,3.2,2.5,2.5,3.3,2.45,2.4,3.0,2.6,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.6,3.1,2.4,1.85,1.75,1570.54,1584.62
SC0,14/12/02,Rangers,Dundee United,3,0,H,1,0,H,S Dougal,14.0,9.0,9.0,5.0,13.0,20.0,4.0,3.0,0,2,1,1,1.111,7.0,13.0,1.13,6.5,15.5,1.15,6.0,12.0,1.12,6.5,13.0,1.11,6.5,17.0,1.111,6.5,17.0,1.11,6.5,15.0,1.42,2.5,1908.86,1513.32
SC0,15/12/02,Dunfermline,Aberdeen,3,0,H,1,0,H,H Dallas,,,,,,,,,2,3,0,0,1.727,3.5,4.0,1.8,3.25,4.0,1.8,3.1,3.8,1.73,3.5,3.75,1.83,3.25,3.75,1.833,3.4,3.6,1.61,3.5,4.5,1.65,1.95,1616.75,1568.36
SC0,15/12/02,Kilmarnock,Celtic,1,1,D,1,0,H,W Young,5.0,14.0,1.0,6.0,13.0,7.0,4.0,12.0,1,1,0,0,10.0,5.0,1.222,10.0,4.75,1.25,8.0,4.2,1.3,10.0,5.0,1.22,8.5,5.0,1.25,9.0,5.0,1.25,10.0,4.5,1.25,1.5,2.25,1582.04,1947.3
SC0,21/12/02,Aberdeen,Livingston,0,0,D,0,0,D,K Clark,8.0,2.0,4.0,1.0,10.0,19.0,3.0,6.0,1,2,0,0,1.909,3.25,3.5,2.0,3.25,3.3,2.0,3.2,3.1,1.91,3.4,3.25,2.0,3.25,3.25,2.0,3.25,3.25,2.0,3.2,3.2,1.85,1.75,1560.9,1555.01
SC0,21/12/02,Celtic,Dundee,2,0,H,1,0,H,D McDonald,11.0,2.0,4.0,1.0,14.0,16.0,4.0,2.0,3,2,0,0,1.125,6.5,13.0,1.16,6.15,13.5,1.1,7.0,15.0,1.12,6.0,15.0,1.13,6.5,13.0,1.125,6.5,13.0,1.12,6.5,12.0,1.5,2.5,1939.26,1562.36
SC0,21/12/02,Dundee United,Hearts,0,3,A,0,2,A,C Richmond,14.0,18.0,5.0,10.0,12.0,12.0,7.0,5.0,3,2,0,0,2.7,3.2,2.3,2.75,3.2,2.3,2.6,3.1,2.3,2.75,3.25,2.2,2.63,3.2,2.38,2.6,3.2,2.4,2.5,3.3,2.37,1.8,1.8,1511.96,1612.62
SC0,21/12/02,Kilmarnock,Hibernian,2,1,H,0,0,D,H Dallas,8.0,10.0,3.0,5.0,10.0,17.0,6.0,4.0,2,1,0,0,2.3,3.2,2.7,2.2,3.2,2.9,2.2,3.2,2.7,2.1,3.4,2.8,2.2,3.25,2.8,2.2,3.25,2.8,2.2,3.2,2.8,1.9,1.7,1590.08,1600.15
SC0,22/12/02,Partick,Rangers,1,2,A,1,0,H,J Underhill,10.0,16.0,4.0,8.0,12.0,19.0,6.0,10.0,1,3,1,0,10.0,5.0,1.222,10.0,4.75,1.26,9.0,4.5,1.25,11.0,5.0,1.2,8.5,5.0,1.25,8.5,5.0,1.25,8.0,4.5,1.28,1.5,2.25,1542.05,1910.22
SC0,26/12/02,Celtic,Hearts,4,2,H,2,1,H,H Dallas,11.0,8.0,8.0,2.0,10.0,12.0,12.0,4.0,1,1,0,0,1.167,6.0,11.0,1.15,6.2,13.0,1.15,6.0,12.0,1.14,6.0,12.0,1.14,6.5,12.0,1.143,6.5,12.0,1.16,5.5,12.0,1.4,2.5,1940.77,1625.1
SC0,26/12/02,Dundee,Aberdeen,1,2,A,0,0,D,I Brines,5.0,5.0,3.0,2.0,18.0,20.0,4.0,4.0,4,4,2,0,1.8,3.25,4.0,1.85,3.35,3.75,2.0,3.1,3.2,1.83,3.4,3.5,1.91,3.25,3.5,1.909,3.25,3.5,1.9,3.25,3.4,1.65,1.95,1560.85,1557.2
SC0,26/12/02,Dunfermline,Kilmarnock,0,2,A,0,0,D,J Underhill,8.0,5.0,4.0,2.0,8.0,13.0,11.0,3.0,1,2,0,0,1.833,3.25,3.75,1.9,3.3,3.62,1.9,3.1,3.5,1.91,3.25,3.4,1.91,3.25,3.5,1.909,3.25,3.5,1.83,3.3,3.6,1.7,1.9,1624.21,1599.41
SC0,26/12/02,Hibernian,Partick,1,1,D,0,0,D,C Thomson,12.0,5.0,9.0,4.0,12.0,21.0,3.0,2.0,0,1,1,0,1.667,3.5,4.333,1.7,3.45,4.35,1.65,3.3,4.4,1.73,3.5,3.75,1.73,3.4,4.0,1.727,3.4,4.2,1.72,3.4,4.0,1.7,1.9,1590.82,1537.65
SC0,26/12/02,Livingston,Dundee United,3,0,H,1,0,H,M McCurry,18.0,10.0,11.0,6.0,10.0,16.0,5.0,2.0,1,3,0,0,2.1,3.25,3.0,2.1,3.25,3.1,1.9,3.1,3.5,2.1,3.5,2.75,2.1,3.25,3.0,2.1,3.25,3.0,2.0,3.2,3.2,1.8,1.8,1558.71,1499.48
SC0,26/12/02,Motherwell,Rangers,1,0,H,0,0,D,W Young,10.0,14.0,3.0,10.0,13.0,10.0,6.0,10.0,2,3,0,0,10.0,5.5,1.2,10.85,5.5,1.2,9.0,4.5,1.25,11.0,5.0,1.2,10.0,5.5,1.2,10.0,5.5,1.2,9.5,5.0,1.22,1.45,2.35,1481.71,1914.62
SC0,29/12/02,Celtic,Dunfermline,1,0,H,1,0,H,S Dougal,10.0,5.0,8.0,2.0,4.0,15.0,9.0,2.0,0,3,0,0,1.143,6.5,12.0,1.2,6.66,12.0,1.15,6.0,12.0,1.12,6.0,15.0,1.14,6.0,13.0,1.143,6.0,13.0,1.16,5.5,12.0,1.46,2.6,1942.86,1607.4
SC0,29/12/02,Dundee,Hearts,1,2,A,0,1,A,K Clark,5.0,12.0,1.0,10.0,18.0,19.0,2.0,5.0,1,3,0,0,2.5,3.2,2.5,2.52,3.4,2.37,2.5,3.0,2.5,2.4,3.25,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.3,2.37,1.7,1.9,1544.73,1623.01
SC0,29/12/02,Hibernian,Aberdeen,2,0,H,0,0,D,J Rowbotham,17.0,8.0,9.0,4.0,15.0,7.0,7.0,0.0,0,1,0,0,1.727,3.5,4.0,1.8,3.4,4.1,1.85,3.1,3.6,1.83,3.4,3.5,1.73,3.4,4.0,1.75,3.4,4.0,1.72,3.25,4.2,1.7,1.9,1585.64,1573.32
SC0,29/12/02,Kilmarnock,Rangers,0,1,A,0,1,A,D McDonald,7.0,13.0,3.0,5.0,9.0,11.0,3.0,11.0,2,1,0,0,9.0,4.5,1.286,8.5,4.5,1.35,6.0,3.9,1.4,8.0,4.5,1.29,9.0,5.0,1.25,9.0,5.0,1.25,8.0,4.33,1.3,1.51,2.25,1616.22,1892.83
SC0,29/12/02,Livingston,Motherwell,1,0,H,0,0,D,C Thomson,14.0,3.0,10.0,2.0,23.0,16.0,7.0,4.0,2,4,0,0,2.1,3.25,3.0,2.2,3.3,2.85,2.0,3.1,3.2,2.1,3.5,2.75,2.1,3.25,3.0,2.1,3.25,3.0,2.25,3.3,2.62,1.75,1.85,1565.85,1503.5
SC0,29/12/02,Partick,Dundee United,0,0,D,0,0,D,A Freeland,11.0,11.0,3.0,4.0,14.0,20.0,4.0,7.0,3,3,0,0,1.909,3.25,3.5,1.87,3.35,3.8,1.8,3.1,3.8,1.83,3.4,3.5,1.8,3.4,3.75,1.8,3.4,3.75,1.9,3.4,3.25,1.7,1.9,1542.83,1492.34
SC0,02/01/03,Aberdeen,Celtic,1,1,D,0,1,A,M McCurry,7.0,8.0,3.0,4.0,13.0,15.0,10.0,7.0,1,0,0,0,10.0,5.0,1.222,11.0,5.15,1.23,8.0,4.2,1.3,8.0,5.0,1.25,8.5,5.0,1.25,9.0,5.0,1.25,8.0,5.0,1.25,1.5,2.25,1564.73,1944.74
SC0,02/01/03,Dundee United,Kilmarnock,2,2,D,1,1,D,H Dallas,18.0,4.0,9.0,4.0,11.0,18.0,12.0,2.0,0,3,0,0,2.75,3.25,2.25,2.9,3.25,2.21,3.0,3.1,2.1,3.2,3.5,1.91,2.88,3.2,2.2,2.875,3.2,2.2,2.75,3.25,2.2,1.85,1.75,1497.44,1609.58
SC0,02/01/03,Dunfermline,Livingston,2,0,H,1,0,H,G Mitchell,7.0,9.0,4.0,4.0,12.0,8.0,0.0,7.0,0,0,0,0,1.667,3.4,4.333,1.8,3.35,4.01,1.8,3.1,3.8,1.73,3.5,3.75,1.83,3.25,3.75,1.833,3.25,3.75,1.66,3.3,4.5,1.75,1.85,1605.52,1572.9
SC0,02/01/03,Hearts,Hibernian,4,4,D,1,2,A,S Dougal,14.0,12.0,11.0,5.0,14.0,27.0,4.0,4.0,4,4,0,0,2.25,3.0,3.0,2.15,3.25,2.98,2.1,3.1,3.0,2.1,3.2,3.0,2.1,3.25,3.0,2.1,3.25,3.0,2.2,3.25,2.75,1.7,1.9,1636.29,1594.23
SC0,02/01/03,Motherwell,Partick,2,2,D,1,1,D,I Fyfe,16.0,11.0,8.0,5.0,22.0,19.0,3.0,0.0,6,4,1,0,2.1,3.25,3.0,2.1,3.3,3.05,1.9,3.1,3.5,1.83,3.5,3.4,2.1,3.25,3.0,2.1,3.25,3.0,2.1,3.2,3.0,1.85,1.75,1496.45,1537.73
SC0,02/01/03,Rangers,Dundee,3,1,H,2,1,H,T Brown,22.0,8.0,12.0,2.0,10.0,11.0,4.0,3.0,0,0,0,0,1.143,6.5,12.0,1.14,6.5,14.75,1.15,6.0,12.0,1.11,6.5,15.0,1.14,6.0,13.0,1.143,6.0,13.0,1.14,6.0,12.0,1.5,2.35,1899.47,1531.45
SC0,28/01/03,Aberdeen,Hearts,0,1,A,0,0,D,H Dallas,5.0,5.0,2.0,1.0,9.0,13.0,7.0,4.0,0,1,0,0,2.5,3.2,2.5,2.5,3.1,2.6,2.5,3.0,2.5,2.25,3.4,2.62,2.38,3.2,2.63,2.375,3.2,2.625,2.5,3.1,2.5,1.8,1.8,1573.07,1631.45
SC0,28/01/03,Dunfermline,Dundee,0,1,A,0,1,A,W Young,15.0,2.0,4.0,2.0,13.0,9.0,7.0,0.0,1,1,0,0,1.8,3.25,4.0,1.7,3.4,4.5,1.75,3.2,4.0,1.8,3.4,3.6,1.73,3.25,4.33,1.727,3.25,4.333,1.66,3.3,4.5,1.65,1.95,1613.47,1529.87
SC0,28/01/03,Partick,Livingston,1,3,A,1,1,D,I Fyfe,9.0,11.0,6.0,7.0,10.0,14.0,8.0,7.0,0,1,0,0,2.1,3.25,3.0,2.2,3.2,2.95,2.2,3.0,2.9,2.1,3.2,3.0,2.2,3.2,2.88,2.2,3.2,2.875,2.25,3.2,2.75,1.7,1.9,1539.82,1564.95
SC0,29/01/03,Celtic,Dundee United,2,0,H,2,0,H,J Underhill,13.0,1.0,7.0,0.0,5.0,17.0,5.0,3.0,0,2,0,0,1.1,7.0,15.0,1.1,7.0,19.0,1.1,7.0,15.0,1.1,6.5,17.0,1.11,6.5,17.0,1.111,6.5,17.0,1.1,6.5,17.0,1.35,2.7,1936.4,1497.88
