Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,EloHome,EloAway
SC0,18/08/02,Aberdeen,Hearts,1,1,D,0,0,D,G Mitchell,7.0,3.0,4.0,3.0,12.0,18.0,5.0,3.0,1,2,0,0,2.1,3.25,3.0,2.14,3.15,3.3,1.9,3.1,3.5,1.909,3.25,3.4,2.0,3.25,3.25,2.1,3.2,3.2,2.1,3.2,3.0,1.6,1.95,1615.28,1602.5
SC0,18/08/02,Hibernian,Rangers,2,4,A,1,2,A,H Dallas,5.0,10.0,3.0,5.0,24.0,9.0,4.0,6.0,4,2,1,0,7.5,4.0,1.364,8.0,3.95,1.36,4.8,3.8,1.5,7.0,4.333,1.333,8.5,3.5,1.4,8.0,3.75,1.4,8.0,3.75,1.36,1.5,2.15,1537.2,1841.94
SC0,24/08/02,Dundee,Hibernian,2,1,H,0,1,A,W Young,11.0,11.0,5.0,4.0,9.0,23.0,6.0,4.0,1,4,0,0,1.833,3.25,3.75,1.97,3.2,3.5,2.1,3.0,3.1,1.8,3.5,3.5,2.25,3.25,2.75,1.95,3.25,3.5,2.0,3.2,3.2,1.75,1.85,1528.68,1531.32
SC0,24/08/02,Hearts,Dunfermline,2,0,H,0,0,D,K Toner,10.0,6.0,10.0,6.0,16.0,11.0,8.0,6.0,1,3,0,0,1.727,3.25,4.333,1.69,3.4,4.65,1.8,3.1,3.8,1.727,3.4,4.0,1.73,3.25,4.33,1.75,3.3,4.333,1.72,3.2,4.33,1.7,1.9,1606.42,1587.24
SC0,24/08/02,Partick,Celtic,0,1,A,0,0,D,M McCurry,4.0,12.0,0.0,5.0,16.0,13.0,3.0,4.0,0,0,0,0,9.0,5.0,1.25,10.0,4.5,1.27,8.0,4.2,1.3,11.0,5.0,1.2,10.0,5.5,1.2,10.0,5.5,1.222,10.0,4.5,1.25,1.5,2.25,1542.8,1945.35
SC0,25/08/02,Dundee United,Motherwell,1,1,D,0,1,A,I Fyfe,10.0,9.0,7.0,3.0,18.0,25.0,2.0,4.0,0,2,0,0,2.1,3.25,3.0,2.15,3.3,3.21,2.1,3.0,3.1,1.909,3.4,3.25,1.91,3.25,3.5,2.1,3.25,3.1,2.2,3.2,2.8,1.8,1.8,1541.37,1532.82
SC0,25/08/02,Livingston,Kilmarnock,0,1,A,0,1,A,S Dougal,9.0,11.0,4.0,5.0,16.0,17.0,7.0,4.0,2,2,0,0,1.833,3.25,3.75,1.82,3.3,4.0,1.9,3.1,3.5,1.8,3.25,3.75,1.73,3.25,4.33,1.8,3.3,4.0,1.8,3.3,3.75,1.7,1.9,1635.59,1579.76
SC0,25/08/02,Rangers,Aberdeen,2,0,H,1,0,H,J Underhill,20.0,3.0,9.0,1.0,10.0,18.0,9.0,0.0,2,2,0,1,1.222,5.0,10.0,1.21,5.5,10.0,1.2,5.0,10.0,1.25,5.0,8.0,1.2,5.5,10.0,1.222,5.5,10.0,1.22,5.0,9.5,1.45,2.35,1847.82,1611.36
SC0,31/08/02,Dundee United,Dundee,0,0,D,0,0,D,J Underhill,10.0,10.0,5.0,7.0,17.0,12.0,6.0,3.0,2,2,1,0,2.375,3.0,2.75,2.3,3.15,2.92,2.3,3.0,2.7,2.25,3.2,2.75,2.38,3.2,2.63,2.375,3.1,2.75,2.3,3.25,2.62,1.8,1.8,1537.59,1537.77
SC0,31/08/02,Hearts,Kilmarnock,1,1,D,1,1,D,D Somers,18.0,5.0,9.0,2.0,17.0,22.0,14.0,4.0,0,5,0,1,1.833,3.25,3.75,1.84,3.3,4.05,2.0,3.1,3.2,1.8,3.25,3.75,1.91,3.25,3.5,1.909,3.3,3.6,1.8,3.3,3.75,1.75,1.85,1614.79,1597.52
