Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,EloHome,EloAway
D2,16/08/02,Greuther Furth,Aachen,0,0,D,0,0,D,1.667,3.25,4.5,1.63,3.4,4.63,1.6,3.4,4.6,1.571,3.4,5.0,1.55,3.45,5.0,1.65,1.95,1569.69,1434.84
D2,16/08/02,Mannheim,Union Berlin,1,2,A,1,1,D,2.1,3.2,3.0,2.1,3.1,3.1,2.1,3.0,3.1,2.1,3.2,3.0,2.15,3.15,2.8,1.65,1.95,1503.04,1524.91
D2,18/08/02,Burghausen,Karlsruhe,0,0,D,0,0,D,2.25,3.2,2.75,2.05,3.15,3.15,1.9,3.1,3.5,2.25,3.1,2.8,2.4,3.1,2.5,1.75,1.85,1471.0,1439.21
D2,18/08/02,Oberhausen,Braunschweig,2,0,H,0,0,D,1.909,3.25,3.4,1.95,3.1,3.35,2.0,3.1,3.2,1.909,3.2,3.5,2.15,3.2,2.8,1.6,2.05,1495.57,1490.12
D2,18/08/02,Reutlingen,Lubeck,1,3,A,0,2,A,1.833,3.25,3.6,1.85,3.25,3.65,1.8,3.1,3.8,1.85,3.3,3.5,1.95,3.2,3.2,1.7,1.9,1470.01,1489.86
D2,18/08/02,St Pauli,Ahlen,1,4,A,1,0,H,1.8,3.25,3.75,1.91,3.3,3.46,2.0,3.1,3.2,1.8,3.25,3.8,1.9,3.25,3.3,1.6,2.05,1464.86,1502.42
D2,19/08/02,Freiburg,Ein Frankfurt,0,2,A,0,0,D,1.727,3.2,4.333,1.9,3.15,3.6,2.0,3.1,3.2,1.75,3.3,4.0,1.7,3.2,4.25,1.78,1.9,1550.33,1558.37
D2,23/08/02,Ein Frankfurt,Greuther Furth,2,0,H,1,0,H,1.727,3.2,4.333,1.73,3.4,4.35,1.65,3.3,4.4,1.727,3.3,4.2,1.75,3.25,3.85,1.81,1.86,1574.1,1562.33
D2,23/08/02,Ein Trier,Karlsruhe,3,0,H,3,0,H,2.2,3.25,2.75,2.2,3.15,2.9,2.0,3.1,3.2,2.1,3.1,3.1,2.35,3.1,2.55,1.8,1.85,1489.0,1443.74
D2,23/08/02,Lubeck,St Pauli,6,0,H,2,0,H,2.1,3.25,2.875,2.15,3.25,3.3,2.0,3.1,3.2,2.1,3.2,3.0,1.9,3.25,3.3,1.7,1.95,1505.19,1450.14
D2,25/08/02,Ahlen,Freiburg,1,3,A,0,1,A,2.4,3.25,2.5,2.45,3.15,2.58,2.2,3.0,2.9,2.3,3.2,2.625,2.45,3.1,2.45,1.8,1.85,1517.14,1534.6
D2,25/08/02,Braunschweig,Reutlingen,1,2,A,1,0,H,1.8,3.25,3.75,1.75,3.4,4.0,1.8,3.1,3.8,1.75,3.25,4.0,1.7,3.3,4.1,1.65,1.95,1481.3,1454.68
D2,25/08/02,Duisburg,Burghausen,0,0,D,0,0,D,1.615,3.5,4.5,1.65,3.45,4.8,1.75,3.2,4.0,1.615,3.4,4.75,1.5,3.6,5.2,1.75,1.9,1488.9,1466.47
D2,25/08/02,Mainz,Mannheim,2,0,H,0,0,D,1.667,3.25,4.5,1.6,3.45,5.0,1.65,3.3,4.4,1.6,3.3,5.0,1.6,3.4,4.6,1.65,2.0,1584.7,1487.78
D2,25/08/02,Union Berlin,Oberhausen,0,0,D,0,0,D,1.727,3.2,4.333,1.7,3.4,4.5,1.7,3.2,4.2,1.7,3.3,4.333,1.6,3.4,4.6,1.75,1.85,1540.17,1504.39
D2,26/08/02,Aachen,FC Koln,0,0,D,0,0,D,2.75,3.2,2.25,2.82,3.2,2.25,2.7,3.0,2.3,2.8,3.2,2.2,2.95,3.1,2.1,1.7,1.9,1442.2,1557.89
D2,10/09/02,Burghausen,Aachen,2,2,D,0,1,A,2.0,3.2,3.2,1.99,3.2,3.45,1.85,3.1,3.6,2.0,3.2,3.2,1.9,3.25,3.3,2.05,1.62,1470.7,1442.76
D2,10/09/02,FC Koln,Ein Frankfurt,3,2,H,1,1,D,1.909,3.25,3.4,2.0,3.2,3.45,1.9,3.1,3.5,1.909,3.2,3.5,1.85,3.25,3.45,1.72,1.96,1557.33,1582.71
D2,10/09/02,Greuther Furth,Ahlen,1,1,D,1,0,H,1.909,3.25,3.4,2.01,3.15,3.42,2.0,3.1,3.2,1.909,3.25,3.4,1.8,3.3,3.6,1.85,1.8,1553.72,1501.73
D2,10/09/02,Karlsruhe,Duisburg,1,1,D,1,1,D,2.2,3.25,2.75,2.25,3.15,2.9,2.2,3.0,2.9,2.1,3.2,3.0,2.0,3.25,3.05,1.81,1.85,1436.18,1484.67
D2,10/09/02,Mannheim,Ein Trier,0,2,A,0,1,A,2.0,3.2,3.2,1.96,3.1,3.4,2.1,3.0,3.1,2.0,3.2,3.2,1.8,3.3,3.6,1.75,1.96,1481.69,1496.56
D2,11/09/02,Freiburg,Lubeck,2,1,H,1,0,H,1.667,3.25,4.5,1.8,3.4,4.6,1.6,3.4,4.6,1.667,3.3,4.5,1.6,3.4,4.6,1.75,1.91,1550.01,1512.45
D2,11/09/02,Oberhausen,Mainz,1,0,H,0,0,D,2.5,3.1,2.5,2.5,3.15,2.48,2.4,3.0,2.6,2.5,3.1,2.5,2.45,3.1,2.45,1.9,1.78,1509.04,1590.79
