Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
SC3,03/08/02,East Stirling,Montrose,1,1,D,1,1,D,2.6,3.5,2.2,2.65,3.3,2.25,2.5,3.5,2.25,2.6,3.4,2.2,2.75,3.5,2.1,970.64,1045.15
SC3,03/08/02,Gretna,Morton,1,1,D,1,1,D,2.75,3.5,2.1,2.78,3.3,2.15,2.75,3.5,2.1,2.5,3.5,2.25,2.62,3.5,2.2,1140.0,1102.35
SC3,03/08/02,Peterhead,East Fife,0,2,A,0,1,A,1.667,3.6,4.0,1.65,3.6,4.15,1.667,3.6,4.0,1.615,3.5,4.333,1.61,3.75,4.2,1071.72,1017.88
SC3,03/08/02,Queens Park,Elgin,1,2,A,0,1,A,2.2,3.5,2.6,2.15,3.3,2.8,2.2,3.5,2.625,2.0,3.5,2.875,2.0,3.6,2.87,1011.19,1016.19
SC3,03/08/02,Stirling,Albion Rvs,0,1,A,0,1,A,2.5,3.5,2.25,2.5,3.3,2.35,2.5,3.5,2.25,2.5,3.4,2.3,2.37,3.5,2.37,971.97,1107.95
SC3,10/08/02,Albion Rvs,Peterhead,3,0,H,1,0,H,2.25,3.5,2.5,2.35,3.4,2.6,2.1,3.5,2.75,2.1,3.5,2.7,2.37,3.5,2.37,1119.16,1054.02
SC3,10/08/02,East Fife,East Stirling,4,1,H,3,1,H,1.833,3.5,3.4,1.95,3.45,3.2,1.833,3.5,3.4,1.833,3.5,3.3,1.9,3.6,3.1,1035.58,969.72
SC3,10/08/02,Elgin,Gretna,0,2,A,0,2,A,2.1,3.5,2.75,2.13,3.45,2.85,2.0,3.4,3.0,2.1,3.4,2.75,2.1,3.5,2.75,1032.03,1135.29
SC3,10/08/02,Montrose,Queens Park,1,0,H,1,0,H,2.0,3.4,3.0,1.93,3.5,3.3,1.833,3.5,3.4,1.833,3.4,3.4,1.9,3.6,3.1,1046.07,995.35
SC3,10/08/02,Morton,Stirling,5,1,H,3,1,H,1.571,3.75,4.5,1.62,3.65,4.65,1.615,3.5,4.5,1.571,3.6,4.5,1.57,3.75,4.5,1107.06,960.76
SC3,17/08/02,East Stirling,Albion Rvs,0,3,A,0,0,D,2.75,3.5,2.1,2.75,3.45,2.1,2.625,3.5,2.2,2.7,3.5,2.1,2.75,3.5,2.1,962.77,1126.13
SC3,17/08/02,Gretna,Montrose,4,1,H,2,1,H,2.3,3.4,2.5,2.45,3.6,2.25,2.375,3.5,2.375,2.5,3.3,2.3,2.5,3.6,2.25,1147.67,1053.46
