Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,EloHome,EloAway
F2,10/08/02,Metz,Reims,0,0,D,0,0,D,1.444,3.5,7.0,1.47,3.4,6.63,1.4,3.5,5.6,1.4,3.6,7.5,,,,2.1,1.55,1547.97,1465.76
F2,10/08/02,Niort,Amiens,2,0,H,0,0,D,2.0,2.75,3.8,2.04,2.8,4.0,1.85,2.8,3.5,1.909,2.875,4.0,,,,2.13,1.55,1497.28,1429.29
F2,10/08/02,St Etienne,Istres,3,0,H,2,0,H,1.571,3.25,5.5,1.64,3.3,5.3,1.5,3.2,5.0,1.571,3.25,5.5,,,,2.05,1.6,1472.76,1437.74
F2,10/08/02,Valence,Nancy,2,0,H,1,0,H,2.375,2.875,2.8,2.35,2.85,2.85,2.3,2.7,2.7,2.375,2.875,2.8,,,,2.05,1.6,1472.16,1481.27
F2,10/08/02,Wasquehal,Grenoble,1,1,D,0,1,A,2.1,2.75,3.5,2.1,2.8,3.6,1.9,2.8,3.4,2.0,2.875,3.6,,,,1.99,1.65,1419.95,1440.91
F2,11/08/02,Lorient,Toulouse,1,0,H,0,0,D,1.8,2.9,4.5,1.78,3.0,4.25,1.75,2.9,3.8,1.833,2.875,4.333,,,,1.9,1.7,1545.61,1555.89
F2,16/08/02,Nancy,Caen,0,0,D,0,0,D,2.25,2.875,3.0,2.28,2.87,3.17,2.2,2.7,2.9,2.3,2.9,2.9,,,,1.97,1.67,1471.97,1531.98
F2,17/08/02,Amiens,St Etienne,1,0,H,1,0,H,2.25,2.875,3.0,2.2,2.8,3.1,2.3,2.7,2.7,2.25,2.875,3.0,,,,1.9,1.6,1422.4,1480.63
F2,17/08/02,Chateauroux,Creteil,2,0,H,1,0,H,1.8,2.9,4.5,1.8,3.0,4.05,1.8,2.8,3.7,1.95,3.0,3.6,,,,2.05,1.6,1489.38,1462.33
F2,17/08/02,Clermont,Valence,1,0,H,1,0,H,1.909,2.875,4.0,1.9,2.9,3.8,1.9,2.8,3.4,1.95,3.0,3.6,,,,2.05,1.6,1468.22,1481.46
F2,17/08/02,Grenoble,Niort,1,0,H,0,0,D,2.0,2.875,3.6,1.95,2.9,3.6,2.0,2.7,3.3,2.1,2.875,3.3,,,,2.05,1.6,1443.71,1504.17
F2,17/08/02,Gueugnon,Wasquehal,0,2,A,0,2,A,1.909,2.875,4.0,1.95,2.9,3.6,2.0,2.7,3.3,2.0,2.875,3.6,,,,2.05,1.6,1419.49,1417.15
F2,17/08/02,Istres,Lorient,1,1,D,1,1,D,2.875,2.875,2.3,2.85,2.85,2.3,2.9,2.7,2.2,2.9,2.9,2.3,,,,1.95,1.65,1429.87,1554.95
F2,17/08/02,Laval,Beauvais,2,0,H,1,0,H,2.0,2.875,3.6,2.0,2.85,3.5,2.0,2.7,3.3,2.1,2.875,3.3,,,,2.05,1.6,1466.26,1493.03
F2,17/08/02,Reims,Le Mans,1,2,A,0,0,D,2.3,2.875,2.875,2.4,2.8,2.75,2.4,2.7,2.6,,,,,,,2.05,1.6,1471.77,1534.66
F2,17/08/02,Toulouse,Metz,3,0,H,1,0,H,2.4,2.9,2.75,2.45,2.8,2.7,2.4,2.7,2.6,2.4,2.875,2.75,,,,2.05,1.6,1546.55,1541.96
F2,24/08/02,Beauvais,Gueugnon,1,0,H,1,0,H,1.833,2.875,4.333,1.86,2.85,4.3,1.75,2.8,4.0,1.75,3.0,4.5,,,,2.1,1.6,1483.13,1403.41
F2,24/08/02,Caen,Laval,0,0,D,0,0,D,1.8,2.875,4.5,1.9,2.85,4.1,1.8,2.8,3.7,1.85,3.0,4.0,,,,1.9,1.7,1533.41,1476.16
