Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,EloHome,EloAway
SP1,22/09/02,Malaga,Valencia,2,2,D,2,0,H,2.7,3.0,2.4,2.75,3.05,2.42,2.5,3.0,2.5,,,,2.75,3.0,2.38,2.75,3.1,2.4,2.62,3.1,2.4,1.9,1.7,,,1735.89,1843.71
SP1,22/09/02,Mallorca,Ath Madrid,0,4,A,0,2,A,2.375,3.1,2.625,2.51,3.15,2.65,2.2,3.0,2.9,,,,2.38,3.0,2.75,2.375,3.1,2.75,2.37,3.1,2.62,1.75,1.85,,,1661.47,1668.35
SP1,22/09/02,Recreativo,Celta,0,3,A,0,1,A,3.0,3.0,2.2,3.15,3.15,2.21,3.2,3.1,2.0,,,,3.0,3.1,2.2,3.0,3.1,2.2,2.87,3.0,2.25,1.95,1.8,,,1610.61,1749.1
SP1,22/09/02,Sevilla,Ath Bilbao,1,1,D,0,0,D,1.909,3.25,3.4,2.01,3.15,3.65,1.9,3.1,3.5,,,,1.91,3.25,3.5,1.85,3.25,3.75,1.83,3.3,3.6,1.8,1.8,,,1678.05,1628.71
SP1,22/09/02,Sociedad,Betis,3,3,D,1,2,A,2.25,3.2,2.75,2.32,3.15,2.8,2.2,3.0,2.9,,,,,,,2.3,3.2,2.7,2.2,3.1,2.87,1.85,1.75,,,1697.22,1728.91
SP1,22/09/02,Vallecano,Santander,3,1,H,1,1,D,1.909,3.25,3.4,2.01,3.15,3.65,2.0,3.1,3.2,,,,1.91,3.25,3.5,1.909,3.25,3.6,1.9,3.1,3.6,1.85,1.95,,,1676.92,1657.6
SP1,22/09/02,Villarreal,Alaves,0,1,A,0,1,A,2.1,3.0,3.2,2.1,3.1,3.3,2.0,3.1,3.2,,,,2.1,3.2,3.1,2.1,3.2,3.1,2.0,3.1,3.3,1.8,1.8,,,1617.9,1636.04
SP1,28/09/02,Alaves,La Coruna,1,2,A,0,0,D,2.625,3.1,2.375,2.75,3.2,2.37,2.5,3.0,2.5,2.5,3.2,2.5,2.75,3.0,2.38,2.5,3.1,2.5,2.75,3.1,2.3,1.75,1.85,,,1651.43,1792.32
SP1,28/09/02,Betis,Barcelona,3,0,H,1,0,H,2.75,3.25,2.2,2.58,3.15,2.5,2.5,3.0,2.5,2.5,3.25,2.4,2.75,3.25,2.25,2.625,3.25,2.375,2.5,3.1,2.5,1.8,1.85,,,1731.34,1771.16
SP1,28/09/02,Valladolid,Real Madrid,1,1,D,0,1,A,4.5,3.3,1.667,3.05,3.1,2.1,4.2,3.2,1.7,4.5,3.25,1.67,4.5,3.4,1.67,4.75,3.3,1.615,4.33,3.2,1.72,1.67,1.95,,,1655.19,1792.6
