Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
E3,10/08/02,Boston,Bournemouth,2,2,D,0,1,A,A Kaye,5.0,8.0,2.0,5.0,14.0,12.0,3.0,5.0,3.0,2.0,0.0,0.0,2.4,3.2,2.6,,,,2.3,3.0,2.4,2.6,3.2,2.375,,,,2.375,3.2,2.625,2.37,3.1,2.62,1240.0,1195.14
E3,10/08/02,Cambridge,Darlington,1,2,A,1,1,D,J P Robinson,6.0,16.0,5.0,7.0,18.0,25.0,12.0,11.0,5.0,3.0,0.0,0.0,1.909,3.25,3.5,2.05,3.2,3.3,1.9,3.1,3.0,1.727,3.4,4.0,,,,1.909,3.25,3.5,2.0,3.2,3.2,1145.63,1118.21
E3,10/08/02,Carlisle,Hartlepool,1,3,A,0,1,A,G Cain,6.0,12.0,3.0,4.0,9.0,9.0,5.0,6.0,0.0,3.0,0.0,0.0,2.375,3.2,2.625,2.53,3.15,2.5,2.4,3.0,2.3,2.4,3.25,2.5,,,,2.6,3.2,2.4,2.5,3.1,2.5,1121.99,1245.9
E3,10/08/02,Hull,Southend,2,2,D,1,0,H,E Evans,14.0,14.0,6.0,7.0,21.0,12.0,3.0,4.0,4.0,5.0,1.0,0.0,1.533,3.5,5.5,1.55,3.5,5.6,1.55,3.3,4.5,1.615,3.25,5.0,,,,1.571,3.4,5.5,1.53,3.4,5.5,1130.07,1150.51
E3,10/08/02,Kidderminster,Lincoln,1,1,D,0,1,A,P Crossley,13.0,7.0,10.0,6.0,13.0,15.0,6.0,8.0,2.0,5.0,0.0,1.0,1.571,3.4,5.5,1.63,3.3,5.25,1.6,3.1,4.4,1.667,3.25,4.5,,,,1.667,3.4,4.5,1.61,3.25,5.0,1155.35,1076.92
E3,10/08/02,Macclesfield,York,1,1,D,1,0,H,P Joslin,9.0,6.0,5.0,3.0,16.0,12.0,9.0,8.0,2.0,3.0,0.0,0.0,2.1,3.25,3.0,2.28,3.3,2.7,2.2,3.0,2.6,2.2,3.25,2.75,,,,2.2,3.25,2.8,2.25,3.25,2.7,1155.85,1137.53
E3,10/08/02,Oxford,Bury,2,1,H,2,0,H,M Messias,4.0,12.0,4.0,8.0,13.0,14.0,4.0,8.0,3.0,3.0,0.0,0.0,1.909,3.25,3.5,1.94,3.45,3.3,1.9,3.1,3.0,2.1,3.2,3.0,,,,1.909,3.25,3.5,1.9,3.4,3.25,1065.14,1180.21
E3,10/08/02,Rochdale,Leyton Orient,1,0,H,0,0,D,E Ilderton,10.0,11.0,6.0,5.0,10.0,18.0,5.0,7.0,1.0,1.0,0.0,0.0,1.727,3.5,4.0,1.73,3.4,4.25,1.7,3.2,3.7,1.727,3.4,4.0,,,,1.8,3.25,4.0,1.72,3.4,4.0,1227.55,1130.81
E3,10/08/02,Scunthorpe,Wrexham,1,1,D,1,0,H,M Thorpe,11.0,12.0,6.0,6.0,19.0,13.0,5.0,7.0,1.0,1.0,0.0,0.0,2.1,3.25,3.0,2.25,3.25,2.8,2.2,3.0,2.6,2.25,3.2,2.75,,,,2.1,3.25,3.0,2.25,3.25,2.7,1203.52,1199.49
E3,10/08/02,Shrewsbury,Exeter,1,0,H,1,0,H,L Mason,,,,,,,,,,,,,1.667,3.5,4.333,1.73,3.35,4.3,1.7,3.2,3.7,1.727,3.4,4.0,,,,1.75,3.25,4.0,1.72,3.25,4.2,1172.03,1113.17
E3,10/08/02,Swansea,Rushden & D,2,2,D,1,1,D,A Penn,8.0,10.0,2.0,3.0,20.0,11.0,4.0,11.0,2.0,2.0,1.0,1.0,2.625,3.2,2.375,2.65,3.2,2.4,2.4,3.0,2.3,2.4,3.25,2.5,,,,2.6,3.2,2.4,2.62,3.1,2.37,1101.05,1240.71
E3,10/08/02,Torquay,Bristol Rvs,2,1,H,1,1,D,P Prosser,20.0,9.0,12.0,6.0,18.0,15.0,3.0,7.0,2.0,3.0,0.0,0.0,2.625,3.2,2.375,2.65,3.2,2.4,2.4,3.0,2.3,2.4,3.25,2.5,2.63,3.2,2.38,2.625,3.2,2.375,2.62,3.1,2.37,1126.57,1075.7
E3,13/08/02,Bournemouth,Kidderminster,0,0,D,0,0,D,S Tomlin,15.0,4.0,10.0,2.0,14.0,14.0,2.0,3.0,0.0,1.0,0.0,0.0,1.8,3.4,3.75,1.8,3.4,3.75,1.75,3.2,3.5,1.727,3.2,4.333,1.8,3.2,4.0,1.8,3.25,4.0,1.83,3.4,3.5,1200.07,1149.44
E3,13/08/02,Bristol Rvs,Hull,1,1,D,1,0,H,A D'Urso,12.0,13.0,6.0,7.0,13.0,11.0,1.0,2.0,0.0,3.0,0.0,1.0,2.375,3.2,2.625,2.4,3.25,2.55,2.3,3.0,2.4,2.4,3.25,2.5,2.5,3.2,2.5,2.4,3.2,2.6,2.4,3.25,2.5,1068.31,1127.26
E3,13/08/02,Bury,Cambridge,0,1,A,0,0,D,E Ilderton,13.0,7.0,5.0,3.0,13.0,10.0,9.0,8.0,3.0,1.0,0.0,0.0,2.0,3.25,3.25,2.0,3.3,3.18,1.9,3.1,3.0,1.909,3.25,3.4,2.0,3.25,3.25,1.909,3.25,3.5,2.1,3.2,3.0,1167.17,1128.74
E3,13/08/02,Darlington,Swansea,2,2,D,0,0,D,E Evans,8.0,6.0,4.0,3.0,13.0,15.0,6.0,3.0,2.0,1.0,0.0,0.0,1.8,3.25,4.0,1.85,3.25,3.7,1.85,3.1,3.2,1.909,3.25,3.4,1.83,3.25,3.75,1.85,3.25,3.75,1.9,3.25,3.4,1135.1,1102.47
E3,13/08/02,Exeter,Scunthorpe,1,1,D,0,0,D,C Penton,5.0,6.0,3.0,4.0,12.0,12.0,8.0,5.0,2.0,0.0,0.0,0.0,2.5,3.2,2.5,2.37,3.2,2.61,2.3,3.0,2.4,2.25,3.2,2.75,2.38,3.2,2.63,2.4,3.2,2.6,2.37,3.1,2.62,1106.02,1199.89
E3,13/08/02,Hartlepool,Boston,2,0,H,0,0,D,G Salisbury,18.0,6.0,6.0,2.0,11.0,10.0,8.0,2.0,3.0,2.0,0.0,0.0,1.667,3.4,4.5,,,,1.6,3.3,4.0,1.667,3.4,4.333,1.57,3.5,5.0,1.615,3.4,5.0,1.57,3.5,5.0,1257.54,1235.07
E3,13/08/02,Leyton Orient,Macclesfield,3,2,H,3,0,H,A Penn,10.0,3.0,7.0,2.0,12.0,17.0,10.0,3.0,1.0,4.0,0.0,0.0,1.833,3.25,3.75,1.75,3.4,3.95,1.75,3.2,3.5,1.833,3.2,3.75,1.8,3.2,4.0,1.85,3.25,3.75,1.72,3.4,4.0,1124.72,1151.75
E3,13/08/02,Lincoln,Rochdale,2,0,H,0,0,D,J Ross,6.0,8.0,3.0,3.0,19.0,9.0,7.0,7.0,3.0,0.0,0.0,0.0,2.625,3.2,2.375,2.63,3.15,2.38,2.4,3.0,2.3,2.6,3.2,2.375,,,,2.625,3.2,2.375,2.62,3.1,2.37,1082.83,1233.64
E3,13/08/02,Rushden & D,Torquay,3,0,H,1,0,H,L Mason,19.0,14.0,7.0,6.0,16.0,9.0,12.0,9.0,1.0,2.0,0.0,0.0,1.5,3.5,6.0,1.57,3.55,5.05,1.55,3.4,4.3,1.533,3.5,5.5,1.57,3.4,5.5,1.571,3.4,5.5,1.57,3.5,5.0,1239.29,1133.96
E3,13/08/02,Southend,Carlisle,0,1,A,0,0,D,M Thorpe,21.0,13.0,9.0,5.0,16.0,16.0,2.0,7.0,3.0,2.0,0.0,0.0,1.8,3.25,4.0,1.8,3.35,3.8,1.8,3.1,3.4,1.909,3.25,3.4,1.8,3.2,4.0,1.8,3.25,4.0,1.8,3.3,3.75,1153.32,1110.35
E3,13/08/02,Wrexham,Oxford,1,0,H,0,0,D,M Warren,18.0,3.0,9.0,1.0,9.0,11.0,5.0,6.0,1.0,1.0,0.0,0.0,1.8,3.25,4.0,1.83,3.25,3.8,1.85,3.1,3.2,1.909,3.25,3.4,1.91,3.25,3.5,1.8,3.25,4.0,1.83,3.2,3.75,1203.12,1078.18
E3,13/08/02,York,Shrewsbury,2,1,H,0,1,A,A Leake,13.0,9.0,4.0,2.0,13.0,13.0,8.0,4.0,1.0,2.0,0.0,0.0,1.909,3.25,3.5,2.0,3.25,3.25,2.1,3.0,2.8,2.25,3.2,2.75,2.2,3.25,2.8,2.0,3.25,3.25,2.0,3.2,3.2,1141.63,1179.18
E3,17/08/02,Bournemouth,Cambridge,1,1,D,0,1,A,P Crossley,11.0,9.0,7.0,5.0,7.0,5.0,10.0,7.0,0.0,0.0,0.0,0.0,1.727,3.5,4.0,1.75,3.41,4.1,1.7,3.2,3.7,1.8,3.25,3.75,1.73,3.25,4.33,1.75,3.4,4.0,1.66,3.3,4.5,1194.97,1145.97
E3,17/08/02,Bristol Rvs,Rochdale,1,2,A,1,1,D,M Warren,10.0,15.0,4.0,9.0,14.0,10.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,3.25,3.25,2.08,3.25,3.2,2.2,3.0,2.6,2.1,3.2,3.0,2.0,3.25,3.25,2.1,3.25,3.0,2.2,3.2,2.8,1066.84,1219.32
E3,17/08/02,Bury,Swansea,3,2,H,2,0,H,C Boyeson,12.0,9.0,9.0,2.0,11.0,14.0,9.0,6.0,0.0,3.0,0.0,1.0,2.1,3.25,3.0,2.17,3.25,2.92,2.2,3.0,2.6,2.1,3.2,3.0,2.1,3.25,3.0,2.1,3.25,3.0,2.3,3.25,2.62,1149.94,1107.02
E3,17/08/02,Darlington,Oxford,0,1,A,0,1,A,M Jones,11.0,5.0,3.0,2.0,10.0,15.0,5.0,2.0,1.0,0.0,0.0,0.0,1.909,3.25,3.5,1.98,3.25,3.5,2.0,3.0,2.9,2.1,3.2,3.0,1.91,3.25,3.5,2.0,3.25,3.25,2.0,3.2,3.2,1130.55,1072.8
E3,17/08/02,Exeter,Hull,3,1,H,2,1,H,S Tomlin,16.0,6.0,5.0,2.0,14.0,11.0,3.0,2.0,1.0,3.0,0.0,1.0,2.8,3.25,2.2,2.92,3.26,2.17,2.8,3.0,2.1,2.75,3.25,2.2,3.25,3.25,2.0,3.0,3.25,2.1,3.2,3.2,2.0,1105.8,1128.73
E3,17/08/02,Hartlepool,Macclesfield,0,2,A,0,0,D,G Laws,10.0,2.0,5.0,1.0,14.0,18.0,5.0,4.0,1.0,3.0,0.0,0.0,1.533,3.5,5.5,1.55,3.55,5.55,1.55,3.4,4.3,1.533,3.5,5.5,1.5,3.5,6.0,1.571,3.4,5.5,1.53,3.4,5.5,1265.81,1141.84
E3,17/08/02,Leyton Orient,Scunthorpe,2,0,H,1,0,H,P Rejer,7.0,4.0,4.0,1.0,12.0,15.0,6.0,4.0,2.0,2.0,0.0,0.0,2.25,3.25,2.75,2.22,3.26,2.85,2.1,3.0,2.8,2.1,3.2,3.0,2.2,3.25,2.8,2.3,3.2,2.7,2.1,3.2,3.0,1134.63,1200.11
E3,17/08/02,Lincoln,Carlisle,0,1,A,0,0,D,J P Robinson,13.0,3.0,7.0,0.0,10.0,11.0,8.0,4.0,1.0,3.0,1.0,3.0,2.2,3.25,2.8,2.22,3.25,2.85,2.2,3.0,2.6,2.25,3.2,2.75,2.2,3.25,2.8,2.1,3.25,3.0,2.3,3.25,2.62,1097.15,1127.72
E3,17/08/02,Rushden & D,Kidderminster,3,1,H,1,0,H,C Foy,6.0,5.0,2.0,2.0,19.0,11.0,7.0,2.0,3.0,3.0,0.0,1.0,1.615,3.4,5.0,1.7,3.46,4.35,1.65,3.2,3.9,1.727,3.2,4.333,1.67,3.4,4.5,1.7,3.4,4.333,1.66,3.3,4.5,1245.16,1154.54
E3,17/08/02,Southend,Shrewsbury,2,3,A,1,1,D,C Penton,9.0,16.0,4.0,8.0,14.0,19.0,5.0,7.0,5.0,3.0,0.0,0.0,2.0,3.25,3.25,2.1,3.25,3.15,2.1,3.0,2.8,2.25,3.2,2.75,2.2,3.25,2.8,2.1,3.25,3.0,2.1,3.2,3.0,1135.95,1168.9
E3,17/08/02,Wrexham,Boston,1,1,D,1,0,H,A Bates,10.0,10.0,6.0,5.0,15.0,9.0,8.0,7.0,0.0,1.0,0.0,0.0,1.727,3.25,4.333,,,,1.65,3.2,3.9,1.615,3.5,4.5,1.73,3.25,4.33,1.615,3.4,5.0,1.66,3.3,4.5,1208.5,1226.8
E3,17/08/02,York,Torquay,4,3,H,1,0,H,M Ryan,12.0,18.0,6.0,9.0,13.0,14.0,4.0,1.0,1.0,2.0,0.0,0.0,1.8,3.25,4.0,1.75,3.35,4.2,1.7,3.2,3.7,1.727,3.4,4.0,1.73,3.25,4.33,1.7,3.4,4.333,1.72,3.2,4.33,1151.91,1128.09
E3,24/08/02,Boston,Lincoln,2,0,H,1,0,H,P Dowd,11.0,9.0,6.0,6.0,11.0,13.0,10.0,3.0,2.0,2.0,0.0,1.0,2.1,3.0,3.25,,,,2.0,2.9,3.0,2.1,3.2,3.0,2.0,3.25,3.25,2.0,3.25,3.25,1.9,3.25,3.4,1229.69,1082.18
E3,24/08/02,Cambridge,Leyton Orient,2,1,H,1,0,H,B Curson,7.0,12.0,7.0,7.0,7.0,6.0,7.0,3.0,1.0,3.0,0.0,0.0,2.1,3.25,3.0,2.07,3.15,3.25,2.0,3.0,2.9,2.25,3.2,2.75,2.2,3.25,2.8,2.1,3.25,3.0,2.2,3.2,2.8,1151.02,1145.89
E3,24/08/02,Carlisle,Bristol Rvs,0,0,D,0,0,D,C Boyeson,10.0,10.0,5.0,4.0,20.0,19.0,7.0,5.0,6.0,1.0,0.0,0.0,1.909,3.25,3.5,2.0,3.3,3.1,2.0,3.0,2.9,1.833,3.4,3.5,2.0,3.25,3.25,2.0,3.25,3.25,2.1,3.2,3.0,1142.69,1056.21
E3,24/08/02,Hull,Bury,1,1,D,1,0,H,M Ryan,15.0,11.0,7.0,5.0,3.0,14.0,10.0,5.0,2.0,3.0,0.0,0.0,1.667,3.4,4.5,1.72,3.45,4.65,1.65,3.2,3.9,1.615,3.5,4.5,1.67,3.4,4.5,1.615,3.4,5.0,1.61,3.3,5.0,1118.96,1157.57
E3,24/08/02,Kidderminster,Exeter,4,3,H,2,2,D,G Hegley,12.0,8.0,7.0,5.0,12.0,10.0,5.0,11.0,3.0,2.0,0.0,0.0,1.833,3.25,3.75,1.91,3.25,3.65,1.9,3.1,3.0,2.0,3.4,3.0,1.83,3.25,3.75,1.909,3.25,3.5,2.0,3.2,3.2,1148.28,1115.57
E3,24/08/02,Macclesfield,Wrexham,0,1,A,0,0,D,C Webster,5.0,11.0,4.0,8.0,16.0,18.0,7.0,5.0,2.0,2.0,0.0,0.0,2.4,3.2,2.6,2.4,3.2,2.63,2.35,3.0,2.35,2.25,3.2,2.75,2.38,3.2,2.63,2.5,3.2,2.5,2.5,3.25,2.4,1161.44,1205.61
E3,24/08/02,Oxford,Southend,0,1,A,0,1,A,A Penn,21.0,7.0,12.0,3.0,16.0,16.0,10.0,4.0,2.0,1.0,0.0,0.0,1.909,3.25,3.5,1.76,3.35,4.2,1.7,3.2,3.7,1.667,3.4,4.333,1.67,3.4,4.5,1.667,3.4,4.5,1.72,3.4,4.0,1090.62,1121.07
E3,24/08/02,Rochdale,Darlington,1,1,D,1,1,D,S Mathieson,12.0,18.0,5.0,10.0,15.0,16.0,3.0,8.0,2.0,2.0,0.0,0.0,1.727,3.25,4.333,1.71,3.4,4.35,1.7,3.2,3.7,1.667,3.4,4.333,1.67,3.4,4.5,1.667,3.4,4.5,1.72,3.4,4.0,1229.95,1112.73
E3,24/08/02,Scunthorpe,York,2,1,H,2,1,H,E Evans,15.0,14.0,7.0,9.0,19.0,11.0,6.0,8.0,2.0,2.0,0.0,0.0,2.0,3.25,3.25,2.0,3.25,3.3,2.0,3.0,2.9,1.909,3.25,3.4,2.0,3.25,3.25,2.0,3.25,3.25,2.1,3.2,3.0,1188.85,1160.13
E3,24/08/02,Shrewsbury,Rushden & D,1,1,D,0,0,D,M Warren,9.0,12.0,5.0,6.0,17.0,13.0,9.0,8.0,2.0,0.0,0.0,1.0,2.5,3.2,2.5,2.55,3.15,2.5,2.35,3.0,2.35,2.375,3.2,2.6,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.1,2.5,1183.78,1251.42
