Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,EloHome,EloAway
P1,21/09/02,Belenenses,Pacos Ferreira,1,0,H,1,0,H,1.727,3.4,3.8,1.8,3.35,4.1,1.8,3.1,3.8,1.75,3.3,4.0,1.8,3.2,3.75,1.7,1.9,1513.72,1489.58
P1,21/09/02,Benfica,Leiria,3,1,H,1,1,D,1.3,4.333,8.0,1.31,4.65,8.75,1.3,4.2,8.0,1.286,4.5,8.0,1.3,4.2,8.0,1.65,1.95,1607.63,1516.74
P1,22/09/02,Beira Mar,Nacional,0,2,A,0,1,A,1.727,3.25,4.0,1.68,3.35,5.15,1.65,3.3,4.4,1.7,3.4,4.0,1.6,3.5,4.5,1.8,1.8,1422.74,1378.59
P1,22/09/02,Gil Vicente,Academica,1,1,D,1,0,H,1.667,3.4,4.333,1.65,3.35,5.15,1.65,3.3,4.4,1.667,3.3,4.5,1.65,3.4,4.3,1.9,1.7,1412.42,1380.07
P1,22/09/02,Maritimo,Setubal,0,5,A,0,3,A,1.615,3.4,4.5,1.64,3.45,5.4,1.6,3.4,4.6,1.615,3.4,4.6,1.6,3.5,4.5,1.8,1.8,1517.39,1424.46
P1,22/09/02,Sp Braga,Moreirense,2,1,H,0,0,D,1.571,3.25,5.0,1.57,3.65,5.55,1.55,3.5,4.8,1.571,3.5,5.0,1.55,3.5,4.8,1.7,1.9,1462.43,1367.37
P1,23/09/02,Guimaraes,Porto,0,2,A,0,1,A,2.75,3.25,2.1,3.1,3.2,2.15,3.0,3.1,2.1,2.9,3.25,2.1,3.0,3.1,2.1,1.8,1.8,1456.96,1664.21
P1,23/09/02,Sp Lisbon,Varzim,0,0,D,0,0,D,1.3,4.333,8.0,1.25,4.85,10.75,1.25,4.5,9.0,1.3,4.333,8.0,1.22,4.5,11.0,1.6,2.1,1661.68,1398.51
P1,24/09/02,Boavista,Santa Clara,1,0,H,0,0,D,,,,1.27,5.0,10.0,1.25,4.5,9.0,1.25,4.5,9.0,,,,1.65,1.95,1633.33,1397.74
P1,28/09/02,Nacional,Benfica,1,0,H,0,0,D,4.0,3.4,1.727,4.75,3.6,1.61,4.6,3.4,1.6,4.5,3.5,1.62,4.5,3.5,1.6,1.75,1.85,1396.0,1613.88
P1,28/09/02,Porto,Maritimo,1,0,H,1,0,H,1.286,4.5,8.0,1.29,4.7,8.95,1.25,4.5,9.0,1.29,4.5,8.0,1.25,4.5,9.0,1.6,2.15,1672.97,1498.58
P1,29/09/02,Moreirense,Leiria,2,1,H,1,0,H,2.375,3.1,2.625,2.4,3.25,2.62,2.4,2.9,2.7,2.3,3.25,2.6,2.25,3.0,2.8,,,1361.23,1510.49
P1,29/09/02,Pacos Ferreira,Boavista,3,1,H,1,1,D,2.75,3.2,2.25,3.1,3.3,2.08,3.1,3.0,2.1,3.0,3.2,2.1,2.9,3.0,2.2,1.9,1.7,1481.37,1636.49
P1,29/09/02,Santa Clara,Gil Vicente,4,2,H,2,1,H,1.909,3.25,3.4,1.9,3.25,3.68,1.9,3.0,3.6,1.85,3.25,3.6,1.8,3.3,3.6,1.8,1.8,1394.58,1407.88
P1,29/09/02,Setubal,Beira Mar,1,1,D,1,1,D,1.8,3.25,3.75,1.77,3.35,4.2,1.65,3.3,4.4,1.73,3.4,4.0,1.8,3.45,3.45,1.85,1.75,1443.27,1405.33
P1,29/09/02,Sp Braga,Sp Lisbon,4,2,H,3,2,H,3.0,3.2,2.1,3.05,3.3,2.2,3.0,3.1,2.1,3.0,3.2,2.1,3.1,3.1,2.05,1.85,1.8,1468.57,1651.93
P1,29/09/02,Varzim,Belenenses,0,2,A,0,1,A,2.4,3.25,2.5,2.45,3.35,2.5,2.4,2.9,2.7,2.4,3.2,2.5,2.35,3.25,2.5,,,1408.26,1521.93
P1,30/09/02,Academica,Guimaraes,2,2,D,1,1,D,2.75,3.25,2.2,2.74,3.3,2.28,2.7,2.9,2.4,2.7,3.2,2.25,2.45,3.1,2.45,1.9,1.7,1384.61,1448.2
P1,05/10/02,Belenenses,Sp Braga,3,2,H,2,0,H,1.667,3.4,4.333,1.8,3.4,4.25,1.85,3.1,3.6,1.7,3.4,4.2,1.8,3.4,3.5,1.85,1.75,1533.94,1484.01
P1,05/10/02,Benfica,Setubal,1,1,D,0,0,D,1.333,4.333,7.0,1.33,4.5,8.5,1.3,4.2,8.0,1.3,4.333,8.0,1.25,4.2,10.0,1.6,2.0,1597.29,1438.55
P1,05/10/02,Leiria,Nacional,1,0,H,0,0,D,1.727,3.4,4.0,1.85,3.45,3.9,1.85,3.1,3.6,1.727,3.4,4.0,1.8,3.4,3.5,1.85,1.75,1496.23,1412.59
P1,06/10/02,Gil Vicente,Pacos Ferreira,1,1,D,1,0,H,2.3,3.25,2.625,2.36,3.3,2.8,2.3,2.9,2.8,2.25,3.25,2.7,2.25,3.1,2.75,1.8,1.8,1398.44,1495.84
P1,06/10/02,Guimaraes,Santa Clara,5,0,H,2,0,H,1.615,3.5,4.5,1.63,3.55,5.0,1.6,3.4,4.6,1.615,3.5,4.5,1.6,3.3,4.75,1.85,1.75,1449.51,1404.02
P1,06/10/02,Maritimo,Academica,2,1,H,1,0,H,1.533,3.6,5.0,1.61,3.65,5.3,1.55,3.5,4.8,1.533,3.4,5.5,1.55,3.5,5.0,1.8,1.8,1494.31,1383.3
P1,07/10/02,Beira Mar,Porto,1,1,D,0,1,A,4.333,3.4,1.667,4.8,3.45,1.66,4.4,3.3,1.65,4.5,3.5,1.615,4.1,3.3,1.7,1.8,1.8,1410.05,1677.24
P1,07/10/02,Sp Lisbon,Moreirense,3,0,H,2,0,H,1.25,5.0,8.0,1.26,4.75,9.9,1.25,4.5,9.0,1.222,4.75,10.0,1.2,4.5,12.0,1.6,2.0,1636.49,1375.49
P1,08/10/02,Boavista,Varzim,2,1,H,1,1,D,,,,1.32,4.5,8.0,1.35,4.0,7.0,1.3,4.333,8.0,1.25,4.33,10.0,1.7,1.95,1622.02,1396.25
P1,19/10/02,Sp Braga,Boavista,1,0,H,0,0,D,2.625,3.1,2.375,2.5,3.2,2.5,2.7,3.0,2.3,2.625,3.2,2.3,2.65,3.1,2.3,1.8,1.8,1476.59,1625.34
P1,20/10/02,Academica,Beira Mar,1,1,D,1,1,D,2.1,3.2,3.0,2.2,3.2,2.9,2.1,3.0,3.1,2.2,3.25,2.75,2.1,3.2,2.9,1.75,1.85,1377.58,1415.64
P1,20/10/02,Moreirense,Nacional,2,0,H,1,0,H,2.25,3.2,2.75,2.25,3.2,2.8,2.1,3.0,3.1,2.25,3.2,2.7,2.05,3.2,3.0,1.75,1.85,1372.71,1406.14
P1,20/10/02,Porto,Benfica,2,1,H,1,1,D,1.909,3.25,3.4,1.85,3.3,3.76,1.75,3.2,4.0,1.909,3.2,3.5,1.83,3.2,3.75,1.85,1.75,1671.65,1589.39
P1,20/10/02,Setubal,Leiria,0,0,D,0,0,D,1.8,3.3,3.75,1.8,3.3,3.9,1.9,3.1,3.5,1.8,3.25,3.8,1.7,3.4,4.0,1.75,1.85,1446.45,1502.68
P1,20/10/02,Sp Lisbon,Belenenses,2,0,H,1,0,H,1.571,3.5,5.0,1.55,3.5,5.25,1.5,3.7,5.0,1.6,3.5,4.75,1.55,3.4,5.2,1.65,1.95,1639.27,1541.36
P1,20/10/02,Varzim,Gil Vicente,3,0,H,3,0,H,1.909,3.25,3.4,1.85,3.3,3.7,1.9,3.1,3.5,1.909,3.2,3.5,1.8,3.3,3.6,1.8,1.8,1392.93,1398.35
P1,21/10/02,Pacos Ferreira,Guimaraes,1,2,A,0,1,A,2.1,3.2,3.0,2.12,3.38,3.0,2.0,3.1,3.2,2.1,3.2,3.0,1.9,3.3,3.3,1.7,1.9,1495.93,1457.06
P1,25/10/02,Belenenses,Moreirense,1,0,H,0,0,D,1.4,3.75,7.0,1.42,3.8,7.0,1.45,3.6,5.8,1.4,4.0,6.5,1.45,3.4,6.5,1.7,1.9,1535.3,1382.84
P1,26/10/02,Benfica,Academica,1,1,D,0,0,D,1.2,5.0,11.0,1.2,5.5,11.0,1.25,4.5,9.0,1.222,5.0,10.0,1.2,4.75,11.0,1.62,2.0,1582.91,1375.37
P1,26/10/02,Boavista,Sp Lisbon,1,2,A,0,1,A,2.3,3.25,2.625,2.25,3.2,2.9,2.2,3.0,2.9,2.25,3.2,2.8,2.2,3.2,2.7,1.85,1.75,1611.1,1645.33
P1,26/10/02,Leiria,Porto,2,2,D,1,2,A,4.333,3.2,1.727,4.3,3.4,1.72,3.8,3.1,1.8,4.333,3.25,1.727,3.9,3.1,1.8,1.9,1.7,1504.25,1678.13
P1,27/10/02,Beira Mar,Santa Clara,2,1,H,2,1,H,1.833,3.25,3.75,1.96,3.3,3.6,1.85,3.1,3.6,1.909,3.2,3.6,1.85,3.2,3.5,1.8,1.8,1417.85,1396.47
P1,27/10/02,Guimaraes,Varzim,2,3,A,1,0,H,1.615,3.3,5.0,1.62,3.5,5.5,1.55,3.4,5.0,1.533,3.6,5.5,1.55,3.4,5.0,1.65,1.95,1474.31,1402.11
P1,27/10/02,Maritimo,Pacos Ferreira,2,0,H,2,0,H,1.909,3.0,3.75,2.0,3.2,3.4,1.9,3.1,3.5,1.909,3.2,3.6,1.8,3.2,3.75,1.8,1.8,1500.03,1478.68
P1,27/10/02,Nacional,Setubal,1,1,D,0,1,A,2.1,3.2,3.0,2.15,3.2,3.0,2.2,3.0,2.9,2.1,3.2,3.1,2.1,3.0,3.1,1.9,1.7,1396.01,1444.88
P1,28/10/02,Gil Vicente,Sp Braga,3,0,H,3,0,H,2.375,3.1,2.6,2.46,3.1,2.65,2.2,3.0,2.9,2.375,3.2,2.625,2.25,3.15,2.65,1.9,1.7,1389.17,1490.83
P1,02/11/02,Sp Braga,Guimaraes,2,4,A,0,3,A,2.0,3.2,3.0,2.1,3.2,3.2,1.9,3.1,3.5,2.1,3.2,3.0,2.0,3.3,3.0,,,1478.27,1456.08
P1,02/11/02,Sp Lisbon,Gil Vicente,0,3,A,0,2,A,1.25,5.0,8.0,1.27,5.0,9.5,1.25,4.5,9.0,1.222,5.0,9.0,1.2,4.7,11.0,,,1660.17,1401.73
P1,03/11/02,Academica,Leiria,3,2,H,2,2,D,2.2,3.25,2.75,2.3,3.2,2.8,2.2,3.0,2.9,2.25,3.2,2.75,2.25,3.15,2.7,,,1384.23,1506.87
P1,03/11/02,Moreirense,Setubal,2,2,D,1,1,D,2.375,3.1,2.625,2.4,3.2,2.7,2.3,3.0,2.7,2.375,3.1,2.6,2.3,3.2,2.6,,,1378.1,1446.71
P1,03/11/02,Pacos Ferreira,Beira Mar,1,0,H,0,0,D,1.667,3.3,4.5,1.76,3.35,4.3,1.8,3.1,3.8,1.727,3.4,4.0,1.75,3.3,3.8,,,1470.38,1426.15
P1,03/11/02,Santa Clara,Benfica,1,2,A,1,1,D,3.2,3.2,2.0,3.55,3.25,1.96,3.2,3.1,2.0,3.4,3.25,1.9,3.4,3.3,1.85,,,1388.17,1574.05
P1,03/11/02,Varzim,Maritimo,4,1,H,1,0,H,2.0,3.2,3.2,2.05,3.25,3.25,2.0,3.1,3.2,1.909,3.25,3.4,1.9,3.3,3.25,,,1420.34,1508.33
P1,04/11/02,Belenenses,Boavista,0,0,D,0,0,D,2.375,3.25,2.5,2.4,3.2,2.7,2.3,3.0,2.7,2.3,3.2,2.625,2.3,3.2,2.55,1.91,1.82,1540.04,1596.26
P1,04/11/02,Porto,Nacional,5,2,H,3,1,H,1.2,5.0,11.0,1.22,5.5,10.0,1.25,4.5,9.0,1.2,5.0,10.0,1.2,5.0,10.0,1.77,1.97,1675.51,1394.18
P1,08/11/02,Guimaraes,Sp Lisbon,1,3,A,0,1,A,2.5,3.2,2.4,2.72,3.26,2.37,2.8,3.1,2.2,2.5,3.25,2.4,2.75,3.1,2.25,1.7,1.9,1472.8,1637.99
P1,09/11/02,Boavista,Moreirense,0,0,D,0,0,D,1.25,4.5,8.0,1.33,4.5,8.75,1.3,4.2,8.0,1.333,4.0,8.0,1.3,4.2,8.0,1.45,2.35,1597.83,1376.97
P1,09/11/02,Maritimo,Sp Braga,3,0,H,2,0,H,1.8,3.25,3.75,1.8,3.3,4.1,1.9,3.1,3.5,1.833,3.2,3.75,1.7,3.25,4.2,1.75,1.85,1496.26,1461.55
