Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
SC1,14/09/02,Arbroath,St Mirren,2.0,2.0,D,1.0,1.0,D,2.3,3.4,2.5,2.42,3.4,2.37,2.3,3.1,2.3,2.6,3.2,2.375,2.375,3.5,2.375,2.5,3.3,2.37,1364.0,1368.69
SC1,14/09/02,Ayr,St Johnstone,0.0,0.0,D,0.0,0.0,D,2.375,3.5,2.375,2.5,3.5,2.25,2.5,3.1,2.2,2.5,3.5,2.25,2.75,3.5,2.1,2.75,3.25,2.2,1467.34,1395.91
SC1,14/09/02,Clyde,Alloa,0.0,0.0,D,0.0,0.0,D,1.727,3.6,3.75,,,,1.7,3.3,3.6,1.667,3.6,4.0,1.8,3.4,3.6,1.9,3.5,3.2,1408.33,1313.98
SC1,14/09/02,Queen of Sth,Inverness C,1.0,3.0,A,0.0,2.0,A,2.3,3.4,2.5,2.37,3.4,2.42,2.3,3.1,2.3,2.375,3.5,2.375,2.375,3.5,2.375,2.37,3.3,2.5,1357.48,1413.48
SC1,14/09/02,Ross County,Falkirk,1.0,1.0,D,0.0,0.0,D,3.2,3.5,1.909,3.1,3.6,1.9,2.9,3.2,1.9,3.0,3.4,2.0,3.2,3.5,1.909,3.2,3.5,1.9,1438.14,1425.16
SC1,21/09/02,Alloa,Ayr,0.0,1.0,A,0.0,0.0,D,3.2,3.5,1.909,2.95,3.45,2.0,2.7,3.1,2.1,2.75,3.25,2.2,3.0,3.4,2.0,2.8,3.4,2.1,1320.32,1461.63
SC1,21/09/02,Falkirk,Clyde,2.0,1.0,H,0.0,0.0,D,1.444,3.75,6.0,,,,1.4,3.8,5.0,1.4,4.0,6.0,1.444,3.75,6.0,1.44,3.75,6.0,1429.09,1401.99
SC1,21/09/02,Inverness C,Arbroath,5.0,0.0,H,1.0,0.0,H,1.667,3.6,4.0,1.65,3.65,4.0,1.65,3.3,3.8,1.667,3.6,4.0,1.615,3.6,4.2,1.66,3.6,4.0,1427.55,1360.65
SC1,21/09/02,St Johnstone,Ross County,1.0,1.0,D,1.0,0.0,H,1.533,3.75,4.75,1.5,3.65,5.3,1.5,3.6,4.4,1.615,3.5,4.5,1.533,3.6,5.0,1.53,3.6,5.0,1401.62,1434.21
SC1,21/09/02,St Mirren,Queen of Sth,2.0,1.0,H,1.0,1.0,D,1.909,3.5,3.2,1.9,3.4,3.25,1.9,3.2,2.9,2.1,3.5,2.75,1.85,3.5,3.3,1.9,3.5,3.2,1372.04,1343.41
SC1,28/09/02,Ayr,St Mirren,1.0,1.0,D,1.0,0.0,H,1.8,3.5,3.5,1.7,3.6,3.8,1.8,3.2,3.3,1.73,3.5,3.75,1.8,3.4,3.6,1.8,3.5,3.5,1472.65,1380.11
SC1,28/09/02,Clyde,Inverness C,3.0,0.0,H,2.0,0.0,H,2.75,3.5,2.1,2.67,3.4,2.25,2.7,3.1,2.1,2.5,3.5,2.25,2.7,3.5,2.1,2.8,3.4,2.1,1393.87,1434.47
SC1,28/09/02,Falkirk,St Johnstone,1.0,0.0,H,0.0,0.0,D,1.909,3.5,3.2,2.08,3.38,3.0,2.0,3.1,2.8,1.83,3.4,3.5,2.0,3.4,3.0,2.2,3.3,2.7,1437.21,1399.22
SC1,28/09/02,Queen of Sth,Arbroath,2.0,2.0,D,1.0,1.0,D,2.1,3.5,2.75,2.02,3.48,2.95,2.0,3.1,2.8,2.1,3.5,2.75,2.1,3.5,2.75,1.9,3.5,3.2,1335.34,1353.73
SC1,28/09/02,Ross County,Alloa,0.0,1.0,A,0.0,0.0,D,1.571,3.5,5.0,1.64,3.55,4.52,1.6,3.4,3.9,1.57,3.5,5.0,1.62,3.5,4.5,1.66,3.6,4.0,1436.61,1309.3
SC1,05/10/02,Alloa,Queen of Sth,0.0,1.0,A,0.0,1.0,A,2.25,3.5,2.5,2.2,3.4,2.6,2.1,3.1,2.7,2.1,3.5,2.75,2.2,3.4,2.6,2.25,3.4,2.6,1328.98,1332.46
SC1,05/10/02,Arbroath,Falkirk,2.0,0.0,H,0.0,0.0,D,4.333,3.6,1.615,4.4,3.6,1.6,3.8,3.3,1.65,4.0,3.6,1.67,4.333,3.5,1.615,4.33,3.6,1.61,1356.61,1444.99
SC1,05/10/02,Inverness C,Ayr,2.0,0.0,H,1.0,0.0,H,2.2,3.5,2.6,2.11,3.35,2.9,2.0,3.1,2.8,2.0,3.4,3.0,2.1,3.5,2.7,2.1,3.4,2.8,1424.09,1466.35
SC1,05/10/02,St Johnstone,Clyde,0.0,1.0,A,0.0,1.0,A,1.571,3.75,4.5,1.5,3.6,5.4,1.5,3.6,4.4,1.62,3.5,4.5,1.533,3.5,5.0,1.5,3.6,5.5,1391.44,1404.25
SC1,05/10/02,St Mirren,Ross County,1.0,1.0,D,1.0,1.0,D,2.1,3.5,2.75,2.1,3.35,2.8,2.1,3.1,2.7,2.2,3.25,2.75,2.1,3.4,2.75,2.25,3.2,2.75,1386.41,1416.93
SC1,12/10/02,Clyde,Queen of Sth,2.0,1.0,H,0.0,1.0,A,1.8,3.5,3.5,1.8,3.5,3.5,1.85,3.1,3.2,1.73,3.5,3.75,1.833,3.4,3.4,1.9,3.4,3.25,1419.82,1348.35
SC1,19/10/02,Alloa,Inverness C,0.0,6.0,A,0.0,4.0,A,3.4,3.5,1.833,3.45,3.5,1.8,3.3,3.2,1.8,3.5,3.5,1.8,3.5,3.5,1.8,3.25,3.4,1.9,1313.09,1434.53
SC1,19/10/02,Falkirk,Ayr,3.0,0.0,H,0.0,0.0,D,1.571,3.5,5.0,1.55,3.75,4.6,1.6,3.4,3.9,1.62,3.5,4.5,1.533,3.6,5.0,1.57,3.75,4.5,1432.91,1455.91
SC1,19/10/02,Ross County,Arbroath,4.0,0.0,H,3.0,0.0,H,2.0,3.4,3.0,1.9,3.4,3.25,1.9,3.2,2.9,1.8,3.5,3.5,2.0,3.4,3.0,1.9,3.4,3.25,1419.4,1368.69
