Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
SC1,01/02/03,Ayr,St Mirren,0.0,0.0,D,0.0,0.0,D,1.83,3.5,3.4,1.75,3.65,3.5,1.8,3.3,3.2,1.73,3.5,3.75,1.8,3.5,3.5,1.9,3.4,3.25,1445.68,1362.43
SC1,01/02/03,Falkirk,St Johnstone,1.0,1.0,D,0.0,1.0,A,1.72,3.6,3.75,1.65,3.6,4.05,1.65,3.3,3.8,1.57,3.75,4.5,1.62,3.6,4.33,1.66,3.6,4.0,1480.04,1401.14
SC1,01/02/03,Ross County,Alloa,1.0,2.0,A,0.0,2.0,A,1.8,3.5,3.5,1.75,3.55,3.6,1.75,3.3,3.4,1.73,3.5,3.75,1.73,3.5,3.8,1.83,3.5,3.4,1368.12,1280.6
SC1,08/02/03,Arbroath,Clyde,1.0,2.0,A,0.0,1.0,A,3.4,3.5,1.833,3.6,3.55,1.83,3.2,3.3,1.8,3.5,3.5,1.8,3.4,3.5,1.833,3.6,3.4,1.8,1278.2,1472.02
SC1,08/02/03,Ayr,Ross County,1.0,1.0,D,1.0,0.0,H,1.615,3.6,4.333,1.68,3.65,4.25,1.65,3.3,3.8,1.62,3.5,4.5,1.667,3.6,4.0,1.66,3.5,4.2,1439.64,1349.46
SC1,08/02/03,Inverness C,Falkirk,3.0,4.0,A,2.0,2.0,D,2.4,3.4,2.4,2.25,3.4,2.75,2.2,3.1,2.5,2.2,3.25,2.75,2.25,3.4,2.6,2.3,3.4,2.5,1486.66,1474.12
SC1,08/02/03,Queen of Sth,St Johnstone,1.0,2.0,A,1.0,0.0,H,2.625,3.4,2.2,2.65,3.35,2.33,2.4,3.3,2.2,2.38,3.5,2.38,2.6,3.5,2.2,2.5,3.4,2.3,1377.62,1407.06
SC1,08/02/03,St Mirren,Alloa,1.0,1.0,D,0.0,1.0,A,1.8,3.5,3.5,1.78,3.55,3.85,1.75,3.4,3.4,1.83,3.5,3.4,1.833,3.5,3.4,1.83,3.5,3.4,1368.47,1299.26
SC1,15/02/03,Falkirk,St Mirren,3.0,1.0,H,1.0,0.0,H,1.444,3.75,6.0,1.38,4.0,7.0,1.35,4.0,5.5,1.4,4.0,6.0,1.4,3.75,7.0,1.36,4.0,7.0,1490.53,1362.82
SC1,15/02/03,St Johnstone,Inverness C,2.0,0.0,H,0.0,0.0,D,2.2,3.4,2.625,2.4,3.35,2.5,2.3,3.1,2.3,2.1,3.5,2.75,2.3,3.4,2.5,2.37,3.3,2.5,1422.06,1470.25
SC1,23/02/03,St Mirren,Queen of Sth,2.0,2.0,D,1.0,0.0,H,2.1,3.5,2.75,,,,,,,,,,,,,2.4,3.4,2.4,1357.51,1362.62
SC1,25/02/03,Alloa,Arbroath,3.0,2.0,H,1.0,0.0,H,2.1,3.5,2.75,2.0,3.4,3.05,1.9,3.2,2.9,2.0,3.4,3.0,2.0,3.4,3.0,1.83,3.5,3.4,1304.91,1269.0
SC1,25/02/03,Ayr,Falkirk,1.0,0.0,H,1.0,0.0,H,3.2,3.5,1.909,3.2,3.5,1.9,2.9,3.2,1.9,3.4,3.5,1.83,3.2,3.5,1.909,3.2,3.5,1.9,1433.41,1495.84
SC1,25/02/03,Inverness C,Ross County,1.0,5.0,A,0.0,3.0,A,1.571,3.75,4.5,1.5,3.75,5.25,1.5,3.6,4.4,1.44,4.0,5.5,1.571,3.75,4.5,1.57,3.75,4.5,1459.6,1355.69
SC1,25/02/03,Queen of Sth,Clyde,1.0,1.0,D,1.0,0.0,H,2.6,3.5,2.2,2.7,3.4,2.2,2.5,3.1,2.2,3.0,3.4,2.0,2.6,3.4,2.25,2.6,3.4,2.25,1365.95,1481.22
SC1,01/03/03,Alloa,St Johnstone,1.0,2.0,A,1.0,1.0,D,3.75,3.6,1.727,3.6,3.6,1.75,3.3,3.4,1.75,3.75,3.5,1.73,3.5,3.5,1.8,3.6,3.75,1.72,1312.76,1432.71
SC1,01/03/03,Arbroath,Ayr,1.0,2.0,A,1.0,0.0,H,2.875,3.6,2.0,3.0,3.4,2.0,2.7,3.3,2.0,3.0,3.2,2.1,3.0,3.4,2.0,3.0,3.4,2.0,1261.15,1444.56
SC1,01/03/03,Clyde,Ross County,1.0,0.0,H,1.0,0.0,H,1.667,3.6,4.0,1.6,3.65,4.35,1.6,3.4,3.9,1.57,3.75,4.5,1.615,3.6,4.333,1.72,3.6,3.75,1480.67,1374.79
SC1,01/03/03,Inverness C,St Mirren,3.0,1.0,H,1.0,1.0,D,1.667,3.6,4.0,1.6,3.65,4.35,1.6,3.4,3.9,1.57,3.75,4.5,1.615,3.6,4.333,1.61,3.75,4.2,1440.5,1354.18
SC1,01/03/03,Queen of Sth,Falkirk,2.0,1.0,H,0.0,0.0,D,3.5,3.5,1.8,3.6,3.6,1.75,3.3,3.4,1.75,3.75,3.5,1.73,3.75,3.6,1.727,3.6,3.75,1.72,1366.5,1484.69
SC1,04/03/03,Ayr,St Johnstone,0.0,1.0,A,0.0,0.0,D,2.5,3.4,2.3,2.5,3.4,2.45,2.25,3.3,2.25,2.38,3.5,2.38,2.38,3.5,2.38,2.5,3.4,2.3,1454.12,1444.49
SC1,04/03/03,Falkirk,Clyde,3.0,0.0,H,3.0,0.0,H,1.72,3.6,3.75,1.73,3.75,3.85,1.7,3.3,3.6,1.8,3.4,3.6,1.67,3.6,4.0,1.66,3.6,4.0,1471.54,1486.52
SC1,04/03/03,Inverness C,Arbroath,2.0,0.0,H,1.0,0.0,H,1.4,3.75,7.0,1.4,4.25,6.5,1.35,3.9,5.8,1.4,4.0,6.0,1.4,4.0,6.0,1.36,4.2,6.5,1446.87,1251.59
SC1,08/03/03,Ayr,Queen of Sth,0.0,1.0,A,0.0,1.0,A,1.8,3.5,3.5,1.8,3.45,3.55,1.8,3.3,3.2,1.73,3.5,3.75,1.8,3.5,3.5,1.9,3.5,3.2,1437.8,1379.65
SC1,08/03/03,Falkirk,Alloa,3.0,1.0,H,1.0,0.0,H,1.364,4.0,7.0,1.4,3.85,6.75,1.35,3.8,6.2,1.33,4.5,6.5,1.364,4.0,7.0,1.33,4.33,7.0,1481.04,1300.98
SC1,08/03/03,Ross County,Inverness C,0.0,2.0,A,0.0,0.0,D,2.6,3.5,2.2,2.45,3.5,2.3,2.4,3.3,2.2,2.38,3.5,2.38,2.6,3.4,2.25,2.5,3.4,2.3,1368.94,1450.73
SC1,08/03/03,St Johnstone,Arbroath,2.0,1.0,H,1.0,1.0,D,1.333,4.5,6.5,1.36,4.0,7.0,1.3,4.0,7.0,1.33,4.33,7.0,1.3,4.5,7.5,1.33,4.33,7.0,1460.81,1247.73
SC1,08/03/03,St Mirren,Clyde,1.0,2.0,A,0.0,0.0,D,2.6,3.5,2.2,2.55,3.45,2.25,2.4,3.3,2.2,2.75,3.25,2.2,2.6,3.4,2.25,2.62,3.5,2.2,1347.81,1477.02
SC1,11/03/03,Clyde,Alloa,2.0,2.0,D,0.0,1.0,A,1.44,3.75,6.0,1.44,3.75,6.0,1.4,3.7,5.3,1.44,4.0,5.5,1.44,3.75,6.0,1.44,4.0,5.5,1488.47,1296.82
SC1,11/03/03,Queen of Sth,Inverness C,0.0,0.0,D,0.0,0.0,D,2.5,3.5,2.25,2.65,3.4,2.2,2.4,3.3,2.2,2.75,3.25,2.2,2.62,3.4,2.2,2.6,3.4,2.25,1397.48,1463.88
SC1,11/03/03,Ross County,Falkirk,0.0,1.0,A,0.0,1.0,A,3.75,3.6,1.72,3.5,3.3,1.85,3.3,3.4,1.75,3.4,3.5,1.83,3.6,3.4,1.8,3.75,3.6,1.72,1355.79,1485.2
SC1,15/03/03,Arbroath,Inverness C,1.0,3.0,A,1.0,0.0,H,4.0,3.6,1.66,4.15,3.6,1.65,4.2,3.5,1.55,4.5,3.75,1.57,4.33,3.6,1.62,4.5,4.0,1.53,1244.19,1465.09
SC1,15/03/03,Ayr,Alloa,0.0,1.0,A,0.0,0.0,D,1.57,3.75,4.5,1.62,3.6,4.35,1.6,3.5,3.7,1.67,3.6,4.0,1.62,3.6,4.33,1.57,3.75,4.5,1419.97,1305.39
SC1,15/03/03,Clyde,Falkirk,0.0,0.0,D,0.0,0.0,D,2.6,3.5,2.2,2.6,3.45,2.22,2.4,3.3,2.2,2.38,3.5,2.38,2.62,3.4,2.2,2.6,3.4,2.25,1479.9,1496.64
SC1,15/03/03,Queen of Sth,St Mirren,0.0,2.0,A,0.0,1.0,A,1.9,3.4,3.25,1.95,3.45,3.1,1.9,3.2,2.9,1.8,3.5,3.5,1.83,3.5,3.4,1.9,3.5,3.2,1396.27,1336.36
SC1,15/03/03,Ross County,St Johnstone,2.0,3.0,A,0.0,2.0,A,3.25,3.4,1.9,3.35,3.5,1.85,3.2,3.3,1.8,3.0,3.4,2.0,3.25,3.4,1.91,3.4,3.6,1.8,1344.35,1464.35
SC1,18/03/03,Clyde,Inverness C,4.0,1.0,H,3.0,1.0,H,2.37,3.5,2.37,2.38,3.3,2.5,2.25,3.3,2.25,2.25,3.4,2.62,2.3,3.4,2.5,2.37,3.3,2.5,1476.96,1473.41
SC1,18/03/03,Queen of Sth,Arbroath,3.0,0.0,H,2.0,0.0,H,1.53,4.0,4.5,1.53,3.75,5.0,1.5,3.6,4.4,1.53,3.75,5.0,1.53,3.6,5.0,1.53,4.0,4.5,1378.39,1235.87
SC1,22/03/03,Clyde,Ayr,3.0,0.0,H,1.0,0.0,H,1.667,3.6,4.0,1.61,3.6,4.4,,,,1.62,3.5,4.5,,,,1.61,3.6,4.33,1485.84,1400.6
SC1,22/03/03,Ross County,Queen of Sth,0.0,3.0,A,0.0,1.0,A,2.375,3.5,2.375,2.35,3.4,2.45,,,,2.38,3.5,2.38,,,,2.4,3.4,2.4,1332.57,1383.35
SC1,22/03/03,St Mirren,St Johnstone,1.0,3.0,A,0.0,2.0,A,3.4,3.5,1.833,3.5,3.5,1.8,,,,3.5,3.5,1.8,,,,3.5,3.5,1.8,1354.24,1476.13
SC1,25/03/03,Alloa,Ayr,2.0,3.0,A,1.0,1.0,D,2.25,3.5,2.5,2.2,3.5,2.6,2.2,3.3,2.4,2.25,3.5,2.5,2.38,3.5,2.38,2.2,3.5,2.62,1324.76,1394.2
SC1,29/03/03,Alloa,Falkirk,1.0,3.0,A,1.0,2.0,A,4.33,3.6,1.61,4.3,3.6,1.62,4.2,3.5,1.55,4.0,3.6,1.67,4.2,3.75,1.62,4.5,4.0,1.53,1311.16,1499.58
SC1,29/03/03,Arbroath,St Mirren,1.0,1.0,D,0.0,1.0,A,2.75,3.5,2.1,2.9,3.4,2.05,2.8,3.1,2.0,3.2,3.5,1.91,2.8,3.4,2.1,2.75,3.5,2.1,1230.91,1342.53
SC1,05/04/03,Alloa,Clyde,1.0,2.0,A,1.0,1.0,D,3.4,3.5,1.833,3.35,3.45,1.85,3.3,3.2,1.8,3.5,3.5,1.8,3.2,3.4,1.909,3.8,3.75,1.66,1301.77,1492.24
SC1,05/04/03,Falkirk,Ross County,3.0,0.0,H,1.0,0.0,H,1.364,4.0,7.0,1.3,4.5,7.25,1.3,4.0,7.0,1.333,4.333,7.0,1.333,4.2,7.0,1.28,5.0,7.0,1508.97,1318.31
SC1,05/04/03,Inverness C,Queen of Sth,1.0,0.0,H,1.0,0.0,H,1.727,3.6,3.75,1.67,3.5,4.05,1.7,3.3,3.6,1.667,3.4,4.333,1.667,3.5,4.0,1.66,3.75,3.8,1464.53,1397.61
SC1,05/04/03,St Johnstone,Ayr,1.0,0.0,H,1.0,0.0,H,1.444,3.75,6.0,1.45,3.9,5.5,1.5,3.6,4.4,1.5,3.6,5.5,1.444,3.8,5.5,1.5,3.8,5.0,1487.84,1407.8
SC1,05/04/03,St Mirren,Arbroath,1.0,0.0,H,1.0,0.0,H,1.571,3.75,4.5,1.57,3.75,4.45,1.55,3.4,4.3,1.4,4.5,5.5,1.571,3.75,4.333,1.61,3.75,4.2,1342.11,1231.33
SC1,12/04/03,Alloa,Ross County,2.0,1.0,H,1.0,1.0,D,2.25,3.5,2.5,2.25,3.3,2.72,2.2,3.3,2.4,2.1,3.5,2.75,2.2,3.4,2.6,2.25,3.4,2.6,1292.45,1314.36
SC1,12/04/03,Arbroath,Queen of Sth,0.0,0.0,D,0.0,0.0,D,3.0,3.4,2.0,3.5,3.45,1.85,3.1,3.4,1.8,3.5,3.5,1.8,3.4,3.5,1.8,3.4,3.5,1.83,1225.6,1390.69
SC1,12/04/03,Inverness C,Clyde,1.0,2.0,A,0.0,1.0,A,2.1,3.5,2.75,2.13,3.35,2.88,2.2,3.3,2.4,2.1,3.5,2.75,2.1,3.4,2.75,2.2,3.5,2.62,1471.45,1501.56
SC1,12/04/03,St Johnstone,Falkirk,0.0,1.0,A,0.0,0.0,D,2.25,3.4,2.6,2.35,3.3,2.6,2.3,3.0,2.4,2.4,3.25,2.5,2.3,3.4,2.5,2.3,3.4,2.5,1494.39,1512.92
SC1,12/04/03,St Mirren,Ayr,1.0,1.0,D,0.0,1.0,A,2.375,3.5,2.375,2.3,3.3,2.65,2.2,3.3,2.4,2.25,3.5,2.5,2.25,3.4,2.5,2.25,3.4,2.6,1347.84,1401.25
SC1,19/04/03,Clyde,St Johnstone,2.0,1.0,H,2.0,1.0,H,2.3,3.4,2.5,2.25,3.4,2.6,2.2,3.3,2.4,2.25,3.4,2.625,2.25,3.4,2.6,2.3,3.4,2.5,1516.54,1479.01
SC1,19/04/03,Falkirk,Arbroath,4.0,1.0,H,1.0,0.0,H,1.2,5.5,9.0,1.21,5.0,10.0,1.2,5.0,8.0,1.2,5.0,11.0,1.2,5.5,9.0,1.2,5.0,11.0,1528.3,1227.91
SC1,19/04/03,Queen of Sth,Alloa,0.0,1.0,A,0.0,0.0,D,2.1,3.5,2.75,1.91,3.5,3.2,1.9,3.4,2.8,1.833,3.5,3.4,1.95,3.6,3.0,1.9,3.5,3.2,1388.38,1302.19
SC1,19/04/03,Ross County,St Mirren,2.0,0.0,H,0.0,0.0,D,2.1,3.5,2.75,2.25,3.4,2.6,2.2,3.3,2.4,2.375,3.5,2.375,2.25,3.4,2.6,2.3,3.4,2.5,1304.62,1346.17
SC1,26/04/03,Alloa,Inverness C,1.0,5.0,A,0.0,2.0,A,2.375,3.5,2.375,2.35,3.45,2.43,2.25,3.3,2.25,2.375,3.5,2.375,2.3,3.5,2.5,2.3,3.6,2.4,1320.81,1456.47
SC1,26/04/03,Clyde,Queen of Sth,2.0,2.0,D,2.0,1.0,H,1.571,3.75,4.5,1.58,3.8,4.35,1.55,3.6,4.0,1.444,4.0,5.5,1.571,3.75,4.5,1.57,4.0,4.2,1524.34,1369.76
SC1,26/04/03,Falkirk,Ayr,3.0,0.0,H,2.0,0.0,H,1.5,3.8,5.0,1.41,4.05,5.75,1.45,3.8,4.4,1.4,4.0,6.0,1.4,4.0,6.0,1.4,4.33,5.5,1530.57,1402.92
SC1,26/04/03,Ross County,Arbroath,3.0,1.0,H,2.0,1.0,H,1.5,3.8,5.0,1.45,4.1,5.15,1.45,3.8,4.4,1.444,4.0,5.5,1.444,3.75,6.0,1.44,4.33,5.0,1315.04,1225.64
SC1,26/04/03,St Johnstone,St Mirren,1.0,1.0,D,0.0,1.0,A,1.571,3.75,4.5,1.55,3.8,4.5,1.5,3.7,4.2,1.444,4.0,5.5,1.571,3.75,4.5,1.5,3.8,5.0,1471.21,1335.75
SC1,29/04/03,Ayr,Inverness C,1.0,0.0,H,1.0,0.0,H,2.5,3.5,2.25,2.52,3.5,2.27,2.4,3.3,2.2,2.625,3.5,2.2,2.5,3.4,2.3,2.5,3.4,2.3,1397.61,1467.69
SC1,03/05/03,Arbroath,Alloa,0.0,1.0,A,0.0,1.0,A,3.2,3.5,1.909,3.6,3.5,1.8,,,,3.75,3.5,1.727,3.5,3.5,1.8,3.75,3.6,1.72,1219.35,1309.59
SC1,03/05/03,Ayr,Clyde,0.0,3.0,A,0.0,2.0,A,2.5,3.5,2.25,2.7,3.4,2.2,,,,2.75,3.5,2.1,2.5,3.5,2.25,2.75,3.5,2.1,1409.04,1516.53
SC1,03/05/03,Inverness C,St Johnstone,1.0,2.0,A,1.0,1.0,D,2.25,3.5,2.5,2.25,3.4,2.65,,,,2.2,3.5,2.625,2.25,3.5,2.5,2.25,3.4,2.6,1456.26,1463.83
SC1,03/05/03,Queen of Sth,Ross County,1.0,0.0,H,1.0,0.0,H,2.5,3.5,2.25,2.4,3.5,2.4,,,,2.625,3.5,2.2,2.5,3.5,2.25,2.37,3.5,2.37,1377.57,1321.33
SC1,03/05/03,St Mirren,Falkirk,1.0,2.0,A,0.0,1.0,A,3.2,3.5,1.909,3.3,3.5,1.9,,,,3.2,3.5,1.909,3.5,3.5,1.8,3.4,3.6,1.8,1343.13,1535.88
SC1,10/05/03,Alloa,St Mirren,4.0,0.0,H,2.0,0.0,H,1.571,3.75,4.5,1.65,3.85,4.0,,,,1.533,3.75,5.0,1.615,3.75,4.0,1.61,3.75,4.2,1322.44,1333.89
SC1,10/05/03,Clyde,Arbroath,4.0,2.0,H,3.0,1.0,H,1.25,5.0,8.0,1.28,4.75,8.0,,,,1.286,4.5,8.0,1.286,4.5,7.5,1.25,5.0,8.0,1528.76,1206.5
SC1,10/05/03,Falkirk,Inverness C,2.0,3.0,A,1.0,0.0,H,1.571,3.75,4.5,1.55,4.0,4.55,,,,1.444,4.0,5.5,1.571,3.75,4.333,1.61,3.75,4.2,1545.12,1440.51
SC1,10/05/03,Ross County,Ayr,4.0,1.0,H,0.0,0.0,D,1.615,3.6,4.333,1.57,4.0,4.35,,,,1.571,3.75,4.5,1.571,4.0,4.0,1.53,4.0,4.5,1314.1,1396.81
SC1,10/05/03,St Johnstone,Queen of Sth,0.0,1.0,A,0.0,0.0,D,1.667,3.6,4.0,1.6,3.75,4.45,,,,1.571,3.75,4.5,1.615,3.75,4.0,1.57,3.75,4.5,1479.58,1384.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
