Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,EloHome,EloAway
I2,28/09/02,Sampdoria,Cosenza,2.0,1.0,H,0.0,0.0,D,1.57,3.25,5.5,1.51,3.45,6.25,1.5,3.2,5.0,,,,1.5,3.4,6.0,1.45,3.4,6.2,1.7,1.9,1519.87,1504.32
I2,28/09/02,Siena,Vicenza,0.0,0.0,D,0.0,0.0,D,2.2,2.62,3.4,2.3,2.65,3.3,2.2,2.6,3.0,,,,2.25,2.7,3.2,2.2,2.65,3.2,1.95,1.65,1506.56,1476.8
I2,28/09/02,Triestina,Palermo,2.0,1.0,H,1.0,0.0,H,2.5,2.75,2.75,2.65,2.72,2.7,2.5,2.6,2.6,,,,2.6,2.7,2.7,2.75,2.65,2.5,1.9,1.7,1455.68,1463.93
I2,28/09/02,Venezia,Ascoli,1.0,1.0,D,0.0,1.0,A,1.73,2.88,5.0,1.8,2.8,4.9,1.8,2.7,3.9,,,,1.8,2.75,4.75,1.75,2.75,4.8,1.9,1.7,1481.55,1469.85
I2,28/09/02,Verona,Catania,2.0,0.0,H,2.0,0.0,H,1.91,2.88,4.0,1.96,2.75,4.2,1.9,2.8,3.4,,,,1.909,2.8,4.0,1.85,2.75,4.2,1.9,1.7,1534.03,1492.37
I2,05/10/02,Ascoli,Messina,1.0,0.0,H,0.0,0.0,D,2.0,2.6,4.0,1.95,2.65,4.15,1.9,2.6,3.8,,,,2.0,2.7,3.75,1.95,2.65,4.0,1.95,1.65,1473.74,1454.33
I2,05/10/02,Catania,Ancona,0.0,0.0,D,0.0,0.0,D,2.375,2.7,3.0,2.32,2.65,3.25,2.2,2.6,3.0,,,,2.3,2.625,3.1,2.2,2.65,3.25,1.8,1.8,1484.7,1497.74
I2,05/10/02,Cosenza,Bari,0.0,2.0,A,0.0,1.0,A,2.25,2.6,3.4,2.2,2.6,3.45,2.2,2.6,3.0,,,,2.25,2.7,3.1,2.15,2.6,3.45,1.9,1.7,1495.83,1499.6
I2,05/10/02,Genoa,Salernitana,3.0,0.0,H,2.0,0.0,H,2.1,2.75,3.5,2.11,2.75,3.6,2.1,2.7,3.1,,,,2.1,2.6,3.6,2.05,2.8,3.4,1.8,1.8,1473.84,1471.2
I2,05/10/02,Lecce,Venezia,3.0,1.0,H,1.0,1.0,D,1.667,2.875,5.5,1.65,2.9,5.55,1.6,2.9,4.8,,,,1.667,3.0,5.0,1.65,2.85,5.5,1.85,1.75,1520.62,1477.66
I2,05/10/02,Napoli,Sampdoria,1.0,1.0,D,0.0,1.0,A,2.5,2.625,2.875,2.46,2.6,3.05,2.4,2.6,2.7,,,,2.4,2.625,3.0,2.4,2.65,2.9,1.85,1.75,1563.86,1528.36
I2,05/10/02,Palermo,Livorno,1.0,0.0,H,0.0,0.0,D,1.727,2.875,5.0,1.72,2.9,5.1,1.65,2.8,4.6,,,,1.667,3.0,5.0,1.65,2.85,5.5,1.75,1.85,1454.66,1495.52
I2,05/10/02,Siena,Cagliari,1.0,0.0,H,1.0,0.0,H,2.5,2.625,2.875,2.4,2.6,3.05,2.4,2.6,2.7,,,,2.4,2.625,3.0,2.3,2.65,3.05,1.9,1.7,1502.1,1528.65
I2,05/10/02,Ternana,Verona,1.0,0.0,H,1.0,0.0,H,2.375,2.625,3.1,2.2,2.65,3.35,2.2,2.6,3.0,,,,2.25,2.625,3.2,2.2,2.65,3.25,1.95,1.65,1521.7,1541.7
I2,05/10/02,Vicenza,Triestina,1.0,1.0,D,0.0,1.0,A,1.667,2.875,5.5,1.67,2.9,5.55,1.65,2.8,4.6,,,,1.615,3.1,5.0,1.7,2.8,5.25,1.75,1.85,1481.26,1464.95
I2,13/10/02,Ancona,Siena,1.0,1.0,D,1.0,1.0,D,1.727,2.875,5.0,1.77,2.8,5.2,1.7,2.7,4.4,,,,1.727,2.8,5.0,1.7,2.75,5.3,1.9,1.7,1500.8,1512.0
I2,13/10/02,Bari,Lecce,1.0,1.0,D,0.0,0.0,D,2.25,2.6,3.4,2.35,2.65,3.25,2.2,2.6,3.0,,,,2.25,2.625,3.2,2.2,2.6,3.35,1.92,1.7,1515.48,1528.25
I2,13/10/02,Cagliari,Ascoli,1.0,0.0,H,0.0,0.0,D,1.667,2.875,5.5,1.66,2.85,6.3,1.6,2.8,5.0,,,,1.615,2.875,6.0,1.6,2.9,6.0,1.9,1.7,1518.75,1482.11
I2,13/10/02,Livorno,Ternana,1.0,2.0,A,0.0,2.0,A,1.833,2.625,5.0,2.0,2.6,4.6,1.9,2.7,3.6,,,,1.85,2.7,4.5,1.95,2.7,3.9,1.95,1.65,1485.13,1531.37
I2,13/10/02,Messina,Vicenza,3.0,1.0,H,2.0,1.0,H,2.4,2.7,3.0,2.4,2.6,3.1,2.3,2.6,2.8,,,,2.4,2.625,3.0,2.4,2.65,2.9,1.95,1.65,1445.96,1477.23
I2,13/10/02,Salernitana,Palermo,3.0,1.0,H,0.0,0.0,D,2.25,2.875,3.0,2.35,2.7,3.3,2.3,2.6,2.8,,,,2.25,2.8,3.0,2.3,2.65,3.1,1.8,1.8,1462.29,1465.05
I2,13/10/02,Sampdoria,Catania,1.0,0.0,H,0.0,0.0,D,1.444,3.5,7.0,1.45,3.4,7.75,1.35,3.3,7.5,,,,1.364,3.4,8.5,1.35,3.65,8.0,1.7,1.9,1533.0,1481.64
