Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,EloHome,EloAway
T1,23/08/03,Fenerbahce,Elazigspor,7,1,H,3,1,H,1.286,4.5,8.0,1.25,4.5,9.0,1.25,4.5,9.0,1.286,4.5,8.0,1.25,5.0,9.0,1.25,5.0,8.0,1.6,2.1,2.0,1.75,-1.75,1551.23,1434.1
T1,23/08/03,Rizespor,Malatyaspor,2,1,H,0,1,A,2.375,3.1,2.625,2.37,3.15,2.52,2.3,3.1,2.6,2.375,3.25,2.5,2.37,3.2,2.62,2.4,3.2,2.45,1.71,1.95,2.05,1.7,-0.25,1430.87,1522.52
T1,24/08/03,Besiktas,Ankaragucu,3,0,H,1,0,H,1.25,4.5,10.0,1.21,5.0,9.1,1.25,4.5,9.0,1.2,5.0,11.0,1.22,5.0,10.0,1.22,5.0,9.5,1.5,2.3,2.15,1.65,-2.0,1735.31,1492.21
T1,24/08/03,Genclerbirligi,Gaziantepspor,1,0,H,1,0,H,1.909,3.25,3.4,1.93,3.25,3.25,1.85,3.1,3.6,1.909,3.4,3.25,2.0,3.25,3.25,2.05,3.3,2.9,1.6,2.1,1.9,1.85,-0.5,1541.57,1533.97
T1,24/08/03,Konyaspor,Diyarbakirspor,3,1,H,1,1,D,2.1,3.2,3.0,2.05,3.15,3.25,1.9,3.2,3.4,2.1,3.4,2.8,2.2,3.1,3.0,2.25,3.25,2.6,1.65,2.0,1.85,1.9,-0.25,1404.37,1424.14
T1,24/08/03,Samsunspor,Denizlispor,2,1,H,1,0,H,2.0,3.2,3.2,1.93,3.25,3.25,2.2,3.1,2.8,1.909,3.4,3.25,2.0,3.25,3.25,1.95,3.3,3.1,1.65,2.0,,,,1416.34,1462.01
T1,29/08/03,Denizlispor,Besiktas,2,3,A,0,2,A,5.5,3.4,1.533,5.5,3.5,1.5,4.4,3.3,1.65,5.0,3.75,1.533,5.5,3.4,1.57,5.0,3.5,1.57,1.6,2.1,1.85,1.8,1.0,1451.45,1738.36
T1,30/08/03,Diyarbakirspor,Fenerbahce,1,2,A,0,0,D,3.5,3.4,1.833,3.7,3.3,1.8,3.5,3.2,1.85,3.6,3.4,1.8,3.75,3.3,1.83,3.6,3.4,1.8,1.6,2.1,1.82,1.95,0.75,1414.48,1556.8
T1,30/08/03,Elazigspor,Adanaspor,3,4,A,1,2,A,1.909,3.25,3.4,1.95,3.1,3.4,2.0,3.1,3.2,1.909,3.4,3.25,1.9,3.2,3.6,1.8,3.3,3.6,,,1.95,1.82,-0.5,1428.53,1385.1
T1,30/08/03,Gaziantepspor,Konyaspor,3,1,H,1,1,D,1.5,3.6,5.5,1.5,3.5,5.5,1.45,3.8,5.4,1.533,3.75,5.0,1.5,3.5,6.0,1.5,3.5,5.4,1.6,2.1,1.88,1.9,-1.0,1525.22,1414.03
