Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,EloHome,EloAway
P1,31/08/03,Maritimo,Rio Ave,1,0,H,1,0,H,1.444,3.75,6.0,1.45,3.7,7.0,1.5,3.5,5.4,1.44,3.75,6.5,1.45,3.7,5.7,1.9,1.75,1.75,2.0,-1.0,,,,,,,,,,,,,,,,,,1497.59,1389.28
P1,31/08/03,Nacional,Est Amadora,4,0,H,1,0,H,1.727,3.4,4.0,1.8,3.35,4.0,,,,1.8,3.25,4.0,1.75,3.3,3.8,,,,,,,,,,,,,,,,,,,,,,,1434.29,1407.38
P1,01/09/03,Belenenses,Leiria,1,1,D,1,0,H,1.727,3.4,4.0,1.67,3.4,4.75,1.65,3.3,4.4,1.66,3.4,4.5,1.6,3.4,4.6,,,,,,,,,,,,,,,,,,,,,,,1465.86,1492.18
P1,02/09/03,Porto,Sp Lisbon,4,1,H,1,0,H,1.66,3.3,4.5,1.7,3.3,4.7,1.7,3.2,4.2,1.66,3.25,4.75,1.66,3.3,4.5,1.83,1.83,1.91,1.9,-0.75,,,,,,,,,,,,,,,,,,1728.32,1613.61
P1,03/09/03,Gil Vicente,Pacos Ferreira,2,0,H,1,0,H,2.0,3.2,3.2,2.0,3.25,3.4,2.0,2.9,3.4,,,,1.9,3.25,3.5,2.0,1.65,1.95,1.85,-0.5,,,,,,,,,,,,,,,,,,1412.52,1481.47
P1,07/09/03,Belenenses,Est Amadora,4,0,H,1,0,H,,,,1.7,3.4,4.5,1.7,3.2,4.2,1.61,3.4,5.0,1.55,3.6,4.7,1.75,1.9,2.0,1.8,-0.75,,,,,,,,,,,,,,,,,,1463.25,1399.25
P1,12/09/03,Sp Braga,Gil Vicente,2,1,H,1,1,D,1.83,3.4,3.5,1.77,3.45,4.0,1.85,3.0,3.8,1.75,3.4,4.0,1.7,3.4,3.9,2.0,1.65,1.77,2.04,-0.5,,,,,,,,,,,,,,,,,,1464.52,1423.91
P1,13/09/03,Est Amadora,Moreirense,1,2,A,1,1,D,2.1,3.2,3.0,1.95,3.3,3.45,2.0,3.0,3.3,2.0,3.25,3.25,2.0,3.3,3.0,2.0,1.65,1.98,1.82,-0.5,,,,,,,,,,,,,,,,,,1392.25,1421.52
P1,13/09/03,Guimaraes,Academica,1,2,A,1,1,D,1.61,3.5,4.5,1.64,3.5,4.8,1.6,3.3,4.8,1.61,3.4,5.0,1.65,3.4,4.2,2.0,1.65,1.85,1.95,-0.75,,,,,,,,,,,,,,,,,,1458.09,1441.1
P1,13/09/03,Leiria,Porto,1,3,A,0,1,A,4.5,3.5,1.61,4.7,3.5,1.65,4.2,3.2,1.7,5.0,3.6,1.57,5.0,3.5,1.57,1.85,1.79,1.95,1.85,0.75,,,,,,,,,,,,,,,,,,1494.79,1733.95
P1,13/09/03,Pacos Ferreira,Maritimo,0,1,A,0,0,D,2.2,3.2,2.8,2.25,3.3,2.8,2.0,3.0,3.3,2.2,3.2,2.87,2.0,3.3,3.0,2.0,1.65,1.95,1.85,-0.25,,,,,,,,,,,,,,,,,,1470.08,1503.38
