Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,EloHome,EloAway
B1,23/08/03,Lokeren,Beveren,1,2,A,0,1,A,1.533,3.6,5.0,1.5,3.8,5.4,1.4,3.9,6.0,1.44,3.75,6.0,1.4,4.0,5.75,1.4,2.6,,,,,,,,,,,,,,,,,,,,,,,1629.42,1420.26
B1,23/08/03,Mouscron,Lierse,1,1,D,0,0,D,2.375,3.5,2.375,2.4,3.3,2.5,2.3,3.1,2.6,2.3,3.4,2.5,2.3,3.4,2.45,,,,,,,,,,,,,,,,,,,,,,,,,1499.47,1595.98
B1,23/08/03,Standard,Bergen,4,0,H,2,0,H,1.444,3.75,6.0,1.45,4.0,5.7,1.45,3.8,5.4,1.44,3.75,6.0,1.4,3.75,7.0,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,1632.45,1497.65
B1,23/08/03,Westerlo,Gent,2,2,D,1,1,D,2.25,3.5,2.5,2.4,3.2,2.6,2.2,3.2,2.7,2.4,3.4,2.4,2.35,3.4,2.4,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,1505.22,1586.97
B1,24/08/03,Charleroi,Cercle Brugge,0,0,D,0,0,D,1.909,3.5,3.2,1.9,3.3,3.5,1.8,3.3,3.6,1.85,3.4,3.5,1.8,3.5,3.35,1.65,2.0,,,,,,,,,,,,,,,,,,,,,,,1451.21,1497.26
B1,24/08/03,Germinal,Genk,2,2,D,0,1,A,2.5,3.5,2.25,2.8,3.2,2.25,2.4,3.2,2.4,2.6,3.25,2.3,2.4,3.3,2.4,,,,,,,,,,,,,,,,,,,,,,,,,1519.95,1660.56
B1,29/08/03,Lierse,Standard,0,1,A,0,0,D,2.4,3.25,2.5,2.35,3.3,2.55,2.4,3.2,2.4,2.6,3.3,2.3,2.5,3.4,2.3,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1596.11,1637.59
B1,30/08/03,Anderlecht,Beveren,1,0,H,1,0,H,,,,1.16,5.7,11.5,1.15,6.0,12.0,1.16,5.75,12.0,1.16,6.0,10.0,1.35,2.75,,,,,,,,,,,,,,,,,,,,,,,1792.64,1441.65
B1,30/08/03,Antwerp,Club Brugge,0,4,A,0,1,A,5.0,3.75,1.533,4.6,3.6,1.6,4.6,3.4,1.6,5.5,3.6,1.53,5.0,3.8,1.5,1.5,2.3,,,,,,,,,,,,,,,,,,,,,,,1484.34,1790.84
B1,30/08/03,Cercle Brugge,Germinal,1,0,H,0,0,D,2.5,3.2,2.5,2.4,3.2,2.55,2.3,3.1,2.6,2.5,3.2,2.5,2.4,3.2,2.45,1.79,1.85,,,,,,,,,,,,,,,,,,,,,,,1499.19,1521.4
