Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,EloHome,EloAway
B1,01/11/03,Genk,Antwerp,3,1,H,2,1,H,1.33,4.33,7.0,1.32,4.5,7.0,1.35,4.0,7.0,1.33,4.33,7.0,,,,1.4,2.6,,,,,,,,,,,,,,,,,,,,,,,1678.72,1464.87
B1,01/11/03,Germinal,Westerlo,0,2,A,0,1,A,1.9,3.25,3.4,1.9,3.25,3.5,1.85,3.3,3.4,1.91,3.25,3.4,1.95,3.3,3.1,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,1521.62,1543.63
B1,01/11/03,Lokeren,Club Brugge,2,0,H,2,0,H,5.5,3.6,1.5,5.0,3.8,1.5,4.6,3.6,1.55,5.0,3.5,1.57,5.0,3.3,1.61,1.4,2.6,,,,,,,,,,,,,,,,,,,,,,,1571.94,1763.1
B1,01/11/03,Standard,Beveren,4,0,H,2,0,H,1.4,3.75,7.0,1.35,4.15,7.0,1.3,4.2,8.0,1.33,4.2,7.5,1.35,3.9,7.0,1.5,2.3,,,,,,,,,,,,,,,,,,,,,,,1638.85,1431.33
B1,02/11/03,Cercle Brugge,Louvieroise,2,1,H,0,0,D,2.4,3.25,2.5,2.35,3.2,2.65,2.7,3.0,2.3,2.4,3.1,2.6,2.3,3.2,2.55,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1509.34,1525.35
B1,02/11/03,Charleroi,Heusden Zolder,2,1,H,1,1,D,2.0,3.2,3.2,1.85,3.25,3.6,1.8,3.3,3.6,1.91,3.4,3.25,1.95,3.3,3.1,1.83,1.83,,,,,,,,,,,,,,,,,,,,,,,1431.09,1459.77
B1,07/11/03,Gent,Genk,1,1,D,0,1,A,2.5,3.4,2.3,2.65,3.2,2.3,2.4,3.2,2.4,2.6,3.25,2.3,2.45,3.3,2.35,1.79,1.85,,,,,,,,,,,,,,,,,,,,,,,1589.92,1682.25
B1,08/11/03,Antwerp,Cercle Brugge,2,2,D,1,1,D,2.0,3.2,3.2,2.0,3.2,3.25,2.0,3.1,3.2,2.0,3.2,3.2,2.0,3.25,3.05,1.75,1.9,,,,,,,,,,,,,,,,,,,,,,,1461.34,1518.88
B1,08/11/03,Heusden Zolder,Germinal,2,0,H,1,0,H,2.5,3.25,2.37,2.5,3.2,2.45,2.2,3.2,2.7,2.4,3.25,2.5,2.35,3.3,2.45,1.83,1.83,,,,,,,,,,,,,,,,,,,,,,,1449.8,1506.36
B1,08/11/03,Louvieroise,Lokeren,3,2,H,2,2,D,1.8,3.25,3.75,1.85,3.25,3.65,1.9,3.3,3.3,1.9,3.25,3.4,2.0,3.25,3.05,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1515.81,1587.65
B1,08/11/03,St Truiden,Lierse,3,2,H,0,1,A,2.1,3.2,3.0,2.1,3.2,3.0,2.1,3.2,2.9,2.1,3.2,3.0,2.1,3.3,2.8,1.75,1.9,,,,,,,,,,,,,,,,,,,,,,,1620.71,1568.01
B1,08/11/03,Westerlo,Mouscron,1,1,D,1,1,D,2.37,3.25,2.5,2.4,3.2,2.6,2.4,3.2,2.4,2.3,3.25,2.6,2.25,3.25,2.6,1.65,2.0,,,,,,,,,,,,,,,,,,,,,,,1558.89,1551.57
B1,09/11/03,Anderlecht,Standard,1,4,A,1,2,A,1.5,3.6,5.5,1.53,3.7,5.0,1.55,3.5,4.8,1.53,3.4,5.5,1.5,3.6,5.5,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,1820.59,1642.49
B1,09/11/03,Beveren,Bergen,2,0,H,0,0,D,2.0,3.4,3.0,2.05,3.2,3.1,2.1,3.1,3.0,2.1,3.2,3.0,2.25,3.25,2.6,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,1427.69,1492.37
B1,09/11/03,Club Brugge,Charleroi,1,0,H,1,0,H,1.25,5.0,8.0,1.25,4.85,9.0,1.2,5.0,10.0,1.2,5.0,11.0,1.2,5.6,8.0,,,,,,,,,,,,,,,,,,,,,,,,,1747.39,1441.06
B1,21/11/03,Bergen,Anderlecht,0,2,A,0,2,A,6.5,4.0,1.4,6.25,3.85,1.42,6.0,3.9,1.4,7.0,3.8,1.4,6.5,4.2,1.36,1.45,2.45,,,,,,,,,,,,,,,,,,,,,,,1481.14,1799.79
B1,21/11/03,Germinal,Club Brugge,2,0,H,0,0,D,4.33,3.6,1.61,5.5,3.75,1.5,4.6,3.4,1.6,4.33,3.4,1.67,4.33,3.4,1.66,1.5,2.3,,,,,,,,,,,,,,,,,,,,,,,1495.41,1749.59
B1,22/11/03,Genk,St Truiden,4,0,H,0,0,D,1.66,3.4,4.33,1.6,3.5,4.75,1.65,3.3,4.4,1.62,3.4,4.75,,,,1.5,2.3,,,,,,,,,,,,,,,,,,,,,,,1682.53,1628.04
B1,22/11/03,Lierse,Beveren,1,0,H,1,0,H,1.72,3.4,4.0,1.65,3.4,4.5,1.65,3.3,4.4,1.67,3.4,4.33,,,,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,1560.68,1438.92
B1,22/11/03,Lokeren,Charleroi,0,2,A,0,0,D,1.61,3.5,4.5,1.6,3.5,4.75,1.65,3.3,4.4,1.62,3.4,4.75,,,,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1576.16,1438.86
B1,22/11/03,Mouscron,Heusden Zolder,2,1,H,1,1,D,1.36,4.0,7.0,1.35,4.2,7.0,1.3,4.2,8.0,1.36,4.0,7.0,,,,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,1555.31,1460.75
B1,22/11/03,Standard,Westerlo,3,0,H,1,0,H,1.53,3.75,5.0,1.48,3.7,5.6,1.35,4.0,7.0,1.44,3.6,6.5,1.44,3.75,6.0,1.5,2.3,,,,,,,,,,,,,,,,,,,,,,,1663.29,1555.15
B1,23/11/03,Cercle Brugge,Gent,1,0,H,1,0,H,2.4,3.25,2.5,2.4,3.1,2.6,2.5,2.8,2.7,2.3,3.1,2.75,2.3,3.2,2.55,1.85,1.79,,,,,,,,,,,,,,,,,,,,,,,1520.4,1589.64
B1,23/11/03,Louvieroise,Antwerp,1,1,D,1,0,H,1.66,3.4,4.33,1.6,3.5,4.75,1.65,3.3,4.4,1.67,3.4,4.33,1.7,3.3,4.1,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,1527.3,1459.82
B1,29/11/03,Anderlecht,Lierse,2,1,H,2,1,H,1.28,4.5,8.0,1.21,5.25,10.0,1.22,4.8,9.5,1.22,5.0,9.0,1.2,5.0,11.0,1.4,2.6,,,,,,,,,,,,,,,,,,,,,,,1805.32,1566.13
B1,29/11/03,Antwerp,Lokeren,0,3,A,0,2,A,2.1,3.2,3.0,2.1,3.1,3.1,2.1,3.2,2.9,2.1,3.2,3.0,2.0,3.3,3.0,1.5,2.3,,,,,,,,,,,,,,,,,,,,,,,1465.42,1556.24
B1,29/11/03,Beveren,Genk,3,1,H,0,1,A,2.8,3.4,2.1,3.25,3.2,2.0,3.4,3.3,1.85,3.2,3.2,2.0,2.9,3.3,2.05,1.5,2.3,,,,,,,,,,,,,,,,,,,,,,,1433.47,1689.81
B1,29/11/03,Charleroi,Germinal,0,1,A,0,0,D,2.2,3.25,2.75,2.2,3.2,2.85,2.1,3.2,2.9,2.2,3.2,2.8,2.1,3.3,2.8,1.83,1.83,,,,,,,,,,,,,,,,,,,,,,,1458.78,1513.12
B1,29/11/03,Gent,Louvieroise,3,0,H,0,0,D,2.1,3.2,3.0,2.05,3.2,3.1,2.1,2.9,3.2,2.05,3.25,3.0,2.1,3.3,2.8,1.83,1.83,,,,,,,,,,,,,,,,,,,,,,,1578.24,1521.7
B1,29/11/03,Westerlo,Bergen,0,1,A,0,1,A,1.57,3.5,5.0,1.6,3.4,5.0,1.55,3.5,4.8,1.57,3.5,5.0,1.65,3.4,4.2,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1549.35,1475.61
B1,30/11/03,Club Brugge,Mouscron,4,2,H,2,1,H,1.44,3.75,6.0,1.4,3.9,6.5,1.45,3.8,5.4,1.44,3.75,6.0,1.5,3.6,5.5,1.45,2.45,,,,,,,,,,,,,,,,,,,,,,,1731.88,1561.46
B1,30/11/03,Heusden Zolder,Standard,1,1,D,0,0,D,4.5,3.5,1.61,5.0,3.4,1.6,5.4,3.8,1.45,5.0,3.5,1.57,5.0,3.5,1.57,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,1454.6,1669.09
B1,30/11/03,St Truiden,Cercle Brugge,0,0,D,0,0,D,1.72,3.2,4.33,1.7,3.4,4.25,1.7,3.3,4.0,1.67,3.4,4.33,1.6,3.4,4.6,1.55,2.2,,,,,,,,,,,,,,,,,,,,,,,1620.76,1531.8
B1,05/12/03,Standard,Club Brugge,3,1,H,2,0,H,2.25,3.2,2.75,2.2,3.2,2.85,2.0,3.2,3.1,2.0,3.2,3.2,2.1,3.2,3.0,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,1665.11,1736.23
B1,06/12/03,Antwerp,Gent,0,1,A,0,0,D,2.5,3.25,2.4,2.55,3.2,2.4,2.6,3.1,2.3,2.5,3.25,2.4,2.45,3.2,2.4,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1452.59,1585.46
B1,06/12/03,Genk,Anderlecht,0,1,A,0,1,A,2.75,3.2,2.25,2.55,3.2,2.4,2.9,3.2,2.1,2.75,3.25,2.2,2.87,3.3,2.1,1.5,2.3,,,,,,,,,,,,,,,,,,,,,,,1672.04,1808.43
B1,06/12/03,Lierse,Westerlo,0,1,A,0,1,A,2.0,3.2,3.2,1.93,3.3,3.35,1.9,3.2,3.4,1.9,3.25,3.4,2.0,3.3,3.0,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1563.02,1531.07
B1,06/12/03,Lokeren,Germinal,0,1,A,0,1,A,2.1,3.2,3.0,2.0,3.3,3.15,2.0,3.2,3.1,2.1,3.2,3.0,2.15,3.25,2.75,1.65,2.0,,,,,,,,,,,,,,,,,,,,,,,1569.07,1527.25
B1,06/12/03,Louvieroise,St Truiden,0,0,D,0,0,D,2.2,3.2,2.8,2.1,3.35,2.9,2.2,3.0,2.9,2.1,3.2,3.0,2.1,3.1,2.95,1.5,2.3,,,,,,,,,,,,,,,,,,,,,,,1514.48,1614.56
B1,06/12/03,Mouscron,Charleroi,3,0,H,0,0,D,1.53,3.5,5.5,1.5,3.6,5.6,1.5,3.7,5.0,1.44,3.75,6.0,1.5,3.5,5.4,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1557.11,1444.65
B1,07/12/03,Bergen,Heusden Zolder,1,2,A,0,0,D,1.8,3.4,3.6,1.8,3.35,3.75,1.8,3.2,3.7,1.75,3.3,4.0,1.7,3.35,4.0,1.83,1.83,,,,,,,,,,,,,,,,,,,,,,,1493.89,1458.58
B1,07/12/03,Cercle Brugge,Beveren,0,4,A,0,3,A,1.8,3.4,3.6,1.73,3.3,4.15,1.9,3.3,3.3,1.72,3.4,4.0,1.7,3.35,4.0,1.75,1.9,,,,,,,,,,,,,,,,,,,,,,,1538.0,1451.24
B1,12/12/03,Charleroi,Standard,0,1,A,0,0,D,4.5,3.5,1.615,4.6,3.4,1.65,4.2,3.2,1.7,5.0,3.5,1.57,5.0,3.5,1.57,1.75,1.9,,,,,,,,,,,,,,,,,,,,,,,1438.96,1676.57
B1,12/12/03,Heusden Zolder,Lierse,0,0,D,0,0,D,2.375,3.3,2.5,2.3,3.2,2.7,2.3,3.2,2.5,2.37,3.1,2.62,2.3,3.2,2.55,1.83,1.83,,,,,,,,,,,,,,,,,,,,,,,1475.72,1545.99
B1,13/12/03,Beveren,Louvieroise,1,0,H,0,0,D,2.0,3.4,3.0,1.97,3.3,3.2,2.1,3.1,3.0,2.0,3.2,3.2,2.0,3.2,3.1,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,1469.88,1514.48
B1,13/12/03,Club Brugge,Bergen,2,0,H,1,0,H,1.222,5.0,9.5,1.16,5.5,12.8,1.2,5.0,10.0,1.2,5.0,11.0,1.2,5.0,11.0,1.4,2.6,,,,,,,,,,,,,,,,,,,,,,,1724.77,1476.75
B1,13/12/03,Germinal,Mouscron,2,2,D,0,2,A,2.25,3.4,2.6,2.3,3.25,2.65,2.4,3.1,2.5,2.3,3.2,2.62,2.25,3.15,2.65,1.83,1.83,,,,,,,,,,,,,,,,,,,,,,,1544.59,1562.8
B1,13/12/03,St Truiden,Antwerp,2,1,H,1,1,D,1.571,3.5,5.0,1.53,3.5,5.5,1.5,3.7,5.0,1.57,3.5,5.0,1.65,3.3,4.4,1.65,2.0,,,,,,,,,,,,,,,,,,,,,,,1614.56,1441.27
B1,14/12/03,Anderlecht,Cercle Brugge,3,2,H,2,1,H,1.167,5.5,12.0,1.2,5.3,10.0,1.15,6.0,12.0,1.16,5.5,12.0,1.16,5.5,12.0,1.35,2.75,,,,,,,,,,,,,,,,,,,,,,,1819.63,1519.36
B1,14/12/03,Lokeren,Gent,1,1,D,0,0,D,2.4,3.25,2.5,2.4,3.2,2.55,2.5,3.1,2.4,2.4,3.25,2.5,2.45,3.1,2.45,1.65,2.0,,,,,,,,,,,,,,,,,,,,,,,1551.73,1596.78
B1,14/12/03,Westerlo,Genk,1,1,D,0,1,A,2.5,3.25,2.4,2.65,3.15,2.35,2.6,3.1,2.3,2.5,3.25,2.37,2.5,3.1,2.4,1.55,2.2,,,,,,,,,,,,,,,,,,,,,,,1548.1,1660.84
B1,20/12/03,Antwerp,Beveren,0,3,A,0,2,A,2.3,3.25,2.625,2.3,3.25,2.65,2.2,3.1,2.8,2.3,3.25,2.6,2.3,3.3,2.5,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,1436.98,1480.4
B1,20/12/03,Bergen,Charleroi,2,2,D,0,1,A,2.0,3.2,3.2,1.95,3.25,3.35,2.0,3.1,3.2,1.9,3.25,3.4,1.95,3.3,3.1,2.03,1.71,,,,,,,,,,,,,,,,,,,,,,,1473.78,1431.17
B1,20/12/03,Genk,Heusden Zolder,4,1,H,2,0,H,1.364,3.75,8.0,1.35,4.25,7.25,1.37,3.7,6.0,1.3,4.33,8.0,,,,1.63,2.2,,,,,,,,,,,,,,,,,,,,,,,1660.38,1474.65
B1,20/12/03,Gent,St Truiden,0,1,A,0,1,A,1.909,3.4,3.25,1.95,3.4,3.2,1.85,3.2,3.5,2.0,3.2,3.2,1.95,3.3,3.1,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1598.74,1618.85
B1,20/12/03,Lierse,Club Brugge,1,1,D,1,1,D,4.0,3.4,1.727,4.1,3.4,1.7,4.0,3.3,1.7,4.0,3.4,1.72,3.3,3.3,1.9,1.66,2.1,,,,,,,,,,,,,,,,,,,,,,,1547.06,1727.74
B1,20/12/03,Mouscron,Lokeren,3,0,H,2,0,H,1.533,3.5,5.5,1.5,3.65,5.65,1.5,3.7,5.0,1.5,3.6,5.5,1.55,3.5,4.8,1.55,2.2,,,,,,,,,,,,,,,,,,,,,,,1565.69,1549.77
B1,21/12/03,Cercle Brugge,Westerlo,0,0,D,0,0,D,2.2,3.25,2.75,2.2,3.3,2.75,2.2,3.1,2.8,2.2,3.2,2.8,2.15,3.3,2.7,1.75,1.9,,,,,,,,,,,,,,,,,,,,,,,1517.09,1548.56
B1,21/12/03,Louvieroise,Anderlecht,1,4,A,0,2,A,5.5,3.6,1.5,5.5,3.65,1.5,5.0,3.7,1.5,6.0,3.75,1.44,6.0,3.75,1.44,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,1503.96,1821.9
B1,21/12/03,Standard,Germinal,2,1,H,2,1,H,1.364,3.75,8.0,1.37,3.8,7.5,1.37,3.7,6.0,1.33,4.2,7.5,1.3,4.5,7.5,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,1684.36,1541.7
B1,16/01/04,Genk,Club Brugge,1,0,H,0,0,D,2.4,3.25,2.5,2.35,3.25,2.55,2.4,3.2,2.4,2.3,3.2,2.62,2.3,3.3,2.6,1.55,2.2,,,,,,,,,,,,,,,,,,,,,,,1664.43,1724.89
B1,17/01/04,Bergen,Germinal,3,0,H,1,0,H,2.3,3.25,2.62,2.4,3.2,2.55,2.2,3.0,2.9,2.4,3.25,2.5,2.45,3.1,2.45,1.83,1.83,,,,,,,,,,,,,,,,,,,,,,,1468.92,1536.74
B1,17/01/04,Gent,Beveren,2,1,H,1,1,D,1.9,3.25,3.4,1.9,3.3,3.4,1.8,3.2,3.7,2.0,3.2,3.2,2.15,3.15,2.8,1.75,1.9,,,,,,,,,,,,,,,,,,,,,,,1583.42,1494.92
B1,17/01/04,Lierse,Charleroi,1,1,D,1,1,D,1.61,3.5,4.5,1.6,3.5,4.7,1.65,3.3,4.4,1.62,3.4,4.75,1.7,3.35,4.0,1.83,1.83,,,,,,,,,,,,,,,,,,,,,,,1549.91,1436.03
B1,17/01/04,St Truiden,Lokeren,1,2,A,1,2,A,1.66,3.4,4.33,1.65,3.5,4.4,1.7,3.3,4.0,1.67,3.4,4.33,1.6,3.3,4.8,1.65,2.0,,,,,,,,,,,,,,,,,,,,,,,1634.17,1541.29
B1,17/01/04,Standard,Mouscron,3,3,D,1,0,H,1.57,3.5,5.0,1.55,3.65,4.8,1.6,3.4,4.6,1.53,3.6,5.0,1.5,3.6,5.5,1.55,2.2,,,,,,,,,,,,,,,,,,,,,,,1689.32,1574.17
B1,18/01/04,Antwerp,Anderlecht,0,2,A,0,0,D,7.0,3.75,1.4,7.5,4.0,1.35,7.5,4.0,1.33,7.0,4.0,1.36,8.0,4.5,1.28,1.45,2.45,,,,,,,,,,,,,,,,,,,,,,,1422.46,1827.45
B1,18/01/04,Cercle Brugge,Heusden Zolder,2,3,A,0,2,A,1.66,3.4,4.33,1.7,3.3,4.3,1.75,3.3,3.8,1.73,3.4,4.0,1.75,3.3,3.8,1.79,1.85,,,,,,,,,,,,,,,,,,,,,,,1514.66,1470.6
B1,18/01/04,Louvieroise,Westerlo,1,1,D,1,1,D,2.2,3.25,2.75,2.2,3.25,2.75,2.1,3.0,3.1,2.2,3.1,2.88,2.2,3.2,2.7,1.65,2.0,,,,,,,,,,,,,,,,,,,,,,,1498.41,1550.99
B1,24/01/04,Anderlecht,Gent,2,0,H,1,0,H,1.25,5.0,8.0,1.25,5.0,8.25,1.25,4.5,9.0,1.25,4.75,8.5,1.25,5.0,8.0,1.55,2.2,,,,,,,,,,,,,,,,,,,,,,,1831.13,1589.73
B1,24/01/04,Charleroi,Genk,4,3,H,2,1,H,3.75,3.2,1.83,3.7,3.25,1.85,3.6,3.1,1.85,3.6,3.25,1.85,3.5,3.2,1.85,1.75,1.9,,,,,,,,,,,,,,,,,,,,,,,1442.88,1675.51
B1,24/01/04,Germinal,Lierse,1,1,D,1,0,H,1.9,3.25,3.4,2.0,3.2,3.25,2.0,3.1,3.2,2.0,3.2,3.2,1.95,3.2,3.2,1.83,1.83,,,,,,,,,,,,,,,,,,,,,,,1525.39,1543.06
B1,24/01/04,Heusden Zolder,Louvieroise,1,3,A,1,0,H,2.2,3.2,2.8,2.2,3.1,2.9,2.1,2.9,3.2,2.1,3.2,3.0,,,,1.85,1.79,,,,,,,,,,,,,,,,,,,,,,,1488.01,1496.71
B1,24/01/04,Lokeren,Standard,1,1,D,1,0,H,4.0,3.4,1.72,3.7,3.25,1.85,3.4,3.2,1.9,3.75,3.3,1.8,4.0,3.4,1.72,1.65,2.0,,,,,,,,,,,,,,,,,,,,,,,1560.09,1682.44
B1,24/01/04,Mouscron,Bergen,3,2,H,0,0,D,1.5,3.6,5.5,1.45,3.8,6.0,1.55,3.5,4.8,1.5,3.6,5.5,1.5,3.7,5.0,1.65,2.0,,,,,,,,,,,,,,,,,,,,,,,1581.05,1480.27
B1,24/01/04,St Truiden,Beveren,1,1,D,0,0,D,1.9,3.25,3.4,1.91,3.3,3.4,2.0,3.1,3.2,1.91,3.25,3.4,1.95,3.2,3.2,1.65,2.0,,,,,,,,,,,,,,,,,,,,,,,1615.37,1488.61
B1,25/01/04,Club Brugge,Cercle Brugge,5,0,H,0,0,D,1.33,4.0,8.0,1.33,4.1,8.0,1.3,4.2,8.0,1.33,4.2,7.5,1.33,4.0,8.0,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,1713.81,1497.25
B1,25/01/04,Westerlo,Antwerp,2,1,H,0,0,D,1.57,3.5,5.0,1.6,3.4,5.0,1.55,3.5,4.8,1.57,3.5,5.0,1.6,3.45,4.5,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1552.69,1418.78
B1,31/01/04,Antwerp,Heusden Zolder,1,1,D,0,1,A,2.25,3.2,2.75,2.15,3.3,2.8,2.1,3.1,3.0,2.2,3.2,2.8,2.2,3.2,2.7,1.65,2.0,,,,,,,,,,,,,,,,,,,,,,,1413.62,1472.3
B1,31/01/04,Bergen,Standard,1,1,D,0,1,A,4.0,3.2,1.8,4.2,3.3,1.72,4.2,3.2,1.7,4.2,3.4,1.7,4.5,3.25,1.65,1.65,2.0,,,,,,,,,,,,,,,,,,,,,,,1474.28,1681.64
B1,31/01/04,Beveren,Lokeren,1,1,D,1,0,H,1.833,3.25,3.75,1.85,3.3,3.6,2.1,3.1,3.0,1.83,3.3,3.6,1.8,3.2,3.7,1.55,2.2,,,,,,,,,,,,,,,,,,,,,,,1495.78,1560.89
B1,31/01/04,Genk,Germinal,1,1,D,0,0,D,1.444,3.6,6.5,1.44,3.65,6.5,1.4,3.9,6.0,1.5,3.6,5.5,1.4,3.55,7.0,1.55,2.2,,,,,,,,,,,,,,,,,,,,,,,1658.46,1522.48
B1,31/01/04,Gent,Westerlo,0,2,A,0,1,A,1.909,3.2,3.5,1.9,3.2,3.55,1.9,3.2,3.4,2.0,3.2,3.2,2.05,3.1,3.05,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1586.66,1557.85
B1,01/02/04,Cercle Brugge,Charleroi,3,2,H,0,1,A,1.833,3.25,3.75,1.9,3.2,3.55,2.0,3.1,3.2,1.9,3.25,3.5,2.05,3.1,3.05,1.75,1.9,,,,,,,,,,,,,,,,,,,,,,,1493.77,1459.93
B1,01/02/04,Lierse,Mouscron,2,2,D,1,2,A,2.5,3.1,2.5,2.55,3.1,2.45,2.7,3.0,2.3,2.5,3.1,2.5,2.5,2.9,2.55,1.75,1.9,,,,,,,,,,,,,,,,,,,,,,,1545.97,1587.04
B1,01/02/04,St Truiden,Anderlecht,1,3,A,0,1,A,4.5,3.5,1.615,4.7,3.6,1.58,4.4,3.3,1.65,5.0,3.5,1.57,5.3,3.3,1.55,1.65,2.0,,,,,,,,,,,,,,,,,,,,,,,1608.2,1834.2
B1,07/02/04,Beveren,Anderlecht,2,3,A,1,0,H,6.0,4.2,1.4,5.55,3.75,1.5,4.8,3.5,1.55,6.0,3.75,1.44,6.5,3.6,1.44,1.55,2.2,,,,,,,,,,,,,,,,,,,,,,,1494.53,1842.36
B1,07/02/04,Charleroi,Louvieroise,2,2,D,1,0,H,2.3,3.1,2.7,2.3,3.1,2.8,2.2,3.0,2.9,2.3,3.1,2.7,2.25,3.1,2.7,1.83,1.83,,,,,,,,,,,,,,,,,,,,,,,1452.02,1512.42
B1,07/02/04,Germinal,Cercle Brugge,2,1,H,0,1,A,1.8,3.25,3.75,1.8,3.25,4.0,1.75,3.3,3.8,1.8,3.3,3.75,1.85,3.1,3.65,1.83,1.83,,,,,,,,,,,,,,,,,,,,,,,1529.87,1501.68
B1,07/02/04,Heusden Zolder,Gent,1,1,D,0,1,A,2.5,3.1,2.5,2.5,3.1,2.55,2.4,3.0,2.6,2.4,3.2,2.5,2.45,3.1,2.45,1.85,1.78,,,,,,,,,,,,,,,,,,,,,,,1473.78,1569.73
B1,07/02/04,Lokeren,Bergen,0,0,D,0,0,D,1.833,3.2,3.75,1.82,3.25,3.9,1.85,3.2,3.5,1.83,3.2,3.75,1.85,3.1,3.65,1.7,1.9,,,,,,,,,,,,,,,,,,,,,,,1562.14,1478.02
B1,07/02/04,Standard,Lierse,1,1,D,1,0,H,1.5,3.6,5.5,1.5,3.75,5.55,1.45,3.8,5.4,1.44,3.75,6.0,1.4,3.75,7.0,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,1677.9,1543.87
B1,07/02/04,Westerlo,St Truiden,3,0,H,1,0,H,2.0,3.2,3.2,2.0,3.25,3.25,1.9,3.2,3.4,2.0,3.2,3.2,1.9,3.1,3.45,1.65,2.0,,,,,,,,,,,,,,,,,,,,,,,1574.78,1600.04
B1,08/02/04,Club Brugge,Antwerp,4,0,H,1,0,H,1.2,5.0,11.0,1.18,5.5,12.0,1.17,5.5,11.0,1.16,5.5,11.0,1.16,5.5,12.0,1.45,2.45,,,,,,,,,,,,,,,,,,,,,,,1717.29,1412.14
B1,08/02/04,Mouscron,Genk,3,1,H,3,1,H,2.1,3.2,3.0,2.15,3.2,3.0,2.1,3.1,3.0,2.1,3.2,3.0,2.05,3.1,3.05,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,1589.14,1651.07
B1,11/02/04,Louvieroise,Club Brugge,0,4,A,0,0,D,4.0,3.2,1.8,3.7,3.25,1.85,3.8,3.3,1.75,3.5,3.4,1.83,3.2,3.2,2.0,1.65,2.0,,,,,,,,,,,,,,,,,,,,,,,1513.84,1719.5
B1,13/02/04,Genk,Standard,1,1,D,1,1,D,2.375,3.2,2.625,2.35,3.1,2.7,2.3,3.0,2.7,2.37,3.1,2.62,2.37,3.1,2.62,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1639.93,1670.56
B1,14/02/04,Anderlecht,Lokeren,2,1,H,0,0,D,1.143,5.5,15.0,1.15,6.0,12.0,1.15,6.0,12.0,1.14,6.0,12.0,1.14,6.0,12.0,1.4,2.6,,,,,,,,,,,,,,,,,,,,,,,1847.2,1556.07
B1,14/02/04,Antwerp,Charleroi,3,1,H,1,1,D,2.25,3.0,2.875,2.25,3.2,2.75,2.3,3.1,2.6,2.25,3.2,2.75,2.3,3.05,2.65,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1409.93,1450.6
B1,14/02/04,Beveren,Westerlo,0,3,A,0,0,D,2.25,3.2,2.75,2.25,3.2,2.75,2.3,3.2,2.5,2.25,3.2,2.75,2.25,3.05,2.75,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1489.69,1584.63
B1,14/02/04,Lierse,Bergen,0,2,A,0,0,D,1.833,3.25,3.75,1.85,3.1,3.9,1.85,3.1,3.6,1.83,3.2,3.75,1.85,3.0,3.8,1.85,1.79,,,,,,,,,,,,,,,,,,,,,,,1551.21,1484.09
B1,14/02/04,St Truiden,Heusden Zolder,2,1,H,1,0,H,1.615,3.5,4.5,1.65,3.3,4.75,1.65,3.3,4.4,1.61,3.4,4.75,1.65,3.25,4.5,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1590.19,1473.63
B1,15/02/04,Cercle Brugge,Mouscron,1,1,D,0,1,A,2.6,3.2,2.4,2.75,3.2,2.25,2.9,3.0,2.2,2.8,3.1,2.25,2.65,3.05,2.3,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,1493.59,1600.28
