Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
SC3,20/09/03,Cowdenbeath,Gretna,0.0,1.0,A,0.0,0.0,D,2.37,3.5,2.37,2.35,3.35,2.5,,,,2.375,3.5,2.375,,,,2.37,3.5,2.37,2.5,3.4,2.3,1060.56,1056.74
SC3,20/09/03,Peterhead,East Stirling,2.0,0.0,H,0.0,0.0,D,1.33,4.5,6.5,1.32,4.35,7.25,,,,1.25,5.0,8.0,,,,1.28,4.5,8.0,1.28,4.5,8.0,1142.95,821.6
SC3,20/09/03,Queens Park,Montrose,1.0,1.0,D,1.0,1.0,D,2.1,3.5,2.75,2.05,3.4,2.9,,,,1.909,3.5,3.2,,,,2.0,3.6,2.87,2.0,3.6,2.87,981.46,963.22
SC3,20/09/03,Stirling,Albion Rvs,2.0,1.0,H,1.0,1.0,D,1.8,3.5,3.5,1.77,3.5,3.6,,,,1.727,3.75,3.5,,,,1.83,3.6,3.25,2.0,3.6,2.87,1099.92,1128.7
SC3,20/09/03,Stranraer,Elgin,4.0,3.0,H,3.0,1.0,H,1.8,3.5,3.5,1.8,3.45,3.55,,,,1.8,3.5,3.5,,,,1.8,3.5,3.5,1.8,3.6,3.4,1108.44,940.01
SC3,27/09/03,Albion Rvs,Peterhead,2.0,0.0,H,0.0,0.0,D,2.75,3.5,2.1,2.75,3.5,2.1,,,,2.375,3.5,2.375,,,,2.75,3.5,2.1,2.75,3.5,2.1,1118.73,1144.98
SC3,27/09/03,East Stirling,Queens Park,1.0,2.0,A,0.0,1.0,A,3.0,3.4,2.0,2.9,3.5,2.0,,,,3.5,3.5,1.8,,,,3.2,3.5,1.9,3.3,3.75,1.8,819.57,977.36
SC3,27/09/03,Elgin,Cowdenbeath,0.0,4.0,A,0.0,1.0,A,2.2,3.5,2.6,2.2,3.5,2.6,,,,2.0,3.4,3.0,,,,2.2,3.5,2.6,2.5,3.6,2.25,935.62,1044.43
SC3,27/09/03,Gretna,Stirling,0.0,1.0,A,0.0,0.0,D,2.5,3.4,2.3,2.4,3.5,2.35,,,,2.5,3.5,2.25,,,,2.37,3.5,2.37,2.6,3.4,2.25,1072.87,1109.89
SC3,27/09/03,Montrose,Stranraer,2.0,4.0,A,0.0,2.0,A,2.75,3.5,2.1,2.6,3.5,2.2,,,,2.625,3.5,2.2,,,,2.6,3.5,2.2,3.2,3.5,1.9,967.32,1112.83
SC3,04/10/03,Albion Rvs,East Stirling,5.0,0.0,H,1.0,0.0,H,1.4,3.75,7.0,1.4,3.85,6.25,,,,1.286,5.0,7.0,,,,1.36,4.0,6.5,1.36,4.0,7.0,1128.62,809.13
SC3,04/10/03,Cowdenbeath,Stranraer,0.0,1.0,A,0.0,1.0,A,2.6,3.5,2.2,2.6,3.45,2.2,,,,2.625,3.5,2.2,,,,2.5,3.5,2.25,2.62,3.5,2.2,1056.61,1123.7
SC3,04/10/03,Gretna,Montrose,1.0,1.0,D,1.0,1.0,D,1.8,3.5,3.5,1.8,3.5,3.5,,,,1.727,3.5,3.75,,,,1.8,3.5,3.5,1.8,3.6,3.4,1058.13,956.45
SC3,04/10/03,Queens Park,Peterhead,0.0,2.0,A,0.0,2.0,A,2.5,3.5,2.25,2.5,3.5,2.25,,,,2.5,3.5,2.25,,,,2.5,3.5,2.25,2.6,3.4,2.25,987.8,1135.09
SC3,04/10/03,Stirling,Elgin,3.0,0.0,H,2.0,0.0,H,1.44,3.75,6.0,1.5,3.75,5.0,,,,1.4,4.333,5.5,,,,1.5,3.75,5.0,1.44,3.75,6.0,1124.63,923.44
SC3,11/10/03,Stirling,Montrose,3.0,0.0,H,2.0,0.0,H,1.36,4.0,7.0,1.4,4.3,5.5,,,,1.36,4.33,6.5,,,,1.36,4.2,6.5,1.4,3.75,7.0,1128.38,962.99
SC3,18/10/03,East Stirling,Gretna,0.0,1.0,A,0.0,0.0,D,4.33,3.6,1.61,3.9,3.7,1.67,,,,4.5,3.5,1.615,,,,4.0,3.6,1.66,4.33,3.6,1.61,807.08,1051.59
