Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,EloHome,EloAway
SC1,30/08/03,St Mirren,Clyde,2,1,H,0,0,D,2.5,3.5,2.25,2.6,3.25,2.3,2.5,3.1,2.2,2.625,3.5,2.2,,,,2.6,3.4,2.25,2.6,3.4,2.25,,,,,,,,,,,,,,,,,,,,,,,,,1320.31,1539.42
SC1,13/09/03,Brechin,St Mirren,1,1,D,1,1,D,2.5,3.5,2.25,2.55,3.4,2.25,2.4,3.3,2.2,2.5,3.5,2.25,,,,2.6,3.5,2.2,2.5,3.3,2.37,,,,,,,,,,,,,,,,,,,,,,,,,1291.43,1336.93
SC1,13/09/03,Clyde,St Johnstone,2,0,H,1,0,H,2.3,3.4,2.5,2.3,3.3,2.55,2.4,3.3,2.2,2.4,3.25,2.5,,,,2.3,3.4,2.5,2.37,3.3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,1522.8,1454.74
SC1,13/09/03,Falkirk,Ross County,0,2,A,0,1,A,1.66,3.4,4.5,1.65,3.5,4.25,1.7,3.4,3.5,1.727,3.5,3.75,,,,1.66,3.5,4.2,1.66,3.5,4.2,,,,,,,,,,,,,,,,,,,,,,,,,1533.15,1338.04
SC1,13/09/03,Inverness C,Ayr,1,0,H,1,0,H,1.57,3.5,5.0,1.65,3.5,4.25,1.6,3.5,3.6,1.615,3.5,4.5,,,,1.61,3.6,4.33,1.53,3.6,5.0,,,,,,,,,,,,,,,,,,,,,,,,,1467.41,1368.72
SC1,13/09/03,Queen of Sth,Raith Rvs,0,2,A,0,1,A,2.25,3.5,2.5,2.2,3.5,2.6,2.2,3.3,2.4,2.0,3.6,2.875,,,,2.3,3.4,2.5,2.2,3.5,2.62,,,,,,,,,,,,,,,,,,,,,,,,,1425.8,1323.29
SC1,20/09/03,Brechin,Inverness C,0,2,A,0,0,D,3.2,3.5,1.9,2.9,3.55,2.0,2.7,3.3,2.0,3.25,3.4,1.909,,,,2.9,3.6,2.0,2.87,3.6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1289.49,1473.45
SC1,20/09/03,Clyde,Falkirk,1,2,A,1,1,D,2.1,3.5,2.75,2.23,3.4,2.6,2.1,3.3,2.5,2.0,3.4,3.0,,,,2.2,3.4,2.7,2.25,3.4,2.6,,,,,,,,,,,,,,,,,,,,,,,,,1529.68,1512.02
SC1,20/09/03,Ross County,Ayr,2,2,D,2,2,D,1.66,3.6,4.0,1.63,3.6,4.2,1.6,3.4,3.8,1.615,3.5,4.5,,,,1.66,3.6,4.0,1.57,3.75,4.5,,,,,,,,,,,,,,,,,,,,,,,,,1359.17,1362.68
SC1,20/09/03,St Johnstone,Raith Rvs,0,1,A,0,1,A,1.72,3.6,3.75,1.7,3.55,3.85,1.7,3.4,3.5,1.727,3.5,3.75,,,,1.7,3.6,3.8,1.66,3.75,3.8,,,,,,,,,,,,,,,,,,,,,,,,,1447.86,1342.35
SC1,20/09/03,St Mirren,Queen of Sth,1,2,A,1,2,A,2.0,3.4,3.0,1.93,3.35,3.2,1.9,3.1,3.0,2.0,3.4,3.0,,,,1.85,3.5,3.4,1.9,3.5,3.2,,,,,,,,,,,,,,,,,,,,,,,,,1338.87,1406.74
SC1,27/09/03,Ayr,Brechin,3,2,H,2,1,H,2.0,3.4,3.0,2.05,3.4,2.88,1.85,3.4,2.9,1.8,3.5,3.5,,,,2.0,3.4,3.0,2.0,3.2,3.2,,,,,,,,,,,,,,,,,,,,,,,,,1366.06,1279.95
SC1,27/09/03,Falkirk,St Johnstone,0,3,A,0,2,A,2.1,3.5,2.75,2.1,3.4,2.8,2.0,3.3,2.7,2.0,3.4,3.0,,,,2.1,3.4,2.8,2.1,3.5,2.75,,,,,,,,,,,,,,,,,,,,,,,,,1528.6,1428.72
SC1,27/09/03,Inverness C,St Mirren,2,0,H,2,0,H,1.72,3.6,3.75,1.7,3.55,3.85,1.75,3.4,3.3,1.667,3.6,4.0,,,,1.72,3.6,3.75,1.72,3.6,3.75,,,,,,,,,,,,,,,,,,,,,,,,,1482.99,1325.22
SC1,27/09/03,Queen of Sth,Clyde,4,1,H,2,1,H,2.5,3.4,2.3,2.5,3.4,2.3,2.3,3.1,2.3,2.4,3.25,2.5,,,,2.5,3.4,2.3,2.5,3.4,2.3,,,,,,,,,,,,,,,,,,,,,,,,,1420.39,1513.1
SC1,27/09/03,Raith Rvs,Ross County,1,7,A,1,3,A,2.2,3.4,2.62,2.2,3.4,2.65,2.2,3.3,2.4,2.2,3.25,2.75,,,,2.25,3.4,2.6,2.3,3.4,2.5,,,,,,,,,,,,,,,,,,,,,,,,,1361.49,1355.79
SC1,04/10/03,Brechin,Queen of Sth,0,1,A,0,0,D,3.0,3.4,2.0,2.75,3.45,2.1,2.6,3.2,2.1,2.75,3.5,2.1,,,,2.8,3.4,2.1,2.75,3.5,2.1,,,,,,,,,,,,,,,,,,,,,,,,,1273.57,1432.63
SC1,04/10/03,Clyde,Ross County,2,2,D,1,2,A,2.25,3.5,2.5,2.25,3.5,2.5,2.1,3.2,2.6,2.2,3.5,2.625,,,,2.25,3.4,2.6,2.1,3.4,2.8,,,,,,,,,,,,,,,,,,,,,,,,,1500.86,1371.98
SC1,04/10/03,Inverness C,Raith Rvs,2,1,H,1,0,H,1.72,3.6,3.75,1.7,3.6,3.8,1.7,3.3,3.6,1.727,3.5,3.75,,,,1.8,3.5,3.5,1.66,3.6,4.0,,,,,,,,,,,,,,,,,,,,,,,,,1487.61,1345.3
SC1,04/10/03,St Johnstone,Ayr,1,1,D,0,0,D,1.57,3.75,4.5,1.55,3.75,4.6,1.55,3.5,4.2,1.615,3.5,4.5,,,,1.61,3.6,4.33,1.53,3.6,5.0,,,,,,,,,,,,,,,,,,,,,,,,,1447.71,1372.44
SC1,04/10/03,St Mirren,Falkirk,0,0,D,0,0,D,2.5,3.5,2.25,2.6,3.45,2.2,2.6,3.2,2.1,2.625,3.5,2.2,,,,2.62,3.4,2.2,2.75,3.5,2.1,,,,,,,,,,,,,,,,,,,,,,,,,1320.6,1509.61
SC1,18/10/03,Ayr,St Mirren,0,2,A,0,1,A,2.2,3.5,2.6,2.2,3.4,2.65,2.2,3.1,2.5,2.0,3.4,3.0,,,,2.2,3.5,2.6,2.25,3.4,2.6,,,,,,,,,,,,,,,,,,,,,,,,,1378.26,1323.73
SC1,18/10/03,Falkirk,Brechin,3,0,H,2,0,H,1.4,3.75,7.0,1.4,4.0,6.2,1.4,3.7,5.3,1.444,4.0,5.5,,,,1.4,4.0,6.25,1.44,3.75,6.0,,,,,,,,,,,,,,,,,,,,,,,,,1506.48,1263.17
SC1,18/10/03,Queen of Sth,Inverness C,3,2,H,0,0,D,2.5,3.4,2.3,2.45,3.4,2.35,2.3,3.1,2.3,2.375,3.5,2.375,,,,2.37,3.5,2.37,2.4,3.4,2.4,,,,,,,,,,,,,,,,,,,,,,,,,1443.03,1492.58
SC1,18/10/03,Raith Rvs,Clyde,0,1,A,0,1,A,2.5,3.4,2.3,2.4,3.4,2.4,2.3,3.1,2.3,2.2,3.5,2.625,,,,2.37,3.5,2.37,2.4,3.4,2.4,,,,,,,,,,,,,,,,,,,,,,,,,1340.33,1493.64
SC1,18/10/03,Ross County,St Johnstone,0,3,A,0,3,A,2.5,3.4,2.3,2.35,3.3,2.5,2.2,3.3,2.4,2.2,3.5,2.625,,,,2.3,3.4,2.5,2.37,3.3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,1379.2,1441.89
SC1,25/10/03,Falkirk,Ayr,0,1,A,0,1,A,1.5,3.8,5.0,1.55,3.6,4.85,1.55,3.5,4.0,1.615,4.0,4.0,,,,1.57,3.5,5.0,1.53,3.6,5.0,,,,,,,,,,,,,,,,,,,,,,,,,1509.52,1360.54
SC1,25/10/03,Raith Rvs,Brechin,2,1,H,2,0,H,1.57,3.75,4.5,1.65,3.5,4.2,1.65,3.4,3.6,1.615,4.0,4.0,,,,1.61,3.5,4.5,1.72,3.6,3.75,,,,,,,,,,,,,,,,,,,,,,,,,1329.73,1260.13
SC1,25/10/03,Ross County,Queen of Sth,1,0,H,0,0,D,2.37,3.5,2.37,2.3,3.4,2.5,2.2,3.1,2.5,2.25,3.5,2.5,,,,2.37,3.5,2.37,2.3,3.4,2.5,,,,,,,,,,,,,,,,,,,,,,,,,1365.36,1453.73
SC1,25/10/03,St Johnstone,St Mirren,1,0,H,1,0,H,1.61,3.6,4.33,1.67,3.5,4.1,1.7,3.3,3.5,1.667,3.6,4.0,,,,1.72,3.4,4.0,1.72,3.6,3.75,,,,,,,,,,,,,,,,,,,,,,,,,1455.73,1341.45
