Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,B365AHH,B365AHA,B365AH,EloHome,EloAway
E3,16/08/03,Darlington,Kidderminster,0,2,A,0,0,D,Martin Atkinson,8,9,5,7,12,7,3,9,2,1,0,0,2.2,3.25,2.8,2.1,3.2,3.05,2.1,3.0,2.8,2.1,3.2,3.0,2.2,3.25,2.8,2.2,3.25,2.8,1.9,3.25,3.4,,,,,,,,,1109.73,1156.28
E3,16/08/03,Doncaster,Southend,2,0,H,1,0,H,Nigel Miller,12,6,6,0,7,8,7,5,0,0,0,0,1.909,3.25,3.5,2.0,3.2,3.3,2.0,3.0,2.9,2.0,3.4,3.0,2.0,3.25,3.25,2.0,3.25,3.25,2.1,3.2,3.0,,,,,,,,,1251.11,1092.09
E3,16/08/03,Mansfield,Leyton Orient,1,1,D,1,0,H,Andre Marriner,12,12,8,8,10,5,9,4,1,2,0,0,1.8,3.25,4.0,1.8,3.3,3.9,1.8,3.1,3.4,1.727,3.5,3.75,1.83,3.25,3.75,1.83,3.25,3.75,1.83,3.3,3.6,,,,,,,,,1155.49,1090.02
E3,16/08/03,Oxford,Hull,2,1,H,2,0,H,K Wright,5,18,3,7,19,13,2,10,2,0,1,0,2.375,3.2,2.625,2.35,3.2,2.65,2.3,3.0,2.4,2.25,3.2,2.75,2.38,3.2,2.62,2.37,3.2,2.62,2.37,3.3,2.5,,,,,,,,,1167.58,1146.04
E3,16/08/03,Torquay,Lincoln,1,0,H,0,0,D,M Cooper,19,4,9,1,11,16,5,2,1,5,0,0,1.909,3.25,3.5,2.0,3.2,3.3,2.0,3.0,2.9,2.1,3.2,3.0,2.0,3.25,3.25,2.0,3.25,3.25,2.0,3.2,3.2,,,,,,,,,1171.68,1166.49
E3,16/08/03,Yeovil,Carlisle,3,0,H,2,0,H,M Thorpe,17,12,10,5,8,21,8,6,2,4,0,0,1.571,3.4,5.5,1.6,3.4,5.1,1.55,3.4,4.3,1.571,3.75,4.5,1.57,3.4,5.5,1.57,3.4,5.5,1.53,3.4,5.5,,,,,,,,,1251.51,1086.91
E3,16/08/03,York,Northampton,1,0,H,1,0,H,M Pike,6,13,1,8,8,8,7,4,1,2,0,0,2.5,3.2,2.5,2.4,3.2,2.6,2.35,3.0,2.35,2.25,3.2,2.75,2.5,3.2,2.5,2.5,3.2,2.5,2.62,3.1,2.37,,,,,,,,,1168.99,1114.54
E3,22/08/03,Northampton,Darlington,1,0,H,1,0,H,Steve Tanner,11,6,5,2,14,12,15,3,0,4,0,0,1.667,3.4,4.5,1.7,3.4,4.4,1.7,3.2,3.7,1.615,3.5,4.5,1.67,3.4,4.5,1.66,3.4,4.5,1.66,3.4,4.33,,,,,,,,,1107.26,1095.32
E3,22/08/03,Swansea,Boston,3,0,H,0,0,D,M Jones,19,7,9,3,10,13,11,2,0,3,0,0,1.727,3.5,4.0,1.75,3.4,4.1,1.7,3.2,3.7,1.727,3.4,4.0,1.8,3.25,4.0,1.8,3.25,4.0,1.72,3.4,4.0,,,,,,,,,1137.77,1173.04
E3,23/08/03,Carlisle,Bristol Rvs,0,2,A,0,2,A,N Miller,15,15,7,10,15,7,5,3,0,0,0,0,2.625,3.2,2.375,2.65,3.15,2.4,2.4,3.0,2.3,2.6,3.2,2.375,2.6,3.2,2.4,2.6,3.2,2.4,2.62,3.1,2.37,,,,,,,,,1082.44,1137.69
