Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,EloHome,EloAway
D2,17/08/03,Duisburg,Regensburg,2,2,D,1,1,D,1.8,3.3,3.75,1.7,3.3,4.5,1.6,3.4,4.6,1.66,3.5,4.2,1.55,3.5,4.8,1.65,2.05,2.15,1.65,-1.0,1488.57,1495.53
D2,17/08/03,Greuther Furth,Ein Trier,4,2,H,2,1,H,1.833,3.2,3.75,1.9,3.2,3.6,2.1,3.0,3.1,1.95,3.2,3.3,1.85,3.3,3.4,1.6,2.15,1.85,1.9,-0.5,1583.3,1502.38
D2,18/08/03,Mainz,Nurnberg,2,1,H,1,0,H,2.3,3.0,2.8,2.35,3.1,2.7,2.2,3.0,2.9,2.4,3.1,2.6,2.2,3.0,2.85,1.6,2.15,1.8,1.95,0.0,1603.46,1521.36
D2,22/08/03,Ahlen,Karlsruhe,1,2,A,1,1,D,1.909,3.25,3.4,1.95,3.2,3.4,1.9,3.1,3.5,1.9,3.3,3.4,1.9,3.25,3.3,1.65,2.05,1.95,1.75,-0.5,1466.51,1459.73
D2,22/08/03,Ein Trier,Duisburg,1,1,D,1,1,D,2.0,3.2,3.2,2.15,3.2,2.95,2.1,3.0,3.1,2.0,3.2,3.2,2.15,3.15,2.8,1.6,2.15,1.9,1.85,-0.25,1495.86,1485.3
D2,22/08/03,Regensburg,Lubeck,0,4,A,0,2,A,1.909,3.25,3.4,1.95,3.25,3.35,1.85,3.1,3.6,1.9,3.3,3.4,2.05,3.15,3.0,1.71,2.0,1.9,1.85,-0.5,1498.8,1446.1
D2,24/08/03,Aachen,Erzgebirge Aue,1,0,H,1,0,H,1.667,3.3,4.5,1.7,3.3,4.35,1.7,3.2,4.2,1.66,3.5,4.2,1.55,3.5,4.8,1.65,2.05,2.05,1.7,-1.0,1489.03,1466.89
D2,24/08/03,Oberhausen,Burghausen,1,2,A,0,0,D,2.0,3.2,3.2,2.0,3.15,3.3,2.0,3.1,3.2,2.0,3.2,3.2,1.8,3.3,3.6,1.65,2.05,,,,1448.17,1499.01
D2,24/08/03,Osnabruck,Mainz,2,2,D,2,1,H,2.75,3.2,2.25,2.8,3.15,2.25,3.1,3.0,2.1,2.8,3.2,2.2,2.8,3.15,2.15,1.65,2.05,1.95,1.8,0.25,1470.03,1609.95
D2,24/08/03,Union Berlin,Greuther Furth,3,0,H,1,0,H,2.3,3.2,2.625,2.35,3.15,2.65,2.5,3.0,2.5,2.4,3.2,2.5,2.4,3.1,2.5,1.65,2.05,2.0,1.75,-0.25,1500.66,1589.82
