Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,B365AHH,B365AHA,B365AH,EloHome,EloAway
E2,09/08/03,Barnsley,Colchester,1,0,H,0,0,D,Colin Webster,5,10,5,5,16,13,7,1,1,1,0,0,1.909,3.25,3.5,1.9,3.35,3.65,1.9,3.1,3.0,2.1,3.2,3.0,1.91,3.25,3.5,1.9,3.25,3.5,1.83,3.2,3.75,,,,,,,,,1316.02,1341.13
E2,09/08/03,Bristol City,Notts County,5,0,H,2,0,H,Joe Ross,17,12,13,5,11,13,7,0,0,2,0,0,1.571,3.4,5.5,1.6,3.55,5.2,1.6,3.3,4.0,1.615,3.5,4.5,1.57,3.4,5.5,1.57,3.4,5.5,1.57,3.5,5.0,,,,,,,,,1433.16,1323.68
E2,09/08/03,Luton,Rushden & D,3,1,H,0,1,A,Iain Williamson,7,12,5,5,22,11,7,6,3,0,0,0,2.2,3.25,2.8,2.2,3.2,2.98,2.1,3.1,2.7,2.2,3.2,2.8,2.1,3.25,3.0,2.1,3.25,3.0,2.2,3.2,2.8,,,,,,,,,1371.29,1360.72
E2,09/08/03,Oldham,Brighton,1,3,A,0,2,A,Eddie Ilderton,10,8,4,4,17,14,3,5,2,2,0,0,2.4,3.2,2.6,2.6,3.35,2.4,2.2,3.1,2.5,2.5,3.25,2.4,2.5,3.2,2.5,2.37,3.25,2.6,2.5,3.25,2.4,,,,,,,,,1440.39,1402.33
E2,09/08/03,Peterboro,Hartlepool,3,4,A,2,1,H,Grant Hegley,9,8,8,7,8,9,6,4,2,1,0,0,2.0,3.25,3.25,2.02,3.3,3.25,2.0,3.1,2.8,2.1,3.2,3.0,2.0,3.25,3.25,2.0,3.25,3.25,2.0,3.4,3.0,,,,,,,,,1359.56,1323.82
E2,09/08/03,Plymouth,Grimsby,2,2,D,1,1,D,Lee Cable,25,7,14,4,12,21,5,4,1,2,0,0,2.1,3.25,3.0,2.1,3.25,3.15,1.9,3.1,3.0,2.0,3.2,3.2,2.0,3.25,3.25,2.0,3.25,3.25,2.1,3.2,3.0,,,,,,,,,1371.1,1320.35
E2,09/08/03,Port Vale,Bournemouth,2,1,H,0,0,D,G Salisbury,9,7,5,3,3,5,2,6,0,0,0,0,2.2,3.25,2.8,2.1,3.3,3.1,2.0,3.1,2.8,2.2,3.2,2.8,2.1,3.25,3.0,2.1,3.25,3.0,2.0,3.4,3.0,,,,,,,,,1298.57,1280.33
E2,09/08/03,QPR,Blackpool,5,0,H,2,0,H,Paul Taylor,20,5,11,2,11,13,3,1,1,2,0,1,1.615,3.6,4.5,1.65,3.35,5.0,1.6,3.3,4.0,1.571,3.5,5.0,1.62,3.4,5.0,1.61,3.4,5.0,1.61,3.3,5.0,,,,,,,,,1471.2,1284.35
E2,09/08/03,Swindon,Sheffield Weds,2,3,A,1,3,A,Barry Knight,19,6,8,4,14,12,6,1,2,2,0,0,2.625,3.2,2.375,2.65,3.25,2.4,2.3,3.0,2.4,2.75,3.2,2.25,2.6,3.2,2.4,2.6,3.2,2.4,2.62,3.1,2.37,,,,,,,,,1344.57,1393.31
E2,09/08/03,Tranmere,Brentford,4,1,H,2,0,H,Carl Boyeson,12,6,7,4,23,14,8,5,2,2,0,1,1.667,3.4,4.5,1.68,3.45,4.65,1.65,3.3,3.8,1.667,3.4,4.333,1.67,3.4,4.5,1.66,3.4,4.5,1.61,3.3,5.0,,,,,,,,,1452.72,1296.49
E2,09/08/03,Wrexham,Chesterfield,0,0,D,0,0,D,Andy Penn,12,9,5,5,8,18,4,2,1,2,0,0,1.8,3.25,4.0,1.75,3.4,4.2,1.75,3.3,3.4,1.909,3.25,3.4,1.73,3.25,4.33,1.72,3.25,4.33,1.72,3.4,4.0,,,,,,,,,1365.93,1247.63
E2,09/08/03,Wycombe,Stockport,1,0,H,1,0,H,Trevor Parkes,9,7,5,3,13,4,8,3,1,3,0,0,2.1,3.25,3.0,2.12,3.3,3.05,2.1,3.1,2.7,2.25,3.2,2.75,2.1,3.25,3.0,2.1,3.25,3.0,2.1,3.2,3.0,,,,,,,,,1289.9,1312.08
E2,15/08/03,Colchester,Swindon,0,1,A,0,0,D,P Crossley,5,14,1,9,13,7,6,7,2,1,0,0,2.25,3.25,2.75,2.2,3.2,2.9,2.2,3.0,2.6,2.1,3.4,2.8,2.2,3.25,2.8,2.2,3.25,2.8,2.2,3.2,2.8,,,,,,,,,1331.28,1330.24
E2,16/08/03,Blackpool,Wycombe,3,2,H,2,2,D,E Evans,12,13,5,8,12,17,3,10,3,1,1,0,1.909,3.25,3.5,1.9,3.3,3.5,1.9,3.1,3.0,2.0,3.2,3.2,2.0,3.25,3.25,2.0,3.25,3.25,1.83,3.3,3.6,,,,,,,,,1280.33,1299.65
