Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,EloHome,EloAway
N1,18/08/95,For Sittard,PSV Eindhoven,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1500.0,1624.53
N1,19/08/95,Go Ahead Eagles,Groningen,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1422.05,1425.42
N1,19/08/95,Roda JC,Heerenveen,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1661.98,1449.0
N1,19/08/95,Willem II,Sparta,6.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1499.2,1436.67
N1,20/08/95,Ajax,Utrecht,4.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1765.76,1430.85
N1,20/08/95,Feyenoord,Vitesse,5.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,1615.82,1566.68
N1,20/08/95,Graafschap,Nijmegen,2.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1500.0,1441.12
N1,20/08/95,Volendam,Twente,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1471.29,1563.68
N1,20/08/95,Waalwijk,NAC Breda,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1511.04,1475.24
N1,23/08/95,Groningen,For Sittard,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1428.81,1488.38
N1,25/08/95,Nijmegen,Ajax,0.0,6.0,A,,,,,,,,,,,,,,,,,,,,,,1458.97,1767.65
N1,26/08/95,Go Ahead Eagles,Willem II,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1418.66,1506.24
N1,26/08/95,Heerenveen,Waalwijk,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1457.96,1506.39
N1,27/08/95,NAC Breda,PSV Eindhoven,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1479.89,1636.15
N1,27/08/95,Sparta,Graafschap,4.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1429.63,1482.15
N1,27/08/95,Twente,Feyenoord,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1576.45,1623.26
N1,27/08/95,Utrecht,Volendam,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1428.96,1458.52
N1,27/08/95,Vitesse,Roda JC,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1559.24,1653.02
N1,29/08/95,Heerenveen,Groningen,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1468.62,1439.86
N1,08/09/95,Waalwijk,Vitesse,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1495.73,1559.02
N1,09/09/95,Nijmegen,Utrecht,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1453.19,1426.46
N1,09/09/95,PSV Eindhoven,Heerenveen,5.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1621.64,1476.69
N1,09/09/95,Roda JC,Twente,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1653.24,1574.55
N1,09/09/95,Willem II,For Sittard,4.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1519.19,1477.33
N1,10/09/95,Ajax,Sparta,4.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1773.43,1440.43
N1,10/09/95,Feyenoord,Volendam,5.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1625.16,1461.02
N1,10/09/95,Graafschap,Go Ahead Eagles,3.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,1471.35,1405.71
N1,12/09/95,Groningen,NAC Breda,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1431.79,1494.4
N1,15/09/95,Sparta,Nijmegen,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1438.52,1461.32
