Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,EloHome,EloAway
D1,14/09/96,Dortmund,Stuttgart,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,1790.18,1645.79
D1,14/09/96,FC Koln,M'gladbach,4.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,1637.46,1646.53
D1,14/09/96,Karlsruhe,Duisburg,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1678.51,1531.11
D1,14/09/96,Munich 1860,Freiburg,4.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1617.6,1605.55
D1,14/09/96,Schalke 04,Bayern Munich,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,,1689.87,1731.45
D1,15/09/96,Hamburg,St Pauli,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1638.11,1578.75
D1,17/09/96,Karlsruhe,Stuttgart,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,,1683.36,1653.37
D1,20/09/96,Duisburg,Werder Bremen,3.0,2.0,H,1.0,0.0,H,,,,,,,,,,,,1526.26,1676.42
D1,20/09/96,Hansa Rostock,Munich 1860,2.0,4.0,A,2.0,2.0,D,,,,,,,,,,,,1651.68,1626.2
D1,21/09/96,Bayern Munich,Karlsruhe,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1733.53,1666.39
D1,21/09/96,Bielefeld,Schalke 04,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,,1561.76,1687.79
D1,21/09/96,Bochum,Hamburg,3.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,1651.71,1645.25
D1,21/09/96,M'gladbach,Dortmund,5.0,1.0,H,3.0,1.0,H,,,,,,,,,,,,1637.23,1782.6
D1,21/09/96,St Pauli,FC Koln,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1571.61,1646.76
D1,21/09/96,Stuttgart,Dusseldorf,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,1670.34,1628.19
D1,22/09/96,Leverkusen,Freiburg,5.0,3.0,H,2.0,1.0,H,,,,,,,,,,,,1614.36,1596.95
D1,27/09/96,FC Koln,Bochum,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1647.65,1660.5
D1,27/09/96,Karlsruhe,Bielefeld,5.0,2.0,H,2.0,0.0,H,,,,,,,,,,,,1659.48,1550.19
D1,28/09/96,Dusseldorf,M'gladbach,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1645.54,1651.35
D1,28/09/96,Freiburg,Hansa Rostock,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1588.52,1634.85
D1,28/09/96,Hamburg,Duisburg,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,1636.46,1540.55
D1,28/09/96,Munich 1860,Stuttgart,2.0,5.0,A,1.0,2.0,A,,,,,,,,,,,,1643.03,1652.99
D1,28/09/96,Schalke 04,Leverkusen,1.0,2.0,A,1.0,2.0,A,,,,,,,,,,,,1699.36,1622.79
D1,28/09/96,Werder Bremen,Bayern Munich,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1662.13,1740.44
D1,29/09/96,Dortmund,St Pauli,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,1768.48,1570.72
D1,04/10/96,Bochum,Dortmund,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1651.07,1772.3
D1,04/10/96,Leverkusen,Hansa Rostock,4.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,1641.15,1624.27
D1,04/10/96,Stuttgart,Freiburg,4.0,2.0,H,2.0,1.0,H,,,,,,,,,,,,1668.66,1599.1
