season,file,round,matches,correct,accuracy,logloss,brier,rps
1993-94,D1_elo.csv,1,9,6,0.6666666666666666,1.0986122886681098,0.6666666666666669,0.2407407407407408
1993-94,D1_elo.csv,2,9,3,0.3333333333333333,1.0986122886681098,0.6666666666666669,0.24074074074074078
1993-94,D1_elo.csv,3,9,5,0.5555555555555556,1.0986122886681098,0.6666666666666669,0.2592592592592593
1993-94,D1_elo.csv,4,9,5,0.5555555555555556,1.0986122886681098,0.6666666666666669,0.2222222222222222
1993-94,D1_elo.csv,5,9,6,0.6666666666666666,1.0986122886681098,0.6666666666666669,0.27777777777777785
1993-94,D1_elo.csv,6,9,2,0.2222222222222222,1.0986122886681098,0.6666666666666669,0.16666666666666666
1993-94,D1_elo.csv,7,9,3,0.3333333333333333,1.0986122886681098,0.6666666666666669,0.22222222222222227
1993-94,D1_elo.csv,8,9,3,0.3333333333333333,1.0986122886681098,0.6666666666666669,0.20370370370370372
1993-94,D1_elo.csv,9,9,5,0.5555555555555556,1.0986122886681098,0.6666666666666669,0.20370370370370378
1993-94,D1_elo.csv,10,9,1,0.1111111111111111,1.0986122886681098,0.6666666666666669,0.20370370370370372
1993-94,D1_elo.csv,11,9,3,0.3333333333333333,1.0986122886681098,0.6666666666666669,0.27777777777777785
1993-94,D1_elo.csv,12,9,5,0.5555555555555556,1.0986122886681098,0.6666666666666669,0.20370370370370378
1993-94,D1_elo.csv,13,9,1,0.1111111111111111,1.0986122886681098,0.6666666666666669,0.20370370370370378
1993-94,D1_elo.csv,14,9,3,0.3333333333333333,1.0986122886681098,0.6666666666666669,0.2407407407407408
1993-94,D1_elo.csv,15,9,4,0.4444444444444444,1.0986122886681098,0.6666666666666669,0.2407407407407408
1993-94,D1_elo.csv,16,9,2,0.2222222222222222,1.0986122886681098,0.6666666666666669,0.2592592592592593
1993-94,D1_elo.csv,17,9,3,0.3333333333333333,1.0986122886681098,0.6666666666666669,0.24074074074074078
1993-94,D1_elo.csv,18,9,2,0.2222222222222222,1.0986122886681098,0.6666666666666669,0.24074074074074078
1993-94,D1_elo.csv,19,9,4,0.4444444444444444,1.0986122886681098,0.6666666666666669,0.18518518518518523
1993-94,D1_elo.csv,20,9,4,0.4444444444444444,1.0986122886681098,0.6666666666666669,0.20370370370370378
1993-94,D1_elo.csv,21,9,2,0.2222222222222222,1.0986122886681098,0.6666666666666669,0.20370370370370378
1993-94,D1_elo.csv,22,9,1,0.1111111111111111,1.0986122886681098,0.6666666666666669,0.2777777777777778
