season,file,round,matches,correct,brier,logloss,rps,accuracy
1993-94,D1_elo.csv,1,9,5,0.5992767870057585,1.0060775685823926,0.212985501761393,0.555556
1993-94,D1_elo.csv,2,9,6,0.5577424780407985,0.9528165444232491,0.19182979751789253,0.666667
1993-94,D1_elo.csv,3,9,7,0.4928104368644031,0.8565298026617865,0.19071794324264574,0.777778
1993-94,D1_elo.csv,4,9,2,0.7404873431238607,1.2013571422283535,0.2522211718568196,0.222222
1993-94,D1_elo.csv,5,18,8,0.6303868772048601,1.0590179722482165,0.19787076185305416,0.444444
1993-94,D1_elo.csv,6,9,3,0.6915916047169461,1.135634745133153,0.22961505241886807,0.333333
1993-94,D1_elo.csv,7,9,1,0.8236761504945842,1.3342487093636661,0.25169598823509914,0.111111
1993-94,D1_elo.csv,8,9,3,0.760092970929922,1.2508245340121285,0.22026785637574062,0.333333
1993-94,D1_elo.csv,9,9,4,0.7077046854178776,1.1737290612338698,0.20292090286319786,0.444444
1993-94,D1_elo.csv,10,9,7,0.4512774752119756,0.7853660510236552,0.2048676318784265,0.777778
1993-94,D1_elo.csv,11,9,6,0.5814127653253232,0.9978818107026122,0.15081267916043778,0.666667
1993-94,D1_elo.csv,12,9,4,0.726048940504772,1.1996211345464056,0.20878057256306062,0.444444
1993-94,D1_elo.csv,13,9,5,0.5597671126739627,0.9447427909602505,0.20219557999809037,0.555556
1993-94,D1_elo.csv,14,9,6,0.5123297390205765,0.8887921701203352,0.1737033301670342,0.666667
1993-94,D1_elo.csv,15,9,5,0.5990227644979094,0.9846968437374761,0.25037515792245346,0.555556
1993-94,D1_elo.csv,16,9,5,0.5710872387663196,0.9602309046873256,0.20724612347079438,0.555556
1993-94,D1_elo.csv,17,9,5,0.6026003041670128,1.0074523641403619,0.21711078034566206,0.555556
1993-94,D1_elo.csv,18,9,3,0.84607193572174,1.3785906420300529,0.22741313161474416,0.333333
1993-94,D1_elo.csv,19,9,3,0.7297104463416944,1.2076609509028506,0.20884368366537492,0.333333
1993-94,D1_elo.csv,20,9,3,0.7813859152883251,1.2739714051803346,0.2336415088644191,0.333333
