country,matches,correct,accuracy,logloss,brier,rps
Belgium,8473,4369,0.5156379086510091,1.0014827459574134,0.5982066283797964,0.20596920298048457
England,76183,35531,0.4663901395324416,1.0473680576365523,0.6305525318951396,0.21724724666065837
France,22702,10741,0.47313012069421195,1.039251924784447,0.625692680100137,0.20891295977783733
Germany,19792,9578,0.4839329021827001,1.0346624368819222,0.6216197416005176,0.21323978946193392
Greece,7940,4506,0.5675062972292192,0.9527278826603591,0.5652570967270892,0.19006656315074433
Italy,23409,11286,0.48212226066897346,1.0250314470592028,0.6163938253153342,0.2029206519363534
Netherlands,9790,5365,0.5480081716036772,0.9693567470756924,0.5766876422307118,0.19746535989873948
Portugal,9021,4866,0.5394080478882607,0.974529433982265,0.5803286770184696,0.19482497901519139
Scotland,22271,10729,0.4817475640968075,1.0325487989418043,0.619449853593295,0.21729817812580607
Spain,25829,12353,0.4782608695652174,1.033955919310592,0.621460258384382,0.20967375355341913
Turkey,9856,5239,0.5315543831168831,0.9976449722817731,0.5953271146491886,0.20399667241696753
