country,matches,correct,accuracy,logloss,brier,rps
Belgium,8473,4323,0.510208898855187,1.0084282097287063,0.6031811033210788,0.20845305966156144
England,76183,35291,0.4632398304083588,1.0497530581765486,0.6322239697316059,0.21808234537495114
France,22702,10691,0.4709276715707867,1.043038914953737,0.6283000860826508,0.21021573447219924
Germany,19792,9488,0.4793856103476152,1.0400350434347085,0.625398848617979,0.21512780267883905
Greece,7940,4470,0.5629722921914357,0.9649637279321986,0.5734171936471877,0.19414049545356143
Italy,23409,11173,0.47729505745653383,1.0315417441984833,0.6207484791810544,0.2050967414124392
Netherlands,9790,5294,0.540755873340143,0.9809679639697908,0.5847283745773486,0.20148004371340017
Portugal,9021,4843,0.5368584414144774,0.9857783876953254,0.5881949074132273,0.19875174030428103
Scotland,22271,10659,0.4786044632032688,1.0374183836020487,0.6229812285091777,0.21906174840347245
Spain,25829,12278,0.475357156684347,1.0383855707719627,0.6245347288120783,0.2112095941205568
Turkey,9856,5164,0.5239448051948052,1.0041394066620923,0.6000270711879648,0.20634424339160684
