season,file,round,matches,correct,accuracy,logloss,brier,rps
1993-94,D1_elo.csv,12,9,2,0.2222222222222222,1.2841143176691878,0.7951953247804198,0.2558017126110803
1993-94,D1_elo.csv,13,9,5,0.5555555555555556,0.9837656464673403,0.5774613567377537,0.19927245969746035
1993-94,D1_elo.csv,14,9,3,0.3333333333333333,1.109304598982907,0.6594673733892753,0.2359361035822166
1993-94,D1_elo.csv,15,9,5,0.5555555555555556,1.1701715247882725,0.6754081759751956,0.2880686393959429
1993-94,D1_elo.csv,16,9,4,0.4444444444444444,1.1050070767361513,0.6624872003625241,0.2449025221976071
1993-94,D1_elo.csv,17,9,4,0.4444444444444444,1.1103497954499575,0.6603788060255585,0.25241151929312877
1993-94,D1_elo.csv,18,9,2,0.2222222222222222,1.3115853058093245,0.8406107168884114,0.24271255886288426
1993-94,D1_elo.csv,19,9,3,0.3333333333333333,1.2266004845475271,0.7737715777955693,0.2330032918697745
1993-94,D1_elo.csv,20,9,2,0.2222222222222222,1.3373799763741983,0.8392688214945306,0.2715594266860287
1993-94,D1_elo.csv,21,9,6,0.6666666666666666,1.0214011373215912,0.6085174126828495,0.268902183695915
1993-94,D1_elo.csv,22,9,1,0.1111111111111111,1.4326827747323652,0.9055327355878224,0.2492546603747719
1993-94,D1_elo.csv,23,9,5,0.5555555555555556,0.9626674342574462,0.5699255614194657,0.23048661281088062
1993-94,D1_elo.csv,24,9,8,0.8888888888888888,0.6947293175356825,0.37405822573186587,0.15514279826803937
1993-94,D1_elo.csv,25,9,4,0.4444444444444444,1.1483426091938156,0.7112789620367506,0.22605794446755537
1993-94,D1_elo.csv,26,9,6,0.6666666666666666,0.9554955559014879,0.5716203501492365,0.19635765056805043
1993-94,D1_elo.csv,27,10,5,0.5,1.0088894004664688,0.5998838068918518,0.22561486023890276
1993-94,D1_elo.csv,28,18,9,0.5,0.9123787964885671,0.5323352623552562,0.1941782851855377
1993-94,D1_elo.csv,29,9,5,0.5555555555555556,0.9550181824452475,0.5639061573236724,0.1949446880365738
1993-94,D1_elo.csv,30,8,3,0.375,1.1655771445369203,0.7201198059596515,0.26891562614644127
1993-94,D1_elo.csv,31,9,5,0.5555555555555556,0.9604048074189449,0.5726550808242205,0.17208562636278746
1993-94,D1_elo.csv,32,9,6,0.6666666666666666,0.8100128739064281,0.4630484203250289,0.19846483996220926
1994-95,D1_elo.csv,1,9,4,0.4444444444444444,0.9140431952360311,0.5455321781862046,0.1446872734528955
1994-95,D1_elo.csv,2,18,7,0.3888888888888889,1.0662864697570045,0.6664142860940371,0.2154675213161372
1994-95,D1_elo.csv,3,9,8,0.8888888888888888,0.8153876350180637,0.46835190126853593,0.19158772283896872
1994-95,D1_elo.csv,4,9,7,0.7777777777777778,0.76848805005416,0.4598703720826903,0.13479148735748908
1994-95,D1_elo.csv,5,9,6,0.6666666666666666,1.0170922726043843,0.5577243939867622,0.21532896927748243
1994-95,D1_elo.csv,6,8,3,0.375,1.1919398420950222,0.7736761723279685,0.1929616436994549
1994-95,D1_elo.csv,7,10,5,0.5,0.9673312379234427,0.568749184865804,0.2007468080572446
1994-95,D1_elo.csv,8,9,2,0.2222222222222222,1.1843795279006217,0.7607141241979805,0.18101683510630184
1994-95,D1_elo.csv,9,9,6,0.6666666666666666,0.9522704885778066,0.5708692115925711,0.20205200889082908
1994-95,D1_elo.csv,10,9,7,0.7777777777777778,0.7399886308007523,0.4198376406572622,0.12592555070951167
1994-95,D1_elo.csv,11,9,5,0.5555555555555556,0.8272432116593215,0.484140486429671,0.14017797693041925
1994-95,D1_elo.csv,12,9,7,0.7777777777777778,0.8760222722347079,0.5041934715730633,0.18558736559288744
1994-95,D1_elo.csv,13,9,3,0.3333333333333333,1.2325329866620758,0.780119429896187,0.2046290665698501
1994-95,D1_elo.csv,14,9,4,0.4444444444444444,0.9778217688123532,0.5778828928798991,0.18414776430420365
1994-95,D1_elo.csv,15,12,10,0.8333333333333334,0.7309553049218818,0.42441955920416663,0.15394007678530458
1994-95,D1_elo.csv,16,6,2,0.3333333333333333,1.2076533589701077,0.7258702958298288,0.2533908999072027
1994-95,D1_elo.csv,17,9,6,0.6666666666666666,0.8523175221820583,0.477843349726679,0.20345446670356976
1994-95,D1_elo.csv,18,9,3,0.3333333333333333,1.2107021810301928,0.7715731312809163,0.25839326749507086
1994-95,D1_elo.csv,19,8,6,0.75,0.9209642733438845,0.5452549349123665,0.17746095902153441
1994-95,D1_elo.csv,20,9,4,0.4444444444444444,1.2497694552175824,0.7742890349469218,0.2380190116592748
1994-95,D1_elo.csv,21,9,3,0.3333333333333333,1.3991856642496003,0.8529492273252411,0.29873196571861294
1994-95,D1_elo.csv,22,10,5,0.5,0.9095410571911369,0.5379843253995956,0.13504691285391546
1994-95,D1_elo.csv,23,9,4,0.4444444444444444,1.1212756856712762,0.6967481353399663,0.25521202426375617
1994-95,D1_elo.csv,24,9,3,0.3333333333333333,0.9325184256173665,0.5656886643713067,0.15748525967163313
1994-95,D1_elo.csv,25,9,6,0.6666666666666666,0.8328284543823,0.4836440818001507,0.15255099926357352
1994-95,D1_elo.csv,26,9,4,0.4444444444444444,0.9633703337474723,0.5871421404908219,0.19885049828689877
1994-95,D1_elo.csv,27,9,5,0.5555555555555556,0.8743926824496979,0.5137554626306825,0.18406929476070283
1994-95,D1_elo.csv,28,9,6,0.6666666666666666,0.9803833489300935,0.6013226892720104,0.1656750680521005
1994-95,D1_elo.csv,29,9,5,0.5555555555555556,1.1093850641225707,0.6324236374224286,0.23811753587842155
1994-95,D1_elo.csv,30,9,2,0.2222222222222222,1.36148241249218,0.7960762171404195,0.33403703006004876
1994-95,D1_elo.csv,31,9,6,0.6666666666666666,0.9238407398676676,0.5492368900579216,0.2082188932457633
1994-95,D1_elo.csv,32,9,7,0.7777777777777778,0.7161463772653934,0.39585235942563046,0.1357464268246168
1994-95,D1_elo.csv,33,9,5,0.5555555555555556,1.0127788110955207,0.6257167792907282,0.20901013821108874
1995-96,D1_elo.csv,1,9,3,0.3333333333333333,1.0753631401526405,0.6700249455542501,0.19811013192648808
1995-96,D1_elo.csv,2,9,0,0.0,1.4715257310120562,0.9197152737833905,0.3054354081098047
1995-96,D1_elo.csv,3,18,10,0.5555555555555556,1.095876906931859,0.6606622607320031,0.218349247534599
1995-96,D1_elo.csv,4,9,4,0.4444444444444444,1.019830101781701,0.6234238684546715,0.22672695524988631
1995-96,D1_elo.csv,5,9,4,0.4444444444444444,1.0858865923658232,0.6444248875933387,0.23213434695900995
1995-96,D1_elo.csv,6,9,4,0.4444444444444444,1.0667004360507386,0.652430887014952,0.19362241294387805
1995-96,D1_elo.csv,7,9,4,0.4444444444444444,1.171514262613873,0.7060133636460039,0.24736747121044436
1995-96,D1_elo.csv,8,9,1,0.1111111111111111,1.2225058257120054,0.7633484319923556,0.17345425785621982
1995-96,D1_elo.csv,9,9,4,0.4444444444444444,1.024112778841911,0.6101913747715576,0.19769627234345832
1995-96,D1_elo.csv,10,9,4,0.4444444444444444,1.0497229929826066,0.6530226979037561,0.18602423216606223
1995-96,D1_elo.csv,11,9,2,0.2222222222222222,1.1262538203013353,0.6868307669889249,0.19298148922711544
