season,file,round,p_H,p_D,p_A,matches,correct,accuracy,logloss,brier,rps
1993-94,D1_elo.csv,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,9,5,0.5555555555555556,1.0986122886681098,0.6666666666666669,0.2407407407407408
1993-94,D1_elo.csv,2,0.5555555555555556,0.2222222222222222,0.2222222222222222,9,7,0.7777777777777778,0.8932169088601706,0.5185185185185185,0.17283950617283952
1993-94,D1_elo.csv,3,0.6111111111111112,0.2222222222222222,0.16666666666666666,9,2,0.2222222222222222,0.7492413624098764,0.41358024691358025,0.15123456790123455
1993-94,D1_elo.csv,4,0.6666666666666666,0.18518518518518517,0.14814814814814814,9,1,0.1111111111111111,1.5009218996071967,0.9492455418381345,0.3525377229080932
1993-94,D1_elo.csv,5,0.5555555555555556,0.2222222222222222,0.2222222222222222,9,4,0.4444444444444444,0.7914068275408199,0.4444444444444444,0.19753086419753096
1993-94,D1_elo.csv,6,0.6,0.17777777777777778,0.2222222222222222,9,1,0.1111111111111111,1.542478456206827,0.971851851851852,0.25530864197530856
1993-94,D1_elo.csv,7,0.5185185185185185,0.25925925925925924,0.2222222222222222,9,1,0.1111111111111111,1.1702612167047868,0.718792866941015,0.24554183813443073
1993-94,D1_elo.csv,8,0.49206349206349204,0.2698412698412698,0.23809523809523808,9,4,0.4444444444444444,1.2987967947116603,0.8107835726883347,0.26669186192995714
1993-94,D1_elo.csv,9,0.4444444444444444,0.2916666666666667,0.2638888888888889,9,3,0.3333333333333333,1.113979961502083,0.6793981481481483,0.20457175925925924
1993-94,D1_elo.csv,10,0.43209876543209874,0.30864197530864196,0.25925925925925924,9,5,0.5555555555555556,1.102161114740451,0.6715439719554946,0.20309404054260022
1993-94,D1_elo.csv,11,0.4222222222222222,0.32222222222222224,0.25555555555555554,9,2,0.2222222222222222,0.9737994981143763,0.5770370370370369,0.23660493827160492
1993-94,D1_elo.csv,12,0.45454545454545453,0.29292929292929293,0.25252525252525254,9,6,0.6666666666666666,0.9837314313793127,0.5907560453014997,0.16044281195796345
1993-94,D1_elo.csv,13,0.46296296296296297,0.3055555555555556,0.23148148148148148,9,3,0.3333333333333333,1.0317981057412522,0.6267146776406035,0.18025548696844987
1993-94,D1_elo.csv,14,0.46153846153846156,0.3162393162393162,0.2222222222222222,9,4,0.4444444444444444,1.0196240310030023,0.6102710205274309,0.2142961501935861
1993-94,D1_elo.csv,15,0.46825396825396826,0.30952380952380953,0.2222222222222222,9,4,0.4444444444444444,0.8507390847737747,0.49848828420256985,0.15901360544217688
1993-94,D1_elo.csv,16,0.4888888888888889,0.3037037037037037,0.2074074074074074,9,4,0.4444444444444444,1.054334855398202,0.625294924554184,0.244718792866941
1993-94,D1_elo.csv,17,0.4930555555555556,0.2916666666666667,0.2152777777777778,9,4,0.4444444444444444,1.0079562961600443,0.6013695987654321,0.21185378086419748
1993-94,D1_elo.csv,18,0.49673202614379086,0.2875816993464052,0.21568627450980393,9,3,0.3333333333333333,1.006542244481198,0.6003673800674953,0.21162800632235465
1993-94,D1_elo.csv,19,0.5,0.2839506172839506,0.21604938271604937,9,3,0.3333333333333333,1.1007182787932501,0.680460295686633,0.17988873647309864
1993-94,D1_elo.csv,20,0.49122807017543857,0.2982456140350877,0.21052631578947367,9,2,0.2222222222222222,1.0267648159774747,0.6260387811634349,0.17887555145172873
1993-94,D1_elo.csv,21,0.4888888888888889,0.3055555555555556,0.20555555555555555,9,3,0.3333333333333333,1.1170480720398823,0.6857407407407408,0.20976851851851852
1993-94,D1_elo.csv,22,0.48148148148148145,0.31216931216931215,0.20634920634920634,9,2,0.2222222222222222,1.1074643353815496,0.6534531508076483,0.27800173567369335
1993-94,D1_elo.csv,23,0.48484848484848486,0.29797979797979796,0.21717171717171718,9,1,0.1111111111111111,1.2269366877735042,0.76946229976533,0.20565503520048978
1993-94,D1_elo.csv,24,0.46859903381642515,0.3140096618357488,0.21739130434782608,9,4,0.4444444444444444,1.0585043897405346,0.6300730472123036,0.24506989661368989
1993-94,D1_elo.csv,25,0.4722222222222222,0.3055555555555556,0.2222222222222222,9,3,0.3333333333333333,0.9178104393724228,0.5324074074074074,0.21952160493827158
1993-94,D1_elo.csv,26,0.48444444444444446,0.29333333333333333,0.2222222222222222,9,5,0.5555555555555556,1.1517585256431817,0.7034469135802468,0.23981234567901236
1993-94,D1_elo.csv,27,0.47863247863247865,0.2948717948717949,0.2264957264957265,9,4,0.4444444444444444,1.0938673114653388,0.6598363649645701,0.24085944919278252
1993-94,D1_elo.csv,28,0.4773662551440329,0.29218106995884774,0.23045267489711935,9,2,0.2222222222222222,0.929477822067663,0.5487984555199918,0.18553235448525798
1993-94,D1_elo.csv,29,0.48412698412698413,0.2896825396825397,0.2261904761904762,8,2,0.25,0.9489196657867214,0.5629094230284707,0.18691735953640712
1993-94,D1_elo.csv,30,0.48846153846153845,0.28846153846153844,0.2230769230769231,9,4,0.4444444444444444,0.8620993277607645,0.49806377383300454,0.18392258382642998
1993-94,D1_elo.csv,31,0.49814126394052044,0.2825278810408922,0.21933085501858737,9,5,0.5555555555555556,1.0333175271842785,0.6135779095246212,0.24271438420634808
1993-94,D1_elo.csv,32,0.5,0.27697841726618705,0.22302158273381295,10,5,0.5,1.1932835531772876,0.7318513534496145,0.26066068008902227
1993-94,D1_elo.csv,33,0.4930555555555556,0.2777777777777778,0.22916666666666666,9,5,0.5555555555555556,0.9835304874632376,0.5888310185185185,0.1817611882716049
1993-94,D1_elo.csv,34,0.494949494949495,0.27946127946127947,0.2255892255892256,9,6,0.6666666666666666,1.0525173153074168,0.6234964686143137,0.27269893094808917
1993-94,D2_elo.csv,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,10,4,0.4,1.0986122886681096,0.6666666666666669,0.21111111111111117
1993-94,D2_elo.csv,2,0.4,0.4,0.2,10,2,0.2,1.1242348860421383,0.6800000000000003,0.2600000000000001
1993-94,D2_elo.csv,3,0.55,0.2,0.25,10,5,0.5,1.2732315993098786,0.805,0.3225
1993-94,D2_elo.csv,4,0.43333333333333335,0.2,0.36666666666666664,10,3,0.3,1.024296818779948,0.6155555555555556,0.2277777777777778
1993-94,D2_elo.csv,5,0.475,0.2,0.325,10,4,0.4,1.0904394499421375,0.64125,0.18062499999999998
1993-94,D2_elo.csv,6,0.5,0.24,0.26,10,3,0.3,0.9133379330840056,0.5311999999999999,0.15880000000000002
1993-94,D2_elo.csv,7,0.5333333333333333,0.25,0.21666666666666667,10,3,0.3,1.1876088193387704,0.7372222222222222,0.21236111111111108
1993-94,D2_elo.csv,8,0.5,0.2857142857142857,0.21428571428571427,10,3,0.3,0.8898001241857504,0.5204081632653061,0.17653061224489797
1993-94,D2_elo.csv,9,0.525,0.275,0.2,10,4,0.4,0.966698628584241,0.57125,0.2028125
1993-94,D2_elo.csv,10,0.5333333333333333,0.26666666666666666,0.2,10,4,0.4,1.061486871437881,0.6355555555555557,0.23555555555555557
1993-94,D2_elo.csv,11,0.53,0.26,0.21,10,2,0.2,1.1049103178139652,0.6766000000000002,0.20850000000000005
1993-94,D2_elo.csv,12,0.5181818181818182,0.2727272727272727,0.20909090909090908,10,4,0.4,0.8765555803828852,0.5102479338842975,0.1724793388429752
1993-94,D2_elo.csv,13,0.5333333333333333,0.26666666666666666,0.2,10,2,0.2,1.032718664192703,0.6222222222222221,0.20555555555555555
1993-94,D2_elo.csv,14,0.5307692307692308,0.2692307692307692,0.2,10,5,0.5,1.1298584687634097,0.6880473372781065,0.23855029585798823
1993-94,D2_elo.csv,15,0.5214285714285715,0.2714285714285714,0.20714285714285716,10,3,0.3,0.9663903599776976,0.5713265306122449,0.2031122448979592
1993-94,D2_elo.csv,16,0.5266666666666666,0.26666666666666666,0.20666666666666667,10,3,0.3,1.168563770402152,0.7258666666666667,0.21071111111111113
1993-94,D2_elo.csv,17,0.5125,0.28125,0.20625,10,6,0.6,1.0305139323773085,0.6205468749999999,0.20509765624999998
1993-94,D2_elo.csv,18,0.5117647058823529,0.2823529411764706,0.20588235294117646,10,2,0.2,1.026714583043694,0.6357785467128029,0.14743944636678202
1993-94,D2_elo.csv,19,0.5055555555555555,0.3,0.19444444444444445,10,2,0.2,1.0731258698721065,0.6411728395061728,0.23558641975308645
1993-94,D2_elo.csv,20,0.5052631578947369,0.29473684210526313,0.2,10,4,0.4,1.0836268873340147,0.6621606648199445,0.20554016620498614
1993-94,D2_elo.csv,21,0.5,0.3,0.2,7,3,0.42857142857142855,1.1738697998522714,0.7228571428571428,0.23071428571428573
1993-94,D2_elo.csv,22,0.4927536231884058,0.30434782608695654,0.2028985507246377,11,5,0.45454545454545453,0.919820294133745,0.5465620286036166,0.17360753088541367
1993-94,D2_elo.csv,23,0.5,0.30275229357798167,0.19724770642201836,10,1,0.1,1.0871778413351343,0.6778133153774935,0.1747285582021716
1993-94,D2_elo.csv,24,0.49122807017543857,0.3157894736842105,0.19298245614035087,9,3,0.3333333333333333,1.1204682261802992,0.6726172155535036,0.2455114394172566
1993-94,D2_elo.csv,25,0.48945147679324896,0.31223628691983124,0.19831223628691982,9,5,0.5555555555555556,1.2658416890611897,0.7744129324004345,0.2758728124054193
1993-94,D2_elo.csv,26,0.4796747967479675,0.3130081300813008,0.2073170731707317,11,2,0.18181818181818182,1.0035883288593,0.6016410385833348,0.20083569183807137
1993-94,D2_elo.csv,27,0.48249027237354086,0.311284046692607,0.20622568093385213,9,5,0.5555555555555556,1.0637660856123268,0.6441648540393411,0.21072823038787702
1993-94,D2_elo.csv,28,0.48120300751879697,0.31203007518796994,0.20676691729323307,11,4,0.36363636363636365,0.9263993218671914,0.5514392611741247,0.17577372172742176
1993-94,D2_elo.csv,29,0.48736462093862815,0.3104693140794224,0.20216606498194944,11,3,0.2727272727272727,1.0407085666106985,0.6199457595148924,0.22731715755214044
1993-94,D2_elo.csv,30,0.4895833333333333,0.3055555555555556,0.2048611111111111,9,2,0.2222222222222222,0.9157637673435968,0.540919174382716,0.1805676118827161
1993-94,D2_elo.csv,31,0.494949494949495,0.30303030303030304,0.20202020202020202,11,3,0.2727272727272727,1.2444185403992896,0.7586980920314254,0.2797163554739312
1993-94,D2_elo.csv,32,0.487012987012987,0.30194805194805197,0.21103896103896103,10,5,0.5,1.0301248340003424,0.6202943160735368,0.20514526058357227
1993-94,D2_elo.csv,33,0.48742138364779874,0.3018867924528302,0.21069182389937108,11,2,0.18181818181818182,0.9690844658003777,0.5835122316076394,0.17414713169430154
1993-94,D2_elo.csv,34,0.48936170212765956,0.303951367781155,0.2066869300911854,10,1,0.1,0.9437133054606563,0.5636385473157123,0.1768114670041851
1993-94,D2_elo.csv,35,0.49262536873156343,0.30383480825958703,0.20353982300884957,10,4,0.4,1.1181519345656796,0.67789873043221,0.23394201233891115
1993-94,D2_elo.csv,36,0.4899713467048711,0.3037249283667622,0.20630372492836677,11,6,0.5454545454545454,1.1149027906750038,0.6689689814458905,0.2526736980066591
1993-94,D2_elo.csv,37,0.4888888888888889,0.3,0.2111111111111111,10,3,0.3,1.043771485844152,0.640246913580247,0.17512345679012345
1993-94,D2_elo.csv,38,0.4864864864864865,0.3054054054054054,0.20810810810810812,10,4,0.4,1.0684053898945918,0.639737034331629,0.23431336742147552
1993-94,E0_elo.csv,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,11,3,0.2727272727272727,1.0986122886681096,0.6666666666666669,0.2626262626262626
1993-94,E0_elo.csv,2,0.2727272727272727,0.09090909090909091,0.6363636363636364,11,5,0.45454545454545453,1.190922360110934,0.743801652892562,0.29338842975206614
1993-94,E0_elo.csv,3,0.36363636363636365,0.13636363636363635,0.5,11,4,0.36363636363636365,1.192248781285714,0.7231404958677686,0.253099173553719
1993-94,E0_elo.csv,4,0.3939393939393939,0.18181818181818182,0.42424242424242425,11,3,0.2727272727272727,0.9816369287115176,0.6023875114784206,0.25573921028466484
1993-94,E0_elo.csv,5,0.45454545454545453,0.1590909090909091,0.38636363636363635,11,5,0.45454545454545453,1.3906365063631443,0.8192148760330579,0.2110020661157025
1993-94,E0_elo.csv,6,0.41818181818181815,0.23636363636363636,0.34545454545454546,11,2,0.18181818181818182,1.1140471427029457,0.672396694214876,0.212396694214876
1993-94,E0_elo.csv,7,0.42424242424242425,0.25757575757575757,0.3181818181818182,11,2,0.18181818181818182,1.0981503944115933,0.66712580348944,0.2342745638200184
1993-94,E0_elo.csv,8,0.4155844155844156,0.2597402597402597,0.3246753246753247,11,1,0.09090909090909091,1.0511359775630718,0.6324843987181649,0.21698431438691176
