Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,EloHome,EloAway
N1,21/09/97,Waalwijk,Utrecht,3,1,H,0.0,0.0,D,,,,,,,,,,,,1473.16,1459.82
N1,23/09/97,PSV Eindhoven,For Sittard,3,2,H,2.0,1.0,H,,,,,,,,,,,,1724.83,1462.76
N1,24/09/97,Ajax,MVV Maastricht,7,0,H,4.0,0.0,H,,,,,,,,,,,,1732.46,1441.91
N1,24/09/97,Feyenoord,Vitesse,5,1,H,1.0,0.0,H,,,,,,,,,,,,1700.38,1597.58
N1,24/09/97,Heerenveen,Twente,2,1,H,0.0,0.0,D,,,,,,,,,,,,1582.96,1625.91
N1,24/09/97,NAC Breda,Groningen,0,0,D,0.0,0.0,D,,,,,,,,,,,,1500.6,1519.61
N1,24/09/97,Roda JC,Nijmegen,4,0,H,2.0,0.0,H,,,,,,,,,,,,1576.57,1414.98
N1,24/09/97,Volendam,Graafschap,0,5,A,0.0,3.0,A,,,,,,,,,,,,1450.71,1459.17
N1,24/09/97,Willem II,Waalwijk,3,2,H,0.0,1.0,A,,,,,,,,,,,,1417.13,1481.72
N1,25/09/97,Sparta,Utrecht,4,2,H,0.0,2.0,A,,,,,,,,,,,,1472.52,1451.26
N1,27/09/97,For Sittard,Vitesse,1,7,A,1.0,5.0,A,,,,,,,,,,,,1459.99,1591.65
N1,27/09/97,Graafschap,Waalwijk,1,0,H,1.0,0.0,H,,,,,,,,,,,,1474.89,1470.49
N1,27/09/97,Heerenveen,Ajax,0,1,A,0.0,0.0,D,,,,,,,,,,,,1593.43,1734.85
N1,27/09/97,MVV Maastricht,Nijmegen,2,0,H,1.0,0.0,H,,,,,,,,,,,,1439.52,1410.44
N1,27/09/97,Twente,NAC Breda,1,1,D,0.0,1.0,A,,,,,,,,,,,,1615.44,1497.74
N1,28/09/97,Groningen,Feyenoord,2,0,H,2.0,0.0,H,,,,,,,,,,,,1522.47,1706.31
N1,28/09/97,Sparta,Roda JC,3,1,H,,,,,,,,,,,,,,,1480.83,1581.11
N1,28/09/97,Utrecht,Willem II,2,2,D,2.0,1.0,H,,,,,,,,,,,,1442.95,1428.36
N1,28/09/97,Volendam,PSV Eindhoven,0,6,A,0.0,4.0,A,,,,,,,,,,,,1434.99,1727.6
N1,03/10/97,MVV Maastricht,Sparta,2,2,D,0.0,0.0,D,,,,,,,,,,,,1447.58,1493.34
N1,04/10/97,Nijmegen,Volendam,4,1,H,2.0,1.0,H,,,,,,,,,,,,1402.38,1428.79
N1,04/10/97,PSV Eindhoven,Heerenveen,3,1,H,1.0,0.0,H,,,,,,,,,,,,1733.8,1582.41
N1,05/10/97,Feyenoord,NAC Breda,2,1,H,1.0,1.0,D,,,,,,,,,,,,1690.85,1504.69
N1,05/10/97,Graafschap,Utrecht,0,1,A,0.0,1.0,A,,,,,,,,,,,,1483.74,1438.97
N1,05/10/97,Twente,Groningen,2,0,H,1.0,0.0,H,,,,,,,,,,,,1608.49,1537.93
N1,05/10/97,Vitesse,Waalwijk,3,2,H,1.0,2.0,A,,,,,,,,,,,,1603.01,1461.64
N1,05/10/97,Willem II,Ajax,0,1,A,0.0,1.0,A,,,,,,,,,,,,1432.34,1745.87
N1,14/10/97,Feyenoord,MVV Maastricht,2,1,H,2.0,0.0,H,,,,,,,,,,,,1694.89,1445.64
N1,14/10/97,Groningen,Willem II,2,2,D,0.0,2.0,A,,,,,,,,,,,,1531.12,1426.68
N1,14/10/97,Volendam,For Sittard,0,3,A,0.0,1.0,A,,,,,,,,,,,,1418.9,1448.63
N1,15/10/97,Ajax,NAC Breda,1,0,H,0.0,0.0,D,,,,,,,,,,,,1751.53,1500.65
N1,15/10/97,Graafschap,Sparta,2,2,D,1.0,1.0,D,,,,,,,,,,,,1466.31,1495.28
N1,15/10/97,Roda JC,PSV Eindhoven,2,2,D,1.0,1.0,D,,,,,,,,,,,,1568.6,1738.56
N1,15/10/97,Utrecht,Heerenveen,2,4,A,2.0,2.0,D,,,,,,,,,,,,1456.4,1577.65
N1,15/10/97,Waalwijk,Nijmegen,0,0,D,0.0,0.0,D,,,,,,,,,,,,1456.65,1412.27
N1,17/10/97,For Sittard,Groningen,4,1,H,2.0,0.0,H,,,,,,,,,,,,1463.62,1524.51
N1,18/10/97,Heerenveen,Sparta,1,1,D,1.0,0.0,H,,,,,,,,,,,,1589.39,1497.8
N1,18/10/97,NAC Breda,Waalwijk,4,0,H,2.0,0.0,H,,,,,,,,,,,,1497.72,1451.74
N1,18/10/97,Roda JC,Vitesse,1,1,D,1.0,1.0,D,,,,,,,,,,,,1571.08,1608.0
N1,18/10/97,Twente,Graafschap,1,1,D,1.0,1.0,D,,,,,,,,,,,,1615.3,1463.79
N1,19/10/97,Nijmegen,PSV Eindhoven,0,4,A,0.0,2.0,A,,,,,,,,,,,,1417.18,1736.08
N1,19/10/97,Willem II,Feyenoord,2,0,H,0.0,0.0,D,,,,,,,,,,,,1433.29,1697.84
N1,24/10/97,Graafschap,Heerenveen,1,2,A,1.0,2.0,A,,,,,,,,,,,,1471.53,1583.12
N1,25/10/97,PSV Eindhoven,MVV Maastricht,5,0,H,2.0,0.0,H,,,,,,,,,,,,1741.6,1442.69
N1,26/10/97,Ajax,Feyenoord,4,0,H,2.0,0.0,H,,,,,,,,,,,,1754.46,1679.83
N1,26/10/97,Sparta,Groningen,1,1,D,0.0,0.0,D,,,,,,,,,,,,1504.07,1513.41
N1,26/10/97,Twente,Roda JC,1,2,A,0.0,0.0,D,,,,,,,,,,,,1607.56,1568.84
N1,26/10/97,Utrecht,Nijmegen,2,4,A,1.0,3.0,A,,,,,,,,,,,,1444.66,1411.66
N1,26/10/97,Vitesse,For Sittard,1,0,H,1.0,0.0,H,,,,,,,,,,,,1610.24,1474.72
N1,26/10/97,Waalwijk,Volendam,1,1,D,1.0,0.0,H,,,,,,,,,,,,1444.2,1403.91
N1,29/10/97,Feyenoord,For Sittard,1,3,A,0.0,0.0,D,,,,,,,,,,,,1673.13,1469.6
N1,29/10/97,Nijmegen,Graafschap,0,4,A,0.0,0.0,D,,,,,,,,,,,,1428.72,1459.45
N1,30/10/97,Roda JC,Ajax,1,1,D,1.0,1.0,D,,,,,,,,,,,,1586.08,1761.16
N1,31/10/97,Heerenveen,PSV Eindhoven,1,1,D,0.0,1.0,A,,,,,,,,,,,,1595.2,1743.89
N1,31/10/97,MVV Maastricht,Willem II,1,0,H,0.0,0.0,D,,,,,,,,,,,,1440.4,1451.3
N1,01/11/97,For Sittard,Nijmegen,0,2,A,0.0,1.0,A,,,,,,,,,,,,1490.89,1413.76
N1,01/11/97,NAC Breda,Graafschap,2,0,H,0.0,0.0,D,,,,,,,,,,,,1505.26,1474.41
N1,01/11/97,Twente,Vitesse,1,1,D,0.0,1.0,A,,,,,,,,,,,,1590.32,1615.36
N1,02/11/97,Feyenoord,Waalwijk,2,1,H,1.0,0.0,H,,,,,,,,,,,,1651.84,1439.41
N1,02/11/97,Volendam,Utrecht,0,1,A,0.0,0.0,D,,,,,,,,,,,,1408.7,1427.6
N1,05/11/97,MVV Maastricht,Volendam,4,1,H,2.0,1.0,H,,,,,,,,,,,,1449.76,1393.33
N1,08/11/97,Vitesse,Heerenveen,4,2,H,3.0,1.0,H,,,,,,,,,,,,1618.02,1596.94
N1,09/11/97,PSV Eindhoven,NAC Breda,5,1,H,4.0,0.0,H,,,,,,,,,,,,1742.15,1513.26
N1,09/11/97,Sparta,Ajax,0,5,A,0.0,2.0,A,,,,,,,,,,,,1500.88,1758.5
N1,09/11/97,Utrecht,Groningen,2,0,H,0.0,0.0,D,,,,,,,,,,,,1442.97,1516.6
N1,09/11/97,Volendam,Feyenoord,0,0,D,0.0,0.0,D,,,,,,,,,,,,1386.11,1655.39
N1,09/11/97,Waalwijk,Roda JC,3,3,D,2.0,2.0,D,,,,,,,,,,,,1435.86,1588.74
N1,12/11/97,Ajax,Twente,1,0,H,1.0,0.0,H,,,,,,,,,,,,1765.69,1587.66
N1,12/11/97,Heerenveen,Volendam,3,1,H,0.0,1.0,A,,,,,,,,,,,,1588.63,1391.76
N1,12/11/97,Nijmegen,Roda JC,2,1,H,2.0,0.0,H,,,,,,,,,,,,1432.13,1586.85
N1,12/11/97,Vitesse,Sparta,2,0,H,1.0,0.0,H,,,,,,,,,,,,1626.33,1493.69
N1,13/11/97,Graafschap,MVV Maastricht,1,2,A,1.0,0.0,H,,,,,,,,,,,,1466.41,1456.98
N1,15/11/97,For Sittard,Heerenveen,3,1,H,1.0,1.0,D,,,,,,,,,,,,1472.52,1592.46
N1,15/11/97,Willem II,Twente,3,1,H,1.0,0.0,H,,,,,,,,,,,,1441.94,1583.46
N1,16/11/97,Graafschap,Feyenoord,0,0,D,0.0,0.0,D,,,,,,,,,,,,1450.1,1649.74
N1,16/11/97,Groningen,PSV Eindhoven,1,1,D,0.0,0.0,D,,,,,,,,,,,,1505.05,1745.42
N1,16/11/97,Nijmegen,Vitesse,0,2,A,0.0,0.0,D,,,,,,,,,,,,1446.58,1631.52
N1,16/11/97,Sparta,MVV Maastricht,4,0,H,,,,,,,,,,,,,,,1488.5,1473.29
N1,16/11/97,Utrecht,Waalwijk,6,1,H,3.0,0.0,H,,,,,,,,,,,,1454.52,1437.75
N1,18/11/97,NAC Breda,Willem II,0,2,A,0.0,1.0,A,,,,,,,,,,,,1509.99,1455.93
N1,21/11/97,Roda JC,Willem II,0,1,A,0.0,0.0,D,,,,,,,,,,,,1572.4,1473.64
N1,22/11/97,Ajax,Graafschap,1,0,H,0.0,0.0,D,,,,,,,,,,,,1769.89,1453.59
N1,22/11/97,MVV Maastricht,Waalwijk,1,1,D,0.0,0.0,D,,,,,,,,,,,,1464.79,1429.3
N1,22/11/97,NAC Breda,For Sittard,3,1,H,1.0,0.0,H,,,,,,,,,,,,1492.28,1485.74
N1,22/11/97,PSV Eindhoven,Twente,3,0,H,1.0,0.0,H,,,,,,,,,,,,1740.63,1569.47
N1,22/11/97,Vitesse,Groningen,5,1,H,3.0,1.0,H,,,,,,,,,,,,1641.02,1509.84
N1,23/11/97,Feyenoord,Utrecht,3,1,H,2.0,0.0,H,,,,,,,,,,,,1646.25,1462.97
N1,27/11/97,Volendam,Groningen,3,1,H,2.0,1.0,H,,,,,,,,,,,,1387.93,1504.61
N1,27/11/97,Waalwijk,NAC Breda,1,0,H,1.0,0.0,H,,,,,,,,,,,,1433.94,1501.06
N1,30/11/97,Ajax,For Sittard,2,0,H,0.0,0.0,D,,,,,,,,,,,,1771.98,1476.96
N1,30/11/97,Graafschap,Nijmegen,3,2,H,1.0,2.0,A,,,,,,,,,,,,1451.5,1437.08
N1,30/11/97,Sparta,Feyenoord,0,3,A,0.0,2.0,A,,,,,,,,,,,,1497.0,1650.34
N1,30/11/97,Twente,Volendam,1,1,D,0.0,0.0,D,,,,,,,,,,,,1565.13,1401.03
N1,30/11/97,Utrecht,Roda JC,1,0,H,0.0,0.0,D,,,,,,,,,,,,1458.88,1553.44
N1,30/11/97,Vitesse,PSV Eindhoven,2,2,D,0.0,2.0,A,,,,,,,,,,,,1646.25,1744.97
N1,30/11/97,Willem II,NAC Breda,2,0,H,1.0,0.0,H,,,,,,,,,,,,1492.6,1489.74
N1,02/12/97,Groningen,Heerenveen,0,1,A,0.0,1.0,A,,,,,,,,,,,,1491.51,1579.24
N1,03/12/97,For Sittard,Volendam,3,0,H,2.0,0.0,H,,,,,,,,,,,,1474.63,1409.04
N1,03/12/97,MVV Maastricht,Ajax,0,3,A,0.0,1.0,A,,,,,,,,,,,,1460.15,1774.31
N1,03/12/97,NAC Breda,Roda JC,1,0,H,0.0,0.0,D,,,,,,,,,,,,1480.84,1541.14
N1,03/12/97,Waalwijk,Sparta,1,3,A,1.0,3.0,A,,,,,,,,,,,,1445.26,1486.4
N1,04/12/97,Nijmegen,Willem II,0,3,A,0.0,2.0,A,,,,,,,,,,,,1428.55,1501.5
N1,06/12/97,Ajax,Roda JC,1,0,H,1.0,0.0,H,,,,,,,,,,,,1779.95,1530.06
N1,06/12/97,For Sittard,Twente,1,0,H,1.0,0.0,H,,,,,,,,,,,,1481.59,1557.12
N1,06/12/97,Heerenveen,Graafschap,0,0,D,0.0,0.0,D,,,,,,,,,,,,1592.18,1460.03
N1,06/12/97,NAC Breda,Sparta,1,2,A,0.0,0.0,D,,,,,,,,,,,,1491.92,1501.0
N1,07/12/97,Groningen,MVV Maastricht,2,3,A,1.0,3.0,A,,,,,,,,,,,,1478.57,1454.51
N1,07/12/97,Nijmegen,Feyenoord,3,2,H,2.0,1.0,H,,,,,,,,,,,,1415.08,1660.94
N1,07/12/97,Utrecht,Vitesse,5,3,H,1.0,2.0,A,,,,,,,,,,,,1471.18,1646.2
N1,07/12/97,Willem II,PSV Eindhoven,4,1,H,2.0,1.0,H,,,,,,,,,,,,1514.97,1745.02
N1,12/12/97,Roda JC,MVV Maastricht,3,0,H,2.0,0.0,H,,,,,,,,,,,,1527.12,1471.29
N1,12/12/97,Sparta,Willem II,4,1,H,3.0,0.0,H,,,,,,,,,,,,1516.7,1531.94
N1,13/12/97,Heerenveen,Vitesse,3,2,H,0.0,2.0,A,,,,,,,,,,,,1584.88,1631.04
N1,14/12/97,Feyenoord,Twente,2,2,D,0.0,1.0,A,,,,,,,,,,,,1643.48,1545.5
