Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,EloHome,EloAway
SC1,13/08/94,Airdrie,Dunfermline,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1380.0,1380.0
SC1,13/08/94,Ayr,Hamilton,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1380.0,1380.0
SC1,13/08/94,Clydebank,Stranraer,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1380.0,1380.0
SC1,13/08/94,Dundee,St Mirren,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1380.0,1380.0
SC1,13/08/94,Raith Rvs,St Johnstone,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1380.0,1380.0
SC1,20/08/94,Airdrie,St Johnstone,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1376.5,1383.5
SC1,20/08/94,Ayr,St Mirren,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1376.5,1371.0
SC1,20/08/94,Clydebank,Dunfermline,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1389.0,1383.5
SC1,20/08/94,Dundee,Stranraer,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1389.0,1371.0
SC1,20/08/94,Raith Rvs,Hamilton,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1376.5,1383.5
SC1,28/08/94,Dunfermline,Raith Rvs,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1399.68,1373.23
SC1,28/08/94,Hamilton,Airdrie,2.0,6.0,A,,,,,,,,,,,,,,,,,,,,,,1386.77,1373.23
SC1,28/08/94,St Johnstone,Dundee,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1386.77,1397.41
SC1,28/08/94,St Mirren,Clydebank,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1374.68,1372.82
SC1,28/08/94,Stranraer,Ayr,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1362.59,1372.82
SC1,03/09/94,Ayr,St Johnstone,3.0,4.0,A,,,,,,,,,,,,,,,,,,,,,,1363.48,1371.12
SC1,03/09/94,Dundee,Airdrie,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1413.06,1389.68
SC1,03/09/94,Hamilton,Stranraer,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1370.32,1371.93
SC1,03/09/94,Raith Rvs,Clydebank,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1365.09,1363.88
SC1,03/09/94,St Mirren,Dunfermline,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1383.62,1407.82
SC1,10/09/94,Airdrie,Ayr,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1393.94,1347.73
SC1,10/09/94,Clydebank,Dundee,5.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,1367.42,1408.8
SC1,10/09/94,Dunfermline,Hamilton,4.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1410.5,1379.37
SC1,10/09/94,St Johnstone,St Mirren,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1386.87,1380.94
SC1,10/09/94,Stranraer,Raith Rvs,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1362.88,1361.55
SC1,24/09/94,Airdrie,Clydebank,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1388.97,1377.83
SC1,24/09/94,Ayr,Dundee,3.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,1352.7,1398.39
SC1,24/09/94,Dunfermline,Stranraer,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1418.49,1359.33
SC1,24/09/94,St Johnstone,Hamilton,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1383.17,1371.38
SC1,24/09/94,St Mirren,Raith Rvs,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1384.64,1365.1
SC1,01/10/94,Clydebank,St Johnstone,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1369.2,1379.28
SC1,01/10/94,Dundee,Dunfermline,4.0,4.0,D,,,,,,,,,,,,,,,,,,,,,,1387.83,1425.63
SC1,01/10/94,Hamilton,St Mirren,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1375.27,1368.0
SC1,01/10/94,Raith Rvs,Ayr,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1381.74,1363.26
SC1,01/10/94,Stranraer,Airdrie,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1352.19,1397.6
SC1,08/10/94,Airdrie,Raith Rvs,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1412.05,1390.14
SC1,08/10/94,Clydebank,Ayr,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1366.04,1354.86
SC1,08/10/94,Dundee,Hamilton,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1385.62,1371.53
SC1,08/10/94,Dunfermline,St Johnstone,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1427.84,1382.44
SC1,08/10/94,Stranraer,St Mirren,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1337.74,1371.74
SC1,15/10/94,Ayr,Dunfermline,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1346.23,1435.39
SC1,15/10/94,Hamilton,Clydebank,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1362.99,1374.67
SC1,15/10/94,Raith Rvs,Dundee,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1394.35,1394.16
SC1,15/10/94,St Johnstone,Stranraer,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1374.89,1335.39
SC1,15/10/94,St Mirren,Airdrie,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1374.09,1407.84
SC1,22/10/94,Dunfermline,Airdrie,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1435.78,1422.7
SC1,22/10/94,Hamilton,Ayr,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1359.88,1345.84
