Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
SP1,16/09/01,Sociedad,Celta,0,0,D,0,0,D,,,,2.4,2.9,2.4,2.75,3.2,2.25,3.0,3.2,2.1,2.8,3.2,2.2,2.7,3.1,2.3,1627.99,1754.31
SP1,16/09/01,Vallecano,Zaragoza,1,2,A,1,0,H,,,,2.1,2.9,2.9,2.0,3.2,3.2,2.0,3.1,3.3,2.1,3.0,3.2,1.9,3.2,3.5,1601.08,1638.56
SP1,16/09/01,Tenerife,Villarreal,2,0,H,1,0,H,,,,2.3,2.9,2.5,2.75,3.2,2.25,2.62,3.1,2.38,2.38,3.1,2.62,2.5,3.1,2.5,1592.48,1703.12
SP1,16/09/01,Valencia,Las Palmas,1,0,H,0,0,D,,,,1.4,3.6,5.5,1.33,4.0,8.0,1.33,4.0,8.0,1.36,4.0,7.0,1.5,2.87,9.0,1744.6,1635.29
SP1,22/09/01,Alaves,La Coruna,2,3,A,0,1,A,,,,2.2,2.9,2.7,2.5,3.2,2.5,2.3,3.1,2.7,2.5,3.1,2.5,2.37,3.1,2.62,1675.13,1782.92
SP1,22/09/01,Barcelona,Tenerife,2,0,H,1,0,H,,,,1.25,4.3,8.0,1.33,4.0,8.0,1.3,4.33,8.0,1.29,4.5,8.0,1.25,4.5,10.0,1755.27,1605.36
SP1,22/09/01,Las Palmas,Malaga,0,0,D,0,0,D,,,,2.1,2.9,2.9,2.2,3.0,3.0,2.2,3.0,3.0,2.2,3.0,3.0,2.1,3.1,3.1,1629.52,1695.89
SP1,22/09/01,Real Madrid,Espanol,5,1,H,3,0,H,,,,1.3,4.0,7.0,1.33,3.75,9.0,1.33,4.0,8.0,1.33,4.33,7.5,1.3,4.2,8.5,1793.61,1643.59
SP1,22/09/01,Villarreal,Sociedad,1,0,H,0,0,D,,,,1.7,3.1,3.8,1.67,3.25,4.5,1.67,3.3,4.6,1.73,3.2,4.33,1.61,3.3,5.0,1690.24,1628.94
SP1,23/09/01,Ath Bilbao,Valencia,2,2,D,0,1,A,,,,2.2,2.9,2.7,2.5,2.87,2.62,2.5,3.0,2.6,2.5,3.1,2.5,2.3,3.0,2.8,1639.9,1750.37
SP1,23/09/01,Celta,Mallorca,2,0,H,1,0,H,,,,1.75,3.1,3.6,1.73,3.2,4.33,1.83,3.1,4.0,1.8,3.25,4.0,1.66,3.3,4.5,1753.36,1775.25
SP1,23/09/01,Sevilla,Vallecano,2,1,H,0,1,A,,,,1.9,2.8,3.3,2.0,3.2,3.2,2.0,3.2,3.25,2.1,3.0,3.2,1.9,3.2,3.5,1659.49,1586.35
SP1,23/09/01,Valladolid,Betis,0,2,A,0,0,D,,,,2.1,2.8,3.0,2.2,3.2,2.8,2.2,3.2,2.88,2.2,3.0,3.0,2.1,3.1,3.1,1652.27,1670.64
