Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
D1,11/08/01,Dortmund,Wolfsburg,4,0,H,3,0,H,66000,Franz-Xaver Wack ,12,7,3,5,0,0,6,1,10,19,2,1,1,1,0,0,10,10,,,,1.4,3.6,5.5,1.4,3.75,7.0,,,,1.4,4.0,6.5,1.28,4.33,8.5,1754.35,1686.69
D1,11/08/01,Freiburg,Hertha,1,3,A,0,2,A,22000,Herbert Fandel ,18,14,4,10,1,0,3,1,13,24,1,0,1,3,0,1,10,55,,,,2.3,2.9,2.5,2.25,3.2,2.75,,,,2.38,3.0,2.75,2.3,3.1,2.75,1725.8,1709.56
D1,11/08/01,Kaiserslautern,FC Koln,2,1,H,2,0,H,41000,Uwe Kemmling ,18,9,6,4,1,0,8,3,23,18,2,3,1,3,0,0,10,30,,,,1.7,3.1,3.8,1.57,3.5,5.0,,,,1.67,3.4,4.5,1.61,3.3,5.0,1707.76,1680.83
D1,11/08/01,Leverkusen,Bayern Munich,1,1,D,0,0,D,22500,Hellmut Krug ,10,6,5,3,1,1,6,2,28,27,13,2,3,5,0,0,30,50,,,,2.3,2.9,2.5,2.37,3.2,2.6,,,,2.5,3.0,2.6,2.4,3.1,2.6,1789.83,1816.74
D1,11/08/01,Munich 1860,Hamburg,1,1,D,0,1,A,22000,Edgar Steinborn ,15,13,5,6,0,0,5,10,20,19,2,2,0,1,0,0,0,10,,,,2.2,2.9,2.7,2.37,3.2,2.6,,,,2.38,3.2,2.6,2.37,3.1,2.62,1642.9,1673.1
D1,11/08/01,Stuttgart,Werder Bremen,0,0,D,0,0,D,17500,Torsten Koop ,10,10,5,4,0,1,5,5,20,15,1,5,1,2,0,0,10,20,,,,2.1,2.9,2.9,2.0,3.2,3.2,,,,2.1,3.25,3.0,2.2,3.2,2.8,1638.89,1716.8
D1,12/08/01,M'gladbach,Schalke 04,0,0,D,0,0,D,34500,Lutz Michael Fröhlich ,21,6,5,2,1,0,9,5,17,19,1,0,2,1,0,0,20,10,,,,2.4,2.9,2.4,2.4,3.25,2.5,,,,2.6,3.2,2.38,2.5,3.1,2.5,1674.72,1732.36
D1,12/08/01,St Pauli,Hansa Rostock,0,1,A,0,1,A,19000,Michael Weiner ,17,13,5,6,3,0,6,6,24,24,0,1,3,3,0,0,30,30,,,,2.0,2.9,3.0,2.0,3.2,3.2,,,,2.1,3.25,3.0,2.0,3.2,3.2,1639.85,1640.67
D1,18/08/01,Bayern Munich,St Pauli,2,0,H,2,0,H,50000,Jürgen Jansen ,18,6,9,4,1,0,8,8,12,21,5,1,1,2,0,0,10,20,,,,1.2,4.7,9.0,1.2,5.0,11.0,,,,1.2,5.0,11.0,1.22,5.0,9.5,1819.33,1623.88
D1,18/08/01,Hamburg,Kaiserslautern,2,3,A,0,3,A,42000,Helmut Fleischer,21,10,9,5,0,0,2,2,16,16,5,0,2,1,0,0,20,10,,,,2.0,2.9,3.0,2.2,3.25,2.75,,,,2.25,3.2,2.75,2.1,3.2,3.0,1675.58,1715.89
D1,18/08/01,Hansa Rostock,Dortmund,0,2,A,0,2,A,25000,Hermann Albrecht,6,11,3,7,0,0,4,6,14,18,0,2,2,2,0,0,20,20,,,,3.2,2.9,1.9,3.5,3.2,1.91,,,,3.6,3.4,1.8,3.75,3.3,1.8,1656.64,1761.25
D1,18/08/01,Nurnberg,Stuttgart,2,4,A,1,1,D,40000,Florian Meyer,9,15,3,10,1,0,6,4,19,17,4,4,4,2,0,0,40,20,,,,2.1,2.9,2.9,2.0,3.2,3.2,,,,2.0,3.2,3.2,2.0,3.2,3.2,1636.71,1638.1
D1,18/08/01,Schalke 04,Leverkusen,3,3,D,2,0,H,60000,Alfons Berg,9,11,6,7,1,1,8,7,15,30,2,2,3,2,0,0,30,20,,,,2.1,2.9,2.9,2.2,3.25,2.75,,,,2.2,3.0,3.0,2.2,3.1,2.87,1733.88,1787.24
D1,18/08/01,Werder Bremen,Munich 1860,1,3,A,1,2,A,28000,Jürgen Aust ,15,11,5,8,1,1,11,1,20,16,1,1,5,2,0,1,50,45,,,,1.75,3.1,3.6,1.5,3.4,6.0,,,,1.62,3.5,4.5,1.66,3.3,4.5,1717.59,1640.42
D1,18/08/01,Wolfsburg,Freiburg,1,1,D,0,1,A,16000,Edgar Steinborn,17,10,10,4,0,1,5,4,29,25,2,3,3,0,0,0,30,0,,,,1.9,2.9,3.2,1.91,3.25,3.4,,,,1.91,3.25,3.4,2.0,3.2,3.2,1679.79,1709.27
D1,19/08/01,FC Koln,M'gladbach,0,2,A,0,0,D,42000,Lutz Wagner,12,13,4,5,0,0,4,6,22,34,4,4,2,4,0,0,20,40,,,,2.0,2.9,3.0,1.91,3.25,3.4,,,,1.8,3.25,3.75,2.0,3.3,3.1,1672.7,1673.2
D1,19/08/01,Hertha,Cottbus,2,3,A,1,0,H,40000,Wolfgang Stark,15,11,5,3,1,1,5,5,10,23,3,1,1,3,0,0,10,30,,,,1.45,3.5,5.0,1.44,3.5,7.0,,,,1.4,3.75,7.0,1.36,3.75,8.0,1726.09,1631.95
D1,21/08/01,Schalke 04,Hansa Rostock,3,1,H,1,1,D,60204,Uwe Kemmling ,16,9,6,4,3,1,4,4,12,18,2,0,2,4,1,1,45,65,,,,1.4,3.6,5.5,1.57,3.5,5.0,,,,,,,1.4,3.6,7.5,1732.21,1644.31
D1,08/09/01,Cottbus,Wolfsburg,3,3,D,2,2,D,14000,Peter Sippel,11,8,3,2,3,0,7,10,13,14,0,4,2,3,0,0,20,30,,,,2.0,2.9,3.0,1.8,3.25,3.75,1.91,3.2,3.5,1.8,3.25,3.75,1.83,3.3,3.6,1650.79,1677.29
D1,08/09/01,Dortmund,Bayern Munich,0,2,A,0,1,A,68900,Lutz-Michael Froehlich,12,5,4,4,0,0,5,4,25,22,3,3,1,2,0,0,10,20,,,,2.1,2.9,2.9,2.25,3.4,2.62,2.2,3.2,2.8,2.2,3.2,2.8,2.1,3.2,3.0,1773.58,1823.19
D1,08/09/01,Freiburg,Hansa Rostock,1,1,D,0,0,D,25000,Hellmut Krug,18,13,10,5,2,0,5,3,8,16,5,6,1,1,0,0,10,10,,,,1.7,3.1,3.8,1.73,3.4,4.0,1.67,3.25,4.5,1.73,3.4,4.0,1.66,3.3,4.5,1711.77,1637.98
D1,08/09/01,M'gladbach,Leverkusen,0,1,A,0,1,A,30184,Hartmut Strampe,28,7,17,5,2,0,13,2,14,19,2,8,1,3,0,0,10,30,,,,2.4,2.9,2.4,2.6,3.2,2.37,,,,2.62,3.2,2.38,2.62,3.1,2.37,1689.19,1788.91
D1,08/09/01,Munich 1860,Nurnberg,1,0,H,0,0,D,35000,Knut Kircher,11,9,5,3,0,0,5,3,15,17,5,0,1,1,0,0,10,10,,,,1.7,3.1,3.8,1.73,3.4,4.0,1.75,3.2,4.2,1.73,3.4,4.0,1.66,3.3,4.5,1658.79,1620.75
