Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,EloHome,EloAway
G1,24/11/01,Eth Asteras,Olympiakos,2.0,4.0,A,1.0,2.0,A,6.0,4.25,1.32,6.5,4.2,1.3,1433.76,1822.99
G1,25/11/01,AEK,Akratitos,3.0,0.0,H,0.0,0.0,D,,,,,,,1678.67,1414.87
G1,25/11/01,Egaleo,Ionikos,2.0,2.0,D,1.0,1.0,D,,,,,,,1376.79,1461.93
G1,25/11/01,Iraklis,Panathinaikos,2.0,1.0,H,0.0,0.0,D,,,,,,,1480.69,1715.03
G1,25/11/01,Panionios,Panahaiki,2.0,0.0,H,2.0,0.0,H,,,,,,,1423.56,1397.62
G1,25/11/01,Xanthi,PAOK,1.0,0.0,H,0.0,0.0,D,,,,,,,1456.05,1562.91
G1,01/12/01,OFI,Iraklis,1.0,0.0,H,1.0,0.0,H,1.9,3.1,3.5,1.9,3.0,3.1,1493.64,1497.8
G1,01/12/01,Olympiakos,Panathinaikos,2.0,2.0,D,2.0,0.0,H,2.25,3.0,2.75,2.1,2.9,2.9,1826.97,1697.92
G1,02/12/01,Akratitos,Aris,0.0,1.0,A,0.0,1.0,A,2.55,3.0,2.45,2.35,3.0,2.35,1412.13,1512.19
G1,02/12/01,Egaleo,Panionios,0.0,1.0,A,0.0,0.0,D,1.85,3.3,3.4,2.0,3.0,2.9,1376.26,1431.72
G1,02/12/01,Ionikos,Xanthi,1.0,1.0,D,0.0,0.0,D,1.95,3.15,3.2,1.9,3.0,3.1,1462.46,1468.8
G1,02/12/01,Panahaiki,AEK,0.0,1.0,A,0.0,1.0,A,,,,,,,1389.46,1681.41
G1,02/12/01,PAOK,Eth Asteras,2.0,1.0,H,1.0,1.0,D,1.15,6.0,10.0,1.2,4.7,9.0,1550.16,1429.78
G1,08/12/01,Aris,Panahaiki,1.0,1.0,D,0.0,1.0,A,1.25,4.5,7.5,1.25,4.3,8.0,1524.69,1383.24
G1,08/12/01,OFI,Olympiakos,1.0,1.0,D,0.0,1.0,A,3.6,3.3,1.75,3.3,3.0,1.85,1502.78,1819.75
G1,09/12/01,Eth Asteras,Ionikos,1.0,0.0,H,0.0,0.0,D,1.8,3.2,3.5,1.8,3.0,3.5,1424.29,1459.17
