Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
SP2,16/09/01,Jaen,Oviedo,1,3,A,1,1,D,,,,2.3,2.8,2.6,2.38,2.88,2.8,2.4,2.8,2.75,1517.81,1541.54
SP2,16/09/01,Leganes,Ath Madrid,0,3,A,0,2,A,,,,3.0,2.8,2.1,3.3,2.9,2.1,3.2,2.85,2.1,1444.16,1604.19
SP2,16/09/01,Levante,Murcia,0,0,D,0,0,D,,,,1.8,2.8,3.8,1.73,3.2,4.33,1.85,2.85,4.0,1510.65,1428.88
SP2,16/09/01,Santander,Xerez,1,0,H,1,0,H,,,,1.8,2.9,3.6,1.83,3.0,4.0,1.8,2.9,4.2,1530.87,1513.48
SP2,16/09/01,Sp Gijon,Albacete,0,0,D,0,0,D,,,,2.1,2.8,3.0,1.91,3.1,3.6,2.1,2.7,3.4,1500.19,1513.92
SP2,22/09/01,Ath Madrid,Levante,2,1,H,1,1,D,,,,1.45,3.2,5.5,,,,1.45,3.35,6.5,1614.55,1504.65
SP2,22/09/01,Extremadura,Jaen,5,0,H,2,0,H,,,,2.0,2.8,3.1,,,,2.0,2.85,3.45,1481.64,1502.61
SP2,23/09/01,Albacete,Badajoz,2,0,H,1,0,H,,,,1.8,2.7,3.9,,,,1.75,3.0,4.2,1516.96,1441.93
SP2,23/09/01,Cordoba,Sp Gijon,1,2,A,1,2,A,,,,2.2,2.7,2.9,,,,2.15,2.85,3.05,1457.98,1497.15
SP2,23/09/01,Poli Ejido,Leganes,1,1,D,0,0,D,,,,2.3,2.7,2.7,,,,2.25,2.75,3.0,1444.04,1433.8
SP2,23/09/01,Elche,Recreativo,1,1,D,1,0,H,,,,2.5,2.7,2.5,,,,2.5,2.85,2.55,1433.28,1514.34
SP2,23/09/01,Murcia,Salamanca,3,3,D,2,2,D,,,,2.5,2.7,2.5,,,,2.45,2.75,2.7,1434.88,1475.53
SP2,23/09/01,Oviedo,Eibar,1,0,H,0,0,D,,,,1.55,3.0,5.0,,,,1.55,3.15,5.5,1556.74,1446.44
SP2,23/09/01,Santander,Burgos,0,2,A,0,0,D,,,,1.75,3.1,3.6,,,,1.75,3.05,4.1,1539.3,1505.17
SP2,23/09/01,Xerez,Numancia,2,1,H,0,1,A,,,,2.2,2.8,2.8,,,,2.2,2.8,3.0,1505.05,1523.39
SP2,29/09/01,Badajoz,Cordoba,0,1,A,0,1,A,,,,2.1,2.7,3.1,2.0,2.88,3.6,2.2,2.7,3.2,1435.24,1443.31
SP2,29/09/01,Eibar,Extremadura,0,0,D,0,0,D,,,,2.2,2.8,2.8,2.25,3.0,2.88,2.2,2.9,3.0,1440.7,1491.34
SP2,29/09/01,Jaen,Santander,0,0,D,0,0,D,,,,2.3,2.8,2.6,2.38,2.88,2.8,2.25,2.85,2.9,1492.91,1522.2
SP2,29/09/01,Leganes,Gimnastic,2,1,H,2,0,H,,,,,,,1.83,3.0,4.0,1.75,3.0,4.3,1437.64,1445.8
SP2,29/09/01,Numancia,Albacete,1,0,H,1,0,H,,,,1.9,2.9,3.2,1.8,3.1,4.0,1.8,3.0,4.0,1513.78,1523.65
SP2,29/09/01,Recreativo,Murcia,0,1,A,0,1,A,,,,1.7,2.9,4.0,1.67,3.1,5.0,1.65,3.1,4.75,1515.02,1432.77
