Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
I2,23/09/01,Empoli,Napoli,1,0,H,0,0,D,,,,1.8,2.5,4.2,,,,1.7,3.0,4.5,1601.18,1549.85
I2,23/09/01,Genoa,Messina,3,0,H,3,0,H,,,,1.45,3.0,6.0,,,,1.5,3.25,6.0,1539.48,1472.82
I2,23/09/01,Modena,Siena,2,2,D,1,2,A,,,,1.7,2.7,4.4,,,,1.65,2.8,5.5,1519.33,1448.36
I2,23/09/01,Palermo,Cittadella,3,1,H,1,0,H,,,,1.8,2.6,4.0,,,,1.7,3.0,4.5,1468.15,1434.4
I2,23/09/01,Reggina,Bari,0,0,D,0,0,D,,,,1.8,2.6,4.0,,,,1.85,2.6,4.6,1593.45,1464.43
I2,23/09/01,Salernitana,Pistoiese,2,1,H,1,0,H,,,,1.5,3.0,4.5,,,,1.45,3.3,6.75,1454.66,1412.1
I2,23/09/01,Vicenza,Ternana,1,1,D,0,0,D,,,,1.85,2.4,4.4,,,,1.75,2.65,5.2,1563.28,1548.98
I2,24/09/01,Cagliari,Sampdoria,0,2,A,0,0,D,,,,2.1,2.5,3.3,,,,2.0,2.65,3.8,1444.66,1537.09
I2,28/09/01,Ternana,Genoa,0,0,D,0,0,D,,,,2.1,2.5,3.3,,,,2.1,2.6,3.6,1552.95,1546.41
I2,30/09/01,Bari,Crotone,0,2,A,0,1,A,,,,1.6,2.8,4.8,1.5,3.2,7.0,1.6,3.0,5.7,1471.65,1468.67
I2,30/09/01,Cittadella,Empoli,2,1,H,1,0,H,,,,2.8,2.6,2.3,3.1,2.7,2.3,3.2,2.65,2.25,1426.49,1608.56
I2,30/09/01,Como,Ancona,1,0,H,1,0,H,,,,2.1,2.5,3.3,2.0,2.62,4.0,2.0,2.6,4.0,1489.45,1499.58
I2,30/09/01,Cosenza,Reggina,0,1,A,0,0,D,,,,2.6,2.4,2.7,2.7,2.7,2.6,2.65,2.55,2.7,1508.51,1586.23
I2,30/09/01,Messina,Vicenza,0,0,D,0,0,D,,,,2.6,2.5,2.6,2.7,2.6,2.7,2.7,2.55,2.65,1465.89,1559.31
I2,30/09/01,Napoli,Cagliari,0,0,D,0,0,D,,,,1.9,2.7,3.5,1.8,2.75,5.0,1.8,2.8,4.5,1542.47,1431.89
I2,30/09/01,Pistoiese,Modena,0,0,D,0,0,D,,,,2.3,2.5,2.9,2.3,2.6,3.2,2.3,2.6,3.15,1404.46,1513.63
I2,30/09/01,Sampdoria,Palermo,1,2,A,0,0,D,,,,1.65,2.8,4.4,1.62,3.0,5.5,1.65,2.85,5.5,1549.86,1476.06
I2,01/10/01,Siena,Salernitana,2,1,H,0,1,A,,,,2.2,2.6,3.0,2.5,2.5,3.1,2.5,2.65,2.8,1454.06,1462.3
I2,07/10/01,Ancona,Genoa,1,1,D,0,0,D,,,,2.4,2.5,2.9,2.5,2.5,3.1,2.35,2.5,3.2,1490.24,1550.13
I2,07/10/01,Cagliari,Siena,1,1,D,0,0,D,,,,1.75,2.7,4.4,1.67,2.88,5.5,1.75,2.75,5.0,1438.66,1463.33
I2,07/10/01,Crotone,Cittadella,1,2,A,1,1,D,,,,1.7,2.8,4.6,1.73,2.75,5.5,1.7,2.85,5.0,1484.77,1441.89
I2,07/10/01,Empoli,Pistoiese,1,1,D,1,0,H,,,,1.5,3.2,5.4,1.44,3.25,8.0,1.5,3.2,6.5,1593.16,1404.79
I2,07/10/01,Modena,Como,3,0,H,2,0,H,,,,2.0,2.6,3.4,2.0,2.5,4.5,2.0,2.55,4.1,1513.3,1498.79
I2,07/10/01,Reggina,Palermo,1,1,D,0,0,D,,,,1.6,2.9,5.0,1.57,3.1,6.0,1.55,2.9,7.0,1599.53,1494.34
I2,07/10/01,Salernitana,Messina,1,2,A,1,0,H,,,,1.6,2.7,5.5,1.57,3.0,6.5,1.6,2.9,6.0,1453.03,1465.65
I2,07/10/01,Ternana,Napoli,1,2,A,1,0,H,,,,1.9,2.5,4.0,1.91,2.7,4.33,1.75,2.8,4.8,1549.23,1535.7
