Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,Unnamed: 25,Unnamed: 26,EloHome,EloAway
B1,09/09/01,Molenbeek,Germinal,2,2,D,1,1,D,,,,2.35,3.0,2.35,2.5,3.4,2.3,2.5,3.25,2.38,2.6,3.35,2.2,,,1468.97,1583.03
B1,15/09/01,Gent,Beveren,2,1,H,0,1,A,,,,1.25,4.3,8.0,1.29,4.5,8.0,1.33,4.33,7.0,1.3,4.2,7.5,,,1661.36,1411.18
B1,15/09/01,Germinal,Genk,1,1,D,0,1,A,,,,1.9,3.0,3.1,1.91,3.25,3.4,1.83,3.4,3.5,1.95,3.5,2.95,,,1582.52,1561.89
B1,15/09/01,Lierse,Anderlecht,2,0,H,0,0,D,,,,3.1,3.0,1.9,3.5,3.2,1.91,3.6,3.25,1.83,3.3,3.4,1.85,,,1517.58,1797.08
B1,15/09/01,Lommel,Lokeren,3,4,A,1,2,A,,,,2.2,2.9,2.7,2.1,3.2,3.0,2.3,3.25,2.6,2.05,3.4,2.8,,,1468.83,1586.43
B1,15/09/01,Molenbeek,St Truiden,1,2,A,1,2,A,,,,2.1,3.0,2.8,2.4,3.1,2.6,2.3,3.25,2.6,2.3,3.4,2.45,,,1469.48,1515.14
B1,16/09/01,Aalst,Antwerp,0,0,D,0,0,D,,,,1.75,3.2,3.4,1.73,3.4,4.0,1.83,3.4,3.5,1.75,3.6,3.45,,,1483.86,1498.31
B1,16/09/01,Charleroi,Westerlo,4,2,H,3,0,H,,,,2.0,3.0,2.9,1.85,3.4,3.5,2.0,3.2,3.2,1.8,3.55,3.3,,,1507.01,1546.91
B1,16/09/01,Club Brugge,Louvieroise,2,1,H,0,1,A,,,,1.15,5.5,11.0,1.14,6.0,12.0,1.18,5.5,10.0,,,,,,1773.01,1459.96
B1,16/09/01,Standard,Mouscron,2,1,H,1,0,H,,,,1.35,3.8,6.2,1.4,3.75,7.0,1.44,3.75,6.0,1.4,4.0,5.75,,,1632.84,1542.97
B1,22/09/01,Genk,Lierse,4,2,H,2,1,H,,,,2.0,2.9,3.0,1.75,3.4,3.8,,,,1.7,3.5,3.8,,,1566.06,1536.02
B1,22/09/01,Louvieroise,Aalst,1,3,A,1,0,H,,,,2.35,3.0,2.35,2.8,3.2,2.2,,,,,,,,,1457.84,1480.84
B1,22/09/01,Mouscron,Molenbeek,4,1,H,1,0,H,,,,1.55,3.3,4.5,1.67,3.4,4.33,,,,1.55,3.6,4.6,,,1536.69,1455.04
B1,22/09/01,St Truiden,Germinal,2,2,D,0,1,A,,,,2.2,2.9,2.7,2.0,3.3,3.1,,,,2.05,3.4,2.8,,,1529.58,1578.35
B1,23/09/01,Antwerp,Gent,2,3,A,1,0,H,,,,2.8,3.0,2.1,2.8,3.2,2.2,,,,2.45,3.35,2.3,,,1501.33,1664.3
B1,23/09/01,Beveren,Lommel,0,2,A,0,1,A,,,,2.4,2.9,2.4,2.2,3.2,2.8,,,,2.1,3.4,2.7,,,1408.24,1456.96
B1,29/09/01,Gent,Louvieroise,2,1,H,2,1,H,,,,1.2,4.7,9.0,1.22,5.0,9.0,1.25,5.0,8.0,,,,,,1674.56,1442.61
B1,29/09/01,Charleroi,Beveren,1,1,D,1,0,H,,,,1.4,3.6,5.5,1.44,3.6,6.5,1.44,3.75,6.0,1.4,4.0,5.75,,,1517.37,1393.91
B1,29/09/01,Germinal,Lierse,2,0,H,0,0,D,,,,1.9,2.9,3.2,1.8,3.4,3.6,1.73,3.4,4.0,1.85,3.4,3.3,,,1580.18,1527.99
B1,29/09/01,Lommel,Antwerp,2,2,D,2,1,H,,,,1.85,3.0,3.3,1.91,3.25,3.4,1.91,3.25,3.4,1.9,3.25,3.3,,,1471.29,1491.07
B1,29/09/01,Molenbeek,Westerlo,0,1,A,0,1,A,,,,2.35,3.0,2.35,2.4,3.4,2.4,2.4,3.4,2.4,2.4,3.3,2.4,,,1448.54,1536.55
B1,29/09/01,St Truiden,Mouscron,1,2,A,0,0,D,,,,2.0,2.9,3.0,1.85,3.4,3.5,1.91,3.4,3.25,1.9,3.45,3.1,,,1527.75,1543.19
B1,30/09/01,Aalst,Anderlecht,1,5,A,1,3,A,,,,3.2,3.1,1.85,2.88,3.3,2.1,3.2,3.5,1.91,3.0,3.45,1.95,,,1496.07,1778.64
B1,30/09/01,Club Brugge,Genk,1,2,A,0,1,A,,,,1.3,4.0,7.0,1.44,3.6,6.5,1.36,4.33,6.5,1.4,3.9,6.0,,,1775.13,1574.09
B1,30/09/01,Standard,Lokeren,0,2,A,0,1,A,,,,1.45,3.5,5.0,1.5,3.6,5.5,1.53,3.6,5.0,1.45,3.8,5.5,,,1639.12,1598.3
B1,09/10/01,Louvieroise,Lommel,0,0,D,0,0,D,,,,2.2,3.0,2.6,2.5,3.25,2.4,2.4,3.4,2.4,,,,,,1439.39,1468.45
B1,10/10/01,Anderlecht,Gent,2,0,H,0,0,D,,,,1.5,3.4,4.7,1.6,3.6,4.5,1.57,3.5,5.0,1.6,3.55,4.3,,,1785.12,1677.78
B1,10/10/01,Antwerp,Charleroi,2,0,H,1,0,H,,,,2.2,3.0,2.6,2.2,3.4,2.625,2.25,3.4,2.6,2.25,3.35,2.55,,,1493.91,1510.28
B1,10/10/01,Beveren,Standard,1,1,D,1,0,H,,,,3.3,3.0,1.85,3.25,3.4,1.909,3.0,3.4,2.0,3.15,3.4,1.9,,,1401.0,1621.81
B1,10/10/01,Genk,Aalst,5,0,H,3,0,H,,,,1.7,3.1,3.8,1.8,3.4,3.6,1.73,3.4,4.0,1.6,3.6,4.25,,,1595.33,1489.59
B1,10/10/01,Lierse,Club Brugge,0,2,A,0,2,A,,,,3.3,3.0,1.85,3.3,3.1,2.0,3.25,3.4,1.91,3.15,3.4,1.9,,,1520.64,1753.89
B1,10/10/01,Lokeren,Molenbeek,4,0,H,2,0,H,,,,1.4,3.6,5.5,1.533,3.6,5.0,1.53,3.6,5.0,1.45,3.8,5.4,,,1615.61,1435.61
B1,10/10/01,Mouscron,Germinal,3,1,H,1,1,D,,,,2.0,2.9,3.0,2.0,3.3,3.1,2.1,3.25,2.9,1.95,3.4,3.0,,,1558.67,1587.53
B1,10/10/01,Westerlo,St Truiden,0,0,D,0,0,D,,,,1.7,3.1,3.8,1.909,3.25,3.4,1.91,3.4,3.25,1.85,3.45,3.25,,,1549.48,1512.27
B1,13/10/01,Gent,Genk,0,0,D,0,0,D,,,,1.7,3.1,3.8,1.8,3.25,3.8,1.8,3.25,3.75,1.9,3.35,3.2,,,1671.96,1601.19
B1,13/10/01,Charleroi,Louvieroise,2,1,H,1,0,H,,,,1.5,3.4,4.7,1.444,3.5,7.0,1.44,3.75,6.0,,,,,,1500.73,1436.87
B1,13/10/01,Lommel,Anderlecht,2,2,D,1,1,D,,,,3.9,3.2,1.65,3.8,3.4,1.75,4.33,3.4,1.67,3.85,3.45,1.7,,,1470.97,1790.94
B1,13/10/01,Molenbeek,Beveren,3,0,H,2,0,H,,,,1.9,3.0,3.1,2.1,3.3,2.875,2.1,3.4,2.8,2.1,3.35,2.75,,,1431.45,1405.18
B1,13/10/01,Mouscron,Westerlo,1,2,A,1,1,D,,,,1.8,3.0,3.5,1.833,3.2,3.75,1.73,3.4,4.0,1.7,3.55,3.75,,,1568.65,1544.79
