Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,LBH,LBD,LBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
SC2,25/08/01,Morton,Stranraer,1.0,1.0,D,1.0,0.0,H,1727.0,E. D. Mack,9.0,11.0,4.0,4.0,0.0,0.0,8.0,3.0,16.0,19.0,2.0,3.0,3.0,4.0,0.0,0.0,30.0,40.0,,,,2.2,3.5,2.62,2.0,3.6,2.88,2.2,3.5,2.62,1258.95,1231.4
SC2,25/08/01,Queen of Sth,Clydebank,1.0,0.0,H,0.0,0.0,D,1108.0,G. T. Clyde,14.0,9.0,5.0,3.0,0.0,0.0,7.0,4.0,10.0,13.0,2.0,0.0,1.0,2.0,0.0,0.0,10.0,20.0,,,,2.5,3.5,2.25,2.6,3.5,2.2,2.5,3.5,2.25,1171.2,1224.37
SC2,25/08/01,Stenhousemuir,Berwick,3.0,0.0,H,3.0,0.0,H,526.0,Steve Conroy,11.0,9.0,5.0,5.0,0.0,0.0,5.0,11.0,18.0,17.0,5.0,2.0,1.0,2.0,0.0,0.0,10.0,20.0,,,,2.1,3.5,2.75,2.2,3.5,2.6,2.25,3.5,2.5,1155.84,1204.81
SC2,02/09/01,Berwick,Morton,2.0,0.0,H,1.0,0.0,H,647.0,A. Hunter,19.0,10.0,6.0,5.0,4.0,1.0,9.0,6.0,21.0,17.0,3.0,1.0,2.0,1.0,0.0,0.0,20.0,10.0,,,,,,,2.5,3.6,2.25,2.62,3.5,2.2,1194.13,1254.56
SC2,02/09/01,Forfar,Alloa,0.0,1.0,A,0.0,1.0,A,469.0,M. Ritchie,4.0,10.0,2.0,5.0,0.0,1.0,6.0,12.0,13.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,,,,,,,2.75,3.5,2.1,2.75,3.5,2.1,1170.37,1270.25
SC2,02/09/01,Queen of Sth,Stenhousemuir,2.0,0.0,H,1.0,0.0,H,1153.0,D. Brines,12.0,12.0,8.0,5.0,0.0,1.0,10.0,3.0,16.0,11.0,5.0,3.0,2.0,2.0,0.0,0.0,20.0,20.0,,,,,,,1.91,3.75,3.0,1.9,3.5,3.2,1182.03,1166.52
SC2,08/09/01,Alloa,Stenhousemuir,0.0,1.0,A,0.0,0.0,D,632.0,C. J. Melville,9.0,5.0,5.0,3.0,1.0,0.0,8.0,3.0,20.0,20.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,30.0,,,,,,,1.62,3.6,4.33,1.61,3.6,4.33,1282.75,1158.03
SC2,08/09/01,Berwick,Hamilton,0.0,2.0,A,0.0,2.0,A,475.0,A. C. Gemmill,6.0,16.0,3.0,6.0,1.0,0.0,6.0,3.0,14.0,15.0,4.0,1.0,2.0,2.0,0.0,0.0,20.0,20.0,,,,,,,2.25,3.6,2.5,2.5,3.4,2.3,1205.21,1288.63
SC2,08/09/01,Clydebank,Morton,3.0,2.0,H,0.0,1.0,A,1148.0,"Conroy, S.",8.0,9.0,4.0,5.0,0.0,0.0,6.0,6.0,16.0,17.0,8.0,1.0,2.0,1.0,0.0,0.0,20.0,10.0,,,,,,,2.1,3.5,2.75,1.9,3.75,3.0,1213.54,1243.48
SC2,08/09/01,Forfar,Cowdenbeath,2.0,1.0,H,2.0,0.0,H,403.0,A. Freeland,6.0,9.0,3.0,3.0,0.0,0.0,8.0,6.0,11.0,15.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,20.0,,,,,,,2.1,3.5,2.75,2.2,3.5,2.62,1157.87,1239.59
