Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
P1,10/09/01,Guimaraes,Sp Braga,2,1,H,1,1,D,,,,2.2,2.9,2.7,2.2,3.2,2.8,2.38,3.1,2.62,2.2,3.15,2.75,1426.03,1486.25
P1,14/09/01,Varzim,Belenenses,1,5,A,0,3,A,,,,2.3,2.9,2.5,2.38,3.1,2.62,,,,2.45,3.1,2.45,1388.29,1437.62
P1,15/09/01,Boavista,Leiria,1,0,H,0,0,D,,,,1.35,3.8,6.2,1.4,3.75,7.0,1.44,3.6,6.5,1.4,4.0,5.75,1658.67,1543.68
P1,15/09/01,Benfica,Porto,0,0,D,0,0,D,,,,2.1,2.9,2.9,2.3,3.1,2.7,2.3,3.1,2.75,2.2,3.1,2.87,1533.34,1694.22
P1,16/09/01,Maritimo,Alverca,5,0,H,1,0,H,,,,1.7,3.1,3.8,1.8,3.25,3.8,1.83,3.25,3.7,1.7,3.5,3.75,1448.25,1439.57
P1,16/09/01,Pacos Ferreira,Farense,1,1,D,0,1,A,,,,1.75,3.1,3.6,1.8,3.25,3.8,1.8,3.25,3.75,1.75,3.5,3.55,1443.73,1385.58
P1,16/09/01,Salgueiros,Sp Braga,1,0,H,0,0,D,,,,2.4,2.9,2.4,2.5,3.1,2.5,2.5,2.9,2.6,2.4,3.1,2.5,1346.52,1475.17
P1,16/09/01,Santa Clara,Guimaraes,2,0,H,1,0,H,,,,2.2,2.9,2.7,2.3,3.1,2.75,2.25,3.2,2.75,2.25,3.2,2.6,1389.53,1437.11
P1,16/09/01,Sp Lisbon,Gil Vicente,3,1,H,1,0,H,,,,1.7,3.1,3.8,1.8,3.25,3.8,1.83,3.25,3.7,1.7,3.5,3.75,1565.0,1472.34
P1,16/09/01,Setubal,Beira Mar,4,1,H,2,0,H,,,,1.9,2.9,3.2,2.0,3.2,3.2,2.2,3.0,3.0,2.1,3.25,2.8,1403.86,1463.73
P1,21/09/01,Sp Braga,Santa Clara,6,0,H,1,0,H,,,,1.6,3.2,4.2,1.7,3.3,4.33,,,,1.6,3.5,4.3,1461.64,1400.16
P1,22/09/01,Porto,Setubal,3,0,H,0,0,D,,,,1.3,4.0,7.0,1.33,4.0,8.0,,,,1.3,4.0,8.5,1692.05,1414.92
P1,22/09/01,Gil Vicente,Boavista,0,3,A,0,3,A,,,,2.7,2.9,2.2,3.0,3.2,2.1,,,,2.75,3.2,2.15,1466.14,1664.29
P1,23/09/01,Alverca,Varzim,4,2,H,2,1,H,,,,1.6,3.2,4.2,1.62,3.4,4.75,,,,1.55,3.6,4.6,1430.86,1373.98
P1,23/09/01,Beira Mar,Salgueiros,1,1,D,1,1,D,,,,1.55,3.3,4.5,1.7,3.3,4.33,,,,1.7,3.5,3.75,1452.67,1360.05
P1,23/09/01,Belenenses,Benfica,1,1,D,0,0,D,,,,2.9,2.9,2.1,2.75,3.2,2.25,,,,2.55,3.2,2.3,1451.93,1535.51
P1,23/09/01,Farense,Sp Lisbon,1,3,A,1,1,D,,,,2.9,2.9,2.1,2.88,3.1,2.2,,,,2.7,3.2,2.2,1390.91,1571.2
P1,23/09/01,Leiria,Maritimo,2,0,H,1,0,H,,,,1.9,2.9,3.2,1.91,3.25,3.4,,,,1.8,3.4,3.4,1538.06,1456.96
P1,23/09/01,Guimaraes,Pacos Ferreira,1,1,D,0,1,A,,,,1.8,3.0,3.5,1.8,3.25,3.8,,,,1.8,3.4,3.4,1426.48,1438.4
P1,28/09/01,Setubal,Belenenses,0,1,A,0,1,A,,,,2.0,2.9,3.0,2.0,3.2,3.2,,,,2.0,3.2,3.05,1412.36,1451.34
P1,29/09/01,Beira Mar,Porto,2,0,H,1,0,H,,,,3.8,3.1,1.7,3.75,3.3,1.8,,,,3.45,3.4,1.8,1446.37,1694.61
P1,29/09/01,Pacos Ferreira,Sp Braga,0,0,D,0,0,D,,,,2.1,2.9,2.9,2.1,3.2,3.0,,,,2.1,3.2,2.85,1441.5,1468.72
P1,30/09/01,Boavista,Farense,1,1,D,0,0,D,,,,1.2,4.7,9.0,1.25,4.6,9.0,1.25,4.5,10.0,1.25,4.5,8.5,1673.35,1381.25
P1,30/09/01,Benfica,Alverca,3,2,H,2,1,H,,,,1.3,4.0,7.0,1.3,4.33,8.0,1.3,4.33,8.0,1.35,4.1,6.5,1536.1,1438.07
P1,30/09/01,Salgueiros,Santa Clara,2,1,H,1,0,H,,,,1.8,2.9,3.6,2.1,3.2,3.0,1.73,3.2,4.33,1.9,3.4,3.15,1366.35,1393.08
P1,30/09/01,Varzim,Leiria,2,0,H,0,0,D,,,,2.7,2.9,2.2,2.62,3.2,2.3,2.62,2.88,2.5,2.55,3.2,2.3,1366.77,1544.58
P1,01/10/01,Maritimo,Gil Vicente,2,1,H,2,0,H,,,,1.7,3.1,3.8,1.8,3.3,3.75,1.8,3.25,3.75,,,,1450.44,1457.08
P1,01/10/01,Sp Lisbon,Guimaraes,5,0,H,2,0,H,,,,,,,,,,,,,,,,1580.86,1423.38
