Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
E0,18/08/01,Charlton,Everton,1,2,A,0,0,D,20451.0,N. S. Barry,8,12,4,9,0,0,4,4,15,17,2,1,0,3,0,0,0,30,,,,2.0,2.9,3.0,1.83,3.2,3.75,,,,2.0,3.25,3.25,2.0,3.2,3.2,1704.28,1643.13
E0,18/08/01,Derby,Blackburn,2,1,H,1,0,H,28236.0,P. A. Durkin,7,14,3,4,0,0,4,10,14,15,3,1,1,0,0,0,10,0,,,,2.3,2.9,2.5,2.25,3.2,2.75,,,,2.25,3.25,2.75,2.25,3.2,2.75,1652.03,1719.39
E0,18/08/01,Leeds,Southampton,2,0,H,0,0,D,39715.0,C. R. Wilkes ,16,11,6,6,1,0,10,3,16,24,3,2,1,2,0,1,10,45,,,,1.4,3.6,5.5,1.44,3.6,6.5,,,,1.4,4.0,6.5,1.36,3.75,8.0,1831.62,1704.31
E0,18/08/01,Leicester,Bolton,0,5,A,0,4,A,19987.0,R. Styles,6,18,1,8,0,0,3,5,21,17,4,0,4,3,0,0,40,30,,,,1.85,3.0,3.3,1.73,3.4,4.0,,,,1.83,3.4,3.6,1.72,3.4,4.0,1641.04,1702.95
E0,18/08/01,Liverpool,West Ham,2,1,H,1,1,D,43935.0,J. T. Winter,9,3,6,3,1,0,5,3,13,12,0,6,1,5,0,0,10,50,,,,1.4,3.6,5.5,1.4,3.75,7.0,,,,1.36,4.33,6.5,1.36,3.75,8.0,1820.84,1647.09
E0,18/08/01,Middlesbrough,Arsenal,0,4,A,0,1,A,31557.0,G. P. Barber,6,14,2,9,0,0,2,6,13,19,4,0,2,3,1,1,45,55,,,,2.9,2.9,2.1,3.0,3.2,2.1,,,,3.0,3.25,2.1,3.2,3.2,2.0,1692.12,1832.32
E0,18/08/01,Sunderland,Ipswich,1,0,H,1,0,H,47370.0,G. Poll,12,10,6,4,0,0,1,1,22,20,5,5,0,1,0,0,0,10,,,,1.85,3.0,3.3,2.0,3.2,3.2,,,,1.91,3.4,3.4,1.83,3.3,3.6,1742.1,1774.54
E0,18/08/01,Tottenham,Aston Villa,0,0,D,0,0,D,36059.0,D. J. Gallagher,8,11,2,2,1,1,6,5,12,17,1,3,3,2,0,0,30,20,,,,2.1,2.9,2.9,2.0,3.2,3.2,,,,2.0,3.25,3.25,1.9,3.25,3.4,1683.66,1731.38
E0,19/08/01,Chelsea,Newcastle,1,1,D,1,0,H,40124.0,A. P. D'Urso ,13,9,8,3,0,0,12,7,19,20,2,3,3,4,0,0,30,40,,,,1.6,3.3,4.0,1.5,3.25,6.5,,,,1.57,3.6,5.0,1.57,3.25,5.5,1796.21,1695.64
E0,19/08/01,Man United,Fulham,3,2,H,1,1,D,67534.0,P. Jones ,12,8,6,5,1,0,6,4,17,19,10,3,0,1,0,0,0,10,,,,1.4,3.6,5.5,1.28,4.5,8.0,,,,1.29,4.5,8.5,1.28,4.33,8.5,1899.02,1721.62
