Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,Unnamed: 25,Unnamed: 26,EloHome,EloAway
T1,09/09/01,Istanbulspor,Goztep,0,0,D,0,0,D,,,,1.8,3.0,3.5,1.8,3.2,3.6,1.8,3.25,3.75,1.65,3.4,4.2,,,1470.59,1395.24
T1,09/09/01,Yozgatspor,Malatyaspor,3,0,H,0,0,D,,,,1.45,3.5,5.0,,,,1.44,3.75,6.0,1.4,3.75,6.4,,,1486.33,1380.48
T1,14/09/01,Besiktas,Istanbulspor,0,1,A,0,1,A,,,,1.4,3.6,5.5,1.4,3.6,6.5,,,,1.45,3.75,5.5,,,1597.47,1464.77
T1,15/09/01,Antalyaspor,Denizlispor,1,0,H,0,0,D,,,,2.2,3.0,2.6,2.3,3.1,2.6,2.25,3.1,2.8,2.35,3.25,2.45,,,1363.82,1454.22
T1,15/09/01,Bursaspor,Diyarbakirspor,2,1,H,2,0,H,,,,1.75,3.1,3.6,,,,1.73,3.4,4.0,1.9,3.5,3.05,,,1400.47,1400.23
T1,15/09/01,Fenerbahce,Yozgatspor,1,0,H,0,0,D,,,,1.25,4.3,8.0,1.2,5.0,9.0,1.2,5.0,11.0,1.3,4.5,6.75,,,1651.74,1492.18
T1,15/09/01,Malatyaspor,Galatasaray,0,2,A,0,2,A,,,,6.0,3.9,1.35,,,,7.0,3.75,1.4,5.2,3.6,1.5,,,1374.63,1692.59
T1,16/09/01,Gaziantepspor,Rizespor,0,2,A,0,1,A,,,,1.5,3.4,4.7,1.5,3.4,5.5,1.44,3.75,6.0,1.5,3.75,4.8,,,1594.03,1448.25
T1,16/09/01,Genclerbirligi,Kocaelispor,2,2,D,1,0,H,,,,1.6,3.3,4.0,1.9,3.1,3.4,2.0,3.2,3.2,1.85,3.4,3.25,,,1458.61,1481.89
T1,16/09/01,Goztep,Ankaragucu,2,1,H,0,0,D,,,,2.1,3.0,2.8,2.1,3.0,3.0,,,,2.2,3.3,2.6,,,1401.06,1509.33
T1,16/09/01,Trabzonspor,Samsunspor,1,2,A,0,2,A,,,,1.3,4.0,7.0,1.33,4.0,7.0,1.36,4.0,7.0,1.4,4.0,5.75,,,1562.71,1435.97
T1,21/09/01,Kocaelispor,Goztep,2,0,H,2,0,H,,,,1.8,3.0,3.5,1.75,3.2,3.8,,,,1.7,3.5,3.75,,,1484.61,1413.86
T1,22/09/01,Bursaspor,Samsunspor,2,1,H,1,0,H,,,,,,,1.9,3.2,3.3,,,,2.0,3.25,3.0,,,1409.46,1455.64
T1,22/09/01,Denizlispor,Malatyaspor,4,1,H,1,0,H,,,,1.35,3.8,6.2,1.44,3.5,6.0,,,,1.4,4.0,5.75,,,1442.07,1369.08
T1,22/09/01,Galatasaray,Fenerbahce,2,0,H,0,0,D,,,,2.1,2.9,2.9,2.1,3.0,3.0,,,,1.9,3.2,3.5,,,1698.14,1656.32
T1,23/09/01,Ankaragucu,Besiktas,3,4,A,1,2,A,,,,2.35,3.0,2.35,2.8,3.2,2.1,,,,2.5,3.1,2.4,,,1496.53,1577.66
T1,23/09/01,Istanbulspor,Trabzonspor,2,1,H,1,1,D,,,,2.2,2.9,2.7,2.4,3.0,2.5,,,,2.4,3.1,2.5,,,1484.58,1543.04
T1,23/09/01,Rizespor,Antalyaspor,1,1,D,0,0,D,,,,1.6,3.2,4.2,1.7,3.25,4.0,,,,1.6,3.5,4.3,,,1468.36,1375.97
T1,23/09/01,Yozgatspor,Genclerbirligi,0,2,A,0,1,A,,,,2.1,2.9,2.9,2.0,3.0,3.2,,,,1.8,3.4,3.4,,,1487.6,1455.89
T1,28/09/01,Trabzonspor,Ankaragucu,2,2,D,2,2,D,,,,1.5,3.4,4.7,1.6,3.5,4.2,,,,1.45,3.75,5.5,,,1532.03,1483.35
T1,29/09/01,Diyarbakirspor,Samsunspor,1,1,D,1,0,H,,,,2.2,3.0,2.6,,,,,,,2.25,3.4,2.5,,,1391.24,1445.06
T1,29/09/01,Fenerbahce,Denizlispor,2,1,H,1,0,H,,,,1.3,4.0,7.0,1.3,4.33,7.0,1.25,4.5,10.0,1.25,4.5,8.5,,,1648.66,1448.81
T1,29/09/01,Malatyaspor,Rizespor,2,1,H,1,0,H,,,,2.7,3.2,2.0,3.25,3.2,1.9,3.0,3.2,2.1,3.45,3.4,1.8,,,1362.34,1462.07
T1,30/09/01,Besiktas,Kocaelispor,4,2,H,3,0,H,,,,1.45,3.5,5.0,1.6,3.5,4.2,1.5,3.6,5.5,1.55,3.5,4.8,,,1590.84,1491.42
T1,30/09/01,Bursaspor,Istanbulspor,1,2,A,1,1,D,,,,2.7,2.9,2.2,2.4,3.1,2.5,2.4,3.2,2.5,2.4,3.3,2.4,,,1420.04,1495.59
T1,30/09/01,Gaziantepspor,Antalyaspor,2,3,A,1,0,H,,,,1.4,3.6,5.5,1.5,3.4,5.5,1.44,3.75,7.0,1.5,3.7,5.0,,,1573.92,1382.26
T1,30/09/01,Genclerbirligi,Galatasaray,1,3,A,1,1,D,,,,3.1,3.0,1.9,3.5,3.4,1.8,4.0,3.4,1.73,3.45,3.4,1.8,,,1472.91,1705.8
T1,30/09/01,Goztep,Yozgatspor,0,0,D,0,0,D,,,,1.7,3.1,3.8,1.9,3.2,3.25,,,,1.7,3.5,3.75,,,1407.05,1470.58
T1,10/10/01,Diyarbakirspor,Gaziantepspor,2,3,A,1,3,A,,,,2.8,3.0,2.1,,,,,,,2.4,3.25,2.4,,,1389.59,1552.85
T1,10/10/01,Samsunspor,Besiktas,2,1,H,0,0,D,,,,,,,,,,,,,,,,,,1446.71,1596.86
T1,12/10/01,Galatasaray,Goztep,4,1,H,2,1,H,,,,1.3,4.0,7.0,,,,,,,1.3,4.25,7.5,,,1713.74,1405.74
T1,13/10/01,Ankaragucu,Bursaspor,0,1,A,0,0,D,,,,1.65,3.2,3.8,,,,1.73,3.4,4.0,1.7,3.3,4.1,,,1488.39,1406.66
T1,13/10/01,Antalyaspor,Malatyaspor,2,1,H,1,0,H,,,,1.45,3.5,5.0,,,,1.53,3.6,5.0,1.5,3.5,5.4,,,1403.33,1374.83
T1,13/10/01,Denizlispor,Genclerbirligi,4,1,H,1,0,H,,,,2.1,3.0,2.8,,,,,,,2.25,3.15,2.65,,,1445.03,1464.97
T1,13/10/01,Kocaelispor,Trabzonspor,1,0,H,0,0,D,,,,2.3,3.0,2.4,,,,2.2,3.25,2.75,2.1,3.2,2.85,,,1485.4,1526.99
T1,14/10/01,Gaziantepspor,Samsunspor,1,0,H,0,0,D,,,,1.75,3.1,3.6,,,,,,,1.8,3.3,3.55,,,1563.1,1461.0
T1,14/10/01,Istanbulspor,Diyarbakirspor,1,0,H,1,0,H,,,,1.35,3.8,6.2,,,,1.4,3.75,7.0,1.45,3.55,6.0,,,1508.97,1379.34
T1,14/10/01,Rizespor,Fenerbahce,1,2,A,1,0,H,,,,2.9,3.0,2.0,,,,3.5,3.4,1.83,3.25,3.3,1.9,,,1449.58,1652.44
T1,14/10/01,Yozgatspor,Besiktas,1,3,A,1,0,H,,,,3.3,3.0,1.85,,,,3.0,3.2,2.1,2.8,3.2,2.15,,,1471.89,1582.57
T1,19/10/01,Diyarbakirspor,Ankaragucu,2,1,H,1,0,H,2.25,3.2,2.65,2.2,3.0,2.6,,,,,,,2.2,3.25,2.65,,,1374.08,1469.89
T1,20/10/01,Fenerbahce,Antalyaspor,3,2,H,2,1,H,1.25,4.65,8.7,1.2,4.7,9.0,,,,,,,1.25,4.75,9.0,,,1661.34,1411.41
T1,20/10/01,Gaziantepspor,Malatyaspor,1,0,H,1,0,H,1.38,3.9,6.65,1.4,3.6,5.5,,,,,,,1.35,4.0,7.5,,,1569.05,1366.75
T1,20/10/01,Istanbulspor,Samsunspor,0,1,A,0,1,A,1.55,3.5,4.9,1.5,3.4,4.7,,,,,,,1.55,3.5,4.8,,,1514.23,1455.05
T1,20/10/01,Trabzonspor,Yozgatspor,2,0,H,1,0,H,1.5,3.6,5.25,1.4,3.6,5.5,,,,,,,1.55,3.5,4.8,,,1516.57,1459.77
T1,21/10/01,Besiktas,Galatasaray,2,2,D,2,0,H,2.45,3.0,2.55,2.4,2.9,2.4,,,,,,,2.4,3.1,2.6,,,1594.69,1715.92
T1,21/10/01,Bursaspor,Kocaelispor,2,1,H,1,0,H,2.3,3.2,2.6,2.2,3.0,2.6,,,,,,,2.15,3.2,2.8,,,1425.16,1495.82
T1,21/10/01,Genclerbirligi,Rizespor,2,2,D,1,1,D,1.85,3.3,3.45,1.8,3.0,3.5,,,,,,,1.8,3.25,3.65,,,1455.3,1440.68
T1,21/10/01,Goztep,Denizlispor,1,1,D,0,0,D,1.8,3.2,3.8,1.8,3.0,3.5,,,,,,,1.85,3.25,3.45,,,1403.56,1454.7
T1,26/10/01,Kocaelispor,Diyarbakirspor,3,1,H,1,0,H,1.4,3.9,6.0,1.45,3.5,5.0,,,,,,,1.45,3.5,6.1,,,1484.37,1386.43
T1,27/10/01,Galatasaray,Trabzonspor,3,1,H,2,1,H,1.4,3.85,6.25,1.4,3.6,5.5,1.4,3.75,6.0,1.36,4.0,7.0,1.55,3.5,4.8,,,1715.16,1523.78
T1,27/10/01,Malatyaspor,Fenerbahce,1,3,A,0,1,A,6.75,4.0,1.35,5.0,3.5,1.45,5.5,3.6,1.44,6.5,4.0,1.4,5.25,3.55,1.5,,,1363.02,1664.28
T1,27/10/01,Rizespor,Goztep,0,0,D,0,0,D,2.1,3.1,2.95,2.0,2.9,3.0,2.0,3.2,3.0,,,,2.0,3.2,3.1,,,1444.66,1401.81
T1,27/10/01,Yozgatspor,Bursaspor,3,4,A,1,2,A,2.1,3.1,2.95,1.9,3.0,3.1,2.2,3.25,2.6,,,,2.25,3.2,2.65,,,1452.56,1436.61
T1,28/10/01,Ankaragucu,Samsunspor,2,0,H,0,0,D,2.05,3.2,3.1,1.8,3.0,3.5,2.25,3.2,2.6,,,,2.15,3.25,2.75,,,1457.54,1472.91
T1,28/10/01,Antalyaspor,Genclerbirligi,2,2,D,0,1,A,2.1,3.05,3.0,2.1,2.9,2.9,2.1,3.25,2.8,,,,2.2,3.2,2.7,,,1408.47,1451.32
T1,28/10/01,Denizlispor,Besiktas,3,3,D,2,1,H,3.1,3.1,2.05,3.0,2.9,2.0,3.0,3.2,2.0,,,,2.7,3.2,2.2,,,1456.45,1595.45
T1,28/10/01,Istanbulspor,Gaziantepspor,0,1,A,0,0,D,1.8,3.3,3.6,2.1,2.9,2.9,2.0,3.2,3.0,1.8,3.25,3.75,2.1,3.2,2.85,,,1496.37,1572.78
T1,02/11/01,Bursaspor,Galatasaray,5,0,H,2,0,H,3.95,3.25,1.75,3.6,3.2,1.7,3.6,3.4,1.75,3.75,3.25,1.8,3.0,3.3,2.0,,,1453.13,1719.1
T1,03/11/01,Besiktas,Rizespor,2,1,H,0,0,D,1.35,4.0,7.0,1.35,3.8,6.2,1.33,4.0,7.0,1.36,4.0,7.0,1.35,4.0,7.0,,,1594.05,1439.79
T1,03/11/01,Genclerbirligi,Malatyaspor,1,2,A,0,0,D,1.4,3.8,6.5,1.4,3.6,5.5,1.33,4.2,6.5,1.4,3.75,7.0,1.4,3.75,6.5,,,1453.36,1357.05
T1,03/11/01,Istanbulspor,Ankaragucu,1,2,A,1,2,A,1.78,3.4,3.5,1.75,3.2,3.4,1.8,3.25,3.6,1.62,3.5,4.5,1.85,3.35,3.35,,,1483.02,1467.05
T1,03/11/01,Kocaelispor,Samsunspor,0,1,A,0,0,D,1.7,3.25,4.1,1.6,3.3,4.0,,,,,,,1.6,3.6,4.7,,,1490.43,1463.4
T1,04/11/01,Diyarbakirspor,Yozgatspor,1,1,D,1,1,D,1.85,3.25,3.5,2.0,3.0,2.9,,,,1.9,3.25,3.4,1.9,3.4,3.2,,,1380.37,1436.04
T1,04/11/01,Gaziantepspor,Fenerbahce,0,2,A,0,1,A,2.5,3.1,2.45,2.35,3.0,2.35,2.6,3.25,2.2,2.38,3.25,2.5,2.5,3.25,2.35,,,1586.13,1670.25
T1,04/11/01,Goztep,Antalyaspor,0,0,D,0,0,D,1.8,3.3,3.65,1.75,3.1,3.6,1.7,3.3,4.0,,,,1.8,3.4,3.5,,,1406.68,1406.43
T1,04/11/01,Trabzonspor,Denizlispor,2,2,D,2,0,H,1.57,3.4,5.0,1.5,3.4,4.7,1.53,3.75,4.5,1.53,3.6,5.0,1.65,3.45,4.1,,,1519.84,1457.85
T1,16/11/01,Antalyaspor,Besiktas,1,4,A,1,1,D,3.1,3.1,2.05,3.2,2.9,1.9,2.8,3.2,2.1,,,,3.0,3.25,2.0,,,1409.94,1598.75
T1,17/11/01,Ankaragucu,Gaziantepspor,1,1,D,0,0,D,2.4,3.1,2.55,2.35,3.0,2.35,2.4,3.2,2.4,,,,2.25,3.25,2.6,,,1483.57,1573.06
T1,17/11/01,Galatasaray,Diyarbakirspor,5,1,H,2,0,H,1.15,5.5,12.0,1.15,5.5,11.0,,,,1.17,5.5,11.0,1.25,4.5,9.0,,,1701.05,1378.78
T1,17/11/01,Rizespor,Trabzonspor,1,1,D,1,0,H,2.45,3.1,2.5,2.35,3.0,2.35,2.4,3.2,2.4,,,,2.4,3.3,2.4,,,1435.09,1514.4
T1,17/11/01,Yozgatspor,Samsunspor,2,0,H,1,0,H,2.45,3.1,2.5,2.1,3.0,2.8,2.4,3.2,2.4,,,,2.3,3.3,2.5,,,1437.63,1480.28
T1,18/11/01,Denizlispor,Bursaspor,0,0,D,0,0,D,2.2,3.2,2.75,2.0,3.0,2.9,2.1,3.2,2.8,2.2,3.2,2.8,2.1,3.3,2.8,,,1463.29,1471.18
T1,18/11/01,Fenerbahce,Genclerbirligi,2,0,H,0,0,D,1.27,4.5,7.9,1.25,4.3,8.0,1.25,4.5,9.0,1.25,4.5,10.0,1.25,4.5,9.0,,,1683.32,1434.46
T1,18/11/01,Kocaelispor,Istanbulspor,2,0,H,0,0,D,1.9,3.2,3.4,1.8,3.0,3.5,1.85,3.25,3.4,1.91,3.25,3.4,1.85,3.3,3.4,,,1473.55,1466.5
T1,18/11/01,Malatyaspor,Goztep,3,1,H,2,1,H,2.5,3.25,2.35,2.6,3.0,2.2,2.4,3.2,2.4,,,,2.35,3.25,2.5,,,1375.95,1403.17
T1,23/11/01,Goztep,Fenerbahce,0,5,A,0,3,A,3.6,3.3,1.8,3.5,3.0,1.8,3.75,3.4,1.75,,,,3.75,3.5,1.7,,,1393.25,1686.28
T1,24/11/01,Diyarbakirspor,Denizlispor,3,0,H,1,0,H,2.26,3.05,2.75,2.3,2.9,2.5,2.3,3.2,2.6,,,,2.2,3.2,2.7,,,1376.76,1460.05
T1,24/11/01,Galatasaray,Samsunspor,2,0,H,2,0,H,1.72,3.3,4.0,1.6,3.3,4.0,1.8,3.2,3.8,,,,1.8,3.4,3.5,,,1703.07,1469.82
T1,24/11/01,Istanbulspor,Yozgatspor,2,0,H,1,0,H,1.63,3.5,4.3,1.8,3.0,3.5,1.7,3.5,3.8,,,,1.7,3.5,3.8,,,1457.73,1448.09
