Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,EloHome,EloAway
F2,28/08/01,St Etienne,Ajaccio,1,0,H,1,0,H,,,,1.8,2.9,3.6,,,,1511.03,1523.85
F2,29/08/01,Beauvais,Laval,2,0,H,0,0,D,,,,1.8,2.8,3.7,,,,1517.2,1449.6
F2,29/08/01,Caen,Amiens,2,4,A,2,1,H,,,,1.85,2.8,3.5,,,,1464.31,1441.89
F2,29/08/01,Chateauroux,Le Havre,4,2,H,2,1,H,,,,1.9,2.8,3.3,,,,1505.59,1525.84
F2,29/08/01,Creteil,Gueugnon,3,1,H,1,0,H,,,,2.6,2.7,2.4,,,,1420.42,1541.87
F2,29/08/01,Grenoble,Wasquehal,2,1,H,1,0,H,,,,1.85,2.8,3.5,,,,1474.98,1457.58
F2,29/08/01,Le Mans,Martigues,1,0,H,0,0,D,,,,1.9,2.8,3.3,,,,1448.83,1406.65
F2,29/08/01,Nancy,Nice,1,0,H,0,0,D,,,,2.0,2.8,3.1,,,,1486.5,1470.62
F2,29/08/01,Nimes,Istres,0,0,D,0,0,D,,,,1.8,2.8,3.7,,,,1447.61,1450.2
F2,29/08/01,Niort,Strasbourg,1,1,D,0,1,A,,,,2.5,2.7,2.5,,,,1519.4,1546.15
F2,07/09/01,Gueugnon,Le Mans,1,1,D,0,0,D,,,,1.65,2.9,4.3,,,,1528.6,1456.48
F2,08/09/01,Ajaccio,Wasquehal,2,0,H,1,0,H,,,,1.55,3.3,4.5,,,,1514.42,1449.15
F2,08/09/01,Amiens,St Etienne,2,1,H,1,1,D,,,,2.4,2.7,2.6,,,,1458.62,1520.46
F2,08/09/01,Istres,Nancy,1,0,H,0,0,D,,,,2.5,2.7,2.5,,,,1453.62,1494.98
F2,08/09/01,Laval,Caen,0,1,A,0,0,D,,,,1.9,2.8,3.3,,,,1442.7,1447.58
F2,08/09/01,Le Havre,Beauvais,0,0,D,0,0,D,,,,2.1,2.8,3.0,,,,1516.16,1524.1
F2,08/09/01,Martigues,Creteil,3,1,H,2,1,H,,,,2.3,2.7,2.7,,,,1399.0,1433.69
F2,08/09/01,Nice,Chateauroux,1,2,A,0,0,D,,,,1.9,2.8,3.3,,,,1462.14,1515.27
F2,08/09/01,Niort,Grenoble,0,0,D,0,0,D,,,,1.7,2.9,4.0,,,,1516.8,1483.41
F2,14/09/01,Caen,Nice,1,0,H,1,0,H,,,,1.75,2.8,4.0,,,,1463.42,1447.96
F2,15/09/01,Chateauroux,Istres,1,1,D,1,0,H,,,,1.5,3.4,4.7,,,,1529.45,1464.03
F2,15/09/01,Creteil,Le Havre,0,0,D,0,0,D,,,,2.2,2.6,3.0,,,,1423.51,1512.92
F2,15/09/01,Grenoble,Ajaccio,0,1,A,0,1,A,,,,2.3,2.7,2.7,,,,1487.99,1521.39
F2,15/09/01,Le Mans,Amiens,1,1,D,0,0,D,,,,2.3,2.7,2.7,,,,1462.21,1469.75
F2,15/09/01,Nancy,Laval,2,1,H,0,0,D,,,,1.75,2.8,4.0,,,,1484.57,1426.86
