Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
E2,18/08/01,Peterboro,Cardiff,1,1,D,1,1,D,6437.0,S. J. Baines,8,14,1,4,0,0,8,9,12,14,0,0,0,0,0,0,0,0,,,,2.5,2.9,2.3,2.75,3.25,2.25,,,,2.62,3.2,2.38,2.62,3.3,2.3,1343.47,1326.78
E2,18/08/01,Reading,Huddersfield,1,0,H,1,0,H,11915.0,A. N. Butler,8,9,3,5,0,0,9,1,9,18,2,1,2,4,0,0,20,40,,,,1.8,3.1,3.4,1.83,3.25,3.75,,,,1.83,3.4,3.6,1.8,3.4,3.75,1471.61,1415.91
E2,18/08/01,Stoke,Northampton,2,0,H,0,0,D,12845.0,M. G. Cowburn,12,5,6,2,0,1,6,4,12,9,0,5,2,2,0,0,20,20,,,,1.5,3.4,4.7,1.53,3.6,5.5,,,,1.53,3.5,5.5,1.53,3.5,5.5,1423.59,1276.39
E2,18/08/01,Wycombe,Wrexham,5,2,H,4,0,H,5425.0,M. R. Warren,8,10,5,4,0,1,4,12,13,4,0,1,3,2,0,0,30,20,,,,2.0,2.9,3.0,2.2,3.25,2.87,,,,2.1,3.4,2.88,1.83,3.3,3.75,1317.24,1351.49
E2,25/08/01,Blackpool,Wycombe,2,2,D,2,1,H,5010.0,C. H. Webster,17,6,9,2,0,0,11,6,13,19,5,4,2,1,0,0,20,10,,,,2.2,2.9,2.7,2.25,3.25,2.75,,,,2.2,3.25,2.8,2.2,3.25,2.8,1289.87,1327.4
E2,25/08/01,Cambridge,Stoke,0,2,A,0,0,D,3336.0,P. S. Danson,8,9,5,7,0,0,12,2,12,12,2,2,1,4,1,1,35,65,,,,2.5,2.9,2.3,2.75,3.25,2.25,,,,2.75,3.25,2.25,2.62,3.3,2.3,1283.11,1428.44
E2,25/08/01,Cardiff,Bournemouth,2,2,D,1,0,H,13383.0,M. Fletcher,15,7,4,4,1,0,8,4,8,9,2,4,2,2,1,0,45,20,,,,1.6,3.2,4.2,1.57,3.6,5.0,,,,1.62,3.6,4.5,1.61,3.4,5.0,1330.83,1396.91
E2,25/08/01,Chesterfield,Brentford,0,1,A,0,1,A,3571.0,M. J. Brandwood,11,7,3,1,1,0,6,4,16,19,3,2,1,4,0,0,10,40,,,,2.35,3.0,2.35,2.62,3.2,2.37,,,,2.5,3.2,2.5,2.25,3.25,2.75,1316.19,1329.65
E2,25/08/01,Huddersfield,Bury,2,0,H,0,0,D,8684.0,G. Laws,10,7,7,2,0,1,8,2,17,22,3,1,0,3,0,0,0,30,,,,1.6,3.2,4.2,1.61,3.4,5.0,,,,1.57,3.6,5.0,1.57,3.4,5.5,1408.66,1315.67
E2,25/08/01,Northampton,Notts County,0,2,A,0,1,A,4648.0,D. R. Crick,13,14,2,6,1,0,5,6,12,15,3,0,1,2,0,0,10,20,,,,2.4,2.9,2.4,2.5,3.2,2.5,,,,2.75,3.25,2.25,2.6,3.2,2.4,1271.54,1373.36
E2,25/08/01,Port Vale,Peterboro,4,1,H,1,0,H,4925.0,B. Curson,15,13,8,4,0,0,1,8,10,17,3,1,2,2,0,0,20,20,,,,1.75,3.1,3.6,1.8,3.25,4.0,,,,1.73,3.5,4.0,1.66,3.4,4.5,1356.16,1339.42
E2,25/08/01,QPR,Reading,0,0,D,0,0,D,13829.0,B. Knight,7,6,3,3,0,0,2,5,12,14,1,3,4,2,0,0,40,20,,,,2.3,3.0,2.4,2.37,3.2,2.62,,,,2.38,3.25,2.6,,,,1370.33,1478.86
E2,25/08/01,Swindon,Oldham,0,2,A,0,2,A,5219.0,P. Armstrong,13,14,7,7,0,1,5,4,15,13,5,4,2,2,0,0,20,20,,,,1.9,3.0,3.1,2.2,3.4,2.75,,,,2.2,3.25,2.8,1.83,3.3,3.75,1298.35,1336.23
E2,25/08/01,Tranmere,Brighton,0,0,D,0,0,D,8162.0,R. Pearson,24,7,10,5,0,0,8,2,13,18,2,6,3,2,0,0,30,20,,,,2.2,2.9,2.7,2.1,3.25,3.0,,,,2.2,3.25,2.8,2.2,3.25,2.8,1273.16,1377.44
E2,25/08/01,Wigan,Bristol City,1,2,A,0,0,D,6231.0,S. J. Baines,6,8,1,5,0,1,2,2,13,6,6,10,0,1,0,0,0,10,,,,2.2,2.9,2.7,2.25,3.25,2.75,,,,2.25,3.4,2.62,2.2,3.25,2.8,1397.2,1393.62
E2,25/08/01,Wrexham,Colchester,1,1,D,0,1,A,2592.0,M. G. Cowburn,9,9,5,5,1,0,5,6,9,10,0,4,3,2,2,0,80,20,,,,2.0,2.9,3.0,2.0,3.25,3.25,,,,2.1,3.4,2.88,2.0,3.25,3.25,1341.33,1339.94
E2,27/08/01,Brentford,Cambridge,2,1,H,1,0,H,4674.0,H. M. Webb,15,7,4,2,1,1,3,7,14,11,2,4,1,2,0,0,10,20,,,,1.6,3.3,4.0,1.5,3.6,6.0,,,,1.73,3.5,4.0,1.61,3.4,5.0,1345.2,1272.23
E2,27/08/01,Brighton,Blackpool,4,0,H,1,0,H,6696.0,R. J. Olivier,14,4,9,2,1,0,6,6,9,10,3,2,1,2,0,1,10,45,,,,1.7,3.1,3.8,1.73,3.25,4.33,,,,1.62,3.6,4.5,1.66,3.4,4.5,1377.29,1287.65
E2,27/08/01,Bury,Swindon,0,3,A,0,0,D,3202.0,M. Clattenburg,11,10,2,5,0,0,7,10,17,11,4,2,1,0,1,0,35,0,,,,2.0,3.0,2.9,2.1,3.25,3.0,,,,1.91,3.5,3.25,2.0,3.3,3.2,1309.48,1283.64
E2,27/08/01,Colchester,Port Vale,2,0,H,1,0,H,3611.0,P. Armstrong,11,8,3,4,0,0,4,3,13,12,2,1,2,1,0,0,20,10,,,,2.1,3.0,2.8,2.1,3.25,3.0,,,,2.0,3.25,3.25,2.0,3.4,3.1,1343.49,1364.61
E2,27/08/01,Notts County,Chesterfield,1,1,D,0,0,D,6236.0,A. G. Wiley,11,13,4,9,0,0,2,10,23,21,1,3,2,1,0,0,20,10,,,,1.5,3.4,4.7,1.57,3.6,5.0,,,,1.57,3.6,5.0,1.53,3.5,5.5,1385.79,1300.64
E2,27/08/01,Peterboro,Huddersfield,1,2,A,0,0,D,5253.0,M. J. Jones,9,7,3,5,0,0,6,9,14,16,4,5,2,3,0,0,20,30,,,,2.35,3.0,2.35,2.5,3.2,2.5,,,,2.6,3.25,2.38,2.4,3.2,2.6,1330.97,1414.85
