Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
F1,18/08/01,Marseille,Troyes,0,1,A,0,0,D,,,,1.7,3.1,3.8,1.8,3.2,4.0,,,,1.67,3.25,4.5,1.66,3.3,4.5,1640.15,1661.39
F1,18/08/01,Metz,Lens,0,1,A,0,1,A,,,,2.5,2.7,2.5,2.5,3.2,2.5,,,,2.25,3.0,2.88,2.37,3.1,2.62,1659.76,1689.86
F1,18/08/01,Monaco,Paris SG,2,2,D,2,1,H,,,,2.3,2.8,2.6,2.37,3.2,2.6,,,,2.2,3.0,3.0,2.3,3.1,2.75,1646.44,1676.93
F1,18/08/01,Nantes,Bastia,1,2,A,1,2,A,,,,1.6,3.2,4.2,1.5,3.4,6.0,,,,1.53,3.4,5.5,1.53,3.4,5.5,1763.45,1613.06
F1,18/08/01,Rennes,Bordeaux,1,0,H,0,0,D,,,,2.4,2.7,2.6,2.4,3.25,2.5,,,,2.38,3.0,2.7,2.37,3.1,2.62,1653.04,1771.55
F1,18/08/01,Sochaux,Lorient,2,2,D,2,0,H,,,,1.7,3.1,3.8,1.8,3.2,4.0,,,,1.8,3.25,3.75,1.66,3.3,4.5,1706.44,1653.47
F1,19/08/01,Auxerre,Sedan,2,1,H,1,0,H,,,,1.7,3.1,3.8,,,,,,,1.73,3.2,4.33,1.61,3.3,5.0,1649.22,1680.96
F1,25/08/01,Bastia,Marseille,1,0,H,1,0,H,,,,2.1,2.8,3.0,2.1,3.2,3.0,,,,2.1,3.1,3.1,2.25,3.0,2.87,1633.28,1624.86
F1,25/08/01,Bordeaux,Auxerre,1,1,D,1,0,H,,,,1.7,3.1,3.8,1.8,3.2,4.0,,,,1.8,3.25,3.75,1.8,3.1,4.0,1758.38,1659.3
F1,25/08/01,Guingamp,Nantes,1,0,H,1,0,H,,,,2.2,2.9,2.7,2.5,3.2,2.5,,,,2.3,3.1,2.75,2.4,3.1,2.6,1646.31,1743.23
F1,25/08/01,Lorient,Monaco,2,0,H,2,0,H,,,,2.4,2.8,2.5,2.5,3.2,2.5,,,,2.4,3.0,2.7,2.4,3.1,2.6,1658.64,1643.97
F1,25/08/01,Montpellier,Sochaux,0,0,D,0,0,D,,,,1.85,2.8,3.5,1.91,3.2,3.5,,,,2.1,3.0,3.2,2.0,3.1,3.3,1635.41,1701.27
F1,25/08/01,Paris SG,Rennes,3,0,H,0,0,D,,,,1.55,3.3,4.5,1.5,3.4,6.0,,,,1.62,3.25,5.0,1.66,3.3,4.5,1679.4,1666.21
F1,25/08/01,Sedan,Metz,2,0,H,0,0,D,,,,1.75,3.1,3.6,1.91,3.2,3.5,,,,1.8,3.25,3.75,1.72,3.25,4.2,1670.88,1644.78
F1,25/08/01,Troyes,Lyon,0,2,A,0,1,A,,,,2.5,2.7,2.5,2.8,3.2,2.2,,,,2.62,2.88,2.5,2.5,3.1,2.5,1676.68,1823.75
F1,26/08/01,Lens,Lille,1,1,D,0,0,D,,,,2.0,2.7,3.2,1.91,3.2,3.5,,,,2.0,3.1,3.3,2.1,3.0,3.2,1704.84,1778.36
F1,08/09/01,Auxerre,Montpellier,1,0,H,0,0,D,,,,1.6,3.2,4.2,1.61,3.2,5.5,1.62,3.25,5.0,1.67,3.25,4.5,1.57,3.3,5.5,1665.77,1634.19
F1,08/09/01,Lille,Guingamp,1,0,H,0,0,D,,,,1.6,3.2,4.2,1.61,3.2,5.5,1.67,3.25,4.6,1.67,3.25,4.5,1.57,3.5,5.0,1779.31,1658.7
F1,08/09/01,Marseille,Lyon,0,0,D,0,0,D,,,,2.5,2.7,2.5,2.5,3.25,2.37,2.6,3.0,2.5,2.5,3.1,2.5,2.62,3.1,2.37,1616.14,1834.57
F1,08/09/01,Metz,Bastia,0,1,A,0,1,A,,,,2.1,2.8,3.0,2.1,3.2,3.0,2.2,3.0,3.0,2.1,3.1,3.1,2.1,3.2,3.0,1636.63,1642.0
F1,08/09/01,Monaco,Troyes,2,0,H,1,0,H,,,,1.55,3.3,4.5,1.73,3.4,4.0,1.85,3.25,3.6,1.73,3.2,4.33,1.8,3.3,3.75,1635.45,1665.86
F1,08/09/01,Nantes,Sedan,1,1,D,0,0,D,,,,1.8,2.9,3.6,1.73,3.2,4.33,1.85,3.25,3.6,1.8,3.25,3.75,1.72,3.25,4.2,1730.84,1679.03
F1,08/09/01,Paris SG,Lens,2,2,D,0,1,A,,,,1.8,2.9,3.6,1.8,3.2,4.0,1.8,3.2,4.0,1.73,3.2,4.33,1.72,3.2,4.33,1687.97,1703.89
F1,08/09/01,Rennes,Lorient,1,1,D,0,0,D,,,,1.7,3.1,3.8,1.73,3.2,4.33,1.8,3.1,4.0,1.8,3.25,3.75,1.66,3.3,4.5,1657.64,1667.16
F1,09/09/01,Sochaux,Bordeaux,2,0,H,1,0,H,,,,2.5,2.7,2.5,2.5,3.2,2.5,2.5,3.0,2.6,2.5,2.88,2.62,2.5,3.1,2.5,1702.49,1751.91
F1,15/09/01,Bastia,Auxerre,0,1,A,0,0,D,,,,2.2,2.8,2.8,2.37,3.25,2.5,2.2,3.1,2.88,2.25,3.0,2.88,2.2,3.1,2.87,1657.82,1673.75
F1,15/09/01,Guingamp,Metz,0,2,A,0,0,D,,,,1.7,3.1,3.8,2.0,3.2,3.2,1.73,3.25,4.2,1.8,3.25,3.75,1.72,3.2,4.33,1653.22,1620.81
F1,15/09/01,Lens,Sochaux,3,0,H,2,0,H,,,,1.6,3.0,4.5,1.61,3.25,5.0,1.62,3.4,4.75,1.73,3.2,4.33,1.57,3.5,5.0,1706.86,1713.18
F1,15/09/01,Lorient,Paris SG,1,1,D,0,0,D,,,,2.7,2.7,2.3,2.75,3.0,2.37,2.7,3.1,2.3,2.6,3.1,2.4,2.62,3.1,2.37,1670.34,1685.0
F1,15/09/01,Lyon,Nantes,4,1,H,2,1,H,,,,1.55,3.3,4.5,1.61,3.25,5.0,1.6,3.4,5.0,1.57,3.5,5.0,1.61,3.3,5.0,1830.47,1725.7
F1,15/09/01,Montpellier,Rennes,0,0,D,0,0,D,,,,2.1,2.8,3.0,2.25,3.2,2.75,2.1,3.1,3.1,2.2,3.0,3.0,2.1,3.1,3.1,1626.21,1654.46
F1,15/09/01,Troyes,Lille,0,1,A,0,0,D,,,,2.3,2.6,2.8,2.25,3.2,2.75,2.1,3.1,3.0,2.3,3.0,2.8,2.0,3.1,3.3,1655.83,1784.79
F1,16/09/01,Bordeaux,Monaco,0,0,D,0,0,D,,,,1.9,2.8,3.3,2.0,3.2,3.2,1.91,3.2,3.5,1.83,3.2,3.75,1.8,3.1,4.0,1741.22,1645.48
F1,16/09/01,Sedan,Marseille,1,1,D,1,1,D,,,,1.9,3.1,3.75,2.25,3.2,2.75,1.909,3.2,3.5,1.909,3.25,3.4,,,,1684.17,1620.24
F1,21/09/01,Paris SG,Montpellier,0,0,D,0,0,D,,,,1.45,3.5,5.0,1.44,3.4,7.5,1.5,3.4,6.0,,,,1.44,3.5,7.0,1688.01,1623.66
F1,22/09/01,Auxerre,Guingamp,2,2,D,0,0,D,,,,1.55,3.3,4.5,1.57,3.25,5.5,1.5,3.4,6.0,,,,1.53,3.4,5.5,1689.22,1636.17
F1,22/09/01,Lille,Bastia,2,1,H,0,0,D,,,,1.65,3.1,4.0,1.73,3.2,4.33,1.73,3.2,4.33,,,,1.66,3.1,5.0,1796.25,1642.35
F1,22/09/01,Marseille,Nantes,2,0,H,0,0,D,,,,2.0,2.7,3.2,2.0,3.2,3.2,2.1,3.0,3.2,,,,2.0,3.0,3.4,1625.74,1719.82
