Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,LBH,LBD,LBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
SC3,04/08/01,Dumbarton,Brechin,1,2,A,1,1,D,837,Charlie Richmond,9,14,3,7,0,1,4,6,12,1,3,1,0,1,0,0,0,10,,,,2.25,3.5,2.5,2.38,3.25,2.5,2.5,3.5,2.25,1084.43,1161.86
SC3,04/08/01,East Fife,Albion Rvs,0,0,D,0,0,D,465,A. C. Gemmill ,7,10,2,2,0,0,1,4,15,16,1,1,0,1,0,0,0,10,,,,2.0,3.6,2.87,1.8,3.6,3.4,1.83,3.4,3.5,1093.76,1015.49
SC3,04/08/01,Elgin,East Stirling,2,1,H,1,0,H,731,George Clyde,3,9,2,2,0,2,3,2,5,7,3,0,2,0,0,0,20,0,,,,2.37,3.5,2.37,2.38,3.5,2.38,2.37,3.5,2.37,950.16,997.86
SC3,04/08/01,Montrose,Queens Park,3,1,H,2,0,H,439,Mike Ritchie,10,9,5,3,0,0,5,5,18,11,4,3,2,0,0,0,20,0,,,,2.5,3.5,2.25,2.6,3.5,2.2,2.62,3.5,2.2,957.27,1085.12
SC3,04/08/01,Stirling,Peterhead,2,1,H,1,1,D,586,C Thompson,13,9,5,6,0,1,8,1,20,15,3,2,0,3,0,0,0,30,,,,1.8,3.5,3.5,1.73,3.75,3.6,1.72,3.6,3.75,1059.72,1088.86
SC3,11/08/01,Albion Rvs,Stirling,1,3,A,0,3,A,444,G. T. Clyde,7,8,4,3,0,0,4,2,14,15,3,3,1,2,2,0,60,20,,,,2.25,3.5,2.5,2.5,3.25,2.38,2.62,3.5,2.2,1021.39,1069.71
SC3,11/08/01,Brechin,East Fife,6,0,H,2,0,H,474,E. Martindale,24,21,14,8,0,2,7,7,10,12,6,4,0,0,0,0,0,0,,,,1.61,3.5,4.5,1.8,3.6,3.4,1.72,3.6,3.75,1175.17,1087.86
SC3,11/08/01,East Stirling,Montrose,0,1,A,0,1,A,191,C.Murray,5,9,2,4,1,0,4,4,15,12,6,2,3,0,0,0,30,0,,,,2.37,3.5,2.37,2.38,3.25,2.5,2.62,3.5,2.2,987.23,970.77
SC3,11/08/01,Peterhead,Dumbarton,0,3,A,0,1,A,528,C. J. MacKay,16,10,6,6,0,1,8,5,12,20,1,2,0,1,0,0,0,10,,,,2.25,3.5,2.5,2.38,3.5,2.38,2.5,3.5,2.25,1078.87,1071.12
SC3,11/08/01,Queens Park,Elgin,0,0,D,0,0,D,691,A Hunter,8,3,2,2,0,0,2,4,12,12,4,0,2,1,0,1,20,35,,,,,,,1.62,3.6,4.33,1.72,3.6,3.75,1071.62,960.79
