Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
D2,14/09/01,Ahlen,Bochum,2,5,A,2,1,H,8465,Matthias Anklam,12.0,15.0,5.0,9.0,0.0,1.0,6.0,5.0,10.0,8.0,2.0,1.0,1,2,0,1,10,45,,,,2.0,2.9,3.0,,,,,,,2.3,3.1,2.65,1576.36,1492.08
D2,14/09/01,Oberhausen,Mainz,1,3,A,0,2,A,3346,Stefan Trautmann,13.0,7.0,2.0,4.0,1.0,1.0,7.0,1.0,13.0,11.0,7.0,1.0,2,4,0,0,20,40,,,,2.1,2.9,2.9,,,,,,,2.15,3.15,2.8,1453.37,1500.13
D2,14/09/01,Saarbrucken,Duisburg,1,0,H,0,0,D,6000,Detlef Scheppe,12.0,12.0,4.0,6.0,0.0,1.0,6.0,2.0,14.0,18.0,4.0,4.0,2,3,0,0,20,30,,,,1.9,2.9,3.2,,,,,,,2.0,3.2,3.1,1450.58,1439.65
D2,15/09/01,Babelsberg,Unterhaching,1,4,A,0,2,A,4461,Thomas Frank,9.0,13.0,4.0,7.0,0.0,1.0,3.0,4.0,14.0,8.0,5.0,0.0,0,1,1,1,25,35,,,,2.0,2.9,3.0,,,,,,,1.9,3.3,3.25,1506.97,1517.94
D2,15/09/01,Reutlingen,Aachen,3,1,H,3,0,H,5000,Günter Perl,16.0,10.0,8.0,3.0,0.0,0.0,3.0,2.0,11.0,9.0,1.0,2.0,1,1,0,0,10,10,,,,1.8,3.0,3.5,,,,2.0,3.0,3.4,2.0,3.25,3.0,1467.29,1458.43
D2,16/09/01,Hannover,Karlsruhe,5,0,H,3,0,H,13643,Edgar Steinborn,16.0,7.0,13.0,2.0,0.0,0.0,9.0,7.0,9.0,10.0,2.0,1.0,1,2,0,0,10,20,,,,1.75,3.1,3.6,,,,1.8,3.25,3.75,1.7,3.35,4.0,1508.65,1452.51
D2,16/09/01,Mannheim,Union Berlin,1,1,D,0,0,D,7500,Hermann Albrecht,10.0,11.0,3.0,4.0,0.0,0.0,3.0,5.0,14.0,13.0,4.0,5.0,1,3,0,0,10,30,,,,1.8,3.0,3.5,,,,,,,1.85,3.3,3.4,1549.2,1503.5
D2,16/09/01,Schweinfurt,Greuther Furth,0,0,D,0,0,D,8319,Jürgen Jansen,10.0,14.0,5.0,5.0,0.0,2.0,7.0,6.0,12.0,8.0,3.0,2.0,2,2,0,0,20,20,,,,2.4,2.9,2.4,,,,2.3,3.1,2.75,2.3,3.15,2.6,1484.41,1559.67
D2,17/09/01,Ein Frankfurt,Bielefeld,0,2,A,0,0,D,10000,Felix Brych,8.0,9.0,3.0,5.0,0.0,0.0,4.0,5.0,23.0,13.0,4.0,2.0,1,1,0,0,10,10,,,,1.65,3.1,4.0,,,,,,,1.55,3.5,4.8,1568.59,1496.02
D2,21/09/01,Hannover,Oberhausen,2,0,H,1,0,H,13923,Mike Pickel,14.0,8.0,5.0,2.0,1.0,2.0,12.0,8.0,11.0,20.0,1.0,2.0,1,3,0,0,10,30,,,,1.55,3.3,4.5,,,,,,,1.5,3.5,5.4,1515.88,1438.97
