Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
F1,19/08/00,St Etienne,Bordeaux,1,0,H,1,0,H,2.3,3.1,2.6,2.1,2.9,2.9,,,,2.1,3.25,3.0,2.2,3.0,3.0,1678.34,1730.15
F1,19/08/00,Troyes,Auxerre,1,0,H,0,0,D,2.35,2.9,2.7,2.3,2.9,2.5,,,,2.4,3.2,2.6,2.5,2.9,2.65,1618.25,1635.72
F1,20/08/00,Monaco,Guingamp,1,0,H,0,0,D,1.3,4.3,7.0,1.35,3.8,6.2,,,,1.36,3.75,8.5,1.25,4.5,10.0,1765.4,1618.59
F1,26/08/00,Bordeaux,Lens,1,1,D,0,1,A,1.9,3.25,3.45,1.9,2.9,3.2,,,,2.1,3.1,3.2,2.05,3.0,3.3,1719.37,1733.4
F1,26/08/00,Lille,Metz,2,1,H,0,1,A,1.95,3.2,3.3,2.1,2.9,2.9,,,,2.05,3.2,3.2,2.0,3.1,3.35,1716.18,1677.15
F1,26/08/00,Lyon,Troyes,1,0,H,0,0,D,1.55,3.4,5.0,1.45,3.5,5.0,,,,1.5,3.5,6.0,1.45,3.6,6.5,1712.85,1627.84
F1,26/08/00,Marseille,Guingamp,3,1,H,1,0,H,1.4,3.8,6.7,1.45,3.5,5.0,,,,1.44,3.6,7.0,1.45,3.6,6.5,1674.29,1613.73
F1,26/08/00,Rennes,Monaco,1,1,D,1,0,H,2.4,3.05,2.65,2.4,2.9,2.4,,,,2.6,3.0,2.5,2.7,2.9,2.45,1649.19,1770.26
F1,26/08/00,Strasbourg,Sedan,3,2,H,1,1,D,2.45,3.1,2.6,2.1,2.9,2.9,,,,2.5,3.0,2.6,2.55,2.8,2.7,1609.97,1678.04
F1,26/08/00,Toulouse,Nantes,1,1,D,0,1,A,2.45,3.1,2.6,2.7,2.9,2.2,,,,2.75,3.0,2.3,2.8,3.0,2.3,1581.63,1684.78
F1,27/08/00,Auxerre,St Etienne,4,3,H,0,1,A,1.9,3.1,3.8,1.8,3.0,3.5,,,,2.0,3.2,3.3,1.95,3.1,3.5,1626.13,1689.12
F1,27/08/00,Paris SG,Bastia,3,1,H,2,0,H,1.45,3.65,5.9,1.45,3.5,5.0,,,,1.44,3.6,7.0,1.45,3.6,6.5,1718.29,1673.63
F1,05/09/00,Monaco,Marseille,0,2,A,0,0,D,1.8,3.1,4.0,1.65,3.1,4.0,,,,1.75,3.2,4.33,1.75,3.1,4.4,1769.5,1681.39
F1,06/09/00,Bastia,Lille,1,0,H,0,0,D,1.66,3.2,4.4,1.7,3.1,3.8,,,,1.73,3.25,4.33,1.7,3.25,4.3,1666.05,1723.93
F1,06/09/00,Guingamp,Toulouse,2,1,H,0,1,A,2.15,3.0,3.1,2.1,2.8,3.0,,,,2.2,3.0,3.0,2.0,3.0,3.45,1606.63,1581.74
F1,06/09/00,Lens,Auxerre,1,0,H,1,0,H,1.75,3.2,4.1,1.7,3.1,3.8,,,,1.8,3.25,4.0,1.7,3.2,4.5,1736.43,1637.3
F1,06/09/00,Metz,Strasbourg,1,0,H,0,0,D,1.71,3.0,4.9,1.7,3.1,3.8,,,,1.62,3.3,5.0,1.7,3.15,4.6,1669.4,1621.32
