Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
E3,12/08/00,Barnet,Shrewsbury,3,0,H,2,0,H,2090,Mike North,21,10,10,5,2,0,13,5,11,12,6,3,0,1,0,0,0,10,,,,1.6,3.3,4.0,,,,1.67,3.5,4.33,1.66,3.4,4.5,1209.53,1077.98
E3,12/08/00,Blackpool,Hull,3,1,H,1,1,D,5862,Colin Webster,7,10,3,5,0,0,2,7,7,12,10,5,1,1,0,0,10,10,,,,1.7,3.2,3.6,,,,1.73,3.25,4.33,1.72,3.25,4.33,1202.3,1167.24
E3,12/08/00,Carlisle,Halifax,2,2,D,0,1,A,4491,Eddie Lomas,15,7,5,4,0,0,8,1,12,14,3,10,1,3,0,0,10,30,,,,2.2,3.0,2.6,,,,2.3,3.4,2.6,2.2,3.4,2.75,1060.81,1099.47
E3,12/08/00,Cheltenham,Mansfield,2,2,D,1,1,D,4051,Brian Curson,14,4,3,2,0,0,10,1,7,7,3,0,0,1,0,0,0,10,,,,1.65,3.2,3.8,,,,1.67,3.4,4.5,1.66,3.4,4.5,1226.73,1120.3
E3,12/08/00,Chesterfield,York,4,1,H,0,1,A,4745,M Clattenburg,17,9,10,3,0,0,5,1,11,12,3,0,4,0,0,1,40,25,,,,1.65,3.2,3.8,,,,1.62,3.5,5.0,1.66,3.4,4.5,1180.04,1165.97
E3,12/08/00,Exeter,Cardiff,1,2,A,0,1,A,3929,Trevor Parkes,6,13,3,7,0,0,8,11,11,10,3,7,1,0,0,0,10,0,,,,2.6,3.0,2.2,,,,2.63,3.4,2.3,2.62,3.4,2.25,1070.59,1207.89
E3,12/08/00,Kidderminster,Torquay,2,0,H,1,0,H,5122,Graham Poll,15,13,5,2,0,0,7,6,14,17,2,3,1,2,0,0,10,20,,,,1.9,3.0,3.1,,,,2.0,3.5,3.0,1.83,3.4,3.6,1240.0,1198.41
E3,12/08/00,Lincoln,Hartlepool,0,2,A,0,1,A,3588,Paul Danson,17,5,7,2,2,0,8,1,14,12,2,1,1,0,0,0,10,0,,,,2.2,3.0,2.6,,,,2.38,3.25,2.6,2.37,3.2,2.62,1160.65,1218.56
E3,12/08/00,Macclesfield,Scunthorpe,0,1,A,0,0,D,2561,Phil Prosser,5,13,1,5,0,2,7,8,13,16,4,6,2,3,0,0,20,30,,,,2.1,3.0,2.8,,,,2.38,3.25,2.6,2.2,3.4,2.75,1184.8,1145.55
E3,12/08/00,Plymouth,Leyton Orient,0,1,A,0,1,A,5649,Paul Armstrong,4,5,3,3,0,0,3,4,7,10,2,5,1,1,0,1,10,35,,,,1.7,3.2,3.6,,,,1.73,3.25,4.33,1.66,3.4,4.5,1186.33,1164.18
