Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
N1,09/09/00,Willem II,Vitesse,2,2,D,1,2,A,2.1,3.4,2.7,2.1,3.0,2.8,2.25,3.2,2.7,2.3,3.4,2.45,1582.28,1661.75
N1,10/09/00,Nijmegen,Utrecht,1,1,D,0,0,D,2.0,3.4,3.0,2.1,3.0,2.8,2.0,3.3,3.1,2.15,3.4,2.65,1463.06,1514.86
N1,10/09/00,Sparta,Roosendaal,3,5,A,3,2,H,1.43,3.9,5.4,1.4,3.6,5.5,1.44,3.75,6.0,1.4,3.9,6.0,1457.68,1465.42
N1,13/09/00,NAC Breda,Roosendaal,2,1,H,1,1,D,,,,1.5,3.4,4.7,,,,,,,1448.7,1481.16
N1,16/09/00,NAC Breda,Graafschap,3,0,H,2,0,H,2.0,3.45,3.0,2.0,3.0,2.9,2.0,3.4,3.0,1.8,3.4,3.5,1458.8,1472.4
N1,16/09/00,PSV Eindhoven,Sparta,2,1,H,2,0,H,1.25,4.5,8.1,1.2,4.7,9.0,1.25,5.0,8.0,1.25,4.5,8.5,1772.88,1441.94
N1,17/09/00,AZ Alkmaar,Ajax,3,2,H,2,1,H,3.2,3.3,1.95,3.2,3.1,1.85,3.4,3.3,1.9,3.2,3.35,1.9,1536.64,1626.77
N1,17/09/00,Nijmegen,For Sittard,1,1,D,1,0,H,1.66,3.4,4.0,1.6,3.3,4.0,1.67,3.5,4.2,1.65,3.5,4.1,1461.34,1495.38
N1,17/09/00,Roosendaal,Groningen,0,2,A,0,1,A,2.2,3.15,2.8,2.2,3.0,2.6,2.3,3.25,2.6,2.4,3.35,2.35,1471.06,1485.67
N1,17/09/00,Utrecht,Twente,1,2,A,0,1,A,2.15,3.3,2.7,2.2,3.0,2.6,2.2,3.4,2.63,2.2,3.25,2.65,1516.58,1604.87
N1,17/09/00,Vitesse,Waalwijk,1,0,H,1,0,H,1.47,3.65,5.2,1.35,3.8,6.2,1.5,3.6,5.5,1.45,3.8,5.3,1662.49,1486.58
N1,22/09/00,Ajax,Roosendaal,2,0,H,0,0,D,1.13,6.5,11.0,1.15,5.5,11.0,,,,1.11,6.5,12.0,1614.63,1455.55
N1,23/09/00,For Sittard,Vitesse,1,4,A,0,4,A,3.25,3.55,1.9,3.4,3.2,1.75,3.25,3.4,1.9,3.15,3.4,1.9,1497.72,1666.73
N1,24/09/00,Groningen,Utrecht,1,3,A,1,1,D,2.15,3.3,2.7,2.1,3.0,2.8,2.1,3.4,2.8,2.4,3.3,2.4,1501.18,1503.66
N1,24/09/00,NAC Breda,Willem II,2,0,H,1,0,H,2.3,3.25,2.55,2.35,3.0,2.35,2.38,3.25,2.5,2.3,3.2,2.55,1468.25,1581.54
N1,24/09/00,Waalwijk,Nijmegen,0,0,D,0,0,D,2.0,3.4,3.1,1.9,3.0,3.1,2.1,3.3,2.88,1.95,3.4,3.0,1482.34,1459.0
