Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
SP1,24/09/00,Villarreal,Oviedo,1,0,H,1,0,H,2.0,3.25,3.15,1.9,2.9,3.2,1.9,3.25,3.4,1.95,3.25,3.4,1.9,3.25,3.4,1614.8,1614.17
SP1,30/09/00,Santander,Real Madrid,0,0,D,0,0,D,3.4,3.25,1.85,3.2,2.9,1.9,3.75,3.2,1.85,3.75,3.25,1.8,4.2,3.3,1.72,1626.85,1765.98
SP1,01/10/00,Alaves,Osasuna,2,0,H,0,0,D,1.65,3.2,4.8,1.6,3.2,4.2,1.5,3.4,6.0,1.67,3.4,4.5,,,,1702.89,1597.28
SP1,01/10/00,Ath Bilbao,Mallorca,2,1,H,1,1,D,1.7,3.4,4.1,1.5,3.4,4.7,1.55,3.5,5.0,1.62,3.4,5.0,1.61,3.5,4.5,1680.13,1648.13
SP1,01/10/00,La Coruna,Barcelona,2,0,H,0,0,D,2.3,3.3,2.65,2.1,2.9,2.9,2.2,3.25,2.75,2.3,3.2,2.7,2.37,3.1,2.62,1765.31,1754.48
SP1,01/10/00,Malaga,Numancia,1,3,A,1,2,A,1.66,3.35,4.1,1.65,3.1,4.0,1.65,3.25,4.5,1.55,3.3,5.0,1.66,3.4,4.33,1672.12,1604.78
SP1,01/10/00,Oviedo,Zaragoza,2,1,H,2,0,H,2.15,3.15,2.8,2.3,2.8,2.6,2.8,3.2,2.2,2.4,3.2,2.6,2.37,3.1,2.62,1605.19,1719.14
SP1,01/10/00,Vallecano,Celta,3,0,H,1,0,H,2.25,3.2,2.6,2.3,2.9,2.5,2.75,3.2,2.25,2.5,3.2,2.5,2.4,3.25,2.5,1656.22,1709.52
SP1,01/10/00,Valencia,Las Palmas,5,1,H,2,0,H,1.25,4.3,9.0,1.2,4.7,9.0,1.25,4.5,10.0,1.3,4.5,8.0,1.28,4.5,8.0,1777.87,1632.01
SP1,01/10/00,Valladolid,Villarreal,0,0,D,0,0,D,1.66,3.3,4.4,1.55,3.3,4.5,1.6,3.25,5.0,1.65,3.25,5.0,1.72,3.4,4.0,1699.3,1623.78
SP1,14/10/00,Espanol,Vallecano,0,0,D,0,0,D,2.05,3.0,3.2,1.85,2.9,3.4,2.1,3.2,3.0,2.0,3.2,3.2,2.1,3.2,3.0,1658.24,1667.05
SP1,14/10/00,Las Palmas,Malaga,2,1,H,0,0,D,2.3,3.15,2.7,2.3,2.8,2.6,2.6,3.2,2.35,2.4,3.1,2.5,2.37,3.1,2.62,1627.12,1654.03
SP1,14/10/00,Real Madrid,La Coruna,3,0,H,2,0,H,1.7,3.25,4.2,1.7,3.1,3.8,1.7,3.2,4.3,1.8,3.25,4.0,1.8,3.3,3.75,1764.58,1773.95
SP1,14/10/00,Sociedad,Barcelona,0,6,A,0,6,A,3.3,3.1,2.05,2.4,2.9,2.4,3.0,3.2,2.1,3.2,3.1,2.1,3.0,3.2,2.1,1664.37,1745.84
SP1,14/10/00,Villarreal,Valencia,1,1,D,0,0,D,3.1,3.25,2.0,3.2,2.9,1.9,3.6,3.25,1.85,3.3,3.2,2.0,3.2,3.2,2.0,1629.61,1782.76
SP1,15/10/00,Celta,Alaves,1,1,D,1,1,D,1.61,3.4,4.8,1.55,3.3,4.5,1.65,3.25,4.5,1.67,3.4,4.5,1.61,3.5,4.5,1698.69,1708.75
SP1,15/10/00,Mallorca,Santander,2,1,H,0,1,A,1.9,3.2,3.4,1.8,3.0,3.5,1.85,3.2,3.75,1.8,3.2,4.0,1.8,3.3,3.75,1640.16,1628.25
SP1,15/10/00,Numancia,Ath Bilbao,0,0,D,0,0,D,2.2,3.15,2.75,2.2,2.9,2.7,2.5,2.85,2.6,2.3,3.1,2.8,2.3,3.1,2.75,1622.87,1688.1
SP1,15/10/00,Osasuna,Oviedo,0,0,D,0,0,D,1.9,3.2,3.5,1.9,2.9,3.2,1.9,3.2,3.5,1.91,3.25,3.5,,,,1591.42,1618.19
SP1,15/10/00,Zaragoza,Valladolid,0,0,D,0,0,D,1.8,3.35,3.8,1.9,2.9,3.2,1.85,3.2,3.75,1.8,3.25,4.0,1.72,3.4,4.0,1706.14,1693.47
SP1,18/10/00,Espanol,Sociedad,1,2,A,1,2,A,1.8,3.2,3.9,1.75,3.1,3.6,1.85,3.2,3.75,1.8,3.2,4.0,1.8,3.3,3.75,1655.03,1651.2
SP1,21/10/00,Barcelona,Real Madrid,2,0,H,1,0,H,2.05,3.1,3.3,2.0,2.9,3.0,2.1,3.2,3.0,2.0,3.1,3.4,2.1,3.0,3.2,1759.01,1773.89
SP1,21/10/00,La Coruna,Mallorca,1,1,D,0,0,D,1.4,3.8,6.5,1.35,3.8,6.2,1.3,3.75,9.0,1.44,3.6,7.0,1.3,4.0,9.5,1764.64,1648.77
SP1,21/10/00,Valencia,Zaragoza,1,0,H,0,0,D,1.45,3.55,6.0,1.45,3.5,5.0,1.4,3.75,7.0,1.4,3.6,6.5,1.4,3.5,8.0,1780.86,1702.22
SP1,22/10/00,Alaves,Espanol,1,0,H,0,0,D,1.7,3.25,4.4,1.75,3.1,3.6,1.7,3.2,4.3,1.75,3.2,4.33,1.72,3.2,4.33,1711.92,1638.9
SP1,22/10/00,Ath Bilbao,Las Palmas,0,3,A,0,1,A,1.61,3.15,3.75,1.45,3.5,5.0,1.4,3.75,7.0,1.45,3.5,6.5,1.5,3.4,6.0,1689.35,1637.03
SP1,22/10/00,Malaga,Villarreal,2,1,H,2,0,H,1.85,3.15,3.75,1.8,3.0,3.5,,,,1.95,3.1,3.6,2.0,3.2,3.2,1644.12,1631.51
SP1,22/10/00,Oviedo,Celta,3,1,H,2,0,H,2.6,3.05,2.45,2.4,2.9,2.4,2.85,3.0,2.25,2.7,3.1,2.38,2.62,3.1,2.37,1620.79,1695.52
SP1,22/10/00,Vallecano,Sociedad,4,1,H,2,1,H,1.66,3.2,4.8,1.65,3.2,3.8,,,,1.67,3.3,4.75,1.66,3.3,4.5,1670.26,1667.33
SP1,22/10/00,Santander,Numancia,4,2,H,2,1,H,1.95,3.2,3.45,1.75,3.1,3.6,1.9,3.2,3.5,1.91,3.2,3.6,1.83,3.2,3.75,1619.64,1621.62
SP1,22/10/00,Valladolid,Osasuna,1,1,D,1,1,D,1.66,3.25,4.7,1.6,3.2,4.2,1.6,3.25,5.0,1.67,3.25,4.75,,,,1697.39,1588.82
SP1,28/10/00,Las Palmas,Santander,2,1,H,1,0,H,2.0,3.15,3.35,1.9,2.9,3.2,2.0,3.2,3.2,1.9,3.1,3.4,1.83,3.2,3.75,1654.68,1628.7
SP1,28/10/00,Mallorca,Barcelona,2,0,H,1,0,H,3.65,3.0,1.95,3.0,2.9,2.0,3.75,3.25,1.8,3.6,3.2,1.91,3.5,3.2,1.9,1655.67,1768.51
SP1,28/10/00,Numancia,La Coruna,1,2,A,0,2,A,2.8,3.05,2.3,2.7,2.9,2.2,3.0,3.2,2.1,2.88,3.1,2.25,3.0,3.0,2.2,1612.56,1757.74
SP1,28/10/00,Villarreal,Ath Bilbao,0,0,D,0,0,D,2.25,2.9,3.0,2.1,2.9,2.9,2.2,3.25,2.75,2.0,3.2,3.2,2.1,3.0,3.2,1622.93,1671.7
SP1,28/10/00,Zaragoza,Malaga,1,1,D,0,0,D,1.9,3.2,3.45,1.8,3.0,3.5,2.0,3.2,3.2,1.83,3.2,3.75,1.9,3.2,3.5,1695.63,1652.7
SP1,29/10/00,Celta,Valladolid,2,1,H,1,0,H,1.7,3.1,4.7,1.7,3.1,3.8,1.6,3.25,5.0,1.6,3.3,5.0,1.61,3.25,5.0,1683.93,1690.67
SP1,29/10/00,Espanol,Oviedo,2,0,H,1,0,H,1.95,3.15,3.45,1.8,3.0,3.5,1.7,3.4,4.0,1.75,3.2,3.75,1.8,3.25,3.75,1632.16,1632.38
SP1,29/10/00,Osasuna,Valencia,1,2,A,1,1,D,3.4,3.1,2.0,3.0,2.9,2.0,3.75,3.2,1.85,3.5,3.2,1.95,,,,1595.54,1787.45
SP1,29/10/00,Sociedad,Real Madrid,1,4,A,0,2,A,3.55,3.05,1.95,3.1,3.0,1.9,3.75,3.25,1.8,3.75,3.25,1.8,3.75,3.2,1.83,1658.43,1764.39
SP1,29/10/00,Vallecano,Alaves,0,1,A,0,1,A,2.05,3.0,3.4,1.9,2.9,3.2,2.1,3.2,3.0,1.9,3.1,3.75,1.83,3.2,3.75,1679.16,1718.66
SP1,31/10/00,La Coruna,Las Palmas,4,0,H,1,0,H,1.31,4.0,8.1,1.3,4.0,7.0,1.3,4.0,8.0,1.36,4.0,7.5,1.33,4.0,8.0,1768.62,1662.84
SP1,01/11/00,Alaves,Sociedad,0,1,A,0,0,D,1.66,3.15,4.8,1.8,3.0,3.5,1.6,3.25,5.0,1.5,3.4,5.5,1.53,3.25,6.0,1733.31,1646.14
SP1,01/11/00,Ath Bilbao,Zaragoza,1,2,A,0,1,A,1.85,3.15,3.9,1.8,3.0,3.5,1.65,3.25,4.5,1.73,3.25,4.33,1.8,3.1,4.0,1673.53,1690.76
SP1,01/11/00,Barcelona,Numancia,1,1,D,0,0,D,1.2,4.7,10.0,1.2,4.7,9.0,1.2,5.0,11.0,1.25,4.8,9.0,1.25,4.5,10.0,1755.55,1601.68
SP1,01/11/00,Malaga,Osasuna,3,1,H,2,1,H,1.8,3.15,4.0,1.7,3.2,3.6,1.6,3.5,4.5,1.73,3.3,4.2,,,,1657.57,1586.27
SP1,01/11/00,Oviedo,Vallecano,4,1,H,2,1,H,2.25,3.2,2.8,2.1,2.9,2.9,2.6,3.2,2.35,2.3,3.2,2.7,2.3,3.1,2.75,1623.37,1664.51
SP1,01/11/00,Real Madrid,Mallorca,0,2,A,0,0,D,1.3,4.3,8.0,1.2,4.7,9.0,1.3,4.3,8.0,1.3,4.5,8.0,1.28,4.5,8.0,1776.68,1668.63
SP1,01/11/00,Santander,Villarreal,3,1,H,2,0,H,1.95,3.2,3.3,1.8,3.0,3.5,1.85,3.2,3.75,1.91,3.2,3.5,2.0,3.2,3.2,1620.54,1621.1
SP1,01/11/00,Valencia,Celta,1,0,H,0,0,D,1.66,3.25,4.7,1.6,3.2,4.2,1.55,3.5,5.0,1.53,3.4,5.5,1.61,3.25,5.0,1796.72,1693.15
SP1,01/11/00,Valladolid,Espanol,1,1,D,0,1,A,1.95,3.15,3.5,1.7,3.1,3.8,1.9,3.2,3.5,1.9,3.2,3.6,1.9,3.1,3.6,1681.45,1641.17
SP1,04/11/00,Celta,Malaga,1,0,H,0,0,D,1.6,3.5,4.8,1.5,3.4,4.7,1.55,3.5,5.0,1.6,3.3,5.0,1.53,3.4,5.5,1687.24,1664.36
SP1,04/11/00,Espanol,Valencia,1,0,H,0,0,D,3.0,3.05,2.2,2.7,2.9,2.2,3.0,3.2,2.1,3.1,3.1,2.1,3.2,3.0,2.1,1645.96,1802.63
SP1,04/11/00,Las Palmas,Barcelona,0,1,A,0,0,D,3.25,3.1,2.05,3.0,2.9,2.0,3.2,3.2,2.0,3.75,3.2,1.83,3.2,3.2,2.0,1656.98,1747.76
SP1,04/11/00,Numancia,Real Madrid,3,1,H,2,1,H,3.75,3.05,1.9,3.2,2.9,1.9,4.0,3.4,1.7,3.75,3.2,1.83,3.75,3.2,1.83,1609.47,1757.48
SP1,04/11/00,Villarreal,La Coruna,3,2,H,1,1,D,2.9,3.1,2.2,2.7,2.9,2.2,3.5,3.2,1.9,3.1,3.1,2.1,3.4,3.0,2.0,1612.08,1774.48
SP1,05/11/00,Alaves,Oviedo,4,0,H,2,0,H,1.66,3.2,5.0,1.6,3.2,4.2,1.6,3.25,5.0,1.57,3.3,5.5,1.57,3.25,5.5,1714.66,1633.77
SP1,05/11/00,Osasuna,Ath Bilbao,1,1,D,0,1,A,2.3,3.0,2.9,2.2,2.8,2.8,2.35,3.2,2.6,2.25,3.0,2.88,,,,1579.48,1658.11
SP1,05/11/00,Sociedad,Mallorca,0,1,A,0,0,D,2.3,3.1,2.8,2.0,2.9,3.0,2.35,3.2,2.6,2.3,3.1,2.7,2.37,2.9,2.75,1664.79,1687.83
SP1,05/11/00,Vallecano,Valladolid,2,1,H,1,0,H,1.85,3.05,4.0,1.85,2.9,3.4,1.8,3.2,4.0,1.83,2.9,4.33,1.72,3.1,4.5,1654.11,1676.66
SP1,05/11/00,Zaragoza,Santander,2,0,H,1,0,H,1.8,3.2,4.0,1.75,3.1,3.6,1.85,3.2,3.75,1.7,3.2,4.2,1.72,3.2,4.33,1706.18,1629.56
SP1,11/11/00,La Coruna,Zaragoza,2,0,H,1,0,H,1.5,3.65,5.5,1.45,3.5,5.0,1.45,3.6,6.5,1.4,3.6,6.5,1.5,3.4,6.0,1759.76,1712.82
SP1,12/11/00,Ath Bilbao,Celta,2,1,H,1,1,D,2.3,3.0,2.9,2.2,2.9,2.7,2.25,3.2,2.75,2.3,3.1,2.8,2.3,3.1,2.75,1658.88,1695.49
SP1,12/11/00,Barcelona,Villarreal,1,2,A,1,1,D,1.28,4.25,9.5,1.25,4.3,8.0,1.25,4.5,10.0,1.25,4.6,10.0,1.28,4.5,8.0,1760.59,1626.8
SP1,12/11/00,Malaga,Espanol,0,0,D,0,0,D,2.05,3.1,3.3,2.1,2.9,2.9,2.0,3.2,3.2,2.05,3.1,3.25,1.9,3.2,3.5,1656.11,1660.48
SP1,12/11/00,Mallorca,Numancia,2,1,H,2,0,H,1.65,3.35,4.65,1.6,3.2,4.2,1.5,3.4,6.0,1.55,3.4,5.25,1.61,3.25,5.0,1703.05,1623.69
SP1,12/11/00,Oviedo,Sociedad,1,0,H,0,0,D,1.85,3.15,3.9,1.9,3.0,3.1,1.9,3.25,3.4,1.75,3.25,4.2,1.8,3.3,3.75,1627.25,1649.57
SP1,12/11/00,Real Madrid,Las Palmas,5,1,H,2,1,H,1.25,4.7,10.0,1.2,4.7,9.0,1.3,4.5,8.0,1.25,4.6,10.0,1.28,4.5,8.0,1743.26,1644.15
SP1,12/11/00,Santander,Osasuna,0,0,D,0,0,D,1.8,3.25,3.9,1.7,3.1,3.8,1.65,3.25,4.5,1.73,3.25,4.33,,,,1622.92,1578.71
SP1,12/11/00,Valencia,Vallecano,2,2,D,0,1,A,1.5,3.6,5.8,1.4,3.6,5.5,1.3,4.0,8.0,1.44,3.6,6.5,1.44,3.5,7.0,1788.11,1663.87
SP1,12/11/00,Valladolid,Alaves,2,1,H,0,0,D,2.4,3.1,2.6,2.2,2.9,2.7,2.8,2.85,2.35,2.4,3.0,2.7,2.37,3.1,2.62,1666.9,1721.18
SP1,18/11/00,Alaves,Valencia,1,1,D,0,0,D,2.45,3.0,2.6,2.4,2.9,2.4,2.5,3.2,2.5,2.5,3.1,2.5,2.5,3.1,2.5,1710.32,1781.0
SP1,18/11/00,Las Palmas,Mallorca,1,0,H,0,0,D,2.6,3.0,2.45,2.3,2.9,2.5,2.6,3.2,2.35,2.6,3.1,2.4,2.62,2.9,2.5,1638.12,1709.62
SP1,18/11/00,Osasuna,La Coruna,1,1,D,1,1,D,3.4,3.1,1.9,2.9,2.9,2.1,3.5,3.2,1.9,3.6,3.1,1.91,,,,1583.62,1767.27
SP1,18/11/00,Villarreal,Real Madrid,0,1,A,0,0,D,3.4,3.0,2.0,2.9,2.9,2.1,3.0,3.2,2.1,3.0,3.2,2.1,3.0,3.0,2.2,1646.64,1749.29
